21st	21st	21st
Europe	europ	Europe
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
after	after	after
WWII	wwii	WWII
.	.	.
Some	some	Some
of	of	of
this	this	this
money	money	money
was	was	wa
used	use	used
to	to	to
bribe	bribe	bribe
journalists	journalist	journalist
and	and	and
publishers	publish	publisher
.	.	.
In	in	In
2008	2008	2008
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
wrote	wrote	wrote
During	dure	During
the	the	the
early	earli	early
years	year	year
of	of	of
the	the	the
cold	cold	cold
war	war	war
,	,	,
prominent	promin	prominent
writers	writer	writer
and	and	and
artists	artist	artist
,	,	,
from	from	from
Arthur	arthur	Arthur
Schlesinger	schlesing	Schlesinger
Jr	jr	Jr
.	.	.
to	to	to
Jackson	jackson	Jackson
Pollock	pollock	Pollock
were	were	were
supported	support	supported
,	,	,
sometimes	sometim	sometimes
lavishly	lavish	lavishly
,	,	,
always	alway	always
secretly	secret	secretly
,	,	,
by	by	by
the	the	the
C	c	C
.	.	.
I	i	I
.	.	.
A	a	A
.	.	.
as	as	a
part	part	part
of	of	of
its	it	it
propaganda	propaganda	propaganda
war	war	war
against	against	against
the	the	the
Soviet	soviet	Soviet
Union	union	Union
.	.	.
It	it	It
was	was	wa
perhaps	perhap	perhaps
the	the	the
most	most	most
successful	success	successful
use	use	use
of	of	of
soft	soft	soft
power	power	power
in	in	in
American	american	American
history	histori	history
.	.	.
A	a	A
CIA	cia	CIA
operative	oper	operative
told	told	told
Washington	washington	Washington
Post	post	Post
owner	owner	owner
Philip	philip	Philip
Graham	graham	Graham
in	in	in
a	a	a
conversation	convers	conversation
about	about	about
the	the	the
willingness	willing	willingness
of	of	of
journalists	journalist	journalist
to	to	to
peddle	peddl	peddle
CIA	cia	CIA
propaganda	propaganda	propaganda
and	and	and
cover	cover	cover
stories	stori	story
You	you	You
could	could	could
get	get	get
a	a	a
journalist	journalist	journalist
cheaper	cheaper	cheaper
than	than	than
a	a	a
good	good	good
call	call	call
girl	girl	girl
,	,	,
for	for	for
a	a	a
couple	coupl	couple
hundred	hundr	hundred
dollars	dollar	dollar
a	a	a
month	month	month
.	.	.
Famed	fame	Famed
Watergate	waterg	Watergate
reporter	report	reporter
Carl	carl	Carl
Bernstein	bernstein	Bernstein
wrote	wrote	wrote
in	in	in
1977	1977	1977
More	more	More
than	than	than
400	400	400
American	american	American
journalists	journalist	journalist
in	in	in
the	the	the
past	past	past
twenty	twenti	twenty
five	five	five
years	year	year
have	have	have
secretly	secret	secretly
carried	carri	carried
out	out	out
assignments	assign	assignment
for	for	for
the	the	the
Central	central	Central
Intelligence	intellig	Intelligence
Agency	agenc	Agency
,	,	,
according	accord	according
to	to	to
documents	document	document
on	on	on
file	file	file
at	at	at
CIA	cia	CIA
headquarters	headquart	headquarters
.	.	.
In	in	In
many	mani	many
instances	instanc	instance
,	,	,
CIA	cia	CIA
documents	document	document
show	show	show
,	,	,
journalists	journalist	journalist
were	were	were
engaged	engag	engaged
to	to	to
perform	perform	perform
tasks	task	task
for	for	for
the	the	the
CIA	cia	CIA
with	with	with
the	the	the
consent	consent	consent
of	of	of
the	the	the
managements	manag	management
of	of	of
America	america	America
s	s	s
leading	lead	leading
news	news	news
organizations	organ	organization
.	.	.
Among	among	Among
the	the	the
executives	execut	executive
who	who	who
lent	lent	lent
their	their	their
cooperation	cooper	cooperation
to	to	to
the	the	the
Agency	agenc	Agency
were	were	were
the	the	the
heads	head	head
of	of	of
CBS	cbs	CBS
,	,	,
Time	time	Time
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
,	,	,
the	the	the
Louisville	louisvill	Louisville
Courier	courier	Courier
Journal	journal	Journal
,	,	,
and	and	and
Copley	copley	Copley
News	news	News
Service	servic	Service
.	.	.
Other	other	Other
organizations	organ	organization
which	which	which
cooperated	cooper	cooperated
with	with	with
the	the	the
CIA	cia	CIA
include	includ	include
ABC	abc	ABC
,	,	,
NBC	nbc	NBC
,	,	,
AP	ap	AP
,	,	,
UPI	upi	UPI
,	,	,
Reuters	reuter	Reuters
,	,	,
Hearst	hearst	Hearst
Newspapers	newspap	Newspapers
,	,	,
Scripps	scripp	Scripps
Howard	howard	Howard
,	,	,
Newsweek	newsweek	Newsweek
magazine	magazin	magazine
,	,	,
the	the	the
Mutual	mutual	Mutual
Broadcasting	broadcast	Broadcasting
System	system	System
,	,	,
the	the	the
Miami	miami	Miami
Herald	herald	Herald
and	and	and
the	the	the
old	old	old
Saturday	saturday	Saturday
Evening	even	Evening
Post	post	Post
and	and	and
New	new	New
York	york	York
Herald	herald	Herald
Tribune	tribun	Tribune
.	.	.
There	there	There
is	is	is
ample	ampl	ample
evidence	evid	evidence
that	that	that
America	america	America
s	s	s
leading	lead	leading
publishers	publish	publisher
and	and	and
news	news	news
executives	execut	executive
allowed	allow	allowed
themselves	themselv	themselves
and	and	and
their	their	their
organizations	organ	organization
to	to	to
become	becom	become
handmaidens	handmaiden	handmaiden
to	to	to
the	the	the
intelligence	intellig	intelligence
services	servic	service
.	.	.
Let	let	Let
s	s	s
not	not	not
pick	pick	pick
on	on	on
some	some	some
poor	poor	poor
reporters	report	reporter
,	,	,
for	for	for
God	god	God
s	s	s
sake	sake	sake
,	,	,
William	william	William
Colby	colbi	Colby
exclaimed	exclaim	exclaimed
at	at	at
one	one	one
point	point	point
to	to	to
the	the	the
Church	church	Church
committee	committe	committee
s	s	s
investigators	investig	investigator
.	.	.
Let	let	Let
s	s	s
go	go	go
to	to	to
the	the	the
managements	manag	management
.	.	.
The	the	The
CIA	cia	CIA
even	even	even
ran	ran	ran
a	a	a
formal	formal	formal
training	train	training
program	program	program
in	in	in
the	the	the
1950s	1950s	1950s
to	to	to
teach	teach	teach
its	it	it
agents	agent	agent
to	to	to
be	be	be
journalists	journalist	journalist
.	.	.
Intelligence	intellig	Intelligence
officers	offic	officer
were	were	were
taught	taught	taught
to	to	to
make	make	make
noises	nois	noise
like	like	like
reporters	report	reporter
,	,	,
explained	explain	explained
a	a	a
high	high	high
CIA	cia	CIA
official	offici	official
,	,	,
and	and	and
were	were	were
then	then	then
placed	place	placed
in	in	in
major	major	major
news	news	news
organizations	organ	organization
with	with	with
help	help	help
from	from	from
management	manag	management
.	.	.
Once	onc	Once
a	a	a
year	year	year
during	dure	during
the	the	the
1950s	1950s	1950s
and	and	and
early	earli	early
1960s	1960s	1960s
,	,	,
CBS	cbs	CBS
correspondents	correspond	correspondent
joined	join	joined
the	the	the
CIA	cia	CIA
hierarchy	hierarchi	hierarchy
for	for	for
private	privat	private
dinners	dinner	dinner
and	and	and
briefings	brief	briefing
.	.	.
Allen	allen	Allen
Dulles	dull	Dulles
often	often	often
interceded	interced	interceded
with	with	with
his	his	his
good	good	good
friend	friend	friend
,	,	,
the	the	the
late	late	late
Henry	henri	Henry
Luce	luce	Luce
,	,	,
founder	founder	founder
of	of	of
Time	time	Time
and	and	and
Life	life	Life
magazines	magazin	magazine
,	,	,
who	who	who
readily	readili	readily
allowed	allow	allowed
certain	certain	certain
members	member	member
of	of	of
his	his	his
staff	staff	staff
to	to	to
work	work	work
for	for	for
the	the	the
Agency	agenc	Agency
and	and	and
agreed	agre	agreed
to	to	to
provide	provid	provide
jobs	job	job
and	and	and
credentials	credenti	credential
for	for	for
other	other	other
CIA	cia	CIA
operatives	oper	operative
who	who	who
lacked	lack	lacked
journalistic	journalist	journalistic
experience	experi	experience
.	.	.
In	in	In
the	the	the
1950s	1950s	1950s
and	and	and
early	earli	early
1960s	1960s	1960s
,	,	,
Time	time	Time
magazine	magazin	magazine
s	s	s
foreign	foreign	foreign
correspondents	correspond	correspondent
attended	attend	attended
CIA	cia	CIA
briefing	brief	briefing
dinners	dinner	dinner
similar	similar	similar
to	to	to
those	those	those
the	the	the
CIA	cia	CIA
held	held	held
for	for	for
CBS	cbs	CBS
.	.	.
When	when	When
Newsweek	newsweek	Newsweek
was	was	wa
purchased	purchas	purchased
by	by	by
the	the	the
Washington	washington	Washington
Post	post	Post
Company	compani	Company
,	,	,
publisher	publish	publisher
Philip	philip	Philip
L	l	L
.	.	.
Graham	graham	Graham
was	was	wa
informed	inform	informed
by	by	by
Agency	agenc	Agency
officials	offici	official
that	that	that
the	the	the
CIA	cia	CIA
occasionally	occasion	occasionally
used	use	used
the	the	the
magazine	magazin	magazine
for	for	for
cover	cover	cover
purposes	purpos	purpose
,	,	,
according	accord	according
to	to	to
CIA	cia	CIA
sources	sourc	source
.	.	.
It	it	It
was	was	wa
widely	wide	widely
known	known	known
that	that	that
Phil	phil	Phil
Graham	graham	Graham
was	was	wa
somebody	somebodi	somebody
you	you	you
could	could	could
get	get	get
help	help	help
from	from	from
,	,	,
said	said	said
a	a	a
former	former	former
deputy	deputi	deputy
director	director	director
of	of	of
the	the	the
Agency	agenc	Agency
.	.	.
Frank	frank	Frank
Wisner	wisner	Wisner
dealt	dealt	dealt
with	with	with
him	him	him
.	.	.
Wisner	wisner	Wisner
,	,	,
deputy	deputi	deputy
director	director	director
of	of	of
the	the	the
CIA	cia	CIA
from	from	from
1950	1950	1950
until	until	until
shortly	short	shortly
before	befor	before
his	his	his
suicide	suicid	suicide
in	in	in
1965	1965	1965
,	,	,
was	was	wa
the	the	the
Agency	agenc	Agency
s	s	s
premier	premier	premier
orchestrator	orchestr	orchestrator
of	of	of
black	black	black
operations	oper	operation
,	,	,
including	includ	including
many	mani	many
in	in	in
which	which	which
journalists	journalist	journalist
were	were	were
involved	involv	involved
.	.	.
Wisner	wisner	Wisner
liked	like	liked
to	to	to
boast	boast	boast
of	of	of
his	his	his
mighty	mighti	mighty
Wurlitzer	wurlitz	Wurlitzer
,	,	,
a	a	a
wondrous	wondrous	wondrous
propaganda	propaganda	propaganda
instrument	instrument	instrument
he	he	he
built	built	built
,	,	,
and	and	and
played	play	played
,	,	,
with	with	with
help	help	help
from	from	from
the	the	the
press	press	press
.	.	.
In	in	In
November	novemb	November
1973	1973	1973
,	,	,
after	after	after
the	the	the
CIA	cia	CIA
claimed	claim	claimed
to	to	to
have	have	have
ended	end	ended
the	the	the
program	program	program
,	,	,
Colby	colbi	Colby
told	told	told
reporters	report	reporter
and	and	and
editors	editor	editor
from	from	from
the	the	the
New	new	New
York	york	York
Times	time	Times
and	and	and
the	the	the
Washington	washington	Washington
Star	star	Star
that	that	that
the	the	the
Agency	agenc	Agency
had	had	had
some	some	some
three	three	three
dozen	dozen	dozen
American	american	American
newsmen	newsmen	newsman
on	on	on
the	the	the
CIA	cia	CIA
payroll	payrol	payroll
,	,	,
including	includ	including
five	five	five
who	who	who
worked	work	worked
for	for	for
general	general	general
circulation	circul	circulation
news	news	news
organizations	organ	organization
.	.	.
Yet	yet	Yet
even	even	even
while	while	while
the	the	the
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committee	committe	Committee
was	was	wa
holding	hold	holding
its	it	it
hearings	hear	hearing
in	in	in
1976	1976	1976
,	,	,
according	accord	according
to	to	to
high	high	high
level	level	level
CIA	cia	CIA
sources	sourc	source
,	,	,
the	the	the
CIA	cia	CIA
continued	continu	continued
to	to	to
maintain	maintain	maintain
ties	tie	tie
with	with	with
seventy	seventi	seventy
five	five	five
to	to	to
ninety	nineti	ninety
journalists	journalist	journalist
of	of	of
every	everi	every
description	descript	description
executives	execut	executive
,	,	,
reporters	report	reporter
,	,	,
stringers	stringer	stringer
,	,	,
photographers	photograph	photographer
,	,	,
columnists	columnist	columnist
,	,	,
bureau	bureau	bureau
clerks	clerk	clerk
and	and	and
members	member	member
of	of	of
broadcast	broadcast	broadcast
technical	technic	technical
crews	crew	crew
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
these	these	these
had	had	had
been	been	been
moved	move	moved
off	off	off
CIA	cia	CIA
contracts	contract	contract
and	and	and
payrolls	payrol	payroll
but	but	but
they	they	they
were	were	were
still	still	still
bound	bound	bound
by	by	by
other	other	other
secret	secret	secret
agreements	agreement	agreement
with	with	with
the	the	the
Agency	agenc	Agency
.	.	.
According	accord	According
to	to	to
an	an	an
unpublished	unpublish	unpublished
report	report	report
by	by	by
the	the	the
House	hous	House
Select	select	Select
Committee	committe	Committee
on	on	on
Intelligence	intellig	Intelligence
,	,	,
chaired	chair	chaired
by	by	by
Representative	repres	Representative
Otis	oti	Otis
Pike	pike	Pike
,	,	,
at	at	at
least	least	least
fifteen	fifteen	fifteen
news	news	news
organizations	organ	organization
were	were	were
still	still	still
providing	provid	providing
cover	cover	cover
for	for	for
CIA	cia	CIA
operatives	oper	operative
as	as	a
of	of	of
1976	1976	1976
.	.	.
Those	those	Those
officials	offici	official
most	most	most
knowledgeable	knowledg	knowledgeable
about	about	about
the	the	the
subject	subject	subject
say	say	say
that	that	that
a	a	a
figure	figur	figure
of	of	of
400	400	400
American	american	American
journalists	journalist	journalist
is	is	is
on	on	on
the	the	the
low	low	low
side	side	side
.	.	.
There	there	There
were	were	were
a	a	a
lot	lot	lot
of	of	of
representations	represent	representation
that	that	that
if	if	if
this	this	this
stuff	stuff	stuff
got	got	got
out	out	out
some	some	some
of	of	of
the	the	the
biggest	biggest	biggest
names	name	name
in	in	in
journalism	journal	journalism
would	would	would
get	get	get
smeared	smear	smeared
.	.	.
An	an	An
expert	expert	expert
on	on	on
propaganda	propaganda	propaganda
testified	testifi	testified
under	under	under
oath	oath	oath
during	dure	during
trial	trial	trial
that	that	that
the	the	the
CIA	cia	CIA
now	now	now
employs	employ	employ
THOUSANDS	thousand	THOUSANDS
of	of	of
reporters	report	reporter
and	and	and
OWNS	own	OWNS
its	it	it
own	own	own
media	media	medium
organizations	organ	organization
.	.	.
Whether	whether	Whether
or	or	or
not	not	not
his	his	his
estimate	estim	estimate
is	is	is
accurate	accur	accurate
,	,	,
it	it	it
is	is	is
clear	clear	clear
that	that	that
many	mani	many
prominent	promin	prominent
reporters	report	reporter
still	still	still
report	report	report
to	to	to
the	the	the
CIA	cia	CIA
.	.	.
A	a	A
4	4	4
-part	-part	-part
BBC	bbc	BBC
documentary	documentari	documentary
called	call	called
the	the	the
Century	centuri	Century
of	of	of
the	the	the
Self	self	Self
shows	show	show
that	that	that
an	an	an
American	american	American
Freud	freud	Freud
s	s	s
nephew	nephew	nephew
,	,	,
Edward	edward	Edward
Bernays	bernay	Bernays
created	creat	created
the	the	the
modern	modern	modern
field	field	field
of	of	of
manipulation	manipul	manipulation
of	of	of
public	public	public
perceptions	percept	perception
,	,	,
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
has	has	ha
extensively	extens	extensively
used	use	used
his	his	his
techniques	techniqu	technique
.	.	.
More	more	More
from	from	from
Washington	washington	Washington
s	s	s
Blog	blog	Blog
here	here	here
READ	read	READ
MORE	more	MORE
PROPAGANDA	propaganda	PROPAGANDA
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Propaganda	propaganda	Propaganda
FilesREAD	filesread	FilesREAD
MORE	more	MORE
PENTAGON	pentagon	PENTAGON
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Pentagon	pentagon	Pentagon
FilesSUPPORT	filessupport	FilesSUPPORT
21WIRE	21wire	21WIRE
by	by	by
subscribing	subscrib	subscribing
and	and	and
becoming	becom	becoming
a	a	a
MEMBER	member	MEMBER
21WIRE	21wire	21WIRE
.	.	.
TV	tv	TV
