One	one	One
It	it	It
s	s	s
not	not	not
good	good	good
,	,	,
conceded	conced	conceded
Daniel	daniel	Daniel
Baxter	baxter	Baxter
,	,	,
elections	elect	election
director	director	director
for	for	for
the	the	the
city	citi	city
of	of	of
Detroit	detroit	Detroit
.	.	.
He	he	He
blamed	blame	blamed
the	the	the
discrepancies	discrep	discrepancy
on	on	on
the	the	the
city	citi	city
s	s	s
decade	decad	decade
-old	-old	-old
voting	vote	voting
machines	machin	machine
,	,	,
saying	say	saying
87	87	87
optical	optic	optical
scanners	scanner	scanner
broke	broke	broke
on	on	on
Election	elect	Election
Day	day	Day
.	.	.
Many	mani	Many
jammed	jam	jammed
when	when	when
voters	voter	voter
fed	fed	fed
ballots	ballot	ballot
into	into	into
scanners	scanner	scanner
,	,	,
which	which	which
can	can	can
result	result	result
in	in	in
erroneous	erron	erroneous
vote	vote	vote
counts	count	count
if	if	if
ballots	ballot	ballot
are	are	are
inserted	insert	inserted
multiple	multipl	multiple
times	time	time
.	.	.
Poll	poll	Poll
workers	worker	worker
are	are	are
supposed	suppos	supposed
to	to	to
adjust	adjust	adjust
counters	counter	counter
to	to	to
reflect	reflect	reflect
a	a	a
single	singl	single
vote	vote	vote
but	but	but
in	in	in
many	mani	many
cases	case	case
failed	fail	failed
to	to	to
do	do	do
so	so	so
,	,	,
causing	caus	causing
the	the	the
discrepancies	discrep	discrepancy
,	,	,
Baxter	baxter	Baxter
said	said	said
.	.	.
Even	even	Even
so	so	so
,	,	,
Baxter	baxter	Baxter
said	said	said
it	it	it
s	s	s
unlikely	unlik	unlikely
all	all	all
392	392	392
of	of	of
the	the	the
city	citi	city
s	s	s
precincts	precinct	precinct
with	with	with
mismatched	mismatch	mismatched
numbers	number	number
will	will	will
be	be	be
disqualified	disqualifi	disqualified
from	from	from
a	a	a
recount	recount	recount
.	.	.
The	the	The
city	citi	city
is	is	is
in	in	in
contact	contact	contact
with	with	with
elections	elect	election
officials	offici	official
at	at	at
the	the	the
state	state	state
of	of	of
Michigan	michigan	Michigan
and	and	and
Baxter	baxter	Baxter
predicted	predict	predicted
the	the	the
numbers	number	number
will	will	will
match	match	match
when	when	when
the	the	the
ballot	ballot	ballot
boxes	box	box
are	are	are
re	re	re
-opened	-open	-opened
for	for	for
the	the	the
recount	recount	recount
,	,	,
which	which	which
starts	start	start
Tuesday	tuesday	Tuesday
in	in	in
Wayne	wayn	Wayne
County	counti	County
at	at	at
Cobo	cobo	Cobo
Center	center	Center
.	.	.
It	it	It
s	s	s
a	a	a
challenge	challeng	challenge
,	,	,
but	but	but
we	we	we
re	re	re
confident	confid	confident
the	the	the
ballots	ballot	ballot
will	will	will
match	match	match
,	,	,
Baxter	baxter	Baxter
said	said	said
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
100	100	100
percent	percent	percent
,	,	,
but	but	but
it	it	it
never	never	never
is	is	is
with	with	with
a	a	a
recount	recount	recount
.	.	.
County	counti	County
reports	report	report
obtained	obtain	obtained
by	by	by
The	the	The
Detroit	detroit	Detroit
News	news	News
,	,	,
though	though	though
,	,	,
indicate	indic	indicate
canvassers	canvass	canvasser
were	were	were
provided	provid	provided
no	no	no
explanation	explan	explanation
for	for	for
why	whi	why
the	the	the
numbers	number	number
didn	didn	didn
t	t	t
add	add	add
up	up	up
in	in	in
those	those	those
precincts	precinct	precinct
.	.	.
They	they	They
certified	certifi	certified
the	the	the
results	result	result
of	of	of
the	the	the
election	elect	election
anyway	anyway	anyway
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
Mark	mark	Mark
Goldsmith	goldsmith	Goldsmith
ordered	order	ordered
the	the	the
hand	hand	hand
recount	recount	recount
of	of	of
4	4	4
.	.	.
8	8	8
million	million	million
ballots	ballot	ballot
just	just	just
after	after	after
midnight	midnight	midnight
Monday	monday	Monday
,	,	,
granting	grant	granting
a	a	a
motion	motion	motion
in	in	in
favor	favor	favor
of	of	of
Green	green	Green
Party	parti	Party
presidential	presidenti	presidential
candidate	candid	candidate
Jill	jill	Jill
Stein	stein	Stein
.	.	.
It	it	It
began	began	began
Monday	monday	Monday
in	in	in
Oakland	oakland	Oakland
and	and	and
Ingham	ingham	Ingham
counties	counti	county
and	and	and
continues	continu	continues
at	at	at
9	9	9
a	a	a
.	.	.
m	m	m
.	.	.
Tuesday	tuesday	Tuesday
in	in	in
Kalamazoo	kalamazoo	Kalamazoo
,	,	,
Kent	kent	Kent
,	,	,
Macomb	macomb	Macomb
,	,	,
Ottawa	ottawa	Ottawa
,	,	,
Washtenaw	washtenaw	Washtenaw
and	and	and
Wayne	wayn	Wayne
counties	counti	county
.	.	.
The	the	The
recount	recount	recount
will	will	will
begin	begin	begin
throughout	throughout	throughout
the	the	the
rest	rest	rest
of	of	of
Michigan	michigan	Michigan
s	s	s
83	83	83
counties	counti	county
in	in	in
phases	phase	phase
this	this	this
week	week	week
.	.	.
Republican	republican	Republican
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
won	won	won
Michigan	michigan	Michigan
by	by	by
a	a	a
razor	razor	razor
-thin	-thin	-thin
margin	margin	margin
,	,	,
10	10	10
,	,	,
704	704	704
votes	vote	vote
.	.	.
Presumably	presum	Presumably
,	,	,
Clinton	clinton	Clinton
s	s	s
best	best	best
opportunity	opportun	opportunity
to	to	to
eliminate	elimin	eliminate
that	that	that
margin	margin	margin
rested	rest	rested
in	in	in
finding	find	finding
uncounted	uncount	uncounted
ballots	ballot	ballot
in	in	in
Wayne	wayn	Wayne
County	counti	County
,	,	,
which	which	which
she	she	she
carried	carri	carried
by	by	by
a	a	a
2	2	2
-1	-1	-1
ratio	ratio	ratio
.	.	.
Besides	besid	Besides
Wayne	wayn	Wayne
,	,	,
Clinton	clinton	Clinton
carried	carri	carried
Oakland	oakland	Oakland
,	,	,
Washtenaw	washtenaw	Washtenaw
,	,	,
Genesee	genese	Genesee
,	,	,
Ingham	ingham	Ingham
,	,	,
Kalamazoo	kalamazoo	Kalamazoo
,	,	,
Marquette	marquett	Marquette
and	and	and
Muskegon	muskegon	Muskegon
counties	counti	county
.	.	.
None	none	None
had	had	had
nearly	near	nearly
as	as	a
many	mani	many
problems	problem	problem
as	as	a
Wayne	wayn	Wayne
.	.	.
But	but	But
at	at	at
least	least	least
13	13	13
of	of	of
222	222	222
precincts	precinct	precinct
in	in	in
Genesee	genese	Genesee
County	counti	County
are	are	are
not	not	not
balanced	balanc	balanced
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
those	those	those
were	were	were
in	in	in
heavily	heavili	heavily
Democratic	democrat	Democratic
Flint	flint	Flint
,	,	,
according	accord	according
to	to	to
county	counti	county
canvassing	canvass	canvassing
reports	report	report
.	.	.
The	the	The
election	elect	election
was	was	wa
still	still	still
certified	certifi	certified
by	by	by
its	it	it
board	board	board
of	of	of
canvassers	canvass	canvasser
.	.	.
The	the	The
trouble	troubl	trouble
is	is	is
there	there	there
s	s	s
too	too	too
much	much	much
leniency	lenienc	leniency
with	with	with
the	the	the
board	board	board
of	of	of
canvassers	canvass	canvasser
,	,	,
said	said	said
John	john	John
Gleason	gleason	Gleason
,	,	,
Genesee	genese	Genesee
County	counti	County
s	s	s
clerk	clerk	clerk
.	.	.
They	they	They
re	re	re
not	not	not
as	as	a
stringent	stringent	stringent
as	as	a
need	need	need
to	to	to
be	be	be
because	becaus	because
they	they	they
think	think	think
it	it	it
won	won	won
t	t	t
affect	affect	affect
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
election	elect	election
.	.	.
Gleason	gleason	Gleason
,	,	,
who	who	who
estimated	estim	estimated
the	the	the
recount	recount	recount
will	will	will
cost	cost	cost
the	the	the
cash	cash	cash
-strapped	-strap	-strapped
county	counti	county
100	100	100
,	,	,
000	000	000
,	,	,
said	said	said
he	he	he
expects	expect	expects
the	the	the
numbers	number	number
to	to	to
reconcile	reconcil	reconcile
when	when	when
workers	worker	worker
begin	begin	begin
the	the	the
county	counti	county
recount	recount	recount
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
It	it	It
s	s	s
impossible	imposs	impossible
to	to	to
tell	tell	tell
at	at	at
this	this	this
point	point	point
how	how	how
many	mani	many
will	will	will
and	and	and
how	how	how
many	mani	many
won	won	won
t	t	t
be	be	be
re	re	re
-countable	-countabl	-countable
,	,	,
added	ad	added
Joseph	joseph	Joseph
Rozell	rozel	Rozell
,	,	,
elections	elect	election
director	director	director
for	for	for
Oakland	oakland	Oakland
County	counti	County
.	.	.
In	in	In
the	the	the
first	first	first
six	six	six
hours	hour	hour
of	of	of
Ingham	ingham	Ingham
County	counti	County
s	s	s
recount	recount	recount
Monday	monday	Monday
,	,	,
six	six	six
of	of	of
30	30	30
precincts	precinct	precinct
from	from	from
Lansing	lans	Lansing
could	could	could
not	not	not
be	be	be
recounted	recount	recounted
.	.	.
One	one	One
of	of	of
the	the	the
ballot	ballot	ballot
containers	contain	container
had	had	had
a	a	a
hole	hole	hole
in	in	in
it	it	it
,	,	,
making	make	making
it	it	it
susceptible	suscept	susceptible
to	to	to
tampering	tamper	tampering
and	and	and
not	not	not
recountable	recount	recountable
,	,	,
county	counti	county
Clerk	clerk	Clerk
Barb	barb	Barb
Byrum	byrum	Byrum
said	said	said
.	.	.
Two	two	Two
tries	tri	try
to	to	to
match	match	match
numbersState	numbersst	numbersState
law	law	law
spells	spell	spell
out	out	out
a	a	a
prescribed	prescrib	prescribed
criteria	criteria	criterion
for	for	for
determining	determin	determining
whether	whether	whether
a	a	a
precinct	precinct	precinct
can	can	can
be	be	be
recounted	recount	recounted
.	.	.
Workers	worker	Workers
first	first	first
check	check	check
to	to	to
make	make	make
sure	sure	sure
the	the	the
number	number	number
of	of	of
ballots	ballot	ballot
on	on	on
the	the	the
seal	seal	seal
of	of	of
the	the	the
container	contain	container
matches	match	match
the	the	the
ballots	ballot	ballot
recorded	record	recorded
by	by	by
workers	worker	worker
on	on	on
Election	elect	Election
Day	day	Day
.	.	.
If	if	If
the	the	the
seal	seal	seal
number	number	number
matches	match	match
,	,	,
then	then	then
we	we	we
know	know	know
it	it	it
s	s	s
not	not	not
been	been	been
tampered	tamper	tampered
with	with	with
,	,	,
Rozell	rozel	Rozell
said	said	said
.	.	.
If	if	If
numbers	number	number
don	don	don
t	t	t
match	match	match
,	,	,
then	then	then
workers	worker	worker
can	can	can
count	count	count
all	all	all
of	of	of
the	the	the
ballots	ballot	ballot
in	in	in
the	the	the
precinct	precinct	precinct
twice	twice	twice
to	to	to
see	see	see
if	if	if
there	there	there
was	was	wa
an	an	an
error	error	error
made	made	made
by	by	by
workers	worker	worker
on	on	on
Election	elect	Election
Night	night	Night
.	.	.
If	if	If
it	it	it
does	doe	doe
not	not	not
match	match	match
after	after	after
the	the	the
second	second	second
count	count	count
,	,	,
then	then	then
it	it	it
s	s	s
not	not	not
recountable	recount	recountable
,	,	,
Rozell	rozel	Rozell
said	said	said
.	.	.
Entire	entir	Entire
precincts	precinct	precinct
can	can	can
be	be	be
set	set	set
aside	asid	aside
in	in	in
a	a	a
recount	recount	recount
if	if	if
the	the	the
ballots	ballot	ballot
are	are	are
stored	store	stored
in	in	in
an	an	an
unapproved	unapprov	unapproved
container	contain	container
or	or	or
if	if	if
it	it	it
isn	isn	isn
t	t	t
properly	proper	properly
sealed	seal	sealed
.	.	.
At	at	At
Ingham	ingham	Ingham
County	counti	County
s	s	s
recount	recount	recount
operation	oper	operation
Monday	monday	Monday
at	at	at
the	the	the
county	counti	county
s	s	s
fairgrounds	fairground	fairground
in	in	in
Mason	mason	Mason
,	,	,
ballots	ballot	ballot
were	were	were
stored	store	stored
in	in	in
suitcase	suitcas	suitcase
-like	-like	-like
containers	contain	container
that	that	that
were	were	were
sealed	seal	sealed
with	with	with
plastic	plastic	plastic
zip	zip	zip
-ties	-ti	-ties
that	that	that
had	had	had
to	to	to
be	be	be
cut	cut	cut
for	for	for
workers	worker	worker
to	to	to
take	take	take
out	out	out
the	the	the
ballots	ballot	ballot
.	.	.
Byrum	byrum	Byrum
plans	plan	plan
to	to	to
have	have	have
the	the	the
ballot	ballot	ballot
bags	bag	bag
guarded	guard	guarded
each	each	each
night	night	night
during	dure	during
the	the	the
recount	recount	recount
by	by	by
a	a	a
sheriff	sheriff	sheriff
s	s	s
deputy	deputi	deputy
.	.	.
Detroit	detroit	Detroit
News	news	News
