More	more	More
portion	portion	portion
of	of	of
the	the	the
working	work	working
class	class	class
,	,	,
and	and	and
with	with	with
him	him	him
,	,	,
his	his	his
female	femal	female
counterparts	counterpart	counterpart
have	have	have
basically	basic	basically
thrown	thrown	thrown
in	in	in
the	the	the
towel	towel	towel
.	.	.
Given	given	Given
up	up	up
hope	hope	hope
of	of	of
any	ani	any
politician	politician	politician
again	again	again
standing	stand	standing
up	up	up
for	for	for
their	their	their
interests	interest	interest
.	.	.
Suhayda	suhayda	Suhayda
then	then	then
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
it	it	it
is	is	is
time	time	time
for	for	for
an	an	an
American	american	American
Nazi	nazi	Nazi
political	polit	political
caucus	caucus	caucus
to	to	to
form	form	form
in	in	in
Congress	congress	Congress
.	.	.
He	he	He
also	also	also
urges	urg	urge
his	his	his
followers	follow	follower
to	to	to
adopt	adopt	adopt
the	the	the
guise	guis	guise
of	of	of
being	be	being
pro	pro	pro
-white	-white	-white
rather	rather	rather
than	than	than
overtly	overt	overtly
racist	racist	racist
against	against	against
minorities	minor	minority
.	.	.
Now	now	Now
,	,	,
if	if	if
Trump	trump	Trump
does	doe	doe
win	win	win
,	,	,
okay	okay	okay
,	,	,
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
real	real	real
opportunity	opportun	opportunity
for	for	for
people	peopl	people
like	like	like
white	white	white
nationalists	nationalist	nationalist
,	,	,
acting	act	acting
intelligently	intellig	intelligently
to	to	to
build	build	build
upon	upon	upon
that	that	that
,	,	,
and	and	and
to	to	to
go	go	go
and	and	and
start	start	start
you	you	you
know	know	know
how	how	how
you	you	you
have	have	have
the	the	the
black	black	black
political	polit	political
caucus	caucus	caucus
and	and	and
what	what	what
not	not	not
in	in	in
Congress	congress	Congress
,	,	,
and	and	and
,	,	,
everything	everyth	everything
,	,	,
to	to	to
start	start	start
building	build	building
on	on	on
something	someth	something
like	like	like
that	that	that
,	,	,
okay	okay	okay
.	.	.
It	it	It
doesn	doesn	doesn
t	t	t
have	have	have
to	to	to
be	be	be
anti	anti	anti
,	,	,
like	like	like
the	the	the
movement	movement	movement
s	s	s
been	been	been
for	for	for
decades	decad	decade
,	,	,
so	so	so
much	much	much
as	as	a
it	it	it
has	has	ha
to	to	to
be	be	be
pro	pro	pro
-white	-white	-white
.	.	.
It	it	It
s	s	s
kinda	kinda	kinda
hard	hard	hard
to	to	to
go	go	go
and	and	and
call	call	call
us	us	u
bigots	bigot	bigot
if	if	if
we	we	we
don	don	don
t	t	t
go	go	go
around	around	around
and	and	and
act	act	act
like	like	like
a	a	a
bigot	bigot	bigot
.	.	.
That	that	That
s	s	s
what	what	what
the	the	the
movement	movement	movement
should	should	should
contemplate	contempl	contemplate
.	.	.
Alright	alright	Alright
.	.	.
Trump	trump	Trump
has	has	ha
received	receiv	received
support	support	support
from	from	from
the	the	the
worst	worst	worst
-of-the-worst	-of-the-worst	-of-the-worst
within	within	within
the	the	the
white	white	white
nationalist	nationalist	nationalist
and	and	and
white	white	white
supremacist	supremacist	supremacist
movements	movement	movement
.	.	.
It	it	It
s	s	s
ridiculous	ridicul	ridiculous
to	to	to
think	think	think
that	that	that
Trump	trump	Trump
might	might	might
actually	actual	actually
win	win	win
the	the	the
presidency	presid	presidency
this	this	this
November	novemb	November
.	.	.
Poll	poll	Poll
after	after	after
poll	poll	poll
shows	show	show
Democratic	democrat	Democratic
challenger	challeng	challenger
Hillary	hillari	Hillary
Clinton	clinton	Clinton
winning	win	winning
the	the	the
election	elect	election
.	.	.
That	that	That
being	be	being
said	said	said
,	,	,
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
itself	itself	itself
is	is	is
being	be	being
used	use	used
as	as	a
a	a	a
conversation	convers	conversation
starter	starter	starter
for	for	for
the	the	the
KKK	kkk	KKK
to	to	to
recruit	recruit	recruit
new	new	new
members	member	member
,	,	,
according	accord	according
to	to	to
the	the	the
Washington	washington	Washington
Post	post	Post
.	.	.
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
is	is	is
dangerous	danger	dangerous
for	for	for
the	the	the
United	unit	United
States	state	States
.	.	.
Republicans	republican	Republicans
who	who	who
support	support	support
him	him	him
are	are	are
supporting	support	supporting
white	white	white
supremacist	supremacist	supremacist
movements	movement	movement
.	.	.
Well	well	Well
,	,	,
more	more	more
so	so	so
than	than	than
they	they	they
already	alreadi	already
tacitly	tacit	tacitly
do	do	do
through	through	through
racist	racist	racist
policy	polici	policy
decisions	decis	decision
.	.	.
November	novemb	November
is	is	is
fast	fast	fast
approaching	approach	approaching
and	and	and
it	it	it
is	is	is
time	time	time
for	for	for
Republicans	republican	Republicans
across	across	across
the	the	the
United	unit	United
States	state	States
to	to	to
dump	dump	dump
Trump	trump	Trump
and	and	and
the	the	the
fascist	fascist	fascist
factions	faction	faction
of	of	of
the	the	the
far	far	far
right	right	right
that	that	that
support	support	support
him	him	him
.	.	.
You	you	You
can	can	can
listen	listen	listen
to	to	to
the	the	the
radio	radio	radio
broadcast	broadcast	broadcast
below	below	below
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Scott	scott	Scott
Eisen	eisen	Eisen
Getty	getti	Getty
Images	imag	Images
