Yesterday	yesterday	Yesterday
Trump	trump	Trump
entirely	entir	entirely
,	,	,
because	becaus	because
these	these	these
allegations	alleg	allegation
are	are	are
the	the	the
tip	tip	tip
of	of	of
the	the	the
iceberg	iceberg	iceberg
.	.	.
He	he	He
knows	know	know
that	that	that
.	.	.
But	but	But
,	,	,
if	if	if
nothing	noth	nothing
else	els	else
,	,	,
the	the	the
discovery	discoveri	discovery
phase	phase	phase
of	of	of
this	this	this
would	would	would
be	be	be
interesting	interest	interesting
.	.	.
You	you	You
can	can	can
read	read	read
the	the	the
letter	letter	letter
in	in	in
full	full	full
here	here	here
BREAKING	break	BREAKING
Trump	trump	Trump
demands	demand	demand
retraction	retract	retraction
from	from	from
@nytimes	@nytim	@nytimes
,	,	,
threatens	threaten	threatens
lawsuit	lawsuit	lawsuit
.	.	.
https://t.co/GBwomM7tgA	https://t.co/gbwomm7tga	https://t.co/GBwomM7tgA
pic.twitter.com/Htm9uaEsne	pic.twitter.com/htm9uaesn	pic.twitter.com/Htm9uaEsne
Christina	christina	Christina
Wilkie	wilki	Wilkie
@christinawilkie	@christinawilki	@christinawilkie
October	octob	October
13	13	13
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
Scott	scott	Scott
Olson	olson	Olson
Getty	getti	Getty
Images	imag	Images
