Oh	oh	Oh
-class	-class	-class
!	!	!
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Shinzo	shinzo	Shinzo
Abe	abe	Abe
@realShinzoAbe	@realshinzoab	@realShinzoAbe
November	novemb	November
19	19	19
,	,	,
2017HERE	2017here	2017HERE
S	s	S
OUR	our	OUR
PREVIOUS	previous	PREVIOUS
REPORT	report	REPORT
ON	on	ON
WHAT	what	WHAT
THE	the	THE
DAD	dad	DAD
SAID	said	SAID
Send	send	Send
this	this	this
kid	kid	kid
back	back	back
to	to	to
China	china	China
!	!	!
The	the	The
ungrateful	ungrat	ungrateful
attitude	attitud	attitude
of	of	of
the	the	the
father	father	father
of	of	of
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
is	is	is
so	so	so
classless	classless	classless
.	.	.
What	what	What
s	s	s
even	even	even
worse	wors	worse
the	the	the
dad	dad	dad
makes	make	make
excuses	excus	excuse
and	and	and
even	even	even
dismisses	dismiss	dismisses
the	the	the
son	son	son
s	s	s
crime	crime	crime
as	as	a
no	no	no
big	big	big
deal	deal	deal
They	they	They
try	tri	try
to	to	to
make	make	make
a	a	a
big	big	big
deal	deal	deal
out	out	out
of	of	of
nothing	noth	nothing
sometimes	sometim	sometimes
.	.	.
I	i	I
m	m	m
from	from	from
L	l	L
.	.	.
A	a	A
.	.	.
I	i	I
ve	ve	ve
seen	seen	seen
a	a	a
lot	lot	lot
worse	wors	worse
things	thing	thing
happen	happen	happen
than	than	than
a	a	a
guy	guy	guy
taking	take	taking
some	some	some
glasses	glass	glass
.	.	.
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
father	father	father
of	of	of
UCLA	ucla	UCLA
player	player	player
with	with	with
sticky	sticki	sticky
fingers	finger	finger
And	and	And
we	we	we
wonder	wonder	wonder
why	whi	why
we	we	we
have	have	have
little	littl	little
thugs	thug	thug
who	who	who
aren	aren	aren
t	t	t
remorseful	remors	remorseful
for	for	for
their	their	their
crimes	crime	crime
?	?	?
The	the	The
sense	sens	sense
of	of	of
entitlement	entitl	entitlement
stinks	stink	stink
to	to	to
high	high	high
heaven	heaven	heaven
!	!	!
Bad	bad	Bad
parenting	parent	parenting
LaVar	lavar	LaVar
Ball	ball	Ball
!	!	!
WHO	who	WHO
?	?	?
Days	day	Days
after	after	after
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
touted	tout	touted
his	his	his
role	role	role
in	in	in
the	the	the
release	releas	release
of	of	of
three	three	three
UCLA	ucla	UCLA
basketball	basketbal	basketball
students	student	student
who	who	who
were	were	were
arrested	arrest	arrested
in	in	in
China	china	China
,	,	,
LaVar	lavar	LaVar
Ball	ball	Ball
,	,	,
the	the	the
father	father	father
of	of	of
one	one	one
of	of	of
those	those	those
players	player	player
,	,	,
suggested	suggest	suggested
the	the	the
President	presid	President
had	had	had
little	littl	little
to	to	to
do	do	do
with	with	with
the	the	the
matter	matter	matter
.	.	.
Who	who	Who
?	?	?
Ball	ball	Ball
told	told	told
ESPN	espn	ESPN
when	when	when
asked	ask	asked
about	about	about
Trump	trump	Trump
s	s	s
involvement	involv	involvement
in	in	in
the	the	the
situation	situat	situation
.	.	.
What	what	What
was	was	wa
he	he	he
over	over	over
there	there	there
for	for	for
?	?	?
Don	don	Don
t	t	t
tell	tell	tell
me	me	me
nothing	noth	nothing
.	.	.
Everybody	everybodi	Everybody
wants	want	want
to	to	to
make	make	make
it	it	it
seem	seem	seem
like	like	like
he	he	he
helped	help	helped
me	me	me
out	out	out
.	.	.
Trump	trump	Trump
s	s	s
social	social	social
media	media	medium
director	director	director
,	,	,
Dan	dan	Dan
Scavino	scavino	Scavino
,	,	,
fired	fire	fired
back	back	back
at	at	at
Ball	ball	Ball
on	on	on
his	his	his
personal	person	personal
Twitter	twitter	Twitter
account	account	account
Saturday	saturday	Saturday
afternoon	afternoon	afternoon
,	,	,
saying	say	saying
Ball	ball	Ball
s	s	s
son	son	son
,	,	,
LiAngelo	liangelo	LiAngelo
,	,	,
would	would	would
be	be	be
in	in	in
China	china	China
for	for	for
a	a	a
long	long	long
,	,	,
long	long	long
,	,	,
long	long	long
time	time	time
without	without	without
the	the	the
President	presid	President
s	s	s
assistance	assist	assistance
.	.	.
Wannabe	wannab	Wannabe
@Lakers	@laker	@Lakers
coach	coach	coach
,	,	,
BIG	big	BIG
MOUTH	mouth	MOUTH
@Lavarbigballer	@lavarbigbal	@Lavarbigballer
knows	know	know
if	if	if
it	it	it
weren	weren	weren
t	t	t
for	for	for
President	presid	President
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
,	,	,
his	his	his
son	son	son
would	would	would
be	be	be
in	in	in
China	china	China
for	for	for
a	a	a
long	long	long
,	,	,
long	long	long
,	,	,
long	long	long
time	time	time
!	!	!
#FACT,	#fact,	#FACT,
Scavino	scavino	Scavino
wrote	wrote	wrote
.	.	.
LiAngelo	liangelo	LiAngelo
Ball	ball	Ball
,	,	,
along	along	along
with	with	with
two	two	two
other	other	other
players	player	player
,	,	,
Cody	codi	Cody
Riley	riley	Riley
and	and	and
Jalen	jalen	Jalen
Hill	hill	Hill
,	,	,
were	were	were
arrested	arrest	arrested
last	last	last
week	week	week
on	on	on
suspicion	suspicion	suspicion
of	of	of
stealing	steal	stealing
sunglasses	sunglass	sunglass
from	from	from
a	a	a
Louis	loui	Louis
Vuitton	vuitton	Vuitton
store	store	store
while	while	while
their	their	their
team	team	team
was	was	wa
in	in	in
the	the	the
Chinese	chines	Chinese
city	citi	city
of	of	of
Hangzhou	hangzhou	Hangzhou
.	.	.
Trump	trump	Trump
had	had	had
said	said	said
he	he	he
personally	person	personally
asked	ask	asked
Chinese	chines	Chinese
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
to	to	to
intervene	interven	intervene
in	in	in
the	the	the
case	case	case
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Trump	trump	Trump
issued	issu	issued
a	a	a
call	call	call
for	for	for
gratitude	gratitud	gratitude
from	from	from
the	the	the
players	player	player
on	on	on
twitter	twitter	twitter
.	.	.
He	he	He
did	did	did
get	get	get
a	a	a
thanks	thank	thanks
for	for	for
their	their	their
release	releas	release
after	after	after
his	his	his
tweet	tweet	tweet
.	.	.
STICKY	sticki	STICKY
FINGERS	finger	FINGERS
NO	no	NO
BIG	big	BIG
DEAL	deal	DEAL
?	?	?
Athletic	athlet	Athletic
Director	director	Director
Dan	dan	Dan
Guerrero	guerrero	Guerrero
confirmed	confirm	confirmed
the	the	the
trio	trio	trio
shoplifted	shoplift	shoplifted
from	from	from
three	three	three
stores	store	store
near	near	near
their	their	their
hotel	hotel	hotel
Monday	monday	Monday
night	night	night
.	.	.
The	the	The
three	three	three
were	were	were
identified	identifi	identified
the	the	the
next	next	next
morning	morn	morning
after	after	after
police	polic	police
searched	search	searched
their	their	their
bags	bag	bag
and	and	and
found	found	found
the	the	the
stolen	stolen	stolen
items	item	item
.	.	.
LaVar	lavar	LaVar
Ball	ball	Ball
told	told	told
ESPN	espn	ESPN
he	he	he
was	was	wa
happy	happi	happy
to	to	to
have	have	have
his	his	his
son	son	son
back	back	back
,	,	,
and	and	and
also	also	also
seemed	seem	seemed
to	to	to
downplay	downplay	downplay
his	his	his
alleged	alleg	alleged
crime	crime	crime
.	.	.
As	as	As
long	long	long
as	as	a
my	my	my
boy	boy	boy
s	s	s
back	back	back
here	here	here
,	,	,
I	i	I
m	m	m
fine	fine	fine
,	,	,
he	he	he
said	said	said
.	.	.
I	i	I
m	m	m
happy	happi	happy
with	with	with
how	how	how
things	thing	thing
were	were	were
handled	handl	handled
.	.	.
A	a	A
lot	lot	lot
of	of	of
people	peopl	people
like	like	like
to	to	to
say	say	say
a	a	a
lot	lot	lot
of	of	of
things	thing	thing
that	that	that
they	they	they
thought	thought	thought
happened	happen	happened
over	over	over
there	there	there
.	.	.
Like	like	Like
I	i	I
told	told	told
him	him	him
,	,	,
They	they	They
try	tri	try
to	to	to
make	make	make
a	a	a
big	big	big
deal	deal	deal
out	out	out
of	of	of
nothing	noth	nothing
sometimes	sometim	sometimes
.	.	.
I	i	I
m	m	m
from	from	from
L	l	L
.	.	.
A	a	A
.	.	.
I	i	I
ve	ve	ve
seen	seen	seen
a	a	a
lot	lot	lot
worse	wors	worse
things	thing	thing
happen	happen	happen
than	than	than
a	a	a
guy	guy	guy
taking	take	taking
some	some	some
glasses	glass	glass
.	.	.
All	all	All
three	three	three
players	player	player
have	have	have
been	been	been
suspended	suspend	suspended
from	from	from
the	the	the
UCLA	ucla	UCLA
basketball	basketbal	basketball
team	team	team
indefinitely	indefinit	indefinitely
.	.	.
