Thirteen	thirteen	Thirteen
in	in	in
Syria	syria	Syria
and	and	and
seemed	seem	seemed
to	to	to
endorse	endors	endorse
a	a	a
stronger	stronger	stronger
Bashar	bashar	Bashar
Assad	assad	Assad
,	,	,
even	even	even
while	while	while
admitting	admit	admitting
that	that	that
he	he	he
is	is	is
probably	probabl	probably
a	a	a
bad	bad	bad
guy	guy	guy
.	.	.
You	you	You
can	can	can
make	make	make
the	the	the
case	case	case
,	,	,
if	if	if
you	you	you
look	look	look
at	at	at
Libya	libya	Libya
,	,	,
look	look	look
at	at	at
what	what	what
we	we	we
did	did	did
there	there	there
it	it	it
s	s	s
a	a	a
mess	mess	mess
if	if	if
you	you	you
look	look	look
at	at	at
Saddam	saddam	Saddam
Hussein	hussein	Hussein
with	with	with
Iraq	iraq	Iraq
,	,	,
look	look	look
what	what	what
we	we	we
did	did	did
there	there	there
it	it	it
s	s	s
a	a	a
mess	mess	mess
it	it	it
s	s	s
Syria	syria	Syria
going	go	going
to	to	to
be	be	be
same	same	same
thing	thing	thing
,	,	,
the	the	the
real	real	real
estate	estat	estate
mogul	mogul	mogul
said	said	said
.	.	.
Source	sourc	Source
MSNBCTrump	msnbctrump	MSNBCTrump
isn	isn	isn
t	t	t
alone	alon	alone
in	in	in
having	have	having
that	that	that
belief	belief	belief
.	.	.
Many	mani	Many
Democrats	democrat	Democrats
,	,	,
including	includ	including
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
share	share	share
his	his	his
opinion	opinion	opinion
.	.	.
Yes	yes	Yes
,	,	,
things	thing	thing
were	were	were
more	more	more
stable	stabl	stable
during	dure	during
Hussein	hussein	Hussein
s	s	s
regime	regim	regime
,	,	,
but	but	but
Think	think	Think
Progress	progress	Progress
makes	make	make
the	the	the
point	point	point
that	that	that
the	the	the
Arab	arab	Arab
Spring	spring	Spring
,	,	,
which	which	which
caused	caus	caused
the	the	the
ousting	oust	ousting
and	and	and
death	death	death
of	of	of
Muammar	muammar	Muammar
Qaddafi	qaddafi	Qaddafi
,	,	,
would	would	would
have	have	have
still	still	still
happened	happen	happened
,	,	,
and	and	and
it	it	it
would	would	would
have	have	have
affected	affect	affected
Iraq	iraq	Iraq
.	.	.
The	the	The
current	current	current
state	state	state
of	of	of
countries	countri	country
like	like	like
Iraq	iraq	Iraq
,	,	,
Syria	syria	Syria
,	,	,
and	and	and
Libya	libya	Libya
has	has	ha
been	been	been
influenced	influenc	influenced
by	by	by
foreign	foreign	foreign
involvement	involv	involvement
and	and	and
regime	regim	regime
change	chang	change
,	,	,
there	there	there
is	is	is
no	no	no
denying	deni	denying
that	that	that
.	.	.
But	but	But
even	even	even
more	more	more
constructive	construct	constructive
in	in	in
the	the	the
current	current	current
chaos	chao	chaos
is	is	is
a	a	a
surviving	surviv	surviving
legacy	legaci	legacy
of	of	of
political	polit	political
repression	repress	repression
and	and	and
brutal	brutal	brutal
torture	tortur	torture
.	.	.
Sanders	sander	Sanders
,	,	,
Cruz	cruz	Cruz
,	,	,
Paul	paul	Paul
and	and	and
the	the	the
like	like	like
may	may	may
be	be	be
using	use	using
the	the	the
premise	premis	premise
of	of	of
stability	stabil	stability
to	to	to
argue	argu	argue
that	that	that
the	the	the
Middle	middl	Middle
East	east	East
would	would	would
be	be	be
better	better	better
off	off	off
under	under	under
such	such	such
dictators	dictat	dictator
.	.	.
Yet	yet	Yet
under	under	under
such	such	such
despots	despot	despot
,	,	,
security	secur	security
is	is	is
fleeting	fleet	fleeting
and	and	and
chaos	chao	chaos
follows	follow	follows
closely	close	closely
.	.	.
Again	again	Again
,	,	,
there	there	there
s	s	s
no	no	no
legitimate	legitim	legitimate
defense	defens	defense
of	of	of
the	the	the
Iraq	iraq	Iraq
War	war	War
,	,	,
and	and	and
perhaps	perhap	perhaps
the	the	the
region	region	region
would	would	would
have	have	have
less	less	le
terrorism	terror	terrorism
now	now	now
if	if	if
we	we	we
hadn	hadn	hadn
t	t	t
overthrown	overthrown	overthrown
him	him	him
although	although	although
much	much	much
of	of	of
the	the	the
terrorism	terror	terrorism
is	is	is
related	relat	related
to	to	to
our	our	our
occupation	occup	occupation
,	,	,
and	and	and
not	not	not
to	to	to
the	the	the
overthrow	overthrow	overthrow
of	of	of
the	the	the
government	govern	government
.	.	.
This	this	This
can	can	can
all	all	all
be	be	be
debated	debat	debated
,	,	,
and	and	and
will	will	will
be	be	be
debated	debat	debated
,	,	,
for	for	for
possibly	possibl	possibly
decades	decad	decade
.	.	.
However	howev	However
,	,	,
the	the	the
most	most	most
frightening	frighten	frightening
aspect	aspect	aspect
of	of	of
Trump	trump	Trump
s	s	s
comments	comment	comment
is	is	is
his	his	his
obsession	obsess	obsession
with	with	with
dictators	dictat	dictator
.	.	.
Not	not	Not
only	onli	only
has	has	ha
he	he	he
praised	prais	praised
Hussein	hussein	Hussein
and	and	and
Qaddafi	qaddafi	Qaddafi
,	,	,
he	he	he
s	s	s
also	also	also
praised	prais	praised
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
.	.	.
That	that	That
s	s	s
a	a	a
frightening	frighten	frightening
hint	hint	hint
at	at	at
how	how	how
he	he	he
plans	plan	plan
to	to	to
run	run	run
the	the	the
nation	nation	nation
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Sara	sara	Sara
D	d	D
.	.	.
Davis	davi	Davis
at	at	at
Getty	getti	Getty
Images	imag	Images
.	.	.
