Former	former	Former
.	.	.
Watch	watch	Watch
MOMENTS	moment	MOMENTS
AGO	ago	AGO
Pres	pres	Pres
.	.	.
Trump	trump	Trump
at	at	at
White	white	White
House	hous	House
event	event	event
honoring	honor	honoring
Navajo	navajo	Navajo
code	code	code
talkers	talker	talker
,	,	,
makes	make	make
joke	joke	joke
about	about	about
Pocahontas	pocahonta	Pocahontas
Sen	sen	Sen
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
.	.	.
pic.twitter.com/PgdhbxBrfT	pic.twitter.com/pgdhbxbrft	pic.twitter.com/PgdhbxBrfT
World	world	World
News	news	News
Tonight	tonight	Tonight
@ABCWorldNews	@abcworldnew	@ABCWorldNews
November	novemb	November
27	27	27
,	,	,
2017We	2017we	2017We
re	re	re
not	not	not
sure	sure	sure
how	how	how
he	he	he
worked	work	worked
Sen	sen	Sen
.	.	.
Warren	warren	Warren
s	s	s
name	name	name
into	into	into
the	the	the
conversation	convers	conversation
but	but	but
he	he	he
did	did	did
.	.	.
We	we	We
re	re	re
also	also	also
not	not	not
sure	sure	sure
why	whi	why
he	he	he
threw	threw	threw
in	in	in
the	the	the
Pocahontas	pocahonta	Pocahontas
slur	slur	slur
,	,	,
but	but	but
the	the	the
did	did	did
that	that	that
,	,	,
too	too	too
.	.	.
Trump	trump	Trump
wasn	wasn	wasn
t	t	t
talking	talk	talking
to	to	to
his	his	his
supporters	support	supporter
at	at	at
one	one	one
of	of	of
his	his	his
rallies	ralli	rally
where	where	where
he	he	he
can	can	can
get	get	get
away	away	away
with	with	with
that	that	that
sh	sh	sh
-t	-t	-t
.	.	.
He	he	He
said	said	said
it	it	it
to	to	to
Native	nativ	Native
Americans	american	Americans
while	while	while
embarrassing	embarrass	embarrassing
our	our	our
country	countri	country
again	again	again
.	.	.
When	when	When
Trump	trump	Trump
said	said	said
they	they	they
call	call	call
Sen	sen	Sen
.	.	.
Warren	warren	Warren
Pocahontas	pocahonta	Pocahontas
,	,	,
he	he	he
means	mean	mean
he	he	he
calls	call	call
her	her	her
Pocahontas	pocahonta	Pocahontas
.	.	.
Trump	trump	Trump
picked	pick	picked
up	up	up
this	this	this
attack	attack	attack
on	on	on
Warren	warren	Warren
from	from	from
an	an	an
earlier	earlier	earlier
one	one	one
after	after	after
she	she	she
claimed	claim	claimed
that	that	that
,	,	,
according	accord	according
to	to	to
family	famili	family
stories	stori	story
,	,	,
she	she	she
had	had	had
Native	nativ	Native
American	american	American
heritage	heritag	heritage
.	.	.
He	he	He
started	start	started
using	use	using
that	that	that
slur	slur	slur
when	when	when
Warren	warren	Warren
campaigned	campaign	campaigned
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
he	he	he
hasn	hasn	hasn
t	t	t
stopped	stop	stopped
since	sinc	since
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.
