Don	don	Don
tried	tri	tried
to	to	to
defend	defend	defend
herself	herself	herself
by	by	by
trashing	trash	trashing
black	black	black
people	peopl	people
,	,	,
the	the	the
crowd	crowd	crowd
repeatedly	repeat	repeatedly
gasped	gasp	gasped
in	in	in
shock	shock	shock
,	,	,
including	includ	including
when	when	when
Lahren	lahren	Lahren
said	said	said
she	she	she
doesn	doesn	doesn
t	t	t
see	see	see
color	color	color
.	.	.
But	but	But
she	she	she
also	also	also
claimed	claim	claimed
that	that	that
a	a	a
black	black	black
man	man	man
is	is	is
18	18	18
.	.	.
5	5	5
times	time	time
more	more	more
likely	like	likely
to	to	to
shoot	shoot	shoot
a	a	a
police	polic	police
officer	offic	officer
than	than	than
a	a	a
police	polic	police
officer	offic	officer
is	is	is
to	to	to
shoot	shoot	shoot
a	a	a
black	black	black
man	man	man
.	.	.
However	howev	However
,	,	,
it	it	it
should	should	should
be	be	be
pointed	point	pointed
out	out	out
that	that	that
white	white	white
people	peopl	people
kill	kill	kill
more	more	more
police	polic	police
officers	offic	officer
than	than	than
black	black	black
people	peopl	people
do	do	do
.	.	.
Anyway	anyway	Anyway
,	,	,
Noah	noah	Noah
quipped	quip	quipped
that	that	that
Lahren	lahren	Lahren
must	must	must
have	have	have
trouble	troubl	trouble
at	at	at
traffic	traffic	traffic
lights	light	light
since	sinc	since
she	she	she
doesn	doesn	doesn
t	t	t
see	see	see
color	color	color
and	and	and
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
how	how	how
we	we	we
treat	treat	treat
color	color	color
is	is	is
more	more	more
important	import	important
.	.	.
Noah	noah	Noah
then	then	then
took	took	took
Lahren	lahren	Lahren
to	to	to
the	the	the
woodshed	woodsh	woodshed
for	for	for
calling	call	calling
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
the	the	the
new	new	new
KKK	kkk	KKK
by	by	by
pointing	point	pointing
out	out	out
that	that	that
the	the	the
KKK	kkk	KKK
still	still	still
exists	exist	exists
and	and	and
that	that	that
it	it	it
s	s	s
incendiary	incendiari	incendiary
to	to	to
make	make	make
such	such	such
a	a	a
claim	claim	claim
knowing	know	knowing
the	the	the
acts	act	act
of	of	of
terrorism	terror	terrorism
and	and	and
murder	murder	murder
the	the	the
KKK	kkk	KKK
has	has	ha
committed	commit	committed
.	.	.
Lahren	lahren	Lahren
then	then	then
blindly	blind	blindly
compared	compar	compared
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
to	to	to
the	the	the
KKK	kkk	KKK
again	again	again
by	by	by
blaming	blame	blaming
protesters	protest	protester
for	for	for
looting	loot	looting
and	and	and
burning	burn	burning
before	befor	before
asking	ask	asking
,	,	,
What	what	What
did	did	did
the	the	the
KKK	kkk	KKK
do	do	do
?	?	?
which	which	which
shocked	shock	shocked
the	the	the
audience	audienc	audience
and	and	and
Noah	noah	Noah
.	.	.
Did	did	Did
you	you	you
say	say	say
,	,	,
What	what	What
did	did	did
the	the	the
KKK	kkk	KKK
do	do	do
?	?	?
Noah	noah	Noah
asked	ask	asked
in	in	in
disbelief	disbelief	disbelief
.	.	.
Wow	wow	Wow
.	.	.
Lahren	lahren	Lahren
then	then	then
embarrassed	embarrass	embarrassed
herself	herself	herself
by	by	by
ranting	rant	ranting
about	about	about
San	san	San
Francisco	francisco	Francisco
quarterback	quarterback	quarterback
Colin	colin	Colin
Kaepernick	kaepernick	Kaepernick
s	s	s
refusal	refus	refusal
to	to	to
stand	stand	stand
during	dure	during
the	the	the
national	nation	national
anthem	anthem	anthem
and	and	and
suggested	suggest	suggested
that	that	that
she	she	she
s	s	s
being	be	being
criticized	critic	criticized
for	for	for
attacking	attack	attacking
him	him	him
because	becaus	because
she	she	she
is	is	is
white	white	white
.	.	.
So	so	So
because	becaus	because
I	i	I
don	don	don
t	t	t
disagree	disagre	disagree
with	with	with
what	what	what
he	he	he
did	did	did
,	,	,
I	i	I
should	should	should
shut	shut	shut
up	up	up
?	?	?
she	she	she
asked	ask	asked
Noah	noah	Noah
.	.	.
Because	becaus	Because
I	i	I
m	m	m
white	white	white
so	so	so
I	i	I
should	should	should
shut	shut	shut
up	up	up
?	?	?
I	i	I
shouldn	shouldn	shouldn
t	t	t
be	be	be
able	abl	able
to	to	to
talk	talk	talk
about	about	about
black	black	black
issues	issu	issue
cause	caus	cause
I	i	I
m	m	m
white	white	white
?	?	?
But	but	But
again	again	again
,	,	,
Noah	noah	Noah
was	was	wa
able	abl	able
to	to	to
humiliate	humili	humiliate
Lahren	lahren	Lahren
with	with	with
her	her	her
own	own	own
words	word	word
.	.	.
No	no	No
one	one	one
brought	brought	brought
up	up	up
whites	white	white
at	at	at
all	all	all
I	i	I
never	never	never
said	said	said
that	that	that
.	.	.
I	i	I
don	don	don
t	t	t
see	see	see
color	color	color
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
Vid	vid	Vid
Me	me	Me
.	.	.
Tomi	tomi	Tomi
Lahren	lahren	Lahren
got	got	got
her	her	her
ass	ass	as
handed	hand	handed
to	to	to
her	her	her
by	by	by
Trveor	trveor	Trveor
Noah	noah	Noah
,	,	,
so	so	so
now	now	now
we	we	we
can	can	can
expect	expect	expect
her	her	her
to	to	to
whine	whine	whine
about	about	about
it	it	it
on	on	on
her	her	her
show	show	show
very	veri	very
soon	soon	soon
because	becaus	because
getting	get	getting
schooled	school	schooled
by	by	by
a	a	a
black	black	black
man	man	man
who	who	who
is	is	is
also	also	also
an	an	an
immigrant	immigr	immigrant
must	must	must
be	be	be
hard	hard	hard
for	for	for
her	her	her
fragile	fragil	fragile
racist	racist	racist
mind	mind	mind
to	to	to
accept	accept	accept
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
