Once	onc	Once
rape	rape	rape
.	.	.

She	she	She
was	was	wa
a	a	a
Republican	republican	Republican
pollster	pollster	pollster
at	at	at
the	the	the
time	time	time
,	,	,
but	but	but
now	now	now
she	she	she
is	is	is
the	the	the
campaign	campaign	campaign
manager	manag	manager
for	for	for
the	the	the
presidential	presidenti	presidential
candidate	candid	candidate
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.
Clearly	clear	Clearly
,	,	,
Trump	trump	Trump
either	either	either
did	did	did
not	not	not
vet	vet	vet
Conway	conway	Conway
at	at	at
all	all	all
or	or	or
he	he	he
is	is	is
okay	okay	okay
with	with	with
what	what	what
she	she	she
had	had	had
to	to	to
say	say	say
about	about	about
rape	rape	rape
.	.	.
But	but	But
this	this	this
adds	add	add
to	to	to
the	the	the
pattern	pattern	pattern
of	of	of
Republicans	republican	Republicans
blaming	blame	blaming
the	the	the
victim	victim	victim
instead	instead	instead
of	of	of
the	the	the
rapist	rapist	rapist
.	.	.

For	for	For
years	year	year
,	,	,
Republicans	republican	Republicans
have	have	have
been	been	been
saying	say	saying
outrageous	outrag	outrageous
things	thing	thing
about	about	about
rape	rape	rape
.	.	.

Here	here	Here
s	s	s
40	40	40
of	of	of
them	them	them
.	.	.
Trump	trump	Trump
is	is	is
just	just	just
another	anoth	another
Republican	republican	Republican
in	in	in
a	a	a
long	long	long
line	line	line
of	of	of
Republicans	republican	Republicans
who	who	who
apparently	appar	apparently
believe	believ	believe
women	women	woman
are	are	are
at	at	at
fault	fault	fault
if	if	if
they	they	they
get	get	get
raped	rape	raped
.	.	.

His	his	His
hiring	hire	hiring
of	of	of
Conway	conway	Conway
clearly	clear	clearly
demonstrates	demonstr	demonstrates
that	that	that
.	.	.

They	they	They
seem	seem	seem
to	to	to
think	think	think
it	it	it
s	s	s
acceptable	accept	acceptable
to	to	to
blame	blame	blame
rape	rape	rape
victims	victim	victim
for	for	for
their	their	their
assaults	assault	assault
,	,	,
deny	deni	deny
women	women	woman
the	the	the
right	right	right
to	to	to
control	control	control
their	their	their
own	own	own
health	health	health
care	care	care
,	,	,
and	and	and
downplay	downplay	downplay
sexual	sexual	sexual
harassment	harass	harassment
in	in	in
the	the	the
workplace	workplac	workplace
,	,	,
Daily	daili	Daily
Show	show	Show
creator	creator	creator
Liz	liz	Liz
Winstead	winstead	Winstead
responded	respond	responded
to	to	to
Conway	conway	Conway
s	s	s
remarks	remark	remark
.	.	.

It	it	It
s	s	s
not	not	not
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

