A	a	A
the	the	the
old	old	old
Soviet	soviet	Soviet
department	depart	department
stores	store	store
whose	whose	whose
mission	mission	mission
was	was	wa
to	to	to
serve	serv	serve
the	the	the
interests	interest	interest
of	of	of
the	the	the
sales	sale	sale
clerks	clerk	clerk
and	and	and
not	not	not
the	the	the
customers	custom	customer
.	.	.
In	in	In
his	his	his
speech	speech	speech
to	to	to
the	the	the
convention	convent	convention
,	,	,
praising	prais	praising
his	his	his
father	father	father
,	,	,
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
said	said	said
Schools	school	Schools
are	are	are
like	like	like
Soviet	soviet	Soviet
-era	-era	-era
department	depart	department
stores	store	store
that	that	that
are	are	are
run	run	run
for	for	for
the	the	the
benefit	benefit	benefit
of	of	of
the	the	the
clerks	clerk	clerk
and	and	and
not	not	not
the	the	the
customers	custom	customer
.	.	.
The	the	The
writer	writer	writer
,	,	,
Buckley	buckley	Buckley
,	,	,
then	then	then
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
that	that	that
he	he	he
was	was	wa
a	a	a
principal	princip	principal
speech	speech	speech
writer	writer	writer
for	for	for
the	the	the
speech	speech	speech
.	.	.
So	so	So
it	it	it
s	s	s
not	not	not
an	an	an
issue	issu	issue
.	.	.
If	if	If
not	not	not
a	a	a
direct	direct	direct
copy	copi	copy
like	like	like
the	the	the
Melania	melania	Melania
Obama	obama	Obama
issue	issu	issue
,	,	,
the	the	the
incident	incid	incident
continues	continu	continues
to	to	to
highlight	highlight	highlight
the	the	the
manner	manner	manner
in	in	in
which	which	which
the	the	the
Trump	trump	Trump
team	team	team
continues	continu	continues
to	to	to
botch	botch	botch
the	the	the
basics	basic	basic
of	of	of
running	run	running
a	a	a
convention	convent	convention
,	,	,
which	which	which
has	has	ha
been	been	been
echoed	echo	echoed
in	in	in
their	their	their
lack	lack	lack
of	of	of
preparation	prepar	preparation
for	for	for
the	the	the
general	general	general
election	elect	election
.	.	.
All	all	All
day	day	day
long	long	long
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
tried	tri	tried
to	to	to
fight	fight	fight
back	back	back
on	on	on
the	the	the
story	stori	story
of	of	of
Melania	melania	Melania
s	s	s
plagiarism	plagiar	plagiarism
,	,	,
first	first	first
claiming	claim	claiming
that	that	that
it	it	it
didn	didn	didn
t	t	t
happen	happen	happen
,	,	,
then	then	then
arguing	argu	arguing
that	that	that
since	sinc	since
it	it	it
was	was	wa
only	onli	only
7	7	7
percent	percent	percent
of	of	of
the	the	the
speech	speech	speech
it	it	it
didn	didn	didn
t	t	t
matter	matter	matter
,	,	,
then	then	then
blaming	blame	blaming
speechwriters	speechwrit	speechwriter
when	when	when
she	she	she
said	said	said
I	i	I
an	an	an
interview	interview	interview
with	with	with
NBC	nbc	NBC
that	that	that
she	she	she
wrote	wrote	wrote
it	it	it
herself	herself	herself
.	.	.
Talk	talk	Talk
of	of	of
the	the	the
speech	speech	speech
dominated	domin	dominated
the	the	the
day	day	day
when	when	when
in	in	in
most	most	most
traditional	tradit	traditional
campaigns	campaign	campaign
the	the	the
presentation	present	presentation
from	from	from
the	the	the
nominee	nomine	nominee
s	s	s
spouse	spous	spouse
would	would	would
have	have	have
generated	generat	generated
positive	posit	positive
headlines	headlin	headline
.	.	.
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
himself	himself	himself
blamed	blame	blamed
the	the	the
speechwriters	speechwrit	speechwriter
and	and	and
not	not	not
his	his	his
stepmother	stepmoth	stepmother
for	for	for
the	the	the
incident	incid	incident
,	,	,
telling	tell	telling
CBS	cbs	CBS
News	news	News
,	,	,
Of	of	Of
course	cours	course
Melania	melania	Melania
worked	work	worked
with	with	with
speechwriters	speechwrit	speechwriter
.	.	.
Having	have	Having
never	never	never
done	done	done
this	this	this
before	befor	before
,	,	,
you	you	you
have	have	have
to	to	to
work	work	work
with	with	with
speechwriters	speechwrit	speechwriter
.	.	.
Those	those	Those
are	are	are
the	the	the
people	peopl	people
that	that	that
did	did	did
this	this	this
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Twitter	twitter	Twitter
