What	what	What
home	home	home
of	of	of
another	anoth	another
persecuted	persecut	persecuted
group	group	group
the	the	the
Democrats	democrat	Democrats
.	.	.

The	the	The
Democrats	democrat	Democrats
still	still	still
have	have	have
a	a	a
foothold	foothold	foothold
in	in	in
Kansas	kansa	Kansas
City	citi	City
and	and	and
we	we	we
re	re	re
very	veri	very
proud	proud	proud
of	of	of
that	that	that
,	,	,
said	said	said
the	the	the
Democrat	democrat	Democrat
mayor	mayor	mayor
.	.	.

And	and	And
because	becaus	because
Democrats	democrat	Democrats
are	are	are
in	in	in
Wyandotte	wyandott	Wyandotte
County	counti	County
,	,	,
we	we	we
welcome	welcom	welcome
our	our	our
gay	gay	gay
and	and	and
lesbian	lesbian	lesbian
brothers	brother	brother
and	and	and
sisters	sister	sister
and	and	and
celebrate	celebr	celebrate
their	their	their
life	life	life
and	and	and
their	their	their
love	love	love
,	,	,
and	and	and
always	alway	always
will	will	will
.	.	.

Holland	holland	Holland
,	,	,
an	an	an
ordained	ordain	ordained
Methodist	methodist	Methodist
minister	minist	minister
,	,	,
then	then	then
went	went	went
on	on	on
the	the	the
attack	attack	attack
against	against	against
any	ani	any
Christians	christian	Christians
who	who	who
don	don	don
t	t	t
share	share	share
his	his	his
liberal	liber	liberal
theological	theolog	theological
views	view	view
on	on	on
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
.	.	.
He	he	He
applauded	applaud	applauded
the	the	the
recent	recent	recent
5	5	5
-4	-4	-4
Supreme	suprem	Supreme
Court	court	Court
decision	decis	decision
that	that	that
redefined	redefin	redefined
marriage	marriag	marriage
for	for	for
all	all	all
50	50	50
states	state	state
.	.	.

But	but	But
we	we	we
cannot	cannot	cannot
let	let	let
our	our	our
guard	guard	guard
down	down	down
.	.	.

This	this	This
religious	religi	religious
freedom	freedom	freedom
component	compon	component
,	,	,
I	i	I
believe	believ	believe
is	is	is
the	the	the
Confederate	confeder	Confederate
Flag	flag	Flag
of	of	of
religious	religi	religious
bigotry	bigotri	bigotry
,	,	,
being	be	being
flown	flown	flown
long	long	long
after	after	after
the	the	the
fact	fact	fact
,	,	,
Holland	holland	Holland
said	said	said
.	.	.

As	as	As
an	an	an
ordained	ordain	ordained
United	unit	United
Methodist	methodist	Methodist
pastor	pastor	pastor
myself	myself	myself
,	,	,
I	i	I
m	m	m
offended	offend	offended
to	to	to
note	note	note
,	,	,
when	when	when
they	they	they
say	say	say
Christians	christian	Christians
are	are	are
offended	offend	offended
by	by	by
the	the	the
ruling	rule	ruling
.	.	.

In	in	In
fact	fact	fact
,	,	,
many	mani	many
of	of	of
us	us	u
Christians	christian	Christians
celebrate	celebr	celebrate
the	the	the
ruling	rule	ruling
and	and	and
the	the	the
continued	continu	continued
welcome	welcom	welcome
and	and	and
recognition	recognit	recognition
of	of	of
all	all	all
people	peopl	people
.	.	.

But	but	But
I	i	I
want	want	want
to	to	to
close	close	close
by	by	by
saying	say	saying
we	we	we
just	just	just
couldn	couldn	couldn
t	t	t
be	be	be
more	more	more
proud	proud	proud
that	that	that
La	la	La
Raza	raza	Raza
is	is	is
here	here	here
in	in	in
Kansas	kansa	Kansas
City	citi	City
and	and	and
it	it	it
s	s	s
an	an	an
honor	honor	honor
to	to	to
be	be	be
able	abl	able
to	to	to
greet	greet	greet
you	you	you
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
,	,	,
working	work	working
with	with	with
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
has	has	ha
sent	sent	sent
2	2	2
,	,	,
371	371	371
international	intern	international
refugees	refuge	refugee
to	to	to
Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
since	sinc	since
2002	2002	2002
.	.	.

The	the	The
State	state	State
Department	depart	Department
s	s	s
database	databas	database
does	doe	doe
not	not	not
include	includ	include
U	u	U
.	.	.
N	n	N
.	.	.
refugees	refuge	refugee
dispersed	dispers	dispersed
throughout	throughout	throughout
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
before	befor	before
2002	2002	2002
but	but	but
the	the	the
program	program	program
has	has	ha
been	been	been
ongoing	ongo	ongoing
in	in	in
its	it	it
current	current	current
form	form	form
since	sinc	since
1980	1980	1980
.	.	.

The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
picks	pick	pick
about	about	about
95	95	95
percent	percent	percent
of	of	of
the	the	the
refugees	refuge	refugee
sent	sent	sent
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
The	the	The
State	state	State
Department	depart	Department
,	,	,
working	work	working
with	with	with
nine	nine	nine
major	major	major
contractors	contractor	contractor
such	such	such
as	as	a
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Conference	confer	Conference
of	of	of
Catholic	cathol	Catholic
Bishops	bishop	Bishops
,	,	,
Hebrew	hebrew	Hebrew
Immigrant	immigr	Immigrant
Aid	aid	Aid
Society	societi	Society
and	and	and
Lutheran	lutheran	Lutheran
Immigration	immigr	Immigration
and	and	and
Refugee	refuge	Refugee
Service	servic	Service
,	,	,
distributes	distribut	distributes
about	about	about
70	70	70
,	,	,
000	000	000
refugees	refuge	refugee
annually	annual	annually
from	from	from
mostly	most	mostly
Third	third	Third
World	world	World
nations	nation	nation
into	into	into
190	190	190
U	u	U
.	.	.
S	s	S
.	.	.
cities	citi	city
and	and	and
towns	town	town
.	.	.
U	u	U
.	.	.
N	n	N
.	.	.
sends	send	sends
KC	kc	KC
2	2	2
,	,	,
371	371	371
refugees	refuge	refugee
since	sinc	since
2002The	2002the	2002The
refugees	refuge	refugee
,	,	,
unlike	unlik	unlike
most	most	most
other	other	other
classifications	classif	classification
of	of	of
immigrants	immigr	immigrant
,	,	,
immediately	immedi	immediately
qualify	qualifi	qualify
for	for	for
a	a	a
smorgasbord	smorgasbord	smorgasbord
of	of	of
state	state	state
and	and	and
federal	feder	federal
welfare	welfar	welfare
benefits	benefit	benefit
and	and	and
are	are	are
placed	place	placed
on	on	on
a	a	a
fast	fast	fast
-track	-track	-track
toward	toward	toward
full	full	full
citizenship	citizenship	citizenship
,	,	,
which	which	which
is	is	is
obtainable	obtain	obtainable
within	within	within
five	five	five
years	year	year
.	.	.
Since	sinc	Since
2002	2002	2002
Kansas	kansa	Kansas
City	citi	City
has	has	ha
received	receiv	received
1	1	1
,	,	,
090	090	090
refugees	refuge	refugee
from	from	from
Burma	burma	Burma
,	,	,
577	577	577
from	from	from
Bhutan	bhutan	Bhutan
,	,	,
190	190	190
from	from	from
Somalia	somalia	Somalia
,	,	,
126	126	126
from	from	from
Iraq	iraq	Iraq
,	,	,
47	47	47
from	from	from
Liberia	liberia	Liberia
,	,	,
37	37	37
from	from	from
Eritrea	eritrea	Eritrea
,	,	,
36	36	36
from	from	from
Russia	russia	Russia
,	,	,
34	34	34
from	from	from
Burundi	burundi	Burundi
,	,	,
33	33	33
from	from	from
Afghanistan	afghanistan	Afghanistan
,	,	,
26	26	26
from	from	from
Vietnam	vietnam	Vietnam
,	,	,
24	24	24
from	from	from
Sudan	sudan	Sudan
,	,	,
18	18	18
from	from	from
Uzbekistan	uzbekistan	Uzbekistan
,	,	,
and	and	and
11	11	11
from	from	from
Iran	iran	Iran
,	,	,
according	accord	according
to	to	to
State	state	State
Department	depart	Department
data	data	data
.	.	.
Via	via	Via
WND	wnd	WND

