Hearing	hear	Hearing
Trump	trump	Trump
s	s	s
direction	direct	direction
to	to	to
get	get	get
em	em	em
out	out	out
of	of	of
here	here	here
advocated	advoc	advocated
the	the	the
use	use	use
of	of	of
force	forc	force
.	.	.
Unlike	unlik	Unlike
the	the	the
statements	statement	statement
at	at	at
issue	issu	issue
in	in	in
the	the	the
cases	case	case
cited	cite	cited
by	by	by
the	the	the
Trump	trump	Trump
Defendants	defend	Defendants
,	,	,
get	get	get
em	em	em
out	out	out
of	of	of
here	here	here
is	is	is
stated	state	stated
in	in	in
the	the	the
imperative	imper	imperative
;	;	;
it	it	it
was	was	wa
an	an	an
order	order	order
,	,	,
an	an	an
instruction	instruct	instruction
,	,	,
a	a	a
command	command	command
.	.	.
Trump	trump	Trump
craves	crave	craves
the	the	the
sound	sound	sound
of	of	of
people	peopl	people
cheering	cheer	cheering
him	him	him
on	on	on
,	,	,
and	and	and
no	no	no
doubt	doubt	doubt
probably	probabl	probably
enjoyed	enjoy	enjoyed
seeing	see	seeing
his	his	his
supporters	support	supporter
attack	attack	attack
people	peopl	people
who	who	who
were	were	were
brave	brave	brave
enough	enough	enough
to	to	to
show	show	show
up	up	up
and	and	and
stand	stand	stand
against	against	against
him	him	him
,	,	,
so	so	so
it	it	it
wasn	wasn	wasn
t	t	t
surprising	surpris	surprising
when	when	when
Trump	trump	Trump
denied	deni	denied
wrongdoing	wrongdo	wrongdoing
of	of	of
any	ani	any
sort	sort	sort
and	and	and
blamed	blame	blamed
it	it	it
all	all	all
on	on	on
the	the	the
bad	bad	bad
dudes	dude	dude
who	who	who
were	were	were
protesting	protest	protesting
.	.	.
In	in	In
fact	fact	fact
,	,	,
that	that	that
phrase	phrase	phrase
became	becam	became
a	a	a
regular	regular	regular
mantra	mantra	mantra
for	for	for
Trump	trump	Trump
.	.	.
We	we	We
have	have	have
some	some	some
protesters	protest	protester
who	who	who
are	are	are
bad	bad	bad
dudes	dude	dude
,	,	,
he	he	he
said	said	said
.	.	.
They	they	They
have	have	have
done	done	done
bad	bad	bad
things	thing	thing
,	,	,
and	and	and
they	they	they
are	are	are
really	realli	really
dangerous	danger	dangerous
and	and	and
get	get	get
in	in	in
there	there	there
and	and	and
start	start	start
hitting	hit	hitting
people	peopl	people
,	,	,
and	and	and
we	we	we
had	had	had
a	a	a
couple	coupl	couple
big	big	big
,	,	,
strong	strong	strong
,	,	,
powerful	power	powerful
guys	guy	guy
doing	do	doing
damage	damag	damage
to	to	to
people	peopl	people
.	.	.
It	it	It
s	s	s
usually	usual	usually
the	the	the
police	polic	police
,	,	,
the	the	the
municipal	municip	municipal
government	govern	government
because	becaus	because
I	i	I
don	don	don
t	t	t
have	have	have
guards	guard	guard
all	all	all
over	over	over
these	these	these
stadiums	stadium	stadium
.	.	.
I	i	I
mean	mean	mean
,	,	,
we	we	we
fill	fill	fill
up	up	up
stadiums	stadium	stadium
.	.	.
The	the	The
suit	suit	suit
against	against	against
Trump	trump	Trump
also	also	also
names	name	name
the	the	the
three	three	three
individuals	individu	individual
responsible	respons	responsible
for	for	for
the	the	the
attacks	attack	attack
,	,	,
one	one	one
of	of	of
whom	whom	whom
,	,	,
Matthew	matthew	Matthew
Heimbach	heimbach	Heimbach
,	,	,
is	is	is
a	a	a
leader	leader	leader
of	of	of
the	the	the
white	white	white
supremacist	supremacist	supremacist
group	group	group
Traditional	tradit	Traditional
Youth	youth	Youth
Network	network	Network
from	from	from
Paoli	paoli	Paoli
,	,	,
Indiana	indiana	Indiana
,	,	,
which	which	which
will	will	will
probably	probabl	probably
make	make	make
it	it	it
that	that	that
much	much	much
worse	wors	worse
for	for	for
Trump	trump	Trump
.	.	.
Watching	watch	Watching
him	him	him
try	tri	try
to	to	to
squirm	squirm	squirm
his	his	his
way	way	way
out	out	out
of	of	of
this	this	this
one	one	one
should	should	should
be	be	be
really	realli	really
fun	fun	fun
!	!	!
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Sarah	sarah	Sarah
Rice	rice	Rice
