GOP	gop	GOP
inappropriately	inappropri	inappropriately
used	use	used
a	a	a
firearm	firearm	firearm
.	.	.
Source	sourc	Source
CNNBecause	cnnbecaus	CNNBecause
that	that	that
s	s	s
what	what	what
Americans	american	Americans
are	are	are
thinking	think	thinking
about	about	about
this	this	this
Father	father	Father
s	s	s
Day	day	Day
weekend	weekend	weekend
obtaining	obtain	obtaining
maximum	maximum	maximum
killing	kill	killing
machines	machin	machine
.	.	.
Okay	okay	Okay
,	,	,
maybe	mayb	maybe
that	that	that
is	is	is
what	what	what
Americans	american	Americans
are	are	are
thinking	think	thinking
about	about	about
this	this	this
Father	father	Father
s	s	s
Day	day	Day
weekend	weekend	weekend
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
Holt	holt	Holt
did	did	did
concede	conced	concede
,	,	,
though	though	though
,	,	,
that	that	that
maybe	mayb	maybe
,	,	,
just	just	just
maybe	mayb	maybe
,	,	,
it	it	it
s	s	s
a	a	a
bad	bad	bad
idea	idea	idea
to	to	to
let	let	let
people	peopl	people
on	on	on
the	the	the
terrorist	terrorist	terrorist
watch	watch	watch
list	list	list
have	have	have
guns	gun	gun
.	.	.
I	i	I
think	think	think
there	there	there
is	is	is
a	a	a
reason	reason	reason
for	for	for
terror	terror	terror
suspects	suspect	suspect
not	not	not
to	to	to
get	get	get
firearms	firearm	firearm
.	.	.
A	a	A
man	man	man
that	that	that
has	has	ha
devoted	devot	devoted
himself	himself	himself
to	to	to
ISIS	isi	ISIS
and	and	and
radical	radic	radical
Islam	islam	Islam
,	,	,
that	that	that
s	s	s
a	a	a
precursor	precursor	precursor
that	that	that
should	should	should
disallow	disallow	disallow
an	an	an
individual	individu	individual
to	to	to
have	have	have
a	a	a
firearm	firearm	firearm
.	.	.
We	we	We
don	don	don
t	t	t
want	want	want
to	to	to
go	go	go
too	too	too
far	far	far
,	,	,
though	though	though
.	.	.
He	he	He
says	say	say
we	we	we
have	have	have
to	to	to
be	be	be
strategic	strateg	strategic
,	,	,
which	which	which
likely	like	likely
means	mean	mean
doing	do	doing
nothing	noth	nothing
at	at	at
all	all	all
about	about	about
the	the	the
fact	fact	fact
that	that	that
yes	yes	yes
,	,	,
people	peopl	people
on	on	on
the	the	the
terrorist	terrorist	terrorist
watch	watch	watch
list	list	list
,	,	,
including	includ	including
Omar	omar	Omar
Mateen	mateen	Mateen
,	,	,
who	who	who
brutally	brutal	brutally
gunned	gun	gunned
down	down	down
49	49	49
people	peopl	people
and	and	and
was	was	wa
once	onc	once
on	on	on
the	the	the
list	list	list
,	,	,
bought	bought	bought
his	his	his
gun	gun	gun
legally	legal	legally
.	.	.
We	we	We
ll	ll	ll
also	also	also
likely	like	likely
do	do	do
nothing	noth	nothing
about	about	about
guns	gun	gun
and	and	and
mental	mental	mental
illness	ill	illness
or	or	or
guns	gun	gun
and	and	and
domestic	domest	domestic
abusers	abus	abuser
,	,	,
or	or	or
about	about	about
guns	gun	gun
and	and	and
anything	anyth	anything
,	,	,
because	becaus	because
in	in	in
the	the	the
good	good	good
old	old	old
U	u	U
.	.	.
S	s	S
.	.	.
of	of	of
A	a	A
.	.	.
,	,	,
guns	gun	gun
are	are	are
more	more	more
important	import	important
than	than	than
people	peopl	people
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
.	.	.
