On	on	On
responders	respond	responder
have	have	have
died	die	died
as	as	a
of	of	of
June	june	June
2009	2009	2009
the	the	the
apology	apolog	apology
comes	come	come
a	a	a
little	littl	little
too	too	too
late	late	late
.	.	.
The	the	The
effects	effect	effect
of	of	of
Ground	ground	Ground
Zero	zero	Zero
have	have	have
been	been	been
know	know	know
for	for	for
years	year	year
and	and	and
years	year	year
.	.	.

Republicans	republican	Republicans
have	have	have
played	play	played
politics	polit	politics
with	with	with
healthcare	healthcar	healthcare
,	,	,
and	and	and
like	like	like
Whitman	whitman	Whitman
,	,	,
have	have	have
not	not	not
taken	taken	taken
responsibility	respons	responsibility
for	for	for
their	their	their
actions	action	action
.	.	.
As	as	As
early	earli	early
as	as	a
2003	2003	2003
,	,	,
the	the	the
Inspector	inspector	Inspector
General	general	General
criticized	critic	criticized
the	the	the
EPA	epa	EPA
s	s	s
handling	handl	handling
of	of	of
the	the	the
situation	situat	situation
,	,	,
and	and	and
still	still	still
no	no	no
accountability	account	accountability
or	or	or
responsibility	respons	responsibility
was	was	wa
taken	taken	taken
.	.	.

Whitman	whitman	Whitman
did	did	did
resign	resign	resign
,	,	,
but	but	but
contends	contend	contends
it	it	it
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
the	the	the
Inspector	inspector	Inspector
General	general	General
s	s	s
findings	find	finding
and	and	and
instead	instead	instead
stems	stem	stem
from	from	from
personal	person	personal
decisions	decis	decision
after	after	after
disagreements	disagr	disagreement
with	with	with
Vice	vice	Vice
President	presid	President
Dick	dick	Dick
Cheney	cheney	Cheney
.	.	.

Whitman	whitman	Whitman
had	had	had
an	an	an
opportunity	opportun	opportunity
to	to	to
take	take	take
responsibility	respons	responsibility
,	,	,
but	but	but
chose	chose	chose
not	not	not
to	to	to
.	.	.
Republicans	republican	Republicans
criticize	critic	criticize
Obama	obama	Obama
s	s	s
response	respons	response
to	to	to
Ebola	ebola	Ebola
,	,	,
Zika	zika	Zika
,	,	,
H1	h1	H1
-N1	-n1	-N1
,	,	,
but	but	but
look	look	look
over	over	over
Whitman	whitman	Whitman
and	and	and
th	th	th
Bush	bush	Bush
Administration	administr	Administration
s	s	s
shameful	shame	shameful
ignorance	ignor	ignorance
ad	ad	ad
deflection	deflect	deflection
of	of	of
the	the	the
Ground	ground	Ground
Zero	zero	Zero
cancer	cancer	cancer
cases	case	case
.	.	.
An	an	An
apology	apolog	apology
fifteen	fifteen	fifteen
years	year	year
too	too	too
late	late	late
,	,	,
but	but	but
better	better	better
late	late	late
than	than	than
never	never	never
I	i	I
suppose	suppos	suppose
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Aaron	aaron	Aaron
Davidson	davidson	Davidson
Getty	getti	Getty
Images	imag	Images

