Newt	newt	Newt
presidential	presidenti	presidential
candidate	candid	candidate
said	said	said
he	he	he
was	was	wa
indeed	inde	indeed
under	under	under
budget	budget	budget
.	.	.
At	at	At
the	the	the
tail	tail	tail
end	end	end
of	of	of
our	our	our
conversation	convers	conversation
,	,	,
he	he	he
jokingly	joke	jokingly
said	said	said
,	,	,
By	by	By
the	the	the
way	way	way
,	,	,
I	i	I
know	know	know
you	you	you
said	said	said
I	i	I
needed	need	needed
to	to	to
spend	spend	spend
80	80	80
million	million	million
,	,	,
but	but	but
I	i	I
ve	ve	ve
only	onli	only
spent	spent	spent
30	30	30
million	million	million
.	.	.
I	i	I
feel	feel	feel
kind	kind	kind
of	of	of
bad	bad	bad
,	,	,
Gingrich	gingrich	Gingrich
quoted	quot	quoted
Trump	trump	Trump
,	,	,
who	who	who
won	won	won
the	the	the
South	south	South
Carolina	carolina	Carolina
primary	primari	primary
,	,	,
as	as	a
having	have	having
said	said	said
.	.	.
Source	sourc	Source
MarketWatchThat	marketwatchthat	MarketWatchThat
explains	explain	explains
a	a	a
lot	lot	lot
.	.	.
It	it	It
explains	explain	explains
why	whi	why
Trump	trump	Trump
is	is	is
woefully	woefulli	woefully
unprepared	unprepar	unprepared
to	to	to
be	be	be
president	presid	president
.	.	.
It	it	It
also	also	also
explains	explain	explains
why	whi	why
he	he	he
seems	seem	seems
to	to	to
think	think	think
the	the	the
office	offic	office
is	is	is
his	his	his
ticket	ticket	ticket
to	to	to
getting	get	getting
even	even	even
richer	richer	richer
.	.	.
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
read	read	read
.	.	.
He	he	He
doesn	doesn	doesn
t	t	t
pay	pay	pay
attention	attent	attention
to	to	to
National	nation	National
Security	secur	Security
Briefings	brief	Briefings
unless	unless	unless
his	his	his
name	name	name
is	is	is
plastered	plaster	plastered
all	all	all
over	over	over
the	the	the
briefings	brief	briefing
,	,	,
preferably	prefer	preferably
with	with	with
pictures	pictur	picture
.	.	.
Nearly	near	Nearly
every	everi	every
meeting	meet	meeting
he	he	he
s	s	s
had	had	had
with	with	with
a	a	a
world	world	world
leader	leader	leader
has	has	ha
been	been	been
a	a	a
disaster	disast	disaster
.	.	.
He	he	He
s	s	s
offended	offend	offended
all	all	all
of	of	of
our	our	our
allies	alli	ally
and	and	and
he	he	he
s	s	s
helped	help	helped
accomplish	accomplish	accomplish
the	the	the
Russian	russian	Russian
goal	goal	goal
of	of	of
destabilizing	destabil	destabilizing
the	the	the
country	countri	country
.	.	.
He	he	He
also	also	also
has	has	ha
the	the	the
most	most	most
corrupt	corrupt	corrupt
presidency	presid	presidency
in	in	in
history	histori	history
.	.	.
While	while	While
Trump	trump	Trump
might	might	might
be	be	be
having	have	having
fun	fun	fun
after	after	after
spending	spend	spending
less	less	le
than	than	than
he	he	he
might	might	might
have	have	have
spent	spent	spent
on	on	on
a	a	a
yacht	yacht	yacht
,	,	,
it	it	it
s	s	s
clear	clear	clear
his	his	his
presidency	presid	presidency
comes	come	come
at	at	at
the	the	the
expense	expens	expense
of	of	of
the	the	the
American	american	American
people	peopl	people
and	and	and
of	of	of
our	our	our
reputation	reput	reputation
as	as	a
the	the	the
world	world	world
s	s	s
largest	largest	largest
superpower	superpow	superpower
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
he	he	he
s	s	s
playing	play	playing
a	a	a
very	veri	very
scary	scari	scary
game	game	game
and	and	and
he	he	he
simply	simpli	simply
doesn	doesn	doesn
t	t	t
care	care	care
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Pool	pool	Pool
Getty	getti	Getty
Images	imag	Images
