Laura	laura	Laura
illegal	illeg	illegal
alien	alien	alien
population	popul	population
would	would	would
likely	like	likely
increase	increas	increase
only	onli	only
marginally	margin	marginally
,	,	,
the	the	the
new	new	new
legal	legal	legal
status	status	status
would	would	would
make	make	make
them	them	them
eligible	elig	eligible
for	for	for
receiving	receiv	receiving
Social	social	Social
Security	secur	Security
retirement	retir	retirement
benefits	benefit	benefit
that	that	that
would	would	would
further	further	further
jeopardize	jeopard	jeopardize
the	the	the
future	futur	future
of	of	of
the	the	the
already	alreadi	already
shaky	shaki	shaky
system	system	system
.	.	.
An	an	An
amnesty	amnesti	amnesty
would	would	would
also	also	also
result	result	result
in	in	in
this	this	this
large	larg	large
population	popul	population
of	of	of
illegal	illeg	illegal
aliens	alien	alien
becoming	becom	becoming
eligible	elig	eligible
for	for	for
numerous	numer	numerous
social	social	social
assistance	assist	assistance
programs	program	program
available	avail	available
for	for	for
low	low	low
-income	-incom	-income
populations	popul	population
for	for	for
which	which	which
they	they	they
are	are	are
not	not	not
now	now	now
eligible	elig	eligible
.	.	.
The	the	The
overall	overal	overall
result	result	result
would	would	would
,	,	,
therefore	therefor	therefore
,	,	,
be	be	be
an	an	an
accentuation	accentu	accentuation
of	of	of
the	the	the
already	alreadi	already
enormous	enorm	enormous
fiscal	fiscal	fiscal
burden	burden	burden
.	.	.
Read	read	Read
more	more	more
FAIR	fair	FAIR
