Brace	brace	Brace
as	as	a
President	presid	President
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
this	this	this
she	she	she
will	will	will
have	have	have
a	a	a
wholesale	wholesal	wholesale
amnesty	amnesti	amnesty
so	so	so
that	that	that
Republicans	republican	Republicans
will	will	will
never	never	never
again	again	again
have	have	have
the	the	the
chance	chanc	chance
at	at	at
winning	win	winning
Florida	florida	Florida
or	or	or
Texas	texa	Texas
.	.	.
If	if	If
we	we	we
can	can	can
t	t	t
win	win	win
Florida	florida	Florida
or	or	or
Texas	texa	Texas
,	,	,
it	it	it
s	s	s
game	game	game
over	over	over
.	.	.
From	from	From
there	there	there
,	,	,
Clinton	clinton	Clinton
will	will	will
ensure	ensur	ensure
Republicans	republican	Republicans
never	never	never
win	win	win
the	the	the
White	white	White
House	hous	House
by	by	by
changing	chang	changing
the	the	the
demographics	demograph	demographic
of	of	of
the	the	the
United	unit	United
States	state	States
so	so	so
that	that	that
no	no	no
Republican	republican	Republican
will	will	will
ever	ever	ever
win	win	win
again	again	again
.	.	.
But	but	But
it	it	it
s	s	s
worse	wors	worse
than	than	than
that	that	that
.	.	.
A	a	A
Trump	trump	Trump
loss	loss	loss
would	would	would
so	so	so
displease	displeas	displease
God	god	God
that	that	that
he	he	he
d	d	d
just	just	just
kill	kill	kill
us	us	u
all	all	all
anyway	anyway	anyway
to	to	to
prevent	prevent	prevent
a	a	a
Clinton	clinton	Clinton
presidency	presid	presidency
God	god	God
says	say	say
to	to	to
every	everi	every
nation	nation	nation
for	for	for
all	all	all
of	of	of
time	time	time
,	,	,
I	i	I
set	set	set
before	befor	before
you	you	you
life	life	life
and	and	and
death	death	death
,	,	,
what	what	what
are	are	are
you	you	you
going	go	going
to	to	to
choose	choos	choose
?	?	?
If	if	If
you	you	you
look	look	look
at	at	at
the	the	the
book	book	book
of	of	of
Genesis	genesi	Genesis
,	,	,
you	you	you
don	don	don
t	t	t
even	even	even
have	have	have
to	to	to
get	get	get
beyond	beyond	beyond
Chapter	chapter	Chapter
3	3	3
to	to	to
see	see	see
God	god	God
gives	give	give
us	us	u
life	life	life
.	.	.
The	the	The
first	first	first
thing	thing	thing
he	he	he
gives	give	give
mankind	mankind	mankind
is	is	is
life	life	life
.	.	.
What	what	What
does	doe	doe
man	man	man
choose	choos	choose
?	?	?
Death	death	Death
.	.	.
We	we	We
choose	choos	choose
rebellion	rebellion	rebellion
and	and	and
death	death	death
.	.	.
You	you	You
go	go	go
from	from	from
Genesis	genesi	Genesis
all	all	all
through	through	through
the	the	the
Bible	bibl	Bible
to	to	to
the	the	the
book	book	book
of	of	of
Revelation	revel	Revelation
;	;	;
man	man	man
stupidly	stupid	stupidly
makes	make	make
the	the	the
same	same	same
decision	decis	decision
over	over	over
and	and	and
over	over	over
again	again	again
by	by	by
rejecting	reject	rejecting
life	life	life
and	and	and
choosing	choos	choosing
death	death	death
.	.	.
What	what	What
I	i	I
m	m	m
telling	tell	telling
you	you	you
is	is	is
that	that	that
s	s	s
what	what	what
we	we	we
re	re	re
looking	look	looking
at	at	at
now	now	now
in	in	in
this	this	this
country	countri	country
.	.	.
I	i	I
know	know	know
all	all	all
of	of	of
this	this	this
sounds	sound	sound
scary	scari	scary
,	,	,
but	but	but
choose	choos	choose
death	death	death
this	this	this
November	novemb	November
unless	unless	unless
,	,	,
of	of	of
course	cours	course
,	,	,
you	you	you
want	want	want
to	to	to
see	see	see
the	the	the
sort	sort	sort
of	of	of
life	life	life
we	we	we
would	would	would
have	have	have
under	under	under
an	an	an
insane	insan	insane
racist	racist	racist
who	who	who
will	will	will
likely	like	likely
throw	throw	throw
us	us	u
into	into	into
nuclear	nuclear	nuclear
war	war	war
within	within	within
his	his	his
first	first	first
90	90	90
days	day	day
.	.	.
Watch	watch	Watch
the	the	the
interview	interview	interview
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
