Hello	hello	Hello
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
s	s	s
DHS	dhs	DHS
Secure	secur	Secure
Communities	communiti	Communities
plan	plan	plan
and	and	and
now	now	now
that	that	that
is	is	is
no	no	no
longer	longer	longer
possible	possibl	possible
.	.	.
The	the	The
policy	polici	policy
was	was	wa
released	releas	released
by	by	by
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
Secretary	secretari	Secretary
Jeh	jeh	Jeh
Johnson	johnson	Johnson
in	in	in
November	novemb	November
,	,	,
2014	2014	2014
.	.	.

In	in	In
January	januari	January
,	,	,
the	the	the
program	program	program
went	went	went
into	into	into
effect	effect	effect
and	and	and
Breitbart	breitbart	Breitbart
Texas	texa	Texas
Managing	manag	Managing
Director	director	Director
Brandon	brandon	Brandon
Darby	darbi	Darby
exclusively	exclus	exclusively
reported	report	reported
leaked	leak	leaked
training	train	training
documents	document	document
detailing	detail	detailing
how	how	how
the	the	the
program	program	program
would	would	would
be	be	be
implemented	implement	implemented
.	.	.

Darby	darbi	Darby
dubbed	dub	dubbed
the	the	the
program	program	program
,	,	,
Catch	catch	Catch
and	and	and
Release	releas	Release
2	2	2
.	.	.
0	0	0
.	.	.
Breitbart	breitbart	Breitbart
Texas	texa	Texas
has	has	ha
reported	report	reported
many	mani	many
examples	exampl	example
of	of	of
criminal	crimin	criminal
illegal	illeg	illegal
aliens	alien	alien
who	who	who
have	have	have
been	been	been
previously	previous	previously
deported	deport	deported
many	mani	many
times	time	time
only	onli	only
to	to	to
come	come	come
back	back	back
and	and	and
commit	commit	commit
even	even	even
more	more	more
serious	serious	serious
crimes	crime	crime
.	.	.
In	in	In
July	juli	July
,	,	,
Breitbart	breitbart	Breitbart
California	california	California
s	s	s
Michelle	michell	Michelle
Moons	moon	Moons
reported	report	reported
on	on	on
the	the	the
murder	murder	murder
of	of	of
Katheryn	katheryn	Katheryn
Steinle	steinl	Steinle
.	.	.

She	she	She
was	was	wa
killed	kill	killed
by	by	by
an	an	an
illegal	illeg	illegal
alien	alien	alien
who	who	who
was	was	wa
released	releas	released
by	by	by
the	the	the
San	san	San
Francisco	francisco	Francisco
sheriff	sheriff	sheriff
despite	despit	despite
an	an	an
ICE	ice	ICE
detainer	detain	detainer
in	in	in
effect	effect	effect
.	.	.

Her	her	Her
killer	killer	killer
had	had	had
been	been	been
deported	deport	deported
several	sever	several
times	time	time
.	.	.
The	the	The
same	same	same
week	week	week
as	as	a
Steinle	steinl	Steinle
s	s	s
murder	murder	murder
,	,	,
Darby	darbi	Darby
reported	report	reported
on	on	on
the	the	the
murder	murder	murder
in	in	in
Laredo	laredo	Laredo
,	,	,
Texas	texa	Texas
,	,	,
of	of	of
a	a	a
woman	woman	woman
who	who	who
was	was	wa
killed	kill	killed
by	by	by
her	her	her
criminal	crimin	criminal
illegal	illeg	illegal
alien	alien	alien
husband	husband	husband
.	.	.

He	he	He
had	had	had
been	been	been
deported	deport	deported
four	four	four
times	time	time
.	.	.

Despite	despit	Despite
numerous	numer	numerous
domestic	domest	domestic
violence	violenc	violence
calls	call	call
to	to	to
the	the	the
Laredo	laredo	Laredo
Police	polic	Police
Department	depart	Department
,	,	,
he	he	he
was	was	wa
allowed	allow	allowed
to	to	to
remain	remain	remain
in	in	in
Laredo	laredo	Laredo
until	until	until
he	he	he
finally	final	finally
killed	kill	killed
her	her	her
.	.	.
There	there	There
have	have	have
been	been	been
many	mani	many
other	other	other
such	such	such
reports	report	report
in	in	in
the	the	the
past	past	past
month	month	month
about	about	about
violent	violent	violent
criminal	crimin	criminal
illegal	illeg	illegal
aliens	alien	alien
who	who	who
commit	commit	commit
more	more	more
heinous	heinous	heinous
crimes	crime	crime
after	after	after
returning	return	returning
from	from	from
being	be	being
deported	deport	deported
.	.	.
The	the	The
lieutenant	lieuten	lieutenant
governor	governor	governor
,	,	,
Texas	texa	Texas
sheriffs	sheriff	sheriff
,	,	,
and	and	and
the	the	the
director	director	director
of	of	of
policy	polici	policy
studies	studi	study
for	for	for
the	the	the
Center	center	Center
for	for	for
Immigration	immigr	Immigration
Studies	studi	Studies
spoke	spoke	spoke
at	at	at
the	the	the
press	press	press
conference	confer	conference
in	in	in
Austin	austin	Austin
,	,	,
Texas	texa	Texas
.	.	.

Their	their	Their
message	messag	message
the	the	the
federal	feder	federal
government	govern	government
has	has	ha
placed	place	placed
the	the	the
public	public	public
in	in	in
danger	danger	danger
through	through	through
its	it	it
policies	polici	policy
,	,	,
and	and	and
these	these	these
policies	polici	policy
have	have	have
essentially	essenti	essentially
tied	tie	tied
the	the	the
hands	hand	hand
of	of	of
Texas	texa	Texas
law	law	law
enforcement	enforc	enforcement
.	.	.
Lt	lt	Lt
.	.	.
Gov	gov	Gov
.	.	.

Dan	dan	Dan
Patrick	patrick	Patrick
speaking	speak	speaking
joined	join	joined
Sheriff	sheriff	Sheriff
Aj	aj	Aj
Louderback	louderback	Louderback
;	;	;
Chambers	chamber	Chambers
County	counti	County
Sheriff	sheriff	Sheriff
Brian	brian	Brian
Hawthorne	hawthorn	Hawthorne
;	;	;
Victoria	victoria	Victoria
County	counti	County
Sheriff	sheriff	Sheriff
Michael	michael	Michael
O	o	O
Conner	conner	Conner
,	,	,
and	and	and
Jessica	jessica	Jessica
Vaughan	vaughan	Vaughan
,	,	,
Director	director	Director
of	of	of
Policy	polici	Policy
Studies	studi	Studies
for	for	for
the	the	the
Center	center	Center
for	for	for
Immigration	immigr	Immigration
Studies	studi	Studies
.	.	.

Photo	photo	Photo
Breitbart	breitbart	Breitbart
Texas	texa	Texas
Lana	lana	Lana
Shadwick	shadwick	Shadwick
Sheriff	sheriff	Sheriff
Louderback	louderback	Louderback
told	told	told
Breitbart	breitbart	Breitbart
Texas	texa	Texas
,	,	,
This	this	This
federal	feder	federal
program	program	program
PEP	pep	PEP
replaced	replac	replaced
a	a	a
Congress	congress	Congress
-mandated	-mandat	-mandated
program	program	program
and	and	and
replaced	replac	replaced
it	it	it
with	with	with
a	a	a
program	program	program
that	that	that
now	now	now
prioritizes	priorit	prioritizes
criminal	crimin	criminal
behavior	behavior	behavior
and	and	and
is	is	is
excluding	exclud	excluding
thousands	thousand	thousand
of	of	of
criminal	crimin	criminal
aliens	alien	alien
.	.	.

He	he	He
says	say	say
the	the	the
program	program	program
is	is	is
forcing	forc	forcing
Texas	texa	Texas
sheriffs	sheriff	sheriff
to	to	to
sometimes	sometim	sometimes
release	releas	release
even	even	even
violent	violent	violent
offenders	offend	offender
.	.	.
Louderback	louderback	Louderback
said	said	said
that	that	that
criminal	crimin	criminal
aliens	alien	alien
know	know	know
that	that	that
law	law	law
enforcement	enforc	enforcement
officials	offici	official
in	in	in
Texas	texa	Texas
have	have	have
their	their	their
hands	hand	hand
tied	tie	tied
because	becaus	because
of	of	of
these	these	these
new	new	new
federal	feder	federal
policies	polici	policy
.	.	.

They	they	They
know	know	know
they	they	they
can	can	can
come	come	come
into	into	into
the	the	the
country	countri	country
illegally	illeg	illegally
and	and	and
stay	stay	stay
here	here	here
with	with	with
impunity	impun	impunity
.	.	.
He	he	He
said	said	said
illegal	illeg	illegal
aliens	alien	alien
cannot	cannot	cannot
be	be	be
held	held	held
until	until	until
after	after	after
there	there	there
is	is	is
a	a	a
final	final	final
conviction	convict	conviction
.	.	.

He	he	He
said	said	said
,	,	,
These	these	These
criminals	crimin	criminal
bond	bond	bond
out	out	out
and	and	and
disappear	disappear	disappear
into	into	into
the	the	the
country	countri	country
.	.	.

These	these	These
policies	polici	policy
,	,	,
say	say	say
the	the	the
immediate	immedi	immediate
past	past	past
sheriff	sheriff	sheriff
s	s	s
association	associ	association
president	presid	president
,	,	,
mean	mean	mean
that	that	that
local	local	local
jurisdictions	jurisdict	jurisdiction
have	have	have
to	to	to
deal	deal	deal
with	with	with
the	the	the
costs	cost	cost
.	.	.

Victoria	victoria	Victoria
County	counti	County
Sheriff	sheriff	Sheriff
Michael	michael	Michael
O	o	O
Connor	connor	Connor
said	said	said
criminal	crimin	criminal
aliens	alien	alien
are	are	are
traversing	travers	traversing
over	over	over
the	the	the
border	border	border
and	and	and
coming	come	coming
in	in	in
throughout	throughout	throughout
the	the	the
country	countri	country
.	.	.

He	he	He
said	said	said
that	that	that
the	the	the
sheriffs	sheriff	sheriff
intend	intend	intend
to	to	to
connect	connect	connect
,	,	,
communicate	communic	communicate
,	,	,
and	and	and
collaborate	collabor	collaborate
with	with	with
community	communiti	community
stakeholders	stakehold	stakeholder
to	to	to
deal	deal	deal
with	with	with
the	the	the
problem	problem	problem
.	.	.
Victoria	victoria	Victoria
County	counti	County
,	,	,
Texas	texa	Texas
,	,	,
is	is	is
located	locat	located
about	about	about
halfway	halfway	halfway
between	between	between
Houston	houston	Houston
and	and	and
the	the	the
Mexico	mexico	Mexico
Texas	texa	Texas
border	border	border
.	.	.

He	he	He
said	said	said
his	his	his
county	counti	county
is	is	is
a	a	a
fatal	fatal	fatal
tunnel	tunnel	tunnel
between	between	between
Harris	harri	Harris
County	counti	County
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Sheriff	sheriff	Sheriff
Hawthorne	hawthorn	Hawthorne
told	told	told
Breitbart	breitbart	Breitbart
Texas	texa	Texas
,	,	,
This	this	This
is	is	is
about	about	about
a	a	a
secure	secur	secure
community	communiti	community
program	program	program
.	.	.

He	he	He
said	said	said
in	in	in
2008	2008	2008
,	,	,
law	law	law
enforcement	enforc	enforcement
were	were	were
able	abl	able
to	to	to
do	do	do
that	that	that
.	.	.

He	he	He
said	said	said
,	,	,
PEP	pep	PEP
is	is	is
,	,	,
and	and	and
will	will	will
be	be	be
,	,	,
a	a	a
failure	failur	failure
by	by	by
this	this	this
federal	feder	federal
administration	administr	administration
.	.	.

Lt	lt	Lt
.	.	.
Gov	gov	Gov
.	.	.

Patrick	patrick	Patrick
promised	promis	promised
that	that	that
the	the	the
senate	senat	senate
would	would	would
pass	pass	pas
legislation	legisl	legislation
to	to	to
deal	deal	deal
with	with	with
the	the	the
problems	problem	problem
of	of	of
sanctuary	sanctuari	sanctuary
cities	citi	city
in	in	in
the	the	the
next	next	next
legislative	legisl	legislative
session	session	session
.	.	.

He	he	He
said	said	said
that	that	that
he	he	he
was	was	wa
confident	confid	confident
that	that	that
the	the	the
senate	senat	senate
now	now	now
has	has	ha
the	the	the
votes	vote	vote
to	to	to
deal	deal	deal
with	with	with
this	this	this
issue	issu	issue
.	.	.

Sanctuary	sanctuari	Sanctuary
cities	citi	city
legislation	legisl	legislation
was	was	wa
a	a	a
contentious	contenti	contentious
topic	topic	topic
in	in	in
the	the	the
senate	senat	senate
this	this	this
past	past	past
session	session	session
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News

