Ever	ever	Ever
d	d	d
be	be	be
fine	fine	fine
with	with	with
that	that	that
.	.	.
I	i	I
would	would	would
be	be	be
fine	fine	fine
.	.	.
I	i	I
would	would	would
be	be	be
totally	total	totally
okay	okay	okay
with	with	with
that	that	that
,	,	,
if	if	if
the	the	the
government	govern	government
did	did	did
that	that	that
.	.	.
That	that	That
s	s	s
what	what	what
they	they	they
would	would	would
do	do	do
,	,	,
if	if	if
we	we	we
lived	live	lived
in	in	in
a	a	a
righteous	righteous	righteous
nation	nation	nation
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
this	this	this
Jiminez	jiminez	Jiminez
character	charact	character
is	is	is
essentially	essenti	essentially
calling	call	calling
for	for	for
a	a	a
queer	queer	queer
holocaust	holocaust	holocaust
,	,	,
right	right	right
here	here	here
in	in	in
America	america	America
in	in	in
2016	2016	2016
.	.	.
This	this	This
is	is	is
where	where	where
the	the	the
government	govern	government
really	realli	really
should	should	should
draw	draw	draw
the	the	the
line	line	line
.	.	.
Whether	whether	Whether
Jiminez	jiminez	Jiminez
is	is	is
calling	call	calling
people	peopl	people
to	to	to
arms	arm	arm
or	or	or
not	not	not
,	,	,
this	this	this
is	is	is
the	the	the
sort	sort	sort
of	of	of
hate	hate	hate
speech	speech	speech
that	that	that
causes	caus	cause
situations	situat	situation
like	like	like
Orlando	orlando	Orlando
s	s	s
tragic	tragic	tragic
massacre	massacr	massacre
.	.	.
This	this	This
is	is	is
literally	liter	literally
giving	give	giving
deranged	derang	deranged
,	,	,
hateful	hate	hateful
individuals	individu	individual
permission	permiss	permission
to	to	to
go	go	go
out	out	out
and	and	and
kill	kill	kill
people	peopl	people
they	they	they
deem	deem	deem
worthy	worthi	worthy
of	of	of
death	death	death
.	.	.
It	it	It
s	s	s
Roger	roger	Roger
Jiminez	jiminez	Jiminez
that	that	that
the	the	the
government	govern	government
needs	need	need
to	to	to
be	be	be
doing	do	doing
something	someth	something
about	about	about
,	,	,
not	not	not
LGBTQ	lgbtq	LGBTQ
people	peopl	people
.	.	.
Watch	watch	Watch
the	the	the
nauseating	nauseat	nauseating
remarks	remark	remark
below	below	below
,	,	,
via	via	via
Raw	raw	Raw
Story	stori	Story
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
