If	if	If
and	and	and
stalk	stalk	stalk
white	white	white
people	peopl	people
s	s	s
houses	hous	house
or	or	or
just	just	just
come	come	come
to	to	to
the	the	the
black	black	black
neighborhoods	neighborhood	neighborhood
and	and	and
stalk	stalk	stalk
our	our	our
houses	hous	house
?	?	?
Monica	monica	Monica
Conyers	conyer	Conyers
,	,	,
wife	wife	wife
of	of	of
John	john	John
Conyers	conyer	Conyers
,	,	,
accuses	accus	accuses
the	the	the
media	media	medium
of	of	of
stalking	stalk	stalking
black	black	black
people	peopl	people
.	.	.
Typical	typic	Typical
,	,	,
a	a	a
Dem	dem	Dem
goes	goe	go
right	right	right
to	to	to
race	race	race
baiting	bait	baiting
.	.	.
It	it	It
s	s	s
pretty	pretti	pretty
pathetic	pathet	pathetic
at	at	at
this	this	this
point	point	point
.	.	.
pic.twitter.com/v6xToqEbqW	pic.twitter.com/v6xtoqebqw	pic.twitter.com/v6xToqEbqW
Based	base	Based
Monitored	monitor	Monitored
@BasedMonitored	@basedmonitor	@BasedMonitored
November	novemb	November
29	29	29
,	,	,
2017Earlier	2017earlier	2017Earlier
,	,	,
her	her	her
son	son	son
,	,	,
John	john	John
Conyers	conyer	Conyers
III	iii	III
,	,	,
said	said	said
it	it	it
was	was	wa
disconcerting	disconcert	disconcerting
to	to	to
see	see	see
how	how	how
his	his	his
father	father	father
was	was	wa
being	be	being
treated	treat	treated
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
allegations	alleg	allegation
regarding	regard	regarding
the	the	the
longest	longest	longest
-serving	-serv	-serving
member	member	member
of	of	of
the	the	the
House	hous	House
.	.	.
John	john	John
Conyers	conyer	Conyers
III	iii	III
spoke	spoke	spoke
to	to	to
reporters	report	reporter
early	earli	early
Wednesday	wednesday	Wednesday
outside	outsid	outside
his	his	his
family	famili	family
s	s	s
Detroit	detroit	Detroit
home	home	home
,	,	,
saying	say	saying
it	it	it
s	s	s
very	veri	very
unfortunate	unfortun	unfortunate
to	to	to
see	see	see
him	him	him
fight	fight	fight
so	so	so
long	long	long
for	for	for
so	so	so
many	mani	many
people	peopl	people
and	and	and
to	to	to
automatically	automat	automatically
have	have	have
the	the	the
allegations	alleg	allegation
assumed	assum	assumed
to	to	to
be	be	be
true	true	true
.	.	.
Conyers	conyer	Conyers
said	said	said
her	her	her
husband	husband	husband
wasn	wasn	wasn
t	t	t
home	home	home
and	and	and
that	that	that
she	she	she
didn	didn	didn
t	t	t
know	know	know
his	his	his
whereabouts	whereabout	whereabouts
HERE	here	HERE
S	s	S
A	a	A
GREAT	great	GREAT
EXAMPLE	exampl	EXAMPLE
OF	of	OF
WHAT	what	WHAT
A	a	A
NASTY	nasti	NASTY
WOMAN	woman	WOMAN
MONICA	monica	MONICA
CONYERS	conyer	CONYERS
IS	is	IS
Watching	watch	Watching
this	this	this
video	video	video
will	will	will
help	help	help
anyone	anyon	anyone
who	who	who
is	is	is
curious	curious	curious
about	about	about
why	whi	why
the	the	the
city	citi	city
of	of	of
Detroit	detroit	Detroit
continues	continu	continues
to	to	to
be	be	be
bailed	bail	bailed
out	out	out
of	of	of
trouble	troubl	trouble
like	like	like
an	an	an
irresponsible	irrespons	irresponsible
child	child	child
with	with	with
a	a	a
trust	trust	trust
fund	fund	fund
.	.	.
This	this	This
video	video	video
of	of	of
Detroit	detroit	Detroit
City	citi	City
Council	council	Council
member	member	member
Monica	monica	Monica
Conyers	conyer	Conyers
D	d	D
,	,	,
wife	wife	wife
of	of	of
US	us	US
Representative	repres	Representative
John	john	John
Conyers	conyer	Conyers
helps	help	help
to	to	to
explain	explain	explain
the	the	the
type	type	type
of	of	of
character	charact	character
Detroit	detroit	Detroit
voters	voter	voter
have	have	have
been	been	been
placing	place	placing
their	their	their
trust	trust	trust
in	in	in
for	for	for
decades	decad	decade
.	.	.
This	this	This
is	is	is
an	an	an
older	older	older
video	video	video
,	,	,
but	but	but
definitely	definit	definitely
worth	worth	worth
sharing	share	sharing
.	.	.
Shortly	short	Shortly
after	after	after
this	this	this
debate	debat	debate
with	with	with
an	an	an
8th	8th	8th
grader	grader	grader
,	,	,
City	citi	City
Councilwoman	councilwoman	Councilwoman
Monica	monica	Monica
Conyers	conyer	Conyers
was	was	wa
found	found	found
guilty	guilti	guilty
of	of	of
bribery	briberi	bribery
and	and	and
sent	sent	sent
to	to	to
prison	prison	prison
for	for	for
3	3	3
years	year	year
.	.	.
Former	former	Former
Detroit	detroit	Detroit
City	citi	City
councilwoman	councilwoman	councilwoman
,	,	,
Monica	monica	Monica
Conyers	conyer	Conyers
was	was	wa
sentenced	sentenc	sentenced
to	to	to
more	more	more
than	than	than
three	three	three
years	year	year
in	in	in
prison	prison	prison
for	for	for
bribery	briberi	bribery
after	after	after
a	a	a
federal	feder	federal
judge	judg	judge
refused	refus	refused
to	to	to
set	set	set
aside	asid	aside
her	her	her
guilty	guilti	guilty
plea	plea	plea
during	dure	during
a	a	a
stormy	stormi	stormy
court	court	court
hearing	hear	hearing
dominated	domin	dominated
by	by	by
a	a	a
dispute	disput	dispute
over	over	over
evidence	evid	evidence
of	of	of
other	other	other
payoffs	payoff	payoff
.	.	.
As	as	As
guards	guard	guard
cleared	clear	cleared
the	the	the
packed	pack	packed
courtroom	courtroom	courtroom
,	,	,
Monica	monica	Monica
Conyers	conyer	Conyers
yelled	yell	yelled
that	that	that
she	she	she
planned	plan	planned
to	to	to
appeal	appeal	appeal
.	.	.
The	the	The
wife	wife	wife
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.
John	john	John
Conyers	conyer	Conyers
,	,	,
D	d	D
-Mich	-mich	-Mich
.	.	.
,	,	,
wanted	want	wanted
to	to	to
withdraw	withdraw	withdraw
her	her	her
guilty	guilti	guilty
plea	plea	plea
,	,	,
suggesting	suggest	suggesting
she	she	she
was	was	wa
the	the	the
victim	victim	victim
of	of	of
badgering	badger	badgering
last	last	last
year	year	year
when	when	when
she	she	she
admitted	admit	admitted
taking	take	taking
cash	cash	cash
to	to	to
support	support	support
a	a	a
Houston	houston	Houston
company	compani	company
s	s	s
sludge	sludg	sludge
contract	contract	contract
with	with	with
the	the	the
city	citi	city
.	.	.
But	but	But
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
Avern	avern	Avern
Cohn	cohn	Cohn
,	,	,
reviewing	review	reviewing
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
June	june	June
hearing	hear	hearing
,	,	,
said	said	said
Conyers	conyer	Conyers
had	had	had
denied	deni	denied
any	ani	any
coercion	coercion	coercion
and	and	and
voluntarily	voluntarili	voluntarily
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
conspiracy	conspiraci	conspiracy
.	.	.
Conyers	conyer	Conyers
,	,	,
45	45	45
,	,	,
is	is	is
the	the	the
biggest	biggest	biggest
catch	catch	catch
so	so	so
far	far	far
in	in	in
the	the	the
FBI	fbi	FBI
s	s	s
wide	wide	wide
-ranging	-rang	-ranging
investigation	investig	investigation
of	of	of
corruption	corrupt	corruption
in	in	in
Detroit	detroit	Detroit
city	citi	city
government	govern	government
.	.	.
Nine	nine	Nine
people	peopl	people
have	have	have
pleaded	plead	pleaded
guilty	guilti	guilty
,	,	,
including	includ	including
two	two	two
former	former	former
directors	director	director
of	of	of
the	the	the
downtown	downtown	downtown
convention	convent	convention
center	center	center
,	,	,
and	and	and
prosecutors	prosecutor	prosecutor
have	have	have
promised	promis	promised
more	more	more
charges	charg	charge
are	are	are
coming	come	coming
.	.	.
Bribery	briberi	Bribery
is	is	is
a	a	a
betrayal	betray	betrayal
of	of	of
trust	trust	trust
,	,	,
Cohn	cohn	Cohn
told	told	told
Conyers	conyer	Conyers
after	after	after
announcing	announc	announcing
a	a	a
37	37	37
-month	-month	-month
prison	prison	prison
term	term	term
for	for	for
her	her	her
egregious	egregi	egregious
crime	crime	crime
.	.	.
She	she	She
quit	quit	quit
the	the	the
council	council	council
after	after	after
pleading	plead	pleading
guilty	guilti	guilty
in	in	in
June	june	June
.	.	.
Conyers	conyer	Conyers
plea	plea	plea
deal	deal	deal
was	was	wa
limited	limit	limited
to	to	to
taking	take	taking
bribes	bribe	bribe
to	to	to
support	support	support
a	a	a
contract	contract	contract
with	with	with
Synagro	synagro	Synagro
worth	worth	worth
47	47	47
million	million	million
a	a	a
year	year	year
.	.	.
But	but	But
the	the	the
recent	recent	recent
trial	trial	trial
of	of	of
her	her	her
former	former	former
aide	aid	aide
,	,	,
Sam	sam	Sam
Riddle	riddl	Riddle
,	,	,
exposed	expos	exposed
a	a	a
series	seri	series
of	of	of
alleged	alleg	alleged
schemes	scheme	scheme
involving	involv	involving
others	other	others
making	make	making
payoffs	payoff	payoff
to	to	to
do	do	do
business	busi	business
at	at	at
city	citi	city
hall	hall	hall
.	.	.
Prosecutors	prosecutor	Prosecutors
said	said	said
Riddle	riddl	Riddle
and	and	and
Conyers	conyer	Conyers
collected	collect	collected
69	69	69
,	,	,
500	500	500
by	by	by
shaking	shake	shaking
people	peopl	people
down	down	down
and	and	and
urged	urg	urged
Cohn	cohn	Cohn
to	to	to
consider	consid	consider
the	the	the
alleged	alleg	alleged
crimes	crime	crime
when	when	when
sentencing	sentenc	sentencing
her	her	her
.	.	.
Defense	defens	Defense
lawyer	lawyer	lawyer
Steve	steve	Steve
Fishman	fishman	Fishman
firmly	firm	firmly
objected	object	objected
and	and	and
demanded	demand	demanded
a	a	a
separate	separ	separate
hearing	hear	hearing
.	.	.
Conyers	conyer	Conyers
declared	declar	declared
,	,	,
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
jail	jail	jail
for	for	for
something	someth	something
I	i	I
didn	didn	didn
t	t	t
do	do	do
.	.	.
Before	befor	Before
the	the	the
hearing	hear	hearing
,	,	,
Conyers	conyer	Conyers
moved	move	moved
around	around	around
the	the	the
courtroom	courtroom	courtroom
like	like	like
a	a	a
playful	play	playful
host	host	host
,	,	,
blowing	blow	blowing
kisses	kiss	kiss
to	to	to
supporters	support	supporter
while	while	while
wearing	wear	wearing
dark	dark	dark
sunglasses	sunglass	sunglass
.	.	.
Her	her	Her
husband	husband	husband
,	,	,
who	who	who
has	has	ha
an	an	an
office	offic	office
in	in	in
the	the	the
federal	feder	federal
courthouse	courthous	courthouse
,	,	,
was	was	wa
not	not	not
in	in	in
the	the	the
courtroom	courtroom	courtroom
.	.	.
Spokesman	spokesman	Spokesman
Jonathan	jonathan	Jonathan
Godfrey	godfrey	Godfrey
said	said	said
he	he	he
didn	didn	didn
t	t	t
know	know	know
his	his	his
whereabouts	whereabout	whereabouts
.	.	.
Via	via	Via
Huff	huff	Huff
PostDespite	postdespit	PostDespite
her	her	her
going	go	going
to	to	to
prison	prison	prison
,	,	,
losing	lose	losing
her	her	her
political	polit	political
job	job	job
and	and	and
often	often	often
embarrassing	embarrass	embarrassing
the	the	the
family	famili	family
with	with	with
her	her	her
behavior	behavior	behavior
in	in	in
City	citi	City
Hall	hall	Hall
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.
John	john	John
Conyers	conyer	Conyers
does	doe	doe
not	not	not
want	want	want
a	a	a
divorce	divorc	divorce
from	from	from
his	his	his
feisty	feisti	feisty
wife	wife	wife
,	,	,
Monica	monica	Monica
Conyers	conyer	Conyers
,	,	,
his	his	his
lawyer	lawyer	lawyer
told	told	told
the	the	the
Free	free	Free
Press	press	Press
on	on	on
Monday	monday	Monday
.	.	.
The	the	The
former	former	former
Detroit	detroit	Detroit
city	citi	city
councilwoman	councilwoman	councilwoman
filed	file	filed
for	for	for
divorce	divorc	divorce
last	last	last
month	month	month
,	,	,
claiming	claim	claiming
the	the	the
marriage	marriag	marriage
has	has	ha
fallen	fallen	fallen
apart	apart	apart
beyond	beyond	beyond
repair	repair	repair
.	.	.
But	but	But
her	her	her
86	86	86
-year-old	-year-old	-year-old
husband	husband	husband
wants	want	want
to	to	to
work	work	work
things	thing	thing
out	out	out
.	.	.
Detroit	detroit	Detroit
Free	free	Free
Press	press	Press
