While	while	While
We	we	We
ll	ll	ll
see	see	see
what	what	what
happens	happen	happens
and	and	and
I	i	I
think	think	think
the	the	the
situation	situat	situation
may	may	may
evolve	evolv	evolve
over	over	over
time	time	time
.	.	.

I	i	I
don	don	don
t	t	t
expect	expect	expect
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
to	to	to
say	say	say
that	that	that
is	is	is
the	the	the
case	case	case
today	today	today
.	.	.

President	presid	President
Obama	obama	Obama
then	then	then
goes	goe	go
on	on	on
to	to	to
lay	lay	lay
all	all	all
the	the	the
cards	card	card
on	on	on
the	the	the
table	tabl	table
and	and	and
simply	simpli	simply
show	show	show
the	the	the
Republicans	republican	Republicans
for	for	for
what	what	what
they	they	they
are	are	are
unconstitutional	unconstitut	unconstitutional
fools	fool	fool
.	.	.

The	the	The
GOP	gop	GOP
is	is	is
trying	tri	trying
so	so	so
hard	hard	hard
to	to	to
prevent	prevent	prevent
Obama	obama	Obama
that	that	that
they	they	they
are	are	are
going	go	going
against	against	against
their	their	their
supposed	suppos	supposed
values	valu	value
of	of	of
being	be	being
strict	strict	strict
constitutionalists	constitutionalist	constitutionalist
,	,	,
and	and	and
Obama	obama	Obama
shows	show	show
them	them	them
as	as	a
the	the	the
hypocrites	hypocrit	hypocrite
that	that	that
they	they	they
truly	truli	truly
are	are	are
.	.	.
Obama	obama	Obama
said	said	said
It	it	It
s	s	s
not	not	not
in	in	in
the	the	the
text	text	text
of	of	of
the	the	the
Constitution	constitut	Constitution
.	.	.

Ironically	iron	Ironically
,	,	,
these	these	these
are	are	are
Republicans	republican	Republicans
who	who	who
say	say	say
they	they	they
believe	believ	believe
in	in	in
reading	read	reading
the	the	the
text	text	text
of	of	of
the	the	the
Constitution	constitut	Constitution
and	and	and
focusing	focus	focusing
on	on	on
the	the	the
intent	intent	intent
of	of	of
the	the	the
Constitution	constitut	Constitution
.	.	.

None	none	None
of	of	of
the	the	the
Founding	found	Founding
Fathers	father	Fathers
thought	thought	thought
that	that	that
,	,	,
when	when	when
it	it	it
comes	come	come
to	to	to
the	the	the
President	presid	President
carrying	carri	carrying
out	out	out
his	his	his
duties	duti	duty
,	,	,
he	he	he
should	should	should
do	do	do
it	it	it
for	for	for
three	three	three
years	year	year
and	and	and
on	on	on
the	the	the
last	last	last
year	year	year
stop	stop	stop
doing	do	doing
it	it	it
.	.	.

Also	also	Also
saying	say	saying
that	that	that
these	these	these
Republicans	republican	Republicans
take	take	take
a	a	a
posture	postur	posture
that	that	that
defies	defi	defies
the	the	the
Constitution	constitut	Constitution
,	,	,
defies	defi	defies
logic	logic	logic
,	,	,
and	and	and
is	is	is
not	not	not
supported	support	supported
by	by	by
tradition	tradit	tradition
.	.	.

And	and	And
really	realli	really
not	not	not
holding	hold	holding
back	back	back
,	,	,
the	the	the
president	presid	president
states	state	state
There	there	There
s	s	s
not	not	not
a	a	a
lot	lot	lot
of	of	of
vigor	vigor	vigor
when	when	when
they	they	they
defend	defend	defend
the	the	the
position	posit	position
they	they	they
re	re	re
taking	take	taking
when	when	when
they	they	they
defend	defend	defend
their	their	their
point	point	point
.	.	.

They	they	They
re	re	re
pretty	pretti	pretty
sheepish	sheepish	sheepish
about	about	about
it	it	it
when	when	when
they	they	they
make	make	make
those	those	those
comments	comment	comment
.	.	.

Which	which	Which
is	is	is
exactly	exact	exactly
what	what	what
they	they	they
are	are	are
.	.	.

These	these	These
Republicans	republican	Republicans
are	are	are
choosing	choos	choosing
party	parti	party
politics	polit	politics
over	over	over
what	what	what
s	s	s
best	best	best
for	for	for
the	the	the
nation	nation	nation
.	.	.

They	they	They
want	want	want
to	to	to
obstruct	obstruct	obstruct
any	ani	any
choice	choic	choice
the	the	the
president	presid	president
makes	make	make
while	while	while
vilifying	vilifi	vilifying
a	a	a
hypothetical	hypothet	hypothetical
appointee	appointe	appointee
before	befor	before
they	they	they
even	even	even
know	know	know
who	who	who
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
.	.	.

They	they	They
aren	aren	aren
t	t	t
even	even	even
hiding	hide	hiding
their	their	their
blatant	blatant	blatant
politicking	politick	politicking
anymore	anymor	anymore
.	.	.

To	to	To
be	be	be
honest	honest	honest
,	,	,
these	these	these
Republicans	republican	Republicans
should	should	should
all	all	all
find	find	find
a	a	a
new	new	new
job	job	job
if	if	if
they	they	they
don	don	don
t	t	t
want	want	want
to	to	to
do	do	do
the	the	the
one	one	one
they	they	they
ve	ve	ve
been	been	been
elected	elect	elected
to	to	to
do	do	do
.	.	.
Featured	featur	Featured
image	imag	image
Pete	pete	Pete
Souza	souza	Souza
Instagram	instagram	Instagram

