Neil	neil	Neil
Cavuto	cavuto	Cavuto
confronted	confront	confronted
her	her	her
about	about	about
this	this	this
and	and	and
brought	brought	brought
up	up	up
the	the	the
coarse	coars	coarse
language	languag	language
from	from	from
presidents	presid	president
past	past	past
.	.	.

She	she	She
argued	argu	argued
that	that	that
he	he	he
is	is	is
incompatible	incompat	incompatible
with	with	with
the	the	the
office	offic	office
,	,	,
and	and	and
in	in	in
addition	addit	addition
to	to	to
issues	issu	issue
like	like	like
Russia	russia	Russia
and	and	and
James	jame	James
Comey	comey	Comey
,	,	,
his	his	his
continuous	continu	continuous
assault	assault	assault
on	on	on
women	women	woman
only	onli	only
adds	add	add
to	to	to
it	it	it
.	.	.
She	she	She
called	call	called
Trump	trump	Trump
ill	ill	ill
-suited	-suit	-suited
for	for	for
the	the	the
office	offic	office
,	,	,
and	and	and
when	when	when
Cavuto	cavuto	Cavuto
pressed	press	pressed
her	her	her
further	further	further
by	by	by
saying	say	saying
let	let	let
the	the	the
American	american	American
people	peopl	people
decide	decid	decide
,	,	,
the	the	the
congresswoman	congresswoman	congresswoman
responded	respond	responded
by	by	by
pointing	point	pointing
to	to	to
the	the	the
President	presid	President
s	s	s
low	low	low
poll	poll	poll
numbers	number	number
.	.	.
Jackson	jackson	Jackson
said	said	said
she	she	she
s	s	s
going	go	going
by	by	by
his	his	his
behavior	behavior	behavior
in	in	in
decrying	decri	decrying
his	his	his
unfitness	unfit	unfitness
for	for	for
office	offic	office
and	and	and
Cavuto	cavuto	Cavuto
shot	shot	shot
back	back	back
by	by	by
saying	say	saying
she	she	she
just	just	just
doesn	doesn	doesn
t	t	t
like	like	like
him	him	him
.	.	.
They	they	They
kept	kept	kept
going	go	going
back	back	back
and	and	and
forth	forth	forth
,	,	,
including	includ	including
on	on	on
the	the	the
question	question	question
of	of	of
the	the	the
25th	25th	25th
amendment	amend	amendment
,	,	,
and	and	and
Cavuto	cavuto	Cavuto
asked	ask	asked
her	her	her
if	if	if
she	she	she
should	should	should
be	be	be
waiting	wait	waiting
for	for	for
more	more	more
evidence	evid	evidence
of	of	of
something	someth	something
actionable	action	actionable
.	.	.
Jackson	jackson	Jackson
Lee	lee	Lee
said	said	said
impeachment	impeach	impeachment
is	is	is
a	a	a
separate	separ	separate
matter	matter	matter
,	,	,
telling	tell	telling
Cavuto	cavuto	Cavuto
,	,	,
I	i	I
hope	hope	hope
he	he	he
does	doe	doe
the	the	the
right	right	right
thing	thing	thing
and	and	and
resigns	resign	resigns
.	.	.

And	and	And
yes	yes	yes
,	,	,
she	she	she
is	is	is
completely	complet	completely
standing	stand	standing
by	by	by
this	this	this
I	i	I
will	will	will
not	not	not
back	back	back
down	down	down
.	.	.

The	the	The
President	presid	President
has	has	ha
lost	lost	lost
the	the	the
trust	trust	trust
of	of	of
the	the	the
American	american	American
people	peopl	people
and	and	and
needs	need	need
to	to	to
resign	resign	resign
.	.	.

WWE	wwe	WWE
KNOW	know	KNOW
THIS	this	THIS
WOMAN	woman	WOMAN
HAS	has	HAS
A	a	A
LONG	long	LONG
HISTORY	histori	HISTORY
OF	of	OF
BULLYING	bulli	BULLYING
PEOPLE	peopl	PEOPLE
.	.	.

PLEASE	pleas	PLEASE
WATCH	watch	WATCH
THE	the	THE
VIDEO	video	VIDEO
BELOW	below	BELOW
OF	of	OF
AN	an	AN
EXCHANGE	exchang	EXCHANGE
WITH	with	WITH
MICK	mick	MICK
MULVANEY	mulvaney	MULVANEY
HE	he	HE
GETS	get	GETS
INTO	into	INTO
IT	it	IT
WITH	with	WITH
HER	her	HER
Mick	mick	Mick
Mulvaney	mulvaney	Mulvaney
is	is	is
one	one	one
smart	smart	smart
cookie	cooki	cookie
.	.	.

He	he	He
s	s	s
doing	do	doing
a	a	a
fantastic	fantast	fantastic
job	job	job
cutting	cut	cutting
where	where	where
cuts	cut	cut
need	need	need
to	to	to
be	be	be
made	made	made
.	.	.

Congress	congress	Congress
will	will	will
complain	complain	complain
about	about	about
ANY	ani	ANY
cut	cut	cut
to	to	to
their	their	their
voter	voter	voter
base	base	base
s	s	s
favorite	favorit	favorite
item	item	item
.	.	.

Listen	listen	Listen
to	to	to
the	the	the
grandstanding	grandstand	grandstanding
from	from	from
Jackson	jackson	Jackson
-Lee	-lee	-Lee
on	on	on
cuts	cut	cut
to	to	to
medicaid	medicaid	medicaid
They	they	They
are	are	are
begging	beg	begging
for	for	for
their	their	their
medicaid	medicaid	medicaid
The	the	The
Grandstanding	grandstand	Grandstanding
is	is	is
so	so	so
sickening	sicken	sickening
!	!	!
It	it	It
went	went	went
downhill	downhil	downhill
from	from	from
there	there	there
.	.	.

Jackson	jackson	Jackson
-Lee	-lee	-Lee
wanted	want	wanted
to	to	to
try	tri	try
and	and	and
make	make	make
Mulvaney	mulvaney	Mulvaney
out	out	out
to	to	to
be	be	be
an	an	an
uncaring	uncar	uncaring
guy	guy	guy
.	.	.

She	she	She
s	s	s
a	a	a
total	total	total
bully	bulli	bully
!	!	!
HE	he	HE
S	s	S
ONE	one	ONE
SMART	smart	SMART
COOKE	cook	COOKE
!	!	!

MULVANEY	mulvaney	MULVANEY
JUST	just	JUST
GAVE	gave	GAVE
DETAILS	detail	DETAILS
OF	of	OF
THE	the	THE
BUDGET	budget	BUDGET
CUTS	cut	CUTS
IN	in	IN
A	a	A
FANTASTIC	fantast	FANTASTIC
PRESS	press	PRESS
CONFERENCE	confer	CONFERENCE
.	.	.

WE	we	WE
HIGHLY	high	HIGHLY
RECOMMEND	recommend	RECOMMEND
THE	the	THE
ENTIRE	entir	ENTIRE
VIDEO	video	VIDEO
BELOW	below	BELOW
Office	offic	Office
of	of	of
Management	manag	Management
and	and	and
Budgets	budget	Budgets
OMB	omb	OMB
Director	director	Director
Mick	mick	Mick
Mulvaney	mulvaney	Mulvaney
outlines	outlin	outline
the	the	the
structure	structur	structure
,	,	,
intents	intent	intent
and	and	and
purposes	purpos	purpose
of	of	of
the	the	the
Trump	trump	Trump
administration	administr	administration
Fiscal	fiscal	Fiscal
Year	year	Year
2018	2018	2018
Budget	budget	Budget
The	the	The
Taxpayers	taxpay	Taxpayers
Budget	budget	Budget
The	the	The
best	best	best
part	part	part
of	of	of
this	this	this
great	great	great
news	news	news
conference	confer	conference
is	is	is
when	when	when
a	a	a
reporter	report	reporter
asks	ask	asks
about	about	about
cuts	cut	cut
to	to	to
climate	climat	climate
science	scienc	science
programs	program	program
At	at	At
the	the	the
17	17	17
00	00	00
mark	mark	mark
Mick	mick	Mick
Mulvaney	mulvaney	Mulvaney
rips	rip	rip
into	into	into
the	the	the
reporter	report	reporter
and	and	and
it	it	it
s	s	s
just	just	just
awesome	awesom	awesome
!	!	!
We	we	We
recommend	recommend	recommend
the	the	the
entire	entir	entire
video	video	video
because	becaus	because
you	you	you
ll	ll	ll
see	see	see
Trump	trump	Trump
hired	hire	hired
one	one	one
smart	smart	smart
cookie	cooki	cookie
!	!	!

Mick	mick	Mick
Mulvaney	mulvaney	Mulvaney
knows	know	know
the	the	the
budget	budget	budget
and	and	and
handles	handl	handle
the	the	the
press	press	press
beautifully	beauti	beautifully
!	!	!

