Paul	paul	Paul
prison	prison	prison
statistics	statist	statistic
for	for	for
Maine	main	Maine
paint	paint	paint
a	a	a
fairly	fair	fairly
grim	grim	grim
picture	pictur	picture
.	.	.

Per	per	Per
100	100	100
,	,	,
000	000	000
residents	resid	resident
,	,	,
Maine	main	Maine
has	has	ha
140	140	140
white	white	white
people	peopl	people
incarcerated	incarcer	incarcerated
,	,	,
104	104	104
Hispanics	hispan	Hispanics
incarcerated	incarcer	incarcerated
,	,	,
and	and	and
an	an	an
astonishing	astonish	astonishing
839	839	839
black	black	black
people	peopl	people
incarcerated	incarcer	incarcerated
.	.	.
That	that	That
s	s	s
a	a	a
prison	prison	prison
population	popul	population
that	that	that
s	s	s
roughly	rough	roughly
77	77	77
percent	percent	percent
black	black	black
,	,	,
and	and	and
10	10	10
percent	percent	percent
Hispanic	hispan	Hispanic
,	,	,
so	so	so
LePage	lepag	LePage
s	s	s
90	90	90
percent	percent	percent
comment	comment	comment
is	is	is
actually	actual	actually
not	not	not
far	far	far
off	off	off
.	.	.
However	howev	However
,	,	,
in	in	in
a	a	a
state	state	state
that	that	that
s	s	s
95	95	95
percent	percent	percent
white	white	white
,	,	,
that	that	that
s	s	s
really	realli	really
sick	sick	sick
.	.	.
And	and	And
LePage	lepag	LePage
trots	trot	trot
out	out	out
these	these	these
statistics	statist	statistic
specifically	specif	specifically
to	to	to
perpetuate	perpetu	perpetuate
hate	hate	hate
against	against	against
people	peopl	people
of	of	of
color	color	color
,	,	,
when	when	when
in	in	in
reality	realiti	reality
the	the	the
disparity	dispar	disparity
is	is	is
largely	larg	largely
due	due	due
to	to	to
racism	racism	racism
in	in	in
the	the	the
justice	justic	justice
system	system	system
.	.	.
The	the	The
ACLU	aclu	ACLU
of	of	of
Maine	main	Maine
has	has	ha
a	a	a
problem	problem	problem
with	with	with
this	this	this
,	,	,
obviously	obvious	obviously
,	,	,
because	becaus	because
it	it	it
means	mean	mean
that	that	that
Maine	main	Maine
police	polic	police
are	are	are
nine	nine	nine
times	time	time
more	more	more
likely	like	likely
to	to	to
arrest	arrest	arrest
a	a	a
person	person	person
of	of	of
color	color	color
than	than	than
they	they	they
are	are	are
to	to	to
arrest	arrest	arrest
a	a	a
white	white	white
person	person	person
,	,	,
even	even	even
though	though	though
whites	white	white
and	and	and
people	peopl	people
of	of	of
color	color	color
deal	deal	deal
drugs	drug	drug
at	at	at
about	about	about
the	the	the
same	same	same
rate	rate	rate
.	.	.

Despite	despit	Despite
that	that	that
pesky	peski	pesky
little	littl	little
fact	fact	fact
,	,	,
LePage	lepag	LePage
is	is	is
implying	impli	implying
that	that	that
Maine	main	Maine
is	is	is
in	in	in
an	an	an
all	all	all
-out	-out	-out
war	war	war
against	against	against
people	peopl	people
of	of	of
color	color	color
for	for	for
no	no	no
other	other	other
reason	reason	reason
than	than	than
he	he	he
s	s	s
a	a	a
racist	racist	racist
dick	dick	dick
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Maine	main	Maine
Dept	dept	Dept
.	.	.

of	of	of
Education	educ	Education
.	.	.

Licensed	licens	Licensed
under	under	under
CC	cc	CC
BY	by	BY
-SA	-sa	-SA
2	2	2
.	.	.
0	0	0
via	via	via
Flickr	flickr	Flickr

