UK	uk	UK
jackets	jacket	jacket
with	with	with
their	their	their
logo	logo	logo
on	on	on
the	the	the
back	back	back
.	.	.
They	they	They
have	have	have
vowed	vow	vowed
to	to	to
take	take	take
direct	direct	direct
action	action	action
to	to	to
protect	protect	protect
their	their	their
wives	wive	wife
,	,	,
girlfriends	girlfriend	girlfriend
and	and	and
children	children	child
after	after	after
a	a	a
migrant	migrant	migrant
influx	influx	influx
to	to	to
the	the	the
liberal	liber	liberal
Scandinavian	scandinavian	Scandinavian
country	countri	country
.	.	.
The	the	The
gang	gang	gang
which	which	which
claims	claim	claim
to	to	to
have	have	have
cells	cell	cell
across	across	across
Europe	europ	Europe
says	say	say
it	it	it
mobilised	mobilis	mobilised
after	after	after
a	a	a
rise	rise	rise
in	in	in
migrant	migrant	migrant
-related	-relat	-related
crime	crime	crime
over	over	over
the	the	the
past	past	past
12	12	12
months	month	month
because	becaus	because
the	the	the
Finnish	finnish	Finnish
government	govern	government
has	has	ha
screwed	screw	screwed
everything	everyth	everything
up	up	up
.	.	.
We	we	We
went	went	went
on	on	on
patrol	patrol	patrol
with	with	with
The	the	The
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
,	,	,
described	describ	described
by	by	by
some	some	some
as	as	a
far	far	far
-Right	-right	-Right
fascists	fascist	fascist
,	,	,
as	as	a
they	they	they
pounded	pound	pounded
the	the	the
streets	street	street
of	of	of
Kemi	kemi	Kemi
,	,	,
western	western	western
Finland	finland	Finland
,	,	,
clad	clad	clad
in	in	in
black	black	black
and	and	and
led	led	led
by	by	by
a	a	a
snarling	snarl	snarling
mastiff	mastiff	mastiff
dog	dog	dog
towards	toward	towards
the	the	the
city	citi	city
s	s	s
refugee	refuge	refugee
centre	centr	centre
.	.	.
The	the	The
Government	govern	Government
screwed	screw	screwed
things	thing	thing
up	up	up
so	so	so
bad	bad	bad
,	,	,
and	and	and
we	we	we
are	are	are
the	the	the
consequence	consequ	consequence
,	,	,
says	say	say
masked	mask	masked
Jani	jani	Jani
,	,	,
27	27	27
,	,	,
one	one	one
of	of	of
the	the	the
group	group	group
s	s	s
leaders	leader	leader
,	,	,
who	who	who
works	work	work
in	in	in
a	a	a
paper	paper	paper
factory	factori	factory
by	by	by
day	day	day
.	.	.
Intimidation	intimid	Intimidation
A	a	A
member	member	member
of	of	of
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
in	in	in
Kemi	kemi	Kemi
takes	take	take
his	his	his
large	larg	large
snarling	snarl	snarling
Spanish	spanish	Spanish
mastiff	mastiff	mastiff
dog	dog	dog
on	on	on
patrol	patrol	patrol
around	around	around
a	a	a
local	local	local
migrant	migrant	migrant
shelter	shelter	shelter
Politicians	politician	Politicians
are	are	are
allowing	allow	allowing
migrants	migrant	migrant
to	to	to
rape	rape	rape
our	our	our
women	women	woman
,	,	,
and	and	and
they	they	they
are	are	are
doing	do	doing
nothing	noth	nothing
about	about	about
it	it	it
.	.	.
There	there	There
will	will	will
be	be	be
a	a	a
war	war	war
on	on	on
the	the	the
streets	street	street
,	,	,
and	and	and
we	we	we
are	are	are
ready	readi	ready
to	to	to
fight	fight	fight
.	.	.
Founded	found	Founded
in	in	in
September	septemb	September
by	by	by
ex	ex	ex
-convict	-convict	-convict
Mika	mika	Mika
Ranta	ranta	Ranta
,	,	,
a	a	a
self	self	self
-confessed	-confess	-confessed
,	,	,
violent	violent	violent
neo	neo	neo
-Nazi	-nazi	-Nazi
,	,	,
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
is	is	is
one	one	one
of	of	of
an	an	an
increasing	increas	increasing
number	number	number
of	of	of
anti	anti	anti
-migrant	-migrant	-migrant
groups	group	group
springing	spring	springing
up	up	up
across	across	across
the	the	the
continent	contin	continent
.	.	.
The	the	The
group	group	group
insists	insist	insists
it	it	it
has	has	ha
no	no	no
connection	connect	connection
to	to	to
the	the	the
Swedish	swedish	Swedish
football	footbal	football
firms	firm	firm
who	who	who
went	went	went
on	on	on
the	the	the
rampage	rampag	rampage
in	in	in
Stockholm	stockholm	Stockholm
last	last	last
week	week	week
,	,	,
and	and	and
says	say	say
it	it	it
has	has	ha
not	not	not
been	been	been
involved	involv	involved
in	in	in
violence	violenc	violence
.	.	.
But	but	But
according	accord	according
to	to	to
police	polic	police
,	,	,
it	it	it
is	is	is
just	just	just
a	a	a
matter	matter	matter
of	of	of
time	time	time
.	.	.
The	the	The
vast	vast	vast
majority	major	majority
of	of	of
the	the	the
Soldiers	soldier	Soldiers
of	of	of
Odin	odin	Odin
are	are	are
working	work	working
-class	-class	-class
.	.	.
MailOnline	mailonlin	MailOnline
met	met	met
a	a	a
dustman	dustman	dustman
,	,	,
several	sever	several
steel	steel	steel
workers	worker	worker
,	,	,
a	a	a
mechanic	mechan	mechanic
,	,	,
a	a	a
truck	truck	truck
driver	driver	driver
and	and	and
a	a	a
factory	factori	factory
worker	worker	worker
,	,	,
all	all	all
of	of	of
whom	whom	whom
patrol	patrol	patrol
regularly	regular	regularly
with	with	with
the	the	the
group	group	group
.	.	.
Many	mani	Many
more	more	more
are	are	are
unemployed	unemploy	unemployed
,	,	,
casualties	casualti	casualty
of	of	of
Finland	finland	Finland
s	s	s
three	three	three
-year	-year	-year
economic	econom	economic
downturn	downturn	downturn
.	.	.
Almost	almost	Almost
all	all	all
of	of	of
them	them	them
have	have	have
criminal	crimin	criminal
records	record	record
,	,	,
with	with	with
several	sever	several
having	have	having
served	serv	served
lengthy	lengthi	lengthy
prison	prison	prison
sentences	sentenc	sentence
.	.	.
The	the	The
criminal	crimin	criminal
record	record	record
belonging	belong	belonging
to	to	to
Juha	juha	Juha
-Matti	-matti	-Matti
Kinnunen	kinnunen	Kinnunen
,	,	,
27	27	27
,	,	,
one	one	one
of	of	of
the	the	the
Joensuu	joensuu	Joensuu
leaders	leader	leader
,	,	,
is	is	is
typical	typic	typical
.	.	.
With	with	With
30	30	30
offences	offenc	offence
to	to	to
his	his	his
name	name	name
,	,	,
including	includ	including
fraud	fraud	fraud
,	,	,
robbery	robberi	robbery
and	and	and
violence	violenc	violence
,	,	,
Kinnunen	kinnunen	Kinnunen
was	was	wa
also	also	also
convicted	convict	convicted
of	of	of
desertion	desert	desertion
from	from	from
the	the	the
military	militari	military
.	.	.
The	the	The
group	group	group
s	s	s
number	number	number
of	of	of
Facebook	facebook	Facebook
likes	like	like
,	,	,
currently	current	currently
at	at	at
almost	almost	almost
25	25	25
,	,	,
000	000	000
,	,	,
is	is	is
growing	grow	growing
daily	daili	daily
.	.	.
It	it	It
claims	claim	claim
to	to	to
have	have	have
600	600	600
members	member	member
in	in	in
more	more	more
than	than	than
25	25	25
cells	cell	cell
across	across	across
Finland	finland	Finland
,	,	,
Sweden	sweden	Sweden
,	,	,
Norway	norway	Norway
,	,	,
Denmark	denmark	Denmark
,	,	,
Poland	poland	Poland
,	,	,
Germany	germani	Germany
,	,	,
Estonia	estonia	Estonia
,	,	,
Hungary	hungari	Hungary
and	and	and
even	even	even
in	in	in
Britain	britain	Britain
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.
Many	mani	Many
local	local	local
people	peopl	people
find	find	find
the	the	the
group	group	group
intimidating	intimid	intimidating
.	.	.
In	in	In
Joensuu	joensuu	Joensuu
an	an	an
eastern	eastern	eastern
town	town	town
with	with	with
a	a	a
history	histori	history
of	of	of
skinhead	skinhead	skinhead
violence	violenc	violence
,	,	,
where	where	where
Odins	odin	Odins
are	are	are
banned	ban	banned
from	from	from
most	most	most
bars	bar	bar
a	a	a
female	femal	female
student	student	student
stops	stop	stop
her	her	her
bicycle	bicycl	bicycle
to	to	to
tell	tell	tell
MailOnline	mailonlin	MailOnline
that	that	that
she	she	she
is	is	is
suspicious	suspici	suspicious
of	of	of
the	the	the
vigilantes	vigilant	vigilante
as	as	a
the	the	the
patrol	patrol	patrol
trudges	trudg	trudge
past	past	past
in	in	in
the	the	the
snow	snow	snow
.	.	.
They	they	They
are	are	are
criminals	crimin	criminal
and	and	and
they	they	they
say	say	say
they	they	they
are	are	are
doing	do	doing
the	the	the
job	job	job
of	of	of
the	the	the
police	polic	police
,	,	,
she	she	she
says	say	say
.	.	.
Most	most	Most
people	peopl	people
think	think	think
they	they	they
are	are	are
neo	neo	neo
-Nazis	-nazi	-Nazis
.	.	.
With	with	With
snow	snow	snow
continuing	continu	continuing
to	to	to
fall	fall	fall
,	,	,
Jani	jani	Jani
pulls	pull	pull
out	out	out
his	his	his
phone	phone	phone
and	and	and
shows	show	show
MailOnline	mailonlin	MailOnline
a	a	a
picture	pictur	picture
of	of	of
a	a	a
dark	dark	dark
-skinned	-skin	-skinned
man	man	man
kissing	kiss	kissing
a	a	a
young	young	young
girl	girl	girl
.	.	.
She	she	She
is	is	is
12	12	12
years	year	year
old	old	old
,	,	,
he	he	he
says	say	say
,	,	,
sucking	suck	sucking
on	on	on
a	a	a
cigarette	cigarett	cigarette
.	.	.
A	a	A
local	local	local
person	person	person
passed	pass	passed
us	us	u
the	the	the
picture	pictur	picture
and	and	and
we	we	we
tracked	track	tracked
the	the	the
girl	girl	girl
down	down	down
.	.	.
We	we	We
told	told	told
her	her	her
parents	parent	parent
and	and	and
they	they	they
called	call	called
the	the	the
police	polic	police
.	.	.
That	that	That
is	is	is
what	what	what
we	we	we
do	do	do
and	and	and
why	whi	why
we	we	we
are	are	are
needed	need	needed
.	.	.
The	the	The
police	polic	police
are	are	are
doing	do	doing
nothing	noth	nothing
.	.	.
That	that	That
s	s	s
why	whi	why
we	we	we
re	re	re
here	here	here
.	.	.
The	the	The
patrol	patrol	patrol
arrives	arriv	arrives
at	at	at
the	the	the
migrant	migrant	migrant
shelter	shelter	shelter
in	in	in
Takajarvi	takajarvi	Takajarvi
,	,	,
Kemi	kemi	Kemi
.	.	.
It	it	It
is	is	is
dark	dark	dark
and	and	and
quiet	quiet	quiet
at	at	at
first	first	first
.	.	.
Then	then	Then
faces	face	face
of	of	of
migrants	migrant	migrant
appear	appear	appear
at	at	at
the	the	the
windows	window	window
,	,	,
peering	peer	peering
warily	warili	warily
at	at	at
the	the	the
men	men	men
and	and	and
their	their	their
mastiff	mastiff	mastiff
straining	strain	straining
on	on	on
its	it	it
leash	leash	leash
.	.	.
One	one	One
African	african	African
man	man	man
starts	start	start
typing	type	typing
on	on	on
his	his	his
phone	phone	phone
.	.	.
In	in	In
a	a	a
few	few	few
minutes	minut	minute
,	,	,
his	his	his
friends	friend	friend
will	will	will
come	come	come
down	down	down
with	with	with
iron	iron	iron
sticks	stick	stick
,	,	,
Jani	jani	Jani
says	say	say
.	.	.
It	it	It
happens	happen	happens
a	a	a
lot	lot	lot
.	.	.
But	but	But
with	with	with
one	one	one
call	call	call
on	on	on
a	a	a
walkie	walki	walkie
-talkie	-talki	-talkie
,	,	,
I	i	I
can	can	can
get	get	get
30	30	30
guys	guy	guy
here	here	here
and	and	and
they	they	they
will	will	will
back	back	back
off	off	off
.	.	.
The	the	The
Odins	odin	Odins
loiter	loiter	loiter
for	for	for
a	a	a
while	while	while
,	,	,
but	but	but
no	no	no
such	such	such
gang	gang	gang
appears	appear	appears
.	.	.
So	so	So
they	they	they
move	move	move
on	on	on
to	to	to
the	the	the
youth	youth	youth
club	club	club
where	where	where
the	the	the
alleged	alleg	alleged
migrant	migrant	migrant
harassment	harass	harassment
took	took	took
place	place	place
.	.	.
When	when	When
questioned	question	questioned
by	by	by
MailOnline	mailonlin	MailOnline
,	,	,
neither	neither	neither
the	the	the
teenagers	teenag	teenager
nor	nor	nor
the	the	the
youth	youth	youth
leader	leader	leader
know	know	know
anything	anyth	anything
about	about	about
it	it	it
.	.	.
But	but	But
they	they	they
are	are	are
tolerant	toler	tolerant
of	of	of
the	the	the
Odins	odin	Odins
,	,	,
even	even	even
as	as	a
they	they	they
gather	gather	gather
outside	outsid	outside
the	the	the
building	build	building
in	in	in
a	a	a
pack	pack	pack
.	.	.
We	we	We
are	are	are
quite	quit	quite
safe	safe	safe
,	,	,
so	so	so
it	it	it
s	s	s
a	a	a
bit	bit	bit
silly	silli	silly
.	.	.
They	they	They
look	look	look
off	off	off
-putting	-put	-putting
,	,	,
but	but	but
they	they	they
don	don	don
t	t	t
bother	bother	bother
anyone	anyon	anyone
,	,	,
Marko	marko	Marko
Ketusman	ketusman	Ketusman
,	,	,
the	the	the
youth	youth	youth
leader	leader	leader
,	,	,
tells	tell	tell
MailOnline	mailonlin	MailOnline
.	.	.
Some	some	Some
of	of	of
them	them	them
are	are	are
radicals	radic	radical
,	,	,
but	but	but
a	a	a
lot	lot	lot
of	of	of
them	them	them
are	are	are
husbands	husband	husband
and	and	and
fathers	father	father
trying	tri	trying
to	to	to
process	process	process
their	their	their
worries	worri	worry
about	about	about
migrants	migrant	migrant
.	.	.
They	they	They
are	are	are
not	not	not
a	a	a
bad	bad	bad
group	group	group
.	.	.
For	for	For
entire	entir	entire
story	stori	story
UK	uk	UK
Daily	daili	Daily
Mail	mail	Mail
