Here	here	Here
While	while	While
there	there	there
may	may	may
be	be	be
some	some	some
merit	merit	merit
to	to	to
that	that	that
,	,	,
there	there	there
is	is	is
also	also	also
an	an	an
argument	argument	argument
to	to	to
be	be	be
made	made	made
for	for	for
hoping	hope	hoping
that	that	that
this	this	this
doesn	doesn	doesn
t	t	t
leave	leav	leave
a	a	a
money	money	money
trail	trail	trail
.	.	.

Ziem	ziem	Ziem
said	said	said
he	he	he
was	was	wa
not	not	not
aware	awar	aware
Clinton	clinton	Clinton
had	had	had
applied	appli	applied
BleachBit	bleachbit	BleachBit
to	to	to
her	her	her
server	server	server
until	until	until
Rep	rep	Rep
.	.	.

Trey	trey	Trey
Gowdy	gowdi	Gowdy
said	said	said
so	so	so
on	on	on
Fox	fox	Fox
News	news	News
Thursday	thursday	Thursday
,	,	,
because	becaus	because
downloads	download	downloads
of	of	of
the	the	the
program	program	program
are	are	are
anonymous	anonym	anonymous
and	and	and
untraceable	untrac	untraceable
.	.	.
Gowdy	gowdi	Gowdy
said	said	said
Clinton	clinton	Clinton
s	s	s
emails	email	email
had	had	had
been	been	been
so	so	so
thoroughly	thorough	thoroughly
scrubbed	scrub	scrubbed
that	that	that
even	even	even
God	god	God
can	can	can
t	t	t
read	read	read
them	them	them
.	.	.

It	it	It
seems	seem	seems
probable	probabl	probable
that	that	that
the	the	the
intent	intent	intent
was	was	wa
to	to	to
erase	eras	erase
information	inform	information
,	,	,
Ziem	ziem	Ziem
said	said	said
of	of	of
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
BleachBit	bleachbit	BleachBit
.	.	.
The	the	The
open	open	open
-source	-sourc	-source
software	softwar	software
can	can	can
also	also	also
be	be	be
used	use	used
to	to	to
clear	clear	clear
space	space	space
on	on	on
a	a	a
computer	comput	computer
with	with	with
a	a	a
cluttered	clutter	cluttered
memory	memori	memory
,	,	,
the	the	the
BleachBit	bleachbit	BleachBit
creator	creator	creator
said	said	said
.	.	.
But	but	But
in	in	in
a	a	a
post	post	post
on	on	on
his	his	his
website	websit	website
Saturday	saturday	Saturday
,	,	,
Ziem	ziem	Ziem
noted	note	noted
the	the	the
program	program	program
is	is	is
an	an	an
effective	effect	effective
way	way	way
to	to	to
delete	delet	delete
emails	email	email
beyond	beyond	beyond
recovery	recoveri	recovery
short	short	short
of	of	of
the	the	the
physical	physic	physical
destruction	destruct	destruction
of	of	of
servers	server	server
with	with	with
a	a	a
hammer	hammer	hammer
or	or	or
blow	blow	blow
torch	torch	torch
.	.	.

Millions	million	Millions
of	of	of
people	peopl	people
have	have	have
downloaded	download	downloaded
BleachBit	bleachbit	BleachBit
since	sinc	since
its	it	it
creation	creation	creation
in	in	in
2008	2008	2008
,	,	,
Ziem	ziem	Ziem
said	said	said
.	.	.

He	he	He
noted	note	noted
his	his	his
website	websit	website
has	has	ha
experienced	experienc	experienced
a	a	a
spike	spike	spike
in	in	in
traffic	traffic	traffic
since	sinc	since
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
BleachBit	bleachbit	BleachBit
was	was	wa
revealed	reveal	revealed
.	.	.
Read	read	Read
more	more	more
Washington	washington	Washington
Examiner	examin	Examiner

