Following	follow	Following
One	one	One
particular	particular	particular
surrogate	surrog	surrogate
who	who	who
has	has	ha
worked	work	worked
very	veri	very
hard	hard	hard
to	to	to
convince	convinc	convince
Latinos	latino	Latinos
to	to	to
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
Jacob	jacob	Jacob
Monty	monti	Monty
,	,	,
resigned	resign	resigned
after	after	after
Trump	trump	Trump
s	s	s
speech	speech	speech
on	on	on
Wednesday	wednesday	Wednesday
night	night	night
.	.	.
He	he	He
laid	laid	laid
it	it	it
all	all	all
out	out	out
in	in	in
his	his	his
explanation	explan	explanation
for	for	for
leaving	leav	leaving
I	i	I
was	was	wa
a	a	a
strong	strong	strong
supporter	support	supporter
of	of	of
Donald	donald	Donald
Trump	trump	Trump
when	when	when
I	i	I
believed	believ	believed
he	he	he
was	was	wa
going	go	going
to	to	to
address	address	address
the	the	the
immigration	immigr	immigration
problem	problem	problem
realistically	realist	realistically
and	and	and
compassionately	compassion	compassionately
.	.	.
What	what	What
I	i	I
heard	heard	heard
today	today	today
was	was	wa
not	not	not
realistic	realist	realistic
and	and	and
not	not	not
compassionate	compassion	compassionate
.	.	.
Ramiro	ramiro	Ramiro
Pena	pena	Pena
,	,	,
a	a	a
church	church	church
pastor	pastor	pastor
in	in	in
Texas	texa	Texas
,	,	,
likewise	likewis	likewise
yanked	yank	yanked
his	his	his
support	support	support
,	,	,
saying	say	saying
I	i	I
am	am	am
so	so	so
sorry	sorri	sorry
but	but	but
I	i	I
believe	believ	believe
Mr	mr	Mr
.	.	.
Trump	trump	Trump
lost	lost	lost
the	the	the
election	elect	election
tonight	tonight	tonight
.	.	.
The	the	The
National	nation	National
Hispanic	hispan	Hispanic
Advisory	advisori	Advisory
Council	council	Council
seems	seem	seems
to	to	to
be	be	be
simply	simpli	simply
for	for	for
optics	optic	optic
and	and	and
I	i	I
do	do	do
not	not	not
have	have	have
the	the	the
time	time	time
or	or	or
energy	energi	energy
for	for	for
a	a	a
scam	scam	scam
.	.	.
Everything	everyth	Everything
Trump	trump	Trump
does	doe	doe
for	for	for
minority	minor	minority
outreach	outreach	outreach
is	is	is
just	just	just
for	for	for
show	show	show
.	.	.
His	his	His
visit	visit	visit
to	to	to
a	a	a
black	black	black
church	church	church
in	in	in
Detroit	detroit	Detroit
is	is	is
nothing	noth	nothing
but	but	but
a	a	a
show	show	show
,	,	,
too	too	too
.	.	.
He	he	He
s	s	s
performing	perform	performing
for	for	for
an	an	an
audience	audienc	audience
because	becaus	because
that	that	that
s	s	s
all	all	all
he	he	he
knows	know	know
how	how	how
to	to	to
do	do	do
.	.	.
Being	be	Being
serious	serious	serious
about	about	about
this	this	this
is	is	is
an	an	an
alien	alien	alien
concept	concept	concept
to	to	to
him	him	him
.	.	.
Republicans	republican	Republicans
know	know	know
it	it	it
and	and	and
are	are	are
actually	actual	actually
trying	tri	trying
to	to	to
figure	figur	figure
out	out	out
how	how	how
to	to	to
reach	reach	reach
more	more	more
white	white	white
people	peopl	people
because	becaus	because
they	they	they
ve	ve	ve
given	given	given
up	up	up
on	on	on
Trump	trump	Trump
ever	ever	ever
reaching	reach	reaching
minorities	minor	minority
.	.	.
His	his	His
outreach	outreach	outreach
is	is	is
too	too	too
little	littl	little
,	,	,
too	too	too
late	late	late
,	,	,
and	and	and
a	a	a
total	total	total
lie	lie	lie
.	.	.
Eric	eric	Eric
here	here	here
is	is	is
wearing	wear	wearing
his	his	his
blinders	blinder	blinder
a	a	a
little	littl	little
too	too	too
tightly	tight	tightly
.	.	.
He	he	He
hopes	hope	hope
that	that	that
clarifying	clarifi	clarifying
Trump	trump	Trump
s	s	s
message	messag	message
to	to	to
these	these	these
guys	guy	guy
will	will	will
turn	turn	turn
them	them	them
around	around	around
,	,	,
and	and	and
he	he	he
actually	actual	actually
voiced	voic	voiced
the	the	the
following	follow	following
clueless	clueless	clueless
words	word	word
It	it	It
s	s	s
very	veri	very
important	import	important
to	to	to
us	us	u
.	.	.
If	if	If
you	you	you
look	look	look
at	at	at
the	the	the
Hispanic	hispan	Hispanic
community	communiti	community
and	and	and
the	the	the
Latino	latino	Latino
community	communiti	community
,	,	,
they	they	they
ve	ve	ve
largely	larg	largely
been	been	been
left	left	left
behind	behind	behind
in	in	in
this	this	this
country	countri	country
.	.	.
But	but	But
his	his	his
father	father	father
talking	talk	talking
about	about	about
splitting	split	splitting
up	up	up
families	famili	family
and	and	and
wasting	wast	wasting
ungodly	ungod	ungodly
amounts	amount	amount
of	of	of
money	money	money
on	on	on
a	a	a
wall	wall	wall
and	and	and
on	on	on
deportation	deport	deportation
isn	isn	isn
t	t	t
going	go	going
to	to	to
leave	leav	leave
these	these	these
communities	communiti	community
further	further	further
back	back	back
in	in	in
the	the	the
dust	dust	dust
?	?	?
Har	har	Har
de	de	de
har	har	har
har	har	har
,	,	,
don	don	don
t	t	t
make	make	make
us	us	u
laugh	laugh	laugh
too	too	too
hard	hard	hard
.	.	.
It	it	It
hurts	hurt	hurt
.	.	.
Eric	eric	Eric
Trump	trump	Trump
should	should	should
at	at	at
least	least	least
have	have	have
an	an	an
idea	idea	idea
that	that	that
a	a	a
consistent	consist	consistent
message	messag	message
targeting	target	targeting
and	and	and
alienating	alien	alienating
a	a	a
group	group	group
is	is	is
just	just	just
going	go	going
to	to	to
consistently	consist	consistently
piss	piss	piss
them	them	them
off	off	off
.	.	.
Eventually	eventu	Eventually
,	,	,
people	peopl	people
get	get	get
tired	tire	tired
of	of	of
hoping	hope	hoping
someone	someon	someone
will	will	will
change	chang	change
,	,	,
and	and	and
they	they	they
just	just	just
walk	walk	walk
away	away	away
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
