Though	though	Though
you	you	you
could	could	could
come	come	come
in	in	in
,	,	,
but	but	but
if	if	if
you	you	you
were	were	were
a	a	a
Christian	christian	Christian
,	,	,
it	it	it
was	was	wa
almost	almost	almost
impossible	imposs	impossible
and	and	and
the	the	the
reason	reason	reason
that	that	that
was	was	wa
so	so	so
unfair	unfair	unfair
,	,	,
everybody	everybodi	everybody
was	was	wa
persecuted	persecut	persecuted
in	in	in
all	all	all
fairness	fair	fairness
,	,	,
but	but	but
they	they	they
were	were	were
chopping	chop	chopping
off	off	off
the	the	the
heads	head	head
of	of	of
everybody	everybodi	everybody
but	but	but
more	more	more
so	so	so
the	the	the
Christians	christian	Christians
,	,	,
and	and	and
I	i	I
thought	thought	thought
it	it	it
was	was	wa
very	veri	very
,	,	,
very	veri	very
unfair	unfair	unfair
,	,	,
so	so	so
we	we	we
are	are	are
going	go	going
to	to	to
help	help	help
them	them	them
.	.	.
Watch	watch	Watch
Trump	trump	Trump
s	s	s
interview	interview	interview
with	with	with
CBN	cbn	CBN
here	here	here
Reuters	reuter	Reuters
