Is	is	Is
and	and	and
silly	silli	silly
comic	comic	comic
relief	relief	relief
.	.	.
But	but	But
while	while	while
they	they	they
re	re	re
aimed	aim	aimed
at	at	at
different	differ	different
audiences	audienc	audience
,	,	,
both	both	both
the	the	the
comics	comic	comic
and	and	and
the	the	the
book	book	book
express	express	express
the	the	the
same	same	same
basic	basic	basic
message	messag	message
.	.	.
Feminism	femin	Feminism
is	is	is
for	for	for
everyone	everyon	everyone
including	includ	including
babies	babi	baby
!	!	!
Brantz	brantz	Brantz
says	say	say
.	.	.
Here	here	Here
are	are	are
some	some	some
examples	exampl	example
of	of	of
Brantz	brantz	Brantz
s	s	s
feminist	feminist	feminist
baby	babi	baby
cartoons	cartoon	cartoon
The	the	The
publisher	publish	publisher
for	for	for
the	the	the
book	book	book
is	is	is
Disney	disney	Disney
Publishing	publish	Publishing
Worldwide	worldwid	Worldwide
.	.	.
Disney	disney	Disney
s	s	s
website	websit	website
claims	claim	claim
the	the	the
book	book	book
is	is	is
targeted	target	targeted
for	for	for
children	children	child
the	the	the
0	0	0
-2	-2	-2
age	age	age
range	rang	range
.	.	.
Disney	disney	Disney
s	s	s
description	descript	description
for	for	for
the	the	the
book	book	book
states	state	state
the	the	the
Feminist	feminist	Feminist
Baby	babi	Baby
likes	like	like
pink	pink	pink
and	and	and
blue	blue	blue
.	.	.
Sometimes	sometim	Sometimes
she	she	she
ll	ll	ll
throw	throw	throw
up	up	up
on	on	on
you	you	you
!	!	!
Feminist	feminist	Feminist
Baby	babi	Baby
chooses	choos	chooses
what	what	what
to	to	to
wear	wear	wear
and	and	and
if	if	if
you	you	you
don	don	don
t	t	t
like	like	like
it	it	it
she	she	she
doesn	doesn	doesn
t	t	t
care	care	care
!	!	!
The	the	The
book	book	book
hit	hit	hit
online	onlin	online
stores	store	store
and	and	and
bookshelves	bookshelv	bookshelf
on	on	on
April	april	April
11	11	11
.	.	.
According	accord	According
to	to	to
the	the	the
Amazon	amazon	Amazon
listing	list	listing
for	for	for
the	the	the
book	book	book
,	,	,
as	as	a
of	of	of
the	the	the
13th	13th	13th
,	,	,
the	the	the
book	book	book
is	is	is
No	no	No
.	.	.
7	7	7
in	in	in
best	best	best
sellers	seller	seller
for	for	for
children	children	child
s	s	s
books	book	book
new	new	new
baby	babi	baby
.	.	.
For	for	For
entire	entir	entire
story	stori	story
MRCTV	mrctv	MRCTV
