House	hous	House
s	s	s
rather	rather	rather
dubious	dubious	dubious
web	web	web
of	of	of
international	intern	international
ties	tie	tie
would	would	would
endanger	endang	endanger
the	the	the
national	nation	national
security	secur	security
of	of	of
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
.	.	.
With	with	With
that	that	that
revelation	revel	revelation
,	,	,
it	it	it
is	is	is
even	even	even
more	more	more
imperative	imper	imperative
than	than	than
ever	ever	ever
that	that	that
the	the	the
American	american	American
electorate	elector	electorate
sees	see	see
Trump	trump	Trump
s	s	s
tax	tax	tax
returns	return	return
.	.	.
Hell	hell	Hell
,	,	,
even	even	even
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
s	s	s
ethics	ethic	ethic
lawyer	lawyer	lawyer
said	said	said
that	that	that
these	these	these
ties	tie	tie
are	are	are
a	a	a
,	,	,
quote	quot	quote
,	,	,
serious	serious	serious
problem	problem	problem
.	.	.
Therefore	therefor	Therefore
,	,	,
Ryan	ryan	Ryan
finally	final	finally
caved	cave	caved
and	and	and
said	said	said
Trump	trump	Trump
s	s	s
returns	return	return
need	need	need
to	to	to
be	be	be
made	made	made
public	public	public
.	.	.
First	first	First
,	,	,
he	he	he
referenced	referenc	referenced
his	his	his
own	own	own
releasing	releas	releasing
of	of	of
his	his	his
taxes	tax	tax
when	when	when
he	he	he
ran	ran	ran
for	for	for
Vice	vice	Vice
President	presid	President
I	i	I
did	did	did
release	releas	release
my	my	my
returns	return	return
.	.	.
I	i	I
ll	ll	ll
defer	defer	defer
to	to	to
Donald	donald	Donald
Trump	trump	Trump
as	as	a
to	to	to
when	when	when
he	he	he
thinks	think	think
the	the	the
appropriate	appropri	appropriate
time	time	time
to	to	to
release	releas	release
his	his	his
returns	return	return
.	.	.
I	i	I
know	know	know
he	he	he
is	is	is
under	under	under
audit	audit	audit
,	,	,
and	and	and
he	he	he
has	has	ha
an	an	an
opinion	opinion	opinion
on	on	on
when	when	when
to	to	to
release	releas	release
those	those	those
and	and	and
I	i	I
ll	ll	ll
defer	defer	defer
to	to	to
him	him	him
on	on	on
that	that	that
.	.	.
He	he	He
then	then	then
hedged	hedg	hedged
,	,	,
though	though	though
,	,	,
because	becaus	because
he	he	he
is	is	is
a	a	a
coward	coward	coward
who	who	who
is	is	is
afraid	afraid	afraid
of	of	of
upsetting	upset	upsetting
Trump	trump	Trump
s	s	s
supporters	support	supporter
,	,	,
and	and	and
said	said	said
I	i	I
released	releas	released
mine	mine	mine
.	.	.
I	i	I
think	think	think
he	he	he
should	should	should
release	releas	release
his	his	his
.	.	.
I	i	I
ll	ll	ll
leave	leav	leave
it	it	it
to	to	to
him	him	him
when	when	when
to	to	to
do	do	do
it	it	it
.	.	.
No	no	No
,	,	,
Speaker	speaker	Speaker
Ryan	ryan	Ryan
,	,	,
you	you	you
need	need	need
to	to	to
get	get	get
forceful	forc	forceful
with	with	with
this	this	this
.	.	.
We	we	We
need	need	need
the	the	the
returns	return	return
NOW	now	NOW
.	.	.
With	with	With
all	all	all
of	of	of
the	the	the
shadiness	shadi	shadiness
surrounding	surround	surrounding
Trump	trump	Trump
s	s	s
business	busi	business
dealings	deal	dealing
and	and	and
ties	tie	tie
to	to	to
nefarious	nefari	nefarious
characters	charact	character
around	around	around
the	the	the
world	world	world
,	,	,
this	this	this
is	is	is
vital	vital	vital
information	inform	information
for	for	for
the	the	the
nation	nation	nation
and	and	and
world	world	world
to	to	to
know	know	know
.	.	.
Trump	trump	Trump
is	is	is
trying	tri	trying
to	to	to
run	run	run
the	the	the
clock	clock	clock
out	out	out
on	on	on
this	this	this
one	one	one
,	,	,
to	to	to
keep	keep	keep
the	the	the
voting	vote	voting
public	public	public
from	from	from
knowing	know	knowing
just	just	just
what	what	what
he	he	he
gets	get	get
up	up	up
to	to	to
.	.	.
Do	do	Do
your	your	your
job	job	job
,	,	,
and	and	and
DEMAND	demand	DEMAND
Trump	trump	Trump
s	s	s
tax	tax	tax
returns	return	return
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
