One	one	One
,	,	,
arrived	arriv	arrived
at	at	at
Reagan	reagan	Reagan
National	nation	National
Airport	airport	Airport
in	in	in
Washington	washington	Washington
on	on	on
Friday	friday	Friday
for	for	for
a	a	a
flight	flight	flight
to	to	to
Fort	fort	Fort
Lauderdale	lauderdal	Lauderdale
,	,	,
Fla	fla	Fla
.	.	.
,	,	,
he	he	he
gave	gave	gave
his	his	his
Illinois	illinoi	Illinois
identification	identif	identification
card	card	card
to	to	to
a	a	a
JetBlue	jetblu	JetBlue
agent	agent	agent
to	to	to
get	get	get
his	his	his
boarding	board	boarding
pass	pass	pas
,	,	,
said	said	said
his	his	his
lawyer	lawyer	lawyer
,	,	,
Chris	chris	Chris
Mancini	mancini	Mancini
,	,	,
who	who	who
was	was	wa
traveling	travel	traveling
with	with	with
him	him	him
and	and	and
witnessed	wit	witnessed
the	the	the
episode	episod	episode
.	.	.
Almost	almost	Almost
immediately	immedi	immediately
,	,	,
Mr	mr	Mr
.	.	.
Ali	ali	Ali
was	was	wa
told	told	told
that	that	that
there	there	there
was	was	wa
a	a	a
problem	problem	problem
and	and	and
that	that	that
the	the	the
agent	agent	agent
needed	need	needed
to	to	to
call	call	call
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
,	,	,
Mr	mr	Mr
.	.	.
Mancini	mancini	Mancini
said	said	said
.	.	.
Mr	mr	Mr
.	.	.
Ali	ali	Ali
,	,	,
44	44	44
,	,	,
was	was	wa
asked	ask	asked
his	his	his
date	date	date
of	of	of
birth	birth	birth
,	,	,
where	where	where
he	he	he
was	was	wa
born	born	born
and	and	and
his	his	his
Social	social	Social
Security	secur	Security
number	number	number
,	,	,
Mr	mr	Mr
.	.	.
Mancini	mancini	Mancini
said	said	said
.	.	.
After	after	After
answering	answer	answering
the	the	the
questions	question	question
,	,	,
he	he	he
was	was	wa
told	told	told
that	that	that
his	his	his
Illinois	illinoi	Illinois
-issued	-issu	-issued
identification	identif	identification
card	card	card
,	,	,
which	which	which
expires	expir	expires
in	in	in
2019	2019	2019
but	but	but
is	is	is
not	not	not
a	a	a
driver	driver	driver
s	s	s
license	licens	license
,	,	,
was	was	wa
invalid	invalid	invalid
for	for	for
flying	fli	flying
.	.	.
The	the	The
same	same	same
state	state	state
ID	id	ID
from	from	from
Illinois	illinoi	Illinois
that	that	that
he	he	he
traveled	travel	traveled
to	to	to
Washington	washington	Washington
on	on	on
was	was	wa
rejected	reject	rejected
,	,	,
Mr	mr	Mr
.	.	.
Mancini	mancini	Mancini
said	said	said
in	in	in
an	an	an
interview	interview	interview
on	on	on
Friday	friday	Friday
night	night	night
.	.	.
Mr	mr	Mr
.	.	.
Ali	ali	Ali
then	then	then
produced	produc	produced
his	his	his
United	unit	United
States	state	States
passport	passport	passport
,	,	,
which	which	which
was	was	wa
accepted	accept	accepted
,	,	,
and	and	and
went	went	went
through	through	through
security	secur	security
and	and	and
boarded	board	boarded
the	the	the
flight	flight	flight
with	with	with
his	his	his
mother	mother	mother
,	,	,
Khalilah	khalilah	Khalilah
Camacho	camacho	Camacho
-Ali	-ali	-Ali
,	,	,
the	the	the
second	second	second
wife	wife	wife
of	of	of
Muhammad	muhammad	Muhammad
Ali	ali	Ali
,	,	,
and	and	and
Mr	mr	Mr
.	.	.
Mancini	mancini	Mancini
.	.	.
Mr	mr	Mr
.	.	.
Mancini	mancini	Mancini
said	said	said
that	that	that
the	the	the
episode	episod	episode
lasted	last	lasted
between	between	between
20	20	20
and	and	and
25	25	25
minutes	minut	minute
.	.	.
This	this	This
whole	whole	whole
thing	thing	thing
smacks	smack	smack
of	of	of
some	some	some
sort	sort	sort
of	of	of
retaliation	retali	retaliation
for	for	for
his	his	his
testimony	testimoni	testimony
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
TSA	tsa	TSA
,	,	,
as	as	a
is	is	is
typical	typic	typical
,	,	,
absolved	absolv	absolved
itself	itself	itself
of	of	of
all	all	all
wrongdoing	wrongdo	wrongdoing
.	.	.
Upon	upon	Upon
arriving	arriv	arriving
at	at	at
the	the	the
airline	airlin	airline
check	check	check
-in	-in	-in
counter	counter	counter
,	,	,
a	a	a
call	call	call
was	was	wa
made	made	made
to	to	to
confirm	confirm	confirm
Mr	mr	Mr
.	.	.
Ali	ali	Ali
s	s	s
identity	ident	identity
with	with	with
T	t	T
.	.	.
S	s	S
.	.	.
A	a	A
.	.	.
officials	offici	official
,	,	,
the	the	the
agency	agenc	agency
says	say	say
.	.	.
When	when	When
Mr	mr	Mr
.	.	.
Ali	ali	Ali
arrived	arriv	arrived
at	at	at
the	the	the
checkpoint	checkpoint	checkpoint
,	,	,
his	his	his
large	larg	large
jewelry	jewelri	jewelry
alarmed	alarm	alarmed
the	the	the
checkpoint	checkpoint	checkpoint
scanner	scanner	scanner
.	.	.
He	he	He
received	receiv	received
a	a	a
targeted	target	targeted
pat	pat	pat
-down	-down	-down
in	in	in
the	the	the
area	area	area
of	of	of
his	his	his
jewelry	jewelri	jewelry
to	to	to
clear	clear	clear
the	the	the
alarm	alarm	alarm
and	and	and
was	was	wa
cleared	clear	cleared
to	to	to
catch	catch	catch
his	his	his
flight	flight	flight
.	.	.
This	this	This
is	is	is
now	now	now
the	the	the
second	second	second
time	time	time
over	over	over
the	the	the
course	cours	course
of	of	of
two	two	two
separate	separ	separate
Muslim	muslim	Muslim
bans	ban	ban
in	in	in
which	which	which
a	a	a
well	well	well
-known	-known	-known
figure	figur	figure
was	was	wa
singled	singl	singled
out	out	out
seemingly	seem	seemingly
for	for	for
no	no	no
better	better	better
reason	reason	reason
than	than	than
his	his	his
name	name	name
.	.	.
This	this	This
does	doe	doe
not	not	not
keep	keep	keep
America	america	America
safe	safe	safe
it	it	it
makes	make	make
everyday	everyday	everyday
Americans	american	Americans
afraid	afraid	afraid
to	to	to
travel	travel	travel
if	if	if
their	their	their
skin	skin	skin
is	is	is
too	too	too
dark	dark	dark
or	or	or
if	if	if
they	they	they
might	might	might
appear	appear	appear
too	too	too
Muslimy	muslimi	Muslimy
to	to	to
the	the	the
unwashed	unwash	unwashed
bigots	bigot	bigot
who	who	who
regularly	regular	regularly
staff	staff	staff
TSA	tsa	TSA
checkpoints	checkpoint	checkpoint
across	across	across
the	the	the
nation	nation	nation
.	.	.
If	if	If
this	this	this
is	is	is
what	what	what
America	america	America
looks	look	look
like	like	like
when	when	when
it	it	it
s	s	s
Great	great	Great
Again	again	Again
,	,	,
then	then	then
maybe	mayb	maybe
we	we	we
should	should	should
stop	stop	stop
.	.	.
Let	let	Let
s	s	s
not	not	not
be	be	be
so	so	so
great	great	great
.	.	.
Our	our	Our
country	countri	country
can	can	can
t	t	t
handle	handl	handle
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
Mandel	mandel	Mandel
Ngan	ngan	Ngan
