Just	just	Just
Jeff	jeff	Jeff
Sessions	session	Sessions
is	is	is
an	an	an
honest	honest	honest
man	man	man
.	.	.
He	he	He
did	did	did
not	not	not
say	say	say
anything	anyth	anything
wrong	wrong	wrong
.	.	.
He	he	He
could	could	could
have	have	have
stated	state	stated
his	his	his
response	respons	response
more	more	more
accurately	accur	accurately
,	,	,
but	but	but
it	it	it
was	was	wa
clearly	clear	clearly
not	not	not
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
3	3	3
,	,	,
2017	2017	2017
intentional	intent	intentional
.	.	.
This	this	This
whole	whole	whole
narrative	narrat	narrative
is	is	is
a	a	a
way	way	way
of	of	of
saving	save	saving
face	face	face
for	for	for
Democrats	democrat	Democrats
losing	lose	losing
an	an	an
election	elect	election
that	that	that
everyone	everyon	everyone
thought	thought	thought
they	they	they
were	were	were
supposed	suppos	supposed
.	.	.
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
3	3	3
,	,	,
2017	2017	2017
to	to	to
win	win	win
.	.	.
The	the	The
Democrats	democrat	Democrats
are	are	are
overplaying	overplay	overplaying
their	their	their
hand	hand	hand
.	.	.
They	they	They
lost	lost	lost
the	the	the
election	elect	election
,	,	,
and	and	and
now	now	now
they	they	they
have	have	have
lost	lost	lost
their	their	their
grip	grip	grip
on	on	on
reality	realiti	reality
.	.	.
The	the	The
real	real	real
story	stori	story
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
3	3	3
,	,	,
2017	2017	2017
is	is	is
all	all	all
of	of	of
the	the	the
illegal	illeg	illegal
leaks	leak	leak
of	of	of
classified	classifi	classified
and	and	and
other	other	other
information	inform	information
.	.	.
It	it	It
is	is	is
a	a	a
total	total	total
witch	witch	witch
hunt	hunt	hunt
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
3	3	3
,	,	,
2017First	2017first	2017First
of	of	of
all	all	all
,	,	,
Sessions	session	Sessions
didn	didn	didn
t	t	t
only	onli	only
lie	lie	lie
,	,	,
he	he	he
lied	lie	lied
under	under	under
oath	oath	oath
,	,	,
which	which	which
is	is	is
otherwise	otherwis	otherwise
known	known	known
as	as	a
perjury	perjuri	perjury
.	.	.
Trump	trump	Trump
then	then	then
saying	say	saying
he	he	he
he	he	he
could	could	could
have	have	have
been	been	been
more	more	more
accurate	accur	accurate
also	also	also
proves	prove	prof
he	he	he
lied	lie	lied
.	.	.
Secondly	second	Secondly
,	,	,
this	this	this
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
Democrats	democrat	Democrats
and	and	and
everything	everyth	everything
to	to	to
do	do	do
with	with	with
listening	listen	listening
to	to	to
our	our	our
entire	entir	entire
intelligence	intellig	intelligence
community	communiti	community
and	and	and
following	follow	following
through	through	through
with	with	with
evidence	evid	evidence
that	that	that
Russia	russia	Russia
interfered	interf	interfered
with	with	with
our	our	our
election	elect	election
.	.	.
Something	someth	Something
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
look	look	look
into	into	into
,	,	,
because	becaus	because
a	a	a
.	.	.
he	he	he
either	either	either
took	took	took
part	part	part
in	in	in
it	it	it
OR	or	OR
b	b	b
.	.	.
because	becaus	because
he	he	he
won	won	won
and	and	and
doesn	doesn	doesn
t	t	t
want	want	want
the	the	the
results	result	result
changed	chang	changed
.	.	.
Both	both	Both
reasons	reason	reason
prove	prove	prove
he	he	he
cares	care	care
nothing	noth	nothing
about	about	about
the	the	the
sanctity	sanctiti	sanctity
of	of	of
American	american	American
democracy	democraci	democracy
.	.	.
Lastly	last	Lastly
,	,	,
saying	say	saying
there	there	there
are	are	are
leaks	leak	leak
and	and	and
that	that	that
there	there	there
s	s	s
nothing	noth	nothing
there	there	there
in	in	in
the	the	the
same	same	same
sentence	sentenc	sentence
contradicts	contradict	contradicts
itself	itself	itself
.	.	.
Which	which	Which
is	is	is
it	it	it
?	?	?
Are	are	Are
there	there	there
leaks	leak	leak
with	with	with
info	info	info
getting	get	getting
out	out	out
about	about	about
Russia	russia	Russia
?	?	?
Or	or	Or
is	is	is
there	there	there
nothing	noth	nothing
there	there	there
?	?	?
Can	can	Can
t	t	t
be	be	be
both	both	both
.	.	.
Trump	trump	Trump
is	is	is
running	run	running
in	in	in
circles	circl	circle
and	and	and
is	is	is
clearly	clear	clearly
panicked	panick	panicked
.	.	.
He	he	He
s	s	s
trying	tri	trying
to	to	to
say	say	say
there	there	there
s	s	s
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
any	ani	any
of	of	of
this	this	this
and	and	and
it	it	it
s	s	s
all	all	all
everyone	everyon	everyone
else	els	else
s	s	s
fault	fault	fault
never	never	never
his	his	his
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
he	he	he
s	s	s
making	make	making
himself	himself	himself
look	look	look
pretty	pretti	pretty
damn	damn	damn
guilty	guilti	guilty
.	.	.
Having	have	Having
Twitter	twitter	Twitter
fits	fit	fit
late	late	late
in	in	in
the	the	the
evening	even	evening
isn	isn	isn
t	t	t
a	a	a
good	good	good
look	look	look
on	on	on
anyone	anyon	anyone
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
