Paul	paul	Paul
Tea	tea	Tea
Partiers	partier	Partiers
are	are	are
not	not	not
the	the	the
brightest	brightest	brightest
bulb	bulb	bulb
in	in	in
the	the	the
room	room	room
normally	normal	normally
.	.	.
However	howev	However
,	,	,
this	this	this
move	move	move
really	realli	really
is	is	is
beyond	beyond	beyond
reason	reason	reason
even	even	even
for	for	for
them	them	them
.	.	.
We	we	We
have	have	have
a	a	a
sitting	sit	sitting
U	u	U
.	.	.
S	s	S
.	.	.
governor	governor	governor
who	who	who
is	is	is
literally	liter	literally
holding	hold	holding
his	his	his
own	own	own
state	state	state
s	s	s
ability	abil	ability
to	to	to
govern	govern	govern
itself	itself	itself
hostage	hostag	hostage
until	until	until
he	he	he
gets	get	get
his	his	his
way	way	way
.	.	.
Mario	mario	Mario
Moretto	moretto	Moretto
,	,	,
the	the	the
spokesman	spokesman	spokesman
for	for	for
state	state	state
senate	senat	senate
Democrats	democrat	Democrats
,	,	,
has	has	ha
said	said	said
that	that	that
the	the	the
senate	senat	senate
is	is	is
looking	look	looking
for	for	for
alternative	altern	alternative
methods	method	method
of	of	of
installing	instal	installing
Deschambault	deschambault	Deschambault
into	into	into
her	her	her
office	offic	office
.	.	.
The	the	The
state	state	state
attorney	attorney	attorney
general	general	general
also	also	also
gave	gave	gave
a	a	a
statement	statement	statement
that	that	that
she	she	she
is	is	is
aware	awar	aware
of	of	of
the	the	the
situation	situat	situation
and	and	and
that	that	that
alternative	altern	alternative
methods	method	method
are	are	are
being	be	being
sought	sought	sought
,	,	,
but	but	but
she	she	she
declined	declin	declined
to	to	to
comment	comment	comment
further	further	further
on	on	on
the	the	the
matter	matter	matter
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
YouTube	youtub	YouTube
screen	screen	screen
capture	captur	capture
