Despite	despit	Despite
pic.twitter.com/Cbtqm39tTd	pic.twitter.com/cbtqm39ttd	pic.twitter.com/Cbtqm39tTd
Yashar	yashar	Yashar
Ali	ali	Ali
?	?	?
@yashar	@yashar	@yashar
October	octob	October
24	24	24
,	,	,
2017Indiana	2017indiana	2017Indiana
Attorney	attorney	Attorney
General	general	General
Curtis	curti	Curtis
Hill	hill	Hill
,	,	,
an	an	an
African	african	African
-American	-american	-American
himself	himself	himself
,	,	,
shares	share	share
the	the	the
same	same	same
sentiments	sentiment	sentiment
as	as	a
Gorka	gorka	Gorka
.	.	.
One	one	One
of	of	of
the	the	the
most	most	most
dramatically	dramat	dramatically
difficult	difficult	difficult
things	thing	thing
to	to	to
fathom	fathom	fathom
in	in	in
this	this	this
country	countri	country
is	is	is
the	the	the
amount	amount	amount
of	of	of
lives	live	life
lost	lost	lost
black	black	black
lives	live	life
lost	lost	lost
as	as	a
a	a	a
result	result	result
of	of	of
black	black	black
-on-black	-on-black	-on-black
violence	violenc	violence
,	,	,
Hill	hill	Hill
said	said	said
on	on	on
Saturday	saturday	Saturday
.	.	.
In	in	In
the	the	the
same	same	same
year	year	year
that	that	that
we	we	we
experienced	experienc	experienced
about	about	about
259	259	259
police	polic	police
officer	offic	officer
shootings	shoot	shooting
of	of	of
blacks	black	black
in	in	in
2015	2015	2015
,	,	,
there	there	there
were	were	were
6	6	6
,	,	,
000	000	000
black	black	black
lives	live	life
lost	lost	lost
to	to	to
murders	murder	murder
from	from	from
black	black	black
people	peopl	people
.	.	.
However	howev	However
,	,	,
contrary	contrari	contrary
to	to	to
what	what	what
both	both	both
Mr	mr	Mr
.	.	.
Gorka	gorka	Gorka
and	and	and
Mr	mr	Mr
.	.	.
Hill	hill	Hill
believe	believ	believe
,	,	,
black	black	black
men	men	men
aren	aren	aren
t	t	t
killing	kill	killing
each	each	each
other	other	other
by	by	by
the	the	the
bushel	bushel	bushel
.	.	.
In	in	In
fact	fact	fact
,	,	,
according	accord	according
to	to	to
the	the	the
report	report	report
,	,	,
black	black	black
-on-black	-on-black	-on-black
violence	violenc	violence
has	has	ha
decreased	decreas	decreased
exponentially	exponenti	exponentially
in	in	in
the	the	the
last	last	last
two	two	two
decades	decad	decade
,	,	,
by	by	by
almost	almost	almost
the	the	the
exact	exact	exact
same	same	same
rate	rate	rate
as	as	a
white	white	white
-on-white	-on-whit	-on-white
violence	violenc	violence
.	.	.
From	from	From
1994	1994	1994
to	to	to
2015	2015	2015
,	,	,
white	white	white
-on-white	-on-whit	-on-white
violence	violenc	violence
and	and	and
black	black	black
-on-black	-on-black	-on-black
violence	violenc	violence
declined	declin	declined
at	at	at
a	a	a
similar	similar	similar
rate	rate	rate
.	.	.
White	white	White
-on-white	-on-whit	-on-white
violence	violenc	violence
declined	declin	declined
79	79	79
percent	percent	percent
from	from	from
52	52	52
.	.	.
5	5	5
to	to	to
10	10	10
.	.	.
8	8	8
victimizations	victim	victimization
per	per	per
1	1	1
,	,	,
000	000	000
white	white	white
persons	person	person
.	.	.
Black	black	Black
-on-black	-on-black	-on-black
violence	violenc	violence
declined	declin	declined
78	78	78
percent	percent	percent
from	from	from
66	66	66
.	.	.
6	6	6
to	to	to
14	14	14
.	.	.
5	5	5
victimizations	victim	victimization
per	per	per
1	1	1
,	,	,
000	000	000
black	black	black
persons	person	person
.	.	.
Information	inform	Information
on	on	on
Hispanic	hispan	Hispanic
origin	origin	origin
of	of	of
offenders	offend	offender
was	was	wa
not	not	not
collected	collect	collected
prior	prior	prior
to	to	to
2012	2012	2012
,	,	,
the	the	the
report	report	report
stated	state	stated
.	.	.
It	it	It
s	s	s
time	time	time
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
started	start	started
to	to	to
report	report	report
the	the	the
facts	fact	fact
when	when	when
it	it	it
comes	come	come
to	to	to
the	the	the
issue	issu	issue
of	of	of
race	race	race
,	,	,
instead	instead	instead
of	of	of
dividing	divid	dividing
the	the	the
country	countri	country
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Brian	brian	Brian
Blanco	blanco	Blanco
Getty	getti	Getty
Images	imag	Images
