Everything	everyth	Everything
homemade	homemad	homemade
clock	clock	clock
to	to	to
school	school	school
that	that	that
his	his	his
teachers	teacher	teacher
thought	thought	thought
was	was	wa
a	a	a
bomb	bomb	bomb
.	.	.

So	so	So
crowdfunding	crowdfund	crowdfunding
platform	platform	platform
LaunchGood	launchgood	LaunchGood
started	start	started
a	a	a
campaign	campaign	campaign
to	to	to
raise	rais	raise
100	100	100
,	,	,
000	000	000
for	for	for
the	the	the
Muslim	muslim	Muslim
teen	teen	teen
.	.	.

In	in	In
just	just	just
one	one	one
day	day	day
,	,	,
the	the	the
site	site	site
had	had	had
raised	rais	raised
over	over	over
10	10	10
,	,	,
000	000	000
from	from	from
more	more	more
than	than	than
200	200	200
backers	backer	backer
.	.	.

It	it	It
s	s	s
hoping	hope	hoping
to	to	to
raise	rais	raise
100	100	100
,	,	,
000	000	000
by	by	by
October	octob	October
13	13	13
.	.	.

The	the	The
support	support	support
for	for	for
it	it	it
has	has	ha
been	been	been
amazing	amaz	amazing
,	,	,
said	said	said
Chris	chris	Chris
Abdur	abdur	Abdur
-Rahman	-rahman	-Rahman
Blauvelt	blauvelt	Blauvelt
,	,	,
CEO	ceo	CEO
of	of	of
LaunchGood	launchgood	LaunchGood
,	,	,
which	which	which
supports	support	support
projects	project	project
started	start	started
by	by	by
Muslims	muslim	Muslims
or	or	or
ones	one	one
that	that	that
are	are	are
tied	tie	tied
to	to	to
the	the	the
history	histori	history
and	and	and
study	studi	study
of	of	of
Islam	islam	Islam
.	.	.

Blauvelt	blauvelt	Blauvelt
said	said	said
his	his	his
campaign	campaign	campaign
has	has	ha
the	the	the
approval	approv	approval
of	of	of
Mohamed	moham	Mohamed
s	s	s
family	famili	family
.	.	.

He	he	He
said	said	said
half	half	half
of	of	of
the	the	the
money	money	money
donated	donat	donated
will	will	will
go	go	go
toward	toward	toward
a	a	a
scholarship	scholarship	scholarship
fund	fund	fund
for	for	for
Mohamed	moham	Mohamed
and	and	and
the	the	the
rest	rest	rest
to	to	to
efforts	effort	effort
that	that	that
foster	foster	foster
creativity	creativ	creativity
and	and	and
inventiveness	invent	inventiveness
in	in	in
kids	kid	kid
.	.	.

In	in	In
addition	addit	addition
to	to	to
LaunchGood	launchgood	LaunchGood
,	,	,
crowdfunding	crowdfund	crowdfunding
platform	platform	platform
Gofundme	gofundm	Gofundme
has	has	ha
also	also	also
launched	launch	launched
a	a	a
campaign	campaign	campaign
for	for	for
Mohamed	moham	Mohamed
.	.	.

It	it	It
s	s	s
raised	rais	raised
more	more	more
than	than	than
4	4	4
,	,	,
000	000	000
with	with	with
a	a	a
goal	goal	goal
of	of	of
60	60	60
,	,	,
000	000	000
that	that	that
will	will	will
go	go	go
toward	toward	toward
Mohamed	moham	Mohamed
s	s	s
future	futur	future
college	colleg	college
tuition	tuition	tuition
.	.	.

Thomas	thoma	Thomas
Talbot	talbot	Talbot
posted	post	posted
a	a	a
video	video	video
to	to	to
YouTube	youtub	YouTube
explaining	explain	explaining
the	the	the
various	various	various
parts	part	part
in	in	in
the	the	the
photo	photo	photo
of	of	of
Mohamed	moham	Mohamed
s	s	s
briefcase	briefcas	briefcase
clock	clock	clock
belong	belong	belong
to	to	to
a	a	a
manufactured	manufactur	manufactured
alarm	alarm	alarm
clock	clock	clock
.	.	.

Anthony	anthoni	Anthony
,	,	,
writing	write	writing
at	at	at
the	the	the
blog	blog	blog
Art	art	Art
Voice	voic	Voice
,	,	,
detailed	detail	detailed
how	how	how
Mohamed	moham	Mohamed
s	s	s
device	devic	device
is	is	is
actually	actual	actually
a	a	a
1980s	1980s	1980s
digital	digit	digital
alarm	alarm	alarm
clock	clock	clock
sold	sold	sold
by	by	by
Radio	radio	Radio
Shack	shack	Shack
.	.	.
Via	via	Via
Gateway	gateway	Gateway
Pundit	pundit	Pundit

