Massachusetts	massachusett	Massachusetts
holding	hold	holding
a	a	a
vote	vote	vote
because	becaus	because
they	they	they
know	know	know
it	it	it
will	will	will
get	get	get
a	a	a
failing	fail	failing
grade	grade	grade
.	.	.
For	for	For
one	one	one
thing	thing	thing
,	,	,
the	the	the
bill	bill	bill
would	would	would
be	be	be
a	a	a
massive	massiv	massive
tax	tax	tax
cut	cut	cut
for	for	for
the	the	the
wealthy	wealthi	wealthy
at	at	at
the	the	the
expense	expens	expense
of	of	of
the	the	the
millions	million	million
of	of	of
Americans	american	Americans
who	who	who
finally	final	finally
got	got	got
healthcare	healthcar	healthcare
coverage	coverag	coverage
through	through	through
the	the	the
Medicaid	medicaid	Medicaid
expansion	expans	expansion
.	.	.
McGovern	mcgovern	McGovern
shamed	shame	shamed
Republicans	republican	Republicans
for	for	for
this	this	this
.	.	.

You	you	You
should	should	should
be	be	be
ashamed	asham	ashamed
,	,	,
McGovern	mcgovern	McGovern
said	said	said
.	.	.

To	to	To
have	have	have
a	a	a
health	health	health
care	care	care
bill	bill	bill
that	that	that
cuts	cut	cut
Medicaid	medicaid	Medicaid
by	by	by
880	880	880
billion	billion	billion
so	so	so
you	you	you
can	can	can
give	give	give
a	a	a
tax	tax	tax
cut	cut	cut
to	to	to
the	the	the
wealthiest	wealthiest	wealthiest
people	peopl	people
in	in	in
this	this	this
country	countri	country
,	,	,
you	you	you
should	should	should
be	be	be
ashamed	asham	ashamed
.	.	.

He	he	He
then	then	then
called	call	called
upon	upon	upon
Republicans	republican	Republicans
to	to	to
vote	vote	vote
against	against	against
the	the	the
bill	bill	bill
or	or	or
pull	pull	pull
it	it	it
entirely	entir	entirely
and	and	and
received	receiv	received
a	a	a
standing	stand	standing
ovation	ovat	ovation
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
If	if	If
Trump	trump	Trump
and	and	and
Republicans	republican	Republicans
have	have	have
their	their	their
way	way	way
,	,	,
millions	million	million
of	of	of
Americans	american	Americans
will	will	will
suffer	suffer	suffer
so	so	so
that	that	that
wealthy	wealthi	wealthy
assholes	asshol	asshole
can	can	can
get	get	get
even	even	even
richer	richer	richer
.	.	.

That	that	That
s	s	s
outrageous	outrag	outrageous
.	.	.
But	but	But
even	even	even
more	more	more
outrageous	outrag	outrageous
is	is	is
the	the	the
fact	fact	fact
that	that	that
while	while	while
the	the	the
American	american	American
people	peopl	people
will	will	will
lose	lose	lose
the	the	the
benefits	benefit	benefit
of	of	of
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
Republicans	republican	Republicans
have	have	have
exempted	exempt	exempted
themselves	themselv	themselves
from	from	from
losing	lose	losing
the	the	the
same	same	same
benefits	benefit	benefit
the	the	the
law	law	law
provides	provid	provides
.	.	.
That	that	That
s	s	s
right	right	right
.	.	.

Republicans	republican	Republicans
are	are	are
literally	liter	literally
making	make	making
sure	sure	sure
that	that	that
they	they	they
get	get	get
to	to	to
keep	keep	keep
their	their	their
Obamacare	obamacar	Obamacare
.	.	.

That	that	That
makes	make	make
them	them	them
heartless	heartless	heartless
and	and	and
selfish	selfish	selfish
as	as	a
well	well	well
as	as	a
hypocrites	hypocrit	hypocrite
.	.	.

They	they	They
should	should	should
not	not	not
only	onli	only
be	be	be
ashamed	asham	ashamed
,	,	,
they	they	they
should	should	should
be	be	be
booted	boot	booted
out	out	out
of	of	of
office	offic	office
.	.	.
Featured	featur	Featured
image	imag	image
screenshot	screenshot	screenshot

