Umm	umm	Umm
we	we	we
wanted	want	wanted
to	to	to
know	know	know
if	if	if
there	there	there
were	were	were
similar	similar	similar
assignments	assign	assignment
based	base	based
on	on	on
other	other	other
religions	religion	religion
or	or	or
just	just	just
Islam	islam	Islam
,	,	,
as	as	a
well	well	well
as	as	a
what	what	what
documentaries	documentari	documentary
were	were	were
watched	watch	watched
to	to	to
prepare	prepar	prepare
for	for	for
the	the	the
essay	essay	essay
.	.	.
A	a	A
parent	parent	parent
of	of	of
the	the	the
student	student	student
who	who	who
received	receiv	received
the	the	the
assignment	assign	assignment
tells	tell	tell
EAGnews	eagnew	EAGnews
,	,	,
I	i	I
feel	feel	feel
that	that	that
the	the	the
purpose	purpos	purpose
of	of	of
the	the	the
assignment	assign	assignment
is	is	is
to	to	to
show	show	show
prejudices	prejudic	prejudice
towards	toward	towards
Muslims	muslim	Muslims
in	in	in
America	america	America
or	or	or
to	to	to
invent	invent	invent
them	them	them
or	or	or
exaggerate	exagger	exaggerate
them	them	them
.	.	.
The	the	The
parent	parent	parent
,	,	,
who	who	who
asked	ask	asked
to	to	to
remain	remain	remain
anonymous	anonym	anonymous
,	,	,
doesn	doesn	doesn
t	t	t
blame	blame	blame
the	the	the
teacher	teacher	teacher
for	for	for
the	the	the
essay	essay	essay
s	s	s
instructions	instruct	instruction
.	.	.
I	i	I
did	did	did
not	not	not
voice	voic	voice
my	my	my
concerns	concern	concern
directly	direct	directly
to	to	to
the	the	the
teacher	teacher	teacher
because	becaus	because
I	i	I
do	do	do
not	not	not
blame	blame	blame
the	the	the
teacher	teacher	teacher
.	.	.
I	i	I
believe	believ	believe
this	this	this
is	is	is
a	a	a
curriculum	curriculum	curriculum
issue	issu	issue
.	.	.
The	the	The
teachers	teacher	teacher
are	are	are
not	not	not
using	use	using
their	their	their
own	own	own
curriculum	curriculum	curriculum
,	,	,
the	the	the
school	school	school
boards	board	board
superintendents	superintend	superintendent
do	do	do
generally	general	generally
,	,	,
according	accord	according
to	to	to
the	the	the
parent	parent	parent
.	.	.
I	i	I
brought	brought	brought
attention	attent	attention
to	to	to
it	it	it
because	becaus	because
I	i	I
felt	felt	felt
that	that	that
it	it	it
was	was	wa
inaccurate	inaccur	inaccurate
for	for	for
World	world	World
History	histori	History
.	.	.
I	i	I
would	would	would
have	have	have
no	no	no
problem	problem	problem
with	with	with
this	this	this
assignment	assign	assignment
if	if	if
they	they	they
were	were	were
to	to	to
pretend	pretend	pretend
they	they	they
were	were	were
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
practicing	practic	practicing
their	their	their
religion	religion	religion
.	.	.
I	i	I
first	first	first
was	was	wa
bothered	bother	bothered
because	becaus	because
it	it	it
seems	seem	seems
that	that	that
if	if	if
any	ani	any
Catholic	cathol	Catholic
issues	issu	issue
are	are	are
brought	brought	brought
up	up	up
attention	attent	attention
is	is	is
brought	brought	brought
to	to	to
the	the	the
school	school	school
and	and	and
the	the	the
assignment	assign	assignment
banned	ban	banned
being	be	being
a	a	a
public	public	public
school	school	school
.	.	.
EAGnews	eagnew	EAGnews
reported	report	reported
on	on	on
another	anoth	another
controversial	controversi	controversial
lesson	lesson	lesson
two	two	two
years	year	year
ago	ago	ago
almost	almost	almost
to	to	to
the	the	the
day	day	day
at	at	at
the	the	the
same	same	same
high	high	high
school	school	school
.	.	.
At	at	At
that	that	that
time	time	time
,	,	,
students	student	student
were	were	were
given	given	given
a	a	a
crossword	crossword	crossword
puzzle	puzzl	puzzle
that	that	that
defined	defin	defined
conservatism	conservat	conservatism
as	as	a
the	the	the
political	polit	political
belief	belief	belief
of	of	of
preserving	preserv	preserving
traditional	tradit	traditional
moral	moral	moral
values	valu	value
by	by	by
restricting	restrict	restricting
personal	person	personal
freedoms	freedom	freedom
The	the	The
definitions	definit	definition
of	of	of
conservatism	conservat	conservatism
and	and	and
liberalism	liber	liberalism
make	make	make
me	me	me
sick	sick	sick
,	,	,
parent	parent	parent
Tamra	tamra	Tamra
Varebook	varebook	Varebook
told	told	told
EAGnews	eagnew	EAGnews
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
horribly	horribl	horribly
distorted	distort	distorted
and	and	and
it	it	it
s	s	s
biased	bias	biased
.	.	.
After	after	After
EAG	eag	EAG
s	s	s
report	report	report
,	,	,
the	the	the
publishing	publish	publishing
company	compani	company
,	,	,
Cerebellum	cerebellum	Cerebellum
Corporation	corpor	Corporation
,	,	,
announced	announc	announced
it	it	it
would	would	would
discontinue	discontinu	discontinue
selling	sell	selling
the	the	the
skewed	skew	skewed
assignment	assign	assignment
.	.	.
Although	although	Although
we	we	we
are	are	are
careful	care	careful
to	to	to
screen	screen	screen
the	the	the
quality	qualiti	quality
of	of	of
our	our	our
products	product	product
,	,	,
we	we	we
are	are	are
not	not	not
always	alway	always
able	abl	able
to	to	to
identify	identifi	identify
the	the	the
problems	problem	problem
seen	seen	seen
in	in	in
Liberalism	liber	Liberalism
vs	vs	v
.	.	.
Conservatism	conservat	Conservatism
,	,	,
Cerebellum	cerebellum	Cerebellum
President	presid	President
James	jame	James
Rena	rena	Rena
said	said	said
in	in	in
a	a	a
statement	statement	statement
sent	sent	sent
to	to	to
EAGnews	eagnew	EAGnews
.	.	.
