On	on	On
Michigan	michigan	Michigan
is	is	is
required	requir	required
to	to	to
promptly	prompt	promptly
provide	provid	provide
the	the	the
public	public	public
with	with	with
necessary	necessari	necessary
information	inform	information
,	,	,
in	in	in
a	a	a
clear	clear	clear
and	and	and
transparent	transpar	transparent
way	way	way
to	to	to
assure	assur	assure
that	that	that
accurate	accur	accurate
,	,	,
reliable	reliabl	reliable
and	and	and
trustworthy	trustworthi	trustworthy
information	inform	information
is	is	is
available	avail	available
to	to	to
inform	inform	inform
the	the	the
public	public	public
and	and	and
decisions	decis	decision
about	about	about
next	next	next
steps	step	step
.	.	.

That	that	That
includes	includ	includes
an	an	an
order	order	order
to	to	to
create	creat	create
a	a	a
public	public	public
website	websit	website
where	where	where
the	the	the
state	state	state
is	is	is
required	requir	required
to	to	to
post	post	post
all	all	all
reports	report	report
,	,	,
sampling	sampl	sampling
results	result	result
,	,	,
plans	plan	plan
,	,	,
weekly	week	weekly
status	status	status
reports	report	report
and	and	and
all	all	all
other	other	other
documents	document	document
required	requir	required
under	under	under
this	this	this
order	order	order
.	.	.

As	as	As
many	mani	many
people	peopl	people
already	alreadi	already
realize	realiz	realize
,	,	,
the	the	the
Snyder	snyder	Snyder
administration	administr	administration
is	is	is
not	not	not
fond	fond	fond
of	of	of
transparency	transpar	transparency
.	.	.

Michigan	michigan	Michigan
is	is	is
one	one	one
of	of	of
only	onli	only
two	two	two
states	state	state
in	in	in
the	the	the
country	countri	country
in	in	in
which	which	which
the	the	the
governor	governor	governor
is	is	is
exempt	exempt	exempt
from	from	from
disclosure	disclosur	disclosure
under	under	under
the	the	the
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
.	.	.

Emergency	emerg	Emergency
managers	manag	manager
and	and	and
other	other	other
members	member	member
of	of	of
Snyder	snyder	Snyder
s	s	s
administration	administr	administration
have	have	have
conducted	conduct	conducted
business	busi	business
behind	behind	behind
closed	close	closed
doors	door	door
throughout	throughout	throughout
Snyder	snyder	Snyder
s	s	s
two	two	two
terms	term	term
as	as	a
governor	governor	governor
,	,	,
leading	lead	leading
to	to	to
repeated	repeat	repeated
battles	battl	battle
over	over	over
violations	violat	violation
of	of	of
the	the	the
state	state	state
s	s	s
open	open	open
meetings	meet	meeting
act	act	act
.	.	.
Aside	asid	Aside
from	from	from
releasing	releas	releasing
relevant	relev	relevant
information	inform	information
to	to	to
the	the	the
public	public	public
,	,	,
the	the	the
EPA	epa	EPA
order	order	order
requires	requir	requires
the	the	the
Snyder	snyder	Snyder
administration	administr	administration
to	to	to
provide	provid	provide
the	the	the
Flint	flint	Flint
EPA	epa	EPA
Task	task	Task
Force	forc	Force
with	with	with
all	all	all
of	of	of
the	the	the
information	inform	information
it	it	it
has	has	ha
been	been	been
trying	tri	trying
to	to	to
get	get	get
from	from	from
Michigan	michigan	Michigan
officials	offici	official
since	sinc	since
November	novemb	November
.	.	.

You	you	You
can	can	can
view	view	view
the	the	the
long	long	long
list	list	list
of	of	of
items	item	item
that	that	that
the	the	the
state	state	state
has	has	ha
refused	refus	refused
to	to	to
turn	turn	turn
over	over	over
to	to	to
the	the	the
Task	task	Task
Force	forc	Force
here	here	here
.	.	.

The	the	The
state	state	state
now	now	now
has	has	ha
ten	ten	ten
days	day	day
to	to	to
produce	produc	produce
all	all	all
of	of	of
that	that	that
information	inform	information
.	.	.
The	the	The
Snyder	snyder	Snyder
administration	administr	administration
must	must	must
also	also	also
bring	bring	bring
in	in	in
qualified	qualifi	qualified
professionals	profession	professional
to	to	to
deal	deal	deal
with	with	with
the	the	the
situation	situat	situation
,	,	,
something	someth	something
else	els	else
the	the	the
state	state	state
was	was	wa
instructed	instruct	instructed
to	to	to
do	do	do
,	,	,
but	but	but
has	has	ha
not	not	not
done	done	done
.	.	.

The	the	The
state	state	state
has	has	ha
15	15	15
days	day	day
to	to	to
comply	compli	comply
.	.	.
The	the	The
EPA	epa	EPA
s	s	s
order	order	order
provides	provid	provides
a	a	a
detailed	detail	detailed
overview	overview	overview
of	of	of
the	the	the
ongoing	ongo	ongoing
failures	failur	failure
of	of	of
the	the	the
state	state	state
,	,	,
Snyder	snyder	Snyder
appointed	appoint	appointed
emergency	emerg	emergency
managers	manag	manager
in	in	in
Flint	flint	Flint
,	,	,
and	and	and
Snyder	snyder	Snyder
appointed	appoint	appointed
officials	offici	official
at	at	at
the	the	the
DEQ	deq	DEQ
.	.	.
As	as	As
Addicting	addict	Addicting
Info	info	Info
reported	report	reported
here	here	here
,	,	,
the	the	the
state	state	state
supplied	suppli	supplied
the	the	the
EPA	epa	EPA
with	with	with
documents	document	document
that	that	that
were	were	were
altered	alter	altered
and	and	and
test	test	test
results	result	result
that	that	that
were	were	were
purposely	purpos	purposely
skewed	skew	skewed
to	to	to
make	make	make
it	it	it
appear	appear	appear
that	that	that
the	the	the
water	water	water
in	in	in
Flint	flint	Flint
was	was	wa
fine	fine	fine
.	.	.
During	dure	During
the	the	the
annual	annual	annual
State	state	State
of	of	of
the	the	the
State	state	State
address	address	address
,	,	,
Michigan	michigan	Michigan
s	s	s
governor	governor	governor
Snyder	snyder	Snyder
told	told	told
the	the	the
citizens	citizen	citizen
that	that	that
he	he	he
was	was	wa
very	veri	very
sorry	sorri	sorry
for	for	for
poisoning	poison	poisoning
the	the	the
residents	resid	resident
Flint	flint	Flint
.	.	.
He	he	He
went	went	went
on	on	on
to	to	to
say	say	say
You	you	You
deserve	deserv	deserve
accountability	account	accountability
.	.	.

You	you	You
deserve	deserv	deserve
to	to	to
know	know	know
that	that	that
the	the	the
buck	buck	buck
stops	stop	stop
here	here	here
with	with	with
me	me	me
.	.	.

Creagh	creagh	Creagh
s	s	s
unbelievable	unbeliev	unbelievable
two	two	two
-fold	-fold	-fold
response	respons	response
to	to	to
the	the	the
EPA	epa	EPA
order	order	order
can	can	can
be	be	be
read	read	read
as	as	a
we	we	we
haven	haven	haven
t	t	t
done	done	done
anything	anyth	anything
wrong	wrong	wrong
,	,	,
followed	follow	followed
by	by	by
you	you	you
don	don	don
t	t	t
have	have	have
the	the	the
authority	author	authority
to	to	to
make	make	make
us	us	u
do	do	do
anything	anyth	anything
right	right	right
.	.	.

How	how	How
s	s	s
that	that	that
for	for	for
accountability	account	accountability
?	?	?
Creagh	creagh	Creagh
states	state	state
in	in	in
his	his	his
response	respons	response
to	to	to
the	the	the
EPA	epa	EPA
that	that	that
the	the	the
state	state	state
will	will	will
comply	compli	comply
with	with	with
the	the	the
EPA	epa	EPA
s	s	s
order	order	order
,	,	,
but	but	but
intends	intend	intends
to	to	to
fully	fulli	fully
outline	outlin	outline
the	the	the
state	state	state
s	s	s
legal	legal	legal
and	and	and
factual	factual	factual
concerns	concern	concern
as	as	a
to	to	to
whether	whether	whether
or	or	or
not	not	not
the	the	the
EPA	epa	EPA
has	has	ha
the	the	the
authority	author	authority
to	to	to
issue	issu	issue
the	the	the
order	order	order
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
the	the	the
state	state	state
of	of	of
Michigan	michigan	Michigan
received	receiv	received
80	80	80
million	million	million
from	from	from
the	the	the
federal	feder	federal
government	govern	government
,	,	,
in	in	in
addition	addit	addition
to	to	to
the	the	the
5	5	5
million	million	million
that	that	that
was	was	wa
granted	grant	granted
to	to	to
the	the	the
state	state	state
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
following	follow	following
the	the	the
declaration	declar	declaration
of	of	of
state	state	state
of	of	of
emergency	emerg	emergency
in	in	in
Flint	flint	Flint
.	.	.

So	so	So
every	everi	every
U	u	U
.	.	.
S	s	S
.	.	.
taxpayer	taxpay	taxpayer
is	is	is
now	now	now
paying	pay	paying
the	the	the
bill	bill	bill
for	for	for
Snyder	snyder	Snyder
s	s	s
corruption	corrupt	corruption
and	and	and
incompetence	incompet	incompetence
.	.	.
Yet	yet	Yet
the	the	the
Snyder	snyder	Snyder
administration	administr	administration
has	has	ha
the	the	the
audacity	audac	audacity
to	to	to
claim	claim	claim
that	that	that
the	the	the
EPA	epa	EPA
doesn	doesn	doesn
t	t	t
have	have	have
the	the	the
authority	author	authority
to	to	to
tell	tell	tell
the	the	the
state	state	state
what	what	what
to	to	to
do	do	do
.	.	.
It	it	It
s	s	s
disgusting	disgust	disgusting
and	and	and
infuriating	infuri	infuriating
that	that	that
Snyder	snyder	Snyder
s	s	s
administration	administr	administration
has	has	ha
to	to	to
be	be	be
forced	forc	forced
to	to	to
do	do	do
what	what	what
it	it	it
should	should	should
have	have	have
done	done	done
months	month	month
ago	ago	ago
.	.	.

These	these	These
are	are	are
basic	basic	basic
things	thing	thing
,	,	,
like	like	like
getting	get	getting
the	the	the
necessary	necessari	necessary
information	inform	information
to	to	to
the	the	the
public	public	public
,	,	,
cooperating	cooper	cooperating
with	with	with
the	the	the
EPA	epa	EPA
Task	task	Task
Force	forc	Force
and	and	and
bringing	bring	bringing
in	in	in
trained	train	trained
and	and	and
qualified	qualifi	qualified
professionals	profession	professional
who	who	who
can	can	can
address	address	address
the	the	the
situation	situat	situation
.	.	.

These	these	These
are	are	are
things	thing	thing
the	the	the
Snyder	snyder	Snyder
administration	administr	administration
should	should	should
have	have	have
done	done	done
without	without	without
an	an	an
order	order	order
from	from	from
the	the	the
federal	feder	federal
government	govern	government
,	,	,
but	but	but
they	they	they
did	did	did
not	not	not
.	.	.
In	in	In
the	the	the
midst	midst	midst
of	of	of
all	all	all
of	of	of
this	this	this
,	,	,
the	the	the
people	peopl	people
of	of	of
Flint	flint	Flint
are	are	are
struggling	struggl	struggling
to	to	to
cope	cope	cope
with	with	with
a	a	a
crisis	crisi	crisis
that	that	that
most	most	most
of	of	of
us	us	u
cannot	cannot	cannot
even	even	even
fathom	fathom	fathom
.	.	.
Featured	featur	Featured
image	imag	image
credit	credit	credit
Duncan	duncan	Duncan
Creamer	creamer	Creamer
via	via	via
Flckr	flckr	Flckr
cc	cc	cc
2	2	2
.	.	.
0	0	0

