If	if	If
Last	last	Last
week	week	week
,	,	,
a	a	a
lifelong	lifelong	lifelong
Texas	texa	Texas
Republican	republican	Republican
formally	formal	formally
resigned	resign	resigned
from	from	from
the	the	the
Republican	republican	Republican
Party	parti	Party
by	by	by
writing	write	writing
an	an	an
epic	epic	epic
resignation	resign	resignation
letter	letter	letter
that	that	that
went	went	went
viral	viral	viral
.	.	.

I	i	I
will	will	will
not	not	not
contribute	contribut	contribute
my	my	my
name	name	name
,	,	,
my	my	my
work	work	work
,	,	,
or	or	or
my	my	my
character	charact	character
to	to	to
an	an	an
utterly	utter	utterly
indefensible	indefens	indefensible
cause	caus	cause
,	,	,
Chris	chris	Chris
Ladd	ladd	Ladd
wrote	wrote	wrote
after	after	after
being	be	being
a	a	a
Republican	republican	Republican
for	for	for
the	the	the
last	last	last
30	30	30
years	year	year
.	.	.

No	no	No
sensible	sensibl	sensible
adult	adult	adult
demands	demand	demand
moral	moral	moral
purity	puriti	purity
from	from	from
a	a	a
political	polit	political
party	parti	party
,	,	,
but	but	but
conscience	conscienc	conscience
is	is	is
meaningless	meaningless	meaningless
without	without	without
constraints	constraint	constraint
.	.	.

A	a	A
party	parti	party
willing	will	willing
to	to	to
lend	lend	lend
its	it	it
collective	collect	collective
capital	capit	capital
to	to	to
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
entered	enter	entered
a	a	a
compromise	compromis	compromise
beyond	beyond	beyond
any	ani	any
credible	credibl	credible
threshold	threshold	threshold
of	of	of
legitimacy	legitimaci	legitimacy
.	.	.

There	there	There
is	is	is
no	no	no
redemption	redempt	redemption
in	in	in
being	be	being
one	one	one
of	of	of
the	the	the
good	good	good
Nazis	nazi	Nazis
.	.	.

Donald	donald	Donald
Trump	trump	Trump
is	is	is
the	the	the
poison	poison	poison
pill	pill	pill
that	that	that
Republicans	republican	Republicans
forced	forc	forced
themselves	themselv	themselves
to	to	to
swallow	swallow	swallow
so	so	so
they	they	they
really	realli	really
shouldn	shouldn	shouldn
t	t	t
be	be	be
surprised	surpris	surprised
that	that	that
their	their	their
party	parti	party
is	is	is
dying	die	dying
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
John	john	John
Sommers	sommer	Sommers
II	ii	II
Getty	getti	Getty
Images	imag	Images

