As	as	As
firm	firm	firm
to	to	to
send	send	send
a	a	a
letter	letter	letter
to	to	to
Sen	sen	Sen
.	.	.
Graham	graham	Graham
reiterating	reiter	reiterating
that	that	that
?	?	?
That	that	That
s	s	s
not	not	not
what	what	what
someone	someon	someone
who	who	who
s	s	s
sure	sure	sure
of	of	of
their	their	their
innocence	innoc	innocence
does	doe	doe
.	.	.
Now	now	Now
,	,	,
his	his	his
meeting	meet	meeting
with	with	with
Lavrov	lavrov	Lavrov
is	is	is
taking	take	taking
place	place	place
after	after	after
Lavrov	lavrov	Lavrov
meets	meet	meet
with	with	with
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
.	.	.
Both	both	Both
meetings	meet	meeting
will	will	will
supposedly	suppos	supposedly
focus	focus	focus
on	on	on
stabilizing	stabil	stabilizing
Syria	syria	Syria
the	the	the
Trump	trump	Trump
administration	administr	administration
seems	seem	seems
to	to	to
think	think	think
that	that	that
we	we	we
need	need	need
to	to	to
work	work	work
with	with	with
Russia	russia	Russia
to	to	to
accomplish	accomplish	accomplish
anything	anyth	anything
there	there	there
.	.	.
But	but	But
,	,	,
as	as	a
the	the	the
AP	ap	AP
notes	note	note
in	in	in
their	their	their
story	stori	story
T	t	T
he	he	he
meeting	meet	meeting
will	will	will
be	be	be
impossible	imposs	impossible
to	to	to
separate	separ	separate
from	from	from
the	the	the
Trump	trump	Trump
administration	administr	administration
s	s	s
unfolding	unfold	unfolding
political	polit	political
drama	drama	drama
in	in	in
Washington	washington	Washington
,	,	,
where	where	where
FBI	fbi	FBI
and	and	and
congressional	congression	congressional
investigations	investig	investigation
are	are	are
looking	look	looking
into	into	into
possible	possibl	possible
collusion	collus	collusion
between	between	between
Trump	trump	Trump
campaign	campaign	campaign
associates	associ	associate
and	and	and
the	the	the
Kremlin	kremlin	Kremlin
related	relat	related
to	to	to
last	last	last
year	year	year
s	s	s
presidential	presidenti	presidential
election	elect	election
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
agencies	agenc	agency
accuse	accus	accuse
Moscow	moscow	Moscow
of	of	of
meddling	meddl	meddling
to	to	to
help	help	help
Trump	trump	Trump
s	s	s
chances	chanc	chance
of	of	of
victory	victori	victory
.	.	.
That	that	That
,	,	,
combined	combin	combined
with	with	with
this	this	this
letter	letter	letter
he	he	he
s	s	s
sending	send	sending
to	to	to
Sen	sen	Sen
.	.	.
Graham	graham	Graham
and	and	and
we	we	we
have	have	have
to	to	to
wonder	wonder	wonder
exactly	exact	exactly
how	how	how
such	such	such
a	a	a
letter	letter	letter
is	is	is
going	go	going
to	to	to
prove	prove	prove
that	that	that
he	he	he
s	s	s
got	got	got
no	no	no
connections	connect	connection
to	to	to
Russia	russia	Russia
at	at	at
all	all	all
,	,	,
just	just	just
looks	look	look
really	realli	really
,	,	,
really	realli	really
bad	bad	bad
.	.	.
In	in	In
fact	fact	fact
,	,	,
it	it	it
s	s	s
starting	start	starting
to	to	to
look	look	look
like	like	like
the	the	the
world	world	world
is	is	is
about	about	about
to	to	to
come	come	come
crashing	crash	crashing
down	down	down
around	around	around
him	him	him
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Olivier	olivi	Olivier
Douliery	doulieri	Douliery
Pool	pool	Pool
via	via	via
Getty	getti	Getty
Images	imag	Images
