After	after	After
.	.	.
To	to	To
the	the	the
people	peopl	people
upset	upset	upset
about	about	about
the	the	the
#OldNavy	#oldnavi	#OldNavy
Scandal	scandal	Scandal
of	of	of
an	an	an
a	a	a
picture	pictur	picture
of	of	of
a	a	a
mixed	mix	mixed
race	race	race
marriage	marriag	marriage
,	,	,
eat	eat	eat
it	it	it
.	.	.
@Reneeitchka	@reneeitchka	@Reneeitchka
pic.twitter.com/yA5YwbZRcm	pic.twitter.com/ya5ywbzrcm	pic.twitter.com/yA5YwbZRcm
Jack	jack	Jack
McCain	mccain	McCain
@McCainJack	@mccainjack	@McCainJack
May	may	May
2	2	2
,	,	,
2016And	2016and	2016And
then	then	then
for	for	for
good	good	good
measure	measur	measure
he	he	he
posted	post	posted
a	a	a
picture	pictur	picture
of	of	of
the	the	the
pair	pair	pair
on	on	on
their	their	their
wedding	wed	wedding
day	day	day
.	.	.
I	i	I
hope	hope	hope
this	this	this
one	one	one
burns	burn	burn
too	too	too
,	,	,
you	you	you
ignorant	ignor	ignorant
racists	racist	racist
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.
I	i	I
hope	hope	hope
this	this	this
one	one	one
burns	burn	burn
too	too	too
,	,	,
you	you	you
ignorant	ignor	ignorant
racists	racist	racist
.	.	.
Here	here	Here
is	is	is
us	us	u
on	on	on
our	our	our
wedding	wed	wedding
day	day	day
.	.	.
@Reneeitchka	@reneeitchka	@Reneeitchka
pic.twitter.com/1VSd2gqH9W	pic.twitter.com/1vsd2gqh9w	pic.twitter.com/1VSd2gqH9W
Jack	jack	Jack
McCain	mccain	McCain
@McCainJack	@mccainjack	@McCainJack
May	may	May
2	2	2
,	,	,
2016McCain	2016mccain	2016McCain
has	has	ha
received	receiv	received
an	an	an
outpouring	outpour	outpouring
of	of	of
support	support	support
on	on	on
his	his	his
Twitter	twitter	Twitter
account	account	account
,	,	,
including	includ	including
a	a	a
comment	comment	comment
from	from	from
CNN	cnn	CNN
anchor	anchor	anchor
Jake	jake	Jake
Tapper	tapper	Tapper
,	,	,
who	who	who
wrote	wrote	wrote
that	that	that
anyone	anyon	anyone
who	who	who
has	has	ha
a	a	a
problem	problem	problem
with	with	with
it	it	it
is	is	is
an	an	an
idiot	idiot	idiot
clinging	cling	clinging
to	to	to
a	a	a
backward	backward	backward
time	time	time
.	.	.
@marcoscadiz	@marcoscadiz	@marcoscadiz
@McCainJack	@mccainjack	@McCainJack
@Reneeitchka	@reneeitchka	@Reneeitchka
anyone	anyon	anyone
who	who	who
has	has	ha
a	a	a
problem	problem	problem
with	with	with
it	it	it
is	is	is
an	an	an
idiot	idiot	idiot
clinging	cling	clinging
to	to	to
a	a	a
backward	backward	backward
time	time	time
.	.	.
Jake	jake	Jake
Tapper	tapper	Tapper
@jaketapper	@jaketapp	@jaketapper
May	may	May
2	2	2
,	,	,
2016Of	2016of	2016Of
course	cours	course
,	,	,
McCain	mccain	McCain
s	s	s
posts	post	post
must	must	must
have	have	have
stung	stung	stung
the	the	the
racists	racist	racist
hard	hard	hard
because	becaus	because
some	some	some
responded	respond	responded
with	with	with
vile	vile	vile
replies	repli	reply
.	.	.
@McCainJack	@mccainjack	@McCainJack
@noFelld	@nofelld	@noFelld
@ClaraJeffery	@clarajefferi	@ClaraJeffery
@Reneeitchka	@reneeitchka	@Reneeitchka
No	no	No
,	,	,
you	you	you
re	re	re
not	not	not
.	.	.
I	i	I
certainly	certain	certainly
wouldn	wouldn	wouldn
t	t	t
consider	consid	consider
myself	myself	myself
lucky	lucki	lucky
to	to	to
be	be	be
married	marri	married
to	to	to
a	a	a
monkey	monkey	monkey
.	.	.
monolith	monolith	monolith
@wishgranter14	@wishgranter14	@wishgranter14
May	may	May
4	4	4
,	,	,
2016	2016	2016
@McCainJack	@mccainjack	@McCainJack
@Reneeitchka	@reneeitchka	@Reneeitchka
Dude	dude	Dude
,	,	,
you	you	you
re	re	re
the	the	the
one	one	one
wasting	wast	wasting
your	your	your
seed	seed	seed
,	,	,
not	not	not
us	us	u
.	.	.
Why	whi	Why
wouldn	wouldn	wouldn
t	t	t
I	i	I
be	be	be
happy	happi	happy
to	to	to
see	see	see
tards	tard	tards
dropping	drop	dropping
out	out	out
of	of	of
our	our	our
gene	gene	gene
pool	pool	pool
?	?	?
Prez	prez	Prez
Davis	davi	Davis
@prez_davis	@prez_davi	@prez_davis
May	may	May
2	2	2
,	,	,
2016Clearly	2016clear	2016Clearly
,	,	,
Jack	jack	Jack
McCain	mccain	McCain
succeeded	succeed	succeeded
at	at	at
enraging	enrag	enraging
the	the	the
racists	racist	racist
in	in	in
our	our	our
society	societi	society
.	.	.
Hopefully	hope	Hopefully
,	,	,
one	one	one
day	day	day
,	,	,
racism	racism	racism
will	will	will
truly	truli	truly
no	no	no
longer	longer	longer
exist	exist	exist
in	in	in
this	this	this
country	countri	country
.	.	.
Until	until	Until
then	then	then
,	,	,
it	it	it
s	s	s
good	good	good
that	that	that
there	there	there
are	are	are
people	peopl	people
like	like	like
Jack	jack	Jack
McCain	mccain	McCain
fighting	fight	fighting
back	back	back
against	against	against
the	the	the
hate	hate	hate
.	.	.
Featured	featur	Featured
Image	imag	Image
Twitter	twitter	Twitter
