Typically	typic	Typically
Santa	santa	Santa
,	,	,
you	you	you
re	re	re
brown	brown	brown
,	,	,
and	and	and
I	i	I
said	said	said
,	,	,
Yes	yes	Yes
,	,	,
I	i	I
am	am	am
,	,	,
but	but	but
Santa	santa	Santa
comes	come	come
in	in	in
many	mani	many
different	differ	different
colors	color	color
.	.	.

He	he	He
said	said	said
,	,	,
Oh	oh	Oh
,	,	,
so	so	so
I	i	I
gave	gave	gave
him	him	him
a	a	a
candy	candi	candy
cane	cane	cane
,	,	,
he	he	he
ran	ran	ran
off	off	off
with	with	with
other	other	other
kids	kid	kid
.	.	.

It	it	It
s	s	s
a	a	a
pretty	pretti	pretty
simple	simpl	simple
concept	concept	concept
.	.	.

Santa	santa	Santa
a	a	a
character	charact	character
based	base	based
on	on	on
a	a	a
black	black	black
man	man	man
can	can	can
be	be	be
purple	purpl	purple
with	with	with
pink	pink	pink
polka	polka	polka
dots	dot	dot
and	and	and
a	a	a
chrome	chrome	chrome
finish	finish	finish
on	on	on
his	his	his
wicked	wick	wicked
awesome	awesom	awesome
spiked	spike	spiked
shoulder	shoulder	shoulder
pads	pad	pad
if	if	if
one	one	one
wishes	wish	wish
,	,	,
as	as	a
long	long	long
as	as	a
he	he	he
dumps	dump	dump
presents	present	present
in	in	in
billions	billion	billion
of	of	of
childrens	children	childrens
living	live	living
rooms	room	room
by	by	by
six	six	six
am	am	am
on	on	on
Christmas	christma	Christmas
morning	morn	morning
.	.	.

He	he	He
s	s	s
a	a	a
magical	magic	magical
creature	creatur	creature
who	who	who
drives	drive	drive
a	a	a
sleigh	sleigh	sleigh
pulled	pull	pulled
by	by	by
flying	fli	flying
reindeer	reindeer	reindeer
but	but	but
some	some	some
feel	feel	feel
that	that	that
appearing	appear	appearing
as	as	a
a	a	a
skin	skin	skin
color	color	color
beyond	beyond	beyond
white	white	white
is	is	is
beyond	beyond	beyond
the	the	the
scope	scope	scope
of	of	of
his	his	his
wicked	wick	wicked
awesome	awesom	awesome
powers	power	power
namely	name	namely
,	,	,
Trump	trump	Trump
voters	voter	voter
who	who	who
swarmed	swarm	swarmed
the	the	the
comment	comment	comment
section	section	section
.	.	.

FUKIN	fukin	FUKIN
DISGUSTING	disgust	DISGUSTING
,	,	,
one	one	one
man	man	man
wrote	wrote	wrote
in	in	in
traditional	tradit	traditional
Republican	republican	Republican
ALLCAPS	allcap	ALLCAPS
.	.	.

NIGERS	niger	NIGERS
ARE	are	ARE
DESTROYING	destroy	DESTROYING
the	the	the
NATION	nation	NATION
.	.	.

His	his	His
solution	solut	solution
to	to	to
black	black	black
Santas	santa	Santas
destroying	destroy	destroying
the	the	the
nation	nation	nation
is	is	is
to	to	to
EXTERMINATE	extermin	EXTERMINATE
the	the	the
NIGER	niger	NIGER
RACE	race	RACE
to	to	to
save	save	save
HUMANS	human	HUMANS
from	from	from
MONGREL	mongrel	MONGREL
APES	ape	APES
.	.	.

Another	anoth	Another
called	call	called
for	for	for
a	a	a
BOYCOTT	boycott	BOYCOTT
of	of	of
Mall	mall	Mall
of	of	of
America	america	America
because	becaus	because
Santa	santa	Santa
is	is	is
WHITE	white	WHITE
.	.	.

Others	other	Others
called	call	called
it	it	it
offensive	offens	offensive
to	to	to
portray	portray	portray
Santa	santa	Santa
who	who	who
,	,	,
once	onc	once
again	again	again
,	,	,
is	is	is
a	a	a
character	charact	character
based	base	based
on	on	on
a	a	a
black	black	black
man	man	man
from	from	from
Turkey	turkey	Turkey
as	as	a
black	black	black
.	.	.

Another	anoth	Another
wondered	wonder	wondered
why	whi	why
these	these	these
people	peopl	people
-shaped	-shape	-shaped
apes	ape	ape
can	can	can
t	t	t
just	just	just
stick	stick	stick
to	to	to
their	their	their
made	made	made
-up	-up	-up
kwanza	kwanza	kwanza
ritual	ritual	ritual
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
this	this	this
is	is	is
the	the	the
sort	sort	sort
of	of	of
shit	shit	shit
we	we	we
will	will	will
be	be	be
dealing	deal	dealing
with	with	with
more	more	more
and	and	and
more	more	more
as	as	a
time	time	time
goes	goe	go
on	on	on
.	.	.
Watch	watch	Watch
a	a	a
report	report	report
on	on	on
Jefferson	jefferson	Jefferson
s	s	s
hiring	hire	hiring
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

