Wow	wow	Wow
want	want	want
you	you	you
guys	guy	guy
to	to	to
know	know	know
that	that	that
I	i	I
am	am	am
fully	fulli	fully
in	in	in
the	the	the
middle	middl	middle
of	of	of
a	a	a
blacklist	blacklist	blacklist
like	like	like
I	i	I
m	m	m
in	in	in
the	the	the
middle	middl	middle
of	of	of
a	a	a
Hollywood	hollywood	Hollywood
blacklist	blacklist	blacklist
.	.	.

It	it	It
is	is	is
real	real	real
.	.	.

I	i	I
m	m	m
not	not	not
booked	book	booked
on	on	on
any	ani	any
talk	talk	talk
shows	show	show
.	.	.

Griffen	griffen	Griffen
continued	continu	continued
to	to	to
whine	whine	whine
about	about	about
her	her	her
lack	lack	lack
of	of	of
jobs	job	job
,	,	,
I	i	I
just	just	just
want	want	want
you	you	you
guys	guy	guy
to	to	to
know	know	know
,	,	,
that	that	that
when	when	when
I	i	I
get	get	get
home	home	home
,	,	,
I	i	I
do	do	do
not	not	not
have	have	have
one	one	one
single	singl	single
day	day	day
of	of	of
paid	paid	paid
work	work	work
in	in	in
front	front	front
of	of	of
me	me	me
,	,	,
and	and	and
the	the	the
people	peopl	people
who	who	who
want	want	want
me	me	me
to	to	to
go	go	go
back	back	back
and	and	and
do	do	do
clubs	club	club
and	and	and
do	do	do
10	10	10
minutes	minut	minute
again	again	again
I	i	I
don	don	don
t	t	t
mean	mean	mean
to	to	to
be	be	be
an	an	an
asshole	asshol	asshole
,	,	,
but	but	but
I	i	I
m	m	m
not	not	not
gonna	gonna	gonna
do	do	do
that	that	that
.	.	.

I	i	I
ve	ve	ve
worked	work	worked
way	way	way
too	too	too
hard	hard	hard
to	to	to
go	go	go
back	back	back
and	and	and
work	work	work
for	for	for
free	free	free
,	,	,
and	and	and
do	do	do
the	the	the
club	club	club
scene	scene	scene
again	again	again
because	becaus	because
this	this	this
is	is	is
some	some	some
bullshit	bullshit	bullshit
.	.	.

Because	becaus	Because
I	i	I
ve	ve	ve
been	been	been
blacklisted	blacklist	blacklisted
.	.	.
Griffin	griffin	Griffin
then	then	then
goes	goe	go
on	on	on
to	to	to
tell	tell	tell
her	her	her
fellow	fellow	fellow
Hollywood	hollywood	Hollywood
libs	lib	libs
to	to	to
stop	stop	stop
sending	send	sending
her	her	her
requests	request	request
for	for	for
donations	donat	donation
to	to	to
their	their	their
fundraisers	fundrais	fundraiser
because	becaus	because
she	she	she
doesn	doesn	doesn
t	t	t
have	have	have
any	ani	any
money	money	money
.	.	.

She	she	She
goes	goe	go
on	on	on
to	to	to
explain	explain	explain
that	that	that
she	she	she
s	s	s
spent	spent	spent
all	all	all
of	of	of
her	her	her
money	money	money
on	on	on
lawyers	lawyer	lawyer
because	becaus	because
she	she	she
believes	believ	belief
in	in	in
something	someth	something
.	.	.

Griffin	griffin	Griffin
can	can	can
t	t	t
quite	quit	quite
find	find	find
a	a	a
way	way	way
to	to	to
articulate	articul	articulate
what	what	what
that	that	that
something	someth	something
is	is	is
,	,	,
but	but	but
she	she	she
s	s	s
apparently	appar	apparently
learned	learn	learned
her	her	her
lesson	lesson	lesson
and	and	and
has	has	ha
refrained	refrain	refrained
from	from	from
exposing	expos	exposing
her	her	her
true	true	true
obsession	obsess	obsession
and	and	and
desire	desir	desire
,	,	,
which	which	which
was	was	wa
to	to	to
destroy	destroy	destroy
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Watch	watch	Watch

