Max	max	Max
of	of	of
inmate	inmat	inmate
complaints	complaint	complaint
and	and	and
hundreds	hundr	hundred
of	of	of
unexplained	unexplain	unexplained
inmate	inmat	inmate
deaths	death	death
,	,	,
the	the	the
company	compani	company
decided	decid	decided
to	to	to
terminate	termin	terminate
its	it	it
1	1	1
.	.	.
1	1	1
billion	billion	billion
contract	contract	contract
with	with	with
the	the	the
state	state	state
two	two	two
years	year	year
early	earli	early
.	.	.
As	as	As
the	the	the
Miami	miami	Miami
Herald	herald	Herald
reports	report	report
here	here	here
Audits	audit	Audits
conducted	conduct	conducted
by	by	by
the	the	the
state	state	state
s	s	s
Correctional	correct	Correctional
Medical	medic	Medical
Authority	author	Authority
found	found	found
problems	problem	problem
with	with	with
inadequate	inadequ	inadequate
medical	medic	medical
care	care	care
,	,	,
nursing	nurs	nursing
and	and	and
staffing	staf	staffing
shortages	shortag	shortage
,	,	,
and	and	and
hundreds	hundr	hundred
of	of	of
pending	pend	pending
lawsuits	lawsuit	lawsuit
against	against	against
the	the	the
state	state	state
and	and	and
the	the	the
healthcare	healthcar	healthcare
companies	compani	company
claiming	claim	claiming
inadequate	inadequ	inadequate
care	care	care
.	.	.
An	an	An
analysis	analysi	analysis
published	publish	published
by	by	by
the	the	the
Miami	miami	Miami
Herald	herald	Herald
in	in	in
November	novemb	November
showed	show	showed
that	that	that
in	in	in
2014	2014	2014
alone	alon	alone
346	346	346
inmates	inmat	inmate
died	die	died
in	in	in
Florida	florida	Florida
prisons	prison	prison
176	176	176
of	of	of
them	them	them
listed	list	listed
with	with	with
no	no	no
immediate	immedi	immediate
cause	caus	cause
of	of	of
death	death	death
.	.	.

It	it	It
was	was	wa
the	the	the
highest	highest	highest
number	number	number
on	on	on
record	record	record
.	.	.

The	the	The
increase	increas	increase
in	in	in
the	the	the
number	number	number
of	of	of
inmate	inmat	inmate
deaths	death	death
occurred	occur	occurred
even	even	even
as	as	a
the	the	the
number	number	number
of	of	of
inmates	inmat	inmate
in	in	in
Florida	florida	Florida
prisons	prison	prison
declined	declin	declined
.	.	.
As	as	As
of	of	of
June	june	June
1	1	1
,	,	,
Centurion	centurion	Centurion
,	,	,
another	anoth	another
private	privat	private
corporation	corpor	corporation
,	,	,
will	will	will
take	take	take
over	over	over
inmate	inmat	inmate
care	care	care
in	in	in
the	the	the
state	state	state
.	.	.
As	as	As
the	the	the
Miami	miami	Miami
Herald	herald	Herald
reports	report	report
The	the	The
company	compani	company
s	s	s
lead	lead	lead
lobbyist	lobbyist	lobbyist
is	is	is
former	former	former
House	hous	House
Speaker	speaker	Speaker
Dean	dean	Dean
Cannon	cannon	Cannon
,	,	,
and	and	and
its	it	it
parent	parent	parent
company	compani	company
,	,	,
Centene	centen	Centene
Health	health	Health
,	,	,
is	is	is
a	a	a
primary	primari	primary
provider	provid	provider
of	of	of
managed	manag	managed
Medicaid	medicaid	Medicaid
services	servic	service
in	in	in
Florida	florida	Florida
doing	do	doing
business	busi	business
as	as	a
Sunshine	sunshin	Sunshine
Health	health	Health
and	and	and
one	one	one
of	of	of
the	the	the
largest	largest	largest
contributors	contributor	contributor
to	to	to
legislative	legisl	legislative
political	polit	political
committees	committe	committee
in	in	in
the	the	the
state	state	state
.	.	.

Centene	centen	Centene
gave	gave	gave
298	298	298
,	,	,
000	000	000
to	to	to
legislative	legisl	legislative
campaigns	campaign	campaign
and	and	and
political	polit	political
committees	committe	committee
in	in	in
2015	2015	2015
alone	alon	alone
.	.	.

