There	there	There
-wing	-wing	-wing
news	news	news
site	site	site
into	into	into
a	a	a
conspiracy	conspiraci	conspiracy
site	site	site
that	that	that
pushes	push	push
the	the	the
white	white	white
nationalist	nationalist	nationalist
agenda	agenda	agenda
.	.	.

So	so	So
,	,	,
in	in	in
a	a	a
way	way	way
,	,	,
it	it	it
makes	make	make
sense	sens	sense
that	that	that
Johnson	johnson	Johnson
would	would	would
be	be	be
advising	advis	advising
Trump	trump	Trump
s	s	s
transition	transit	transition
team	team	team
.	.	.
It	it	It
was	was	wa
Johnson	johnson	Johnson
himself	himself	himself
who	who	who
first	first	first
said	said	said
that	that	that
he	he	he
was	was	wa
involved	involv	involved
with	with	with
vetting	vet	vetting
nominees	nomine	nominee
,	,	,
which	which	which
sounds	sound	sound
pretty	pretti	pretty
far	far	far
-fetched	-fetch	-fetched
on	on	on
the	the	the
surface	surfac	surface
and	and	and
could	could	could
have	have	have
been	been	been
a	a	a
way	way	way
for	for	for
him	him	him
to	to	to
puff	puff	puff
himself	himself	himself
up	up	up
.	.	.

Given	given	Given
his	his	his
history	histori	history
of	of	of
self	self	self
-promotion	-promot	-promotion
,	,	,
that	that	that
wouldn	wouldn	wouldn
t	t	t
have	have	have
been	been	been
surprising	surpris	surprising
.	.	.
However	howev	However
,	,	,
multiple	multipl	multiple
sources	sourc	source
close	close	close
to	to	to
Trump	trump	Trump
s	s	s
team	team	team
confirmed	confirm	confirmed
to	to	to
Forbes	forb	Forbes
that	that	that
Johnson	johnson	Johnson
actually	actual	actually
is	is	is
working	work	working
behind	behind	behind
the	the	the
scenes	scene	scene
with	with	with
the	the	the
transition	transit	transition
team	team	team
,	,	,
and	and	and
possibly	possibl	possibly
with	with	with
people	peopl	people
as	as	a
high	high	high
in	in	in
the	the	the
chain	chain	chain
as	as	a
Peter	peter	Peter
Thiel	thiel	Thiel
,	,	,
who	who	who
was	was	wa
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
biggest	biggest	biggest
campaign	campaign	campaign
donors	donor	donor
Johnson	johnson	Johnson
denies	deni	denies
this	this	this
.	.	.
It	it	It
is	is	is
sick	sick	sick
and	and	and
disgusting	disgust	disgusting
that	that	that
someone	someon	someone
who	who	who
s	s	s
made	made	made
a	a	a
name	name	name
for	for	for
himself	himself	himself
by	by	by
spreading	spread	spreading
lies	lie	lie
and	and	and
doxing	dox	doxing
people	peopl	people
is	is	is
working	work	working
on	on	on
a	a	a
presidential	presidenti	presidential
transition	transit	transition
like	like	like
this	this	this
.	.	.

It	it	It
s	s	s
also	also	also
par	par	par
for	for	for
the	the	the
course	cours	course
,	,	,
which	which	which
just	just	just
makes	make	make
us	us	u
want	want	want
to	to	to
barf	barf	barf
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

