Tell	tell	Tell
facilitated	facilit	facilitated
most	most	most
of	of	of
the	the	the
offences	offenc	offence
is	is	is
believed	believ	believed
to	to	to
now	now	now
be	be	be
living	live	living
in	in	in
Bangladesh	bangladesh	Bangladesh
after	after	after
fleeing	flee	fleeing
at	at	at
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
investigation	investig	investigation
in	in	in
2012	2012	2012
After	after	After
the	the	the
sentencing	sentenc	sentencing
,	,	,
Kris	kris	Kris
Hopkins	hopkin	Hopkins
,	,	,
Conservative	conserv	Conservative
MP	mp	MP
for	for	for
Keighley	keighley	Keighley
spoke	spoke	spoke
out	out	out
against	against	against
the	the	the
sick	sick	sick
model	model	model
of	of	of
organized	organ	organized
groups	group	group
of	of	of
Asian	asian	Asian
men	men	men
grooming	groom	grooming
young	young	young
white	white	white
girls	girl	girl
,	,	,
but	but	but
said	said	said
there	there	there
are	are	are
more	more	more
women	women	woman
out	out	out
there	there	there
who	who	who
need	need	need
justice	justic	justice
.	.	.
He	he	He
said	said	said
the	the	the
sentenced	sentenc	sentenced
were	were	were
vindication	vindic	vindication
for	for	for
controversial	controversi	controversial
comments	comment	comment
he	he	he
made	made	made
during	dure	during
a	a	a
parliamentary	parliamentari	parliamentary
debate	debat	debate
in	in	in
2012	2012	2012
,	,	,
claiming	claim	claiming
that	that	that
organised	organis	organised
groups	group	group
of	of	of
Asian	asian	Asian
men	men	men
were	were	were
going	go	going
around	around	around
raping	rape	raping
white	white	white
girls	girl	girl
.	.	.
However	howev	However
,	,	,
he	he	he
claims	claim	claim
that	that	that
even	even	even
today	today	today
he	he	he
has	has	ha
been	been	been
lambasted	lambast	lambasted
for	for	for
even	even	even
mentioning	mention	mentioning
that	that	that
the	the	the
men	men	men
are	are	are
Asian	asian	Asian
when	when	when
talking	talk	talking
about	about	about
the	the	the
sentences	sentenc	sentence
.	.	.
He	he	He
told	told	told
MailOnline	mailonlin	MailOnline
There	there	There
are	are	are
sexual	sexual	sexual
offenders	offend	offender
who	who	who
are	are	are
white	white	white
,	,	,
but	but	but
the	the	the
fact	fact	fact
is	is	is
this	this	this
particular	particular	particular
model	model	model
is	is	is
all	all	all
Asian	asian	Asian
men	men	men
and	and	and
all	all	all
the	the	the
victims	victim	victim
were	were	were
white	white	white
.	.	.
I	i	I
was	was	wa
attacked	attack	attacked
in	in	in
2012	2012	2012
and	and	and
today	today	today
,	,	,
when	when	when
these	these	these
men	men	men
were	were	were
convicted	convict	convicted
,	,	,
the	the	the
community	communiti	community
was	was	wa
silent	silent	silent
.	.	.
You	you	You
have	have	have
to	to	to
ask	ask	ask
yourself	yourself	yourself
why	whi	why
these	these	these
men	men	men
get	get	get
away	away	away
with	with	with
this	this	this
behavior	behavior	behavior
.	.	.
There	there	There
is	is	is
broader	broader	broader
issues	issu	issue
around	around	around
the	the	the
way	way	way
women	women	woman
are	are	are
treated	treat	treated
in	in	in
that	that	that
community	communiti	community
,	,	,
there	there	there
are	are	are
hundreds	hundr	hundred
if	if	if
not	not	not
thousands	thousand	thousand
of	of	of
women	women	woman
who	who	who
live	live	live
behind	behind	behind
that	that	that
door	door	door
and	and	and
have	have	have
no	no	no
voice	voic	voice
.	.	.
In	in	In
a	a	a
Commons	common	Commons
speech	speech	speech
three	three	three
years	year	year
ago	ago	ago
,	,	,
Mr	mr	Mr
Hopkins	hopkin	Hopkins
caused	caus	caused
controversy	controversi	controversy
three	three	three
years	year	year
ago	ago	ago
when	when	when
he	he	he
suggested	suggest	suggested
Muslim	muslim	Muslim
men	men	men
were	were	were
fundamentally	fundament	fundamentally
sexist	sexist	sexist
towards	toward	towards
women	women	woman
.	.	.
Judge	judg	Judge
Roger	roger	Roger
Thomas	thoma	Thomas
QC	qc	QC
condemned	condemn	condemned
the	the	the
insolent	insol	insolent
and	and	and
disrespectful	disrespect	disrespectful
behaviour	behaviour	behaviour
the	the	the
accused	accus	accused
showed	show	showed
in	in	in
court	court	court
which	which	which
he	he	he
said	said	said
reflected	reflect	reflected
their	their	their
treatment	treatment	treatment
of	of	of
their	their	their
victim	victim	victim
.	.	.
They	they	They
showed	show	showed
her	her	her
no	no	no
shred	shred	shred
of	of	of
decency	decenc	decency
or	or	or
humanity	human	humanity
when	when	when
as	as	a
a	a	a
vulnerable	vulner	vulnerable
child	child	child
she	she	she
so	so	so
needed	need	needed
care	care	care
and	and	and
understandingJudge	understandingjudg	understandingJudge
Roger	roger	Roger
Thomas	thoma	Thomas
QC	qc	QC
told	told	told
them	them	them
The	the	The
attitudes	attitud	attitude
of	of	of
the	the	the
majority	major	majority
of	of	of
you	you	you
have	have	have
so	so	so
clearly	clear	clearly
demonstrated	demonstr	demonstrated
to	to	to
these	these	these
proceedings	proceed	proceeding
has	has	ha
been	been	been
contemptuous	contemptu	contemptuous
,	,	,
disrespectful	disrespect	disrespectful
and	and	and
arrogant	arrog	arrogant
on	on	on
a	a	a
scale	scale	scale
that	that	that
I	i	I
have	have	have
hardly	hard	hardly
seen	seen	seen
before	befor	before
in	in	in
many	mani	many
years	year	year
of	of	of
practice	practic	practice
in	in	in
criminal	crimin	criminal
law	law	law
.	.	.
Exactly	exact	Exactly
the	the	the
same	same	same
attitude	attitud	attitude
to	to	to
the	the	the
13	13	13
14	14	14
year	year	year
old	old	old
girl	girl	girl
who	who	who
you	you	you
all	all	all
sexually	sexual	sexually
abused	abus	abused
and	and	and
exploited	exploit	exploited
for	for	for
your	your	your
own	own	own
selfish	selfish	selfish
gratification	gratif	gratification
.	.	.
He	he	He
added	ad	added
None	none	None
of	of	of
these	these	these
defendants	defend	defendant
had	had	had
any	ani	any
concern	concern	concern
for	for	for
the	the	the
victim	victim	victim
.	.	.
They	they	They
were	were	were
totally	total	totally
uninterested	uninterest	uninterested
in	in	in
her	her	her
welfare	welfar	welfare
and	and	and
what	what	what
damage	damag	damage
they	they	they
were	were	were
causing	caus	causing
her	her	her
.	.	.
The	the	The
victim	victim	victim
clearly	clear	clearly
demanded	demand	demanded
pity	piti	pity
and	and	and
understanding	understand	understanding
but	but	but
their	their	their
view	view	view
of	of	of
her	her	her
was	was	wa
heartless	heartless	heartless
and	and	and
demeaning	demean	demeaning
.	.	.
They	they	They
saw	saw	saw
her	her	her
as	as	a
a	a	a
pathetic	pathet	pathetic
figure	figur	figure
who	who	who
had	had	had
no	no	no
worth	worth	worth
and	and	and
who	who	who
served	serv	served
no	no	no
purpose	purpos	purpose
than	than	than
to	to	to
be	be	be
an	an	an
object	object	object
that	that	that
they	they	they
could	could	could
sexually	sexual	sexually
misuse	misus	misuse
and	and	and
cast	cast	cast
aside	asid	aside
.	.	.
Via	via	Via
Daily	daili	Daily
Mail	mail	Mail
