During	dure	During
Hannity	hanniti	Hannity
used	use	used
to	to	to
tease	teas	tease
Vitale	vital	Vitale
about	about	about
being	be	being
a	a	a
liberal	liber	liberal
on	on	on
his	his	his
show	show	show
,	,	,
which	which	which
makes	make	make
her	her	her
tweet	tweet	tweet
defending	defend	defending
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
very	veri	very
interesting	interest	interesting
Bill	bill	Bill
O'Reilly	o'reilli	O'Reilly
's	's	's
out	out	out
.	.	.

Who's	who	Who's
next	next	next
?	?	?

Jill	jill	Jill
Vitale	vital	Vitale
@Flirtyflipper	@flirtyflipp	@Flirtyflipper
April	april	April
19	19	19
,	,	,
2017Vitale	2017vital	2017Vitale
also	also	also
advocates	advoc	advocate
for	for	for
O	o	O
Reilly	reilli	Reilly
here	here	here
where	where	where
she	she	she
tweets	tweet	tweet
that	that	that
NYC	nyc	NYC
s	s	s
top	top	top
radio	radio	radio
talk	talk	talk
show	show	show
should	should	should
hire	hire	hire
O	o	O
Reilly	reilli	Reilly
.	.	.

She	she	She
doesn	doesn	doesn
t	t	t
exactly	exact	exactly
sound	sound	sound
like	like	like
a	a	a
woman	woman	woman
who	who	who
left	left	left
Sean	sean	Sean
Hannity	hanniti	Hannity
s	s	s
show	show	show
because	becaus	because
she	she	she
was	was	wa
victim	victim	victim
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
It'd	it'd	It'd
be	be	be
a	a	a
smart	smart	smart
decision	decis	decision
for	for	for
@77WABCradio	@77wabcradio	@77WABCradio
to	to	to
hire	hire	hire
him	him	him
!	!	!

https://t.co/kOiG93QC7K	https://t.co/koig93qc7k	https://t.co/kOiG93QC7K
Jill	jill	Jill
Vitale	vital	Vitale
@Flirtyflipper	@flirtyflipp	@Flirtyflipper
April	april	April
20	20	20
,	,	,
2017Schussed	2017schuss	2017Schussed
continued	continu	continued
to	to	to
make	make	make
more	more	more
accusations	accus	accusation
during	dure	during
her	her	her
interview	interview	interview
And	and	And
it	it	it
s	s	s
funny	funni	funny
because	becaus	because
I	i	I
have	have	have
a	a	a
friend	friend	friend
that	that	that
s	s	s
a	a	a
radio	radio	radio
host	host	host
in	in	in
a	a	a
different	differ	different
city	citi	city
and	and	and
,	,	,
um	um	um
that	that	that
used	use	used
to	to	to
work	work	work
for	for	for
Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
.	.	.

And	and	And
whenever	whenev	whenever
Sean	sean	Sean
Hannity	hanniti	Hannity
would	would	would
take	take	take
about	about	about
Jon	jon	Jon
Edwards	edward	Edwards
and	and	and
his	his	his
love	love	love
child	child	child
,	,	,
he	he	he
would	would	would
always	alway	always
call	call	call
me	me	me
and	and	and
we	we	we
would	would	would
laugh	laugh	laugh
about	about	about
it	it	it
because	becaus	because
he	he	he
could	could	could
ve	ve	ve
had	had	had
a	a	a
love	love	love
child	child	child
too	too	too
,	,	,
given	given	given
that	that	that
with	with	with
some	some	some
of	of	of
the	the	the
stuff	stuff	stuff
we	we	we
ve	ve	ve
heard	heard	heard
about	about	about
him	him	him
and	and	and
some	some	some
of	of	of
the	the	the
stuff	stuff	stuff
I	i	I
know	know	know
about	about	about
him	him	him
.	.	.

Schlussel	schlussel	Schlussel
went	went	went
on	on	on
to	to	to
make	make	make
another	anoth	another
wild	wild	wild
claim	claim	claim
about	about	about
Hannity	hanniti	Hannity
,	,	,
calling	call	calling
him	him	him
a	a	a
pimp	pimp	pimp
for	for	for
Roger	roger	Roger
Ailes	ail	Ailes
and	and	and
a	a	a
Fixer	fixer	Fixer
for	for	for
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
.	.	.

Debbie	debbi	Debbie
Schlussel	schlussel	Schlussel
,	,	,
a	a	a
former	former	former
Fox	fox	Fox
News	news	News
guest	guest	guest
,	,	,
appeared	appear	appeared
on	on	on
a	a	a
local	local	local
radio	radio	radio
show	show	show
on	on	on
Friday	friday	Friday
and	and	and
recounted	recount	recounted
an	an	an
incident	incid	incident
where	where	where
Sean	sean	Sean
Hannity	hanniti	Hannity
purportedly	purport	purportedly
asked	ask	asked
her	her	her
to	to	to
a	a	a
hotel	hotel	hotel
,	,	,
and	and	and
when	when	when
she	she	she
rebuffed	rebuf	rebuffed
his	his	his
advances	advanc	advance
,	,	,
she	she	she
claims	claim	claim
,	,	,
she	she	she
was	was	wa
ostracized	ostrac	ostracized
by	by	by
the	the	the
network	network	network
star	star	star
.	.	.

The	the	The
story	stori	story
has	has	ha
since	sinc	since
gone	gone	gone
viral	viral	viral
garnering	garner	garnering
headlines	headlin	headline
like	like	like
Sean	sean	Sean
Hannity	hanniti	Hannity
Accused	accus	Accused
of	of	of
Sexually	sexual	Sexually
Harassing	harass	Harassing
Fox	fox	Fox
News	news	News
Guest	guest	Guest
in	in	in
publications	public	publication
like	like	like
The	the	The
Daily	daili	Daily
Beast	beast	Beast
and	and	and
The	the	The
Huffington	huffington	Huffington
Post	post	Post
.	.	.

Now	now	Now
,	,	,
in	in	in
an	an	an
interview	interview	interview
with	with	with
LawNewz	lawnewz	LawNewz
.	.	.
com	com	com
on	on	on
Monday	monday	Monday
morning	morn	morning
,	,	,
Schlussel	schlussel	Schlussel
is	is	is
denying	deni	denying
that	that	that
she	she	she
was	was	wa
ever	ever	ever
sexually	sexual	sexually
harassed	harass	harassed
by	by	by
Sean	sean	Sean
Hannity	hanniti	Hannity
.	.	.

While	while	While
Schlussel	schlussel	Schlussel
stands	stand	stand
by	by	by
her	her	her
description	descript	description
of	of	of
the	the	the
incident	incid	incident
,	,	,
Schlussel	schlussel	Schlussel
told	told	told
us	us	u
that	that	that
she	she	she
doesn	doesn	doesn
t	t	t
believe	believ	believe
what	what	what
happened	happen	happened
between	between	between
the	the	the
two	two	two
amounted	amount	amounted
to	to	to
sexual	sexual	sexual
harassment	harass	harassment
by	by	by
any	ani	any
legal	legal	legal
definition	definit	definition
.	.	.

I	i	I
would	would	would
never	never	never
accuse	accus	accuse
him	him	him
of	of	of
that	that	that
.	.	.

Sexual	sexual	Sexual
harassment	harass	harassment
has	has	ha
a	a	a
special	special	special
meaning	mean	meaning
under	under	under
the	the	the
law	law	law
,	,	,
and	and	and
I	i	I
would	would	would
never	never	never
accuse	accus	accuse
him	him	him
of	of	of
that	that	that
,	,	,
Schlussel	schlussel	Schlussel
,	,	,
an	an	an
attorney	attorney	attorney
herself	herself	herself
,	,	,
said	said	said
.	.	.

Schlussel	schlussel	Schlussel
said	said	said
the	the	the
interaction	interact	interaction
happened	happen	happened
in	in	in
the	the	the
early	earli	early
2000	2000	2000
s	s	s
when	when	when
Hannity	hanniti	Hannity
was	was	wa
in	in	in
Detroit	detroit	Detroit
taping	tape	taping
a	a	a
show	show	show
.	.	.

He	he	He
tried	tri	tried
to	to	to
get	get	get
me	me	me
to	to	to
go	go	go
back	back	back
to	to	to
the	the	the
hotel	hotel	hotel
after	after	after
the	the	the
show	show	show
after	after	after
he	he	he
and	and	and
his	his	his
executive	execut	executive
producer	produc	producer
Bill	bill	Bill
Shine	shine	Shine
treated	treat	treated
me	me	me
horribly	horribl	horribly
,	,	,
she	she	she
said	said	said
on	on	on
the	the	the
radio	radio	radio
program	program	program
.	.	.

Schlussel	schlussel	Schlussel
later	later	later
clarified	clarifi	clarified
that	that	that
it	it	it
wasn	wasn	wasn
t	t	t
his	his	his
hotel	hotel	hotel
room	room	room
,	,	,
but	but	but
rather	rather	rather
his	his	his
hotel	hotel	hotel
.	.	.

She	she	She
told	told	told
LawNewz	lawnewz	LawNewz
.	.	.
com	com	com
that	that	that
she	she	she
did	did	did
go	go	go
on	on	on
the	the	the
show	show	show
following	follow	following
the	the	the
incident	incid	incident
,	,	,
but	but	but
after	after	after
that	that	that
was	was	wa
banned	ban	banned
from	from	from
Fox	fox	Fox
News	news	News
.	.	.

I	i	I
never	never	never
thought	thought	thought
I	i	I
was	was	wa
sexually	sexual	sexually
harassed	harass	harassed
by	by	by
Sean	sean	Sean
Hannity	hanniti	Hannity
,	,	,
I	i	I
thought	thought	thought
he	he	he
was	was	wa
weird	weird	weird
and	and	and
creepy	creepi	creepy
not	not	not
someone	someon	someone
I	i	I
liked	like	liked
,	,	,
Schlussel	schlussel	Schlussel
said	said	said
.	.	.
Following	follow	Following
the	the	the
radio	radio	radio
interview	interview	interview
on	on	on
Friday	friday	Friday
,	,	,
Hannity	hanniti	Hannity
issued	issu	issued
a	a	a
strongly	strong	strongly
worded	word	worded
statement	statement	statement
denying	deni	denying
Schlussel	schlussel	Schlussel
s	s	s
claims	claim	claim
saying	say	saying
he	he	he
plans	plan	plan
to	to	to
take	take	take
legal	legal	legal
action	action	action
against	against	against
Schlussel	schlussel	Schlussel
for	for	for
possible	possibl	possible
libel	libel	libel
.	.	.

LET	let	LET
ME	me	ME
BE	be	BE
CLEAR	clear	CLEAR
THE	the	THE
COMMENTS	comment	COMMENTS
ABOUT	about	ABOUT
ME	me	ME
ON	on	ON
A	a	A
RADIO	radio	RADIO
SHOW	show	SHOW
THIS	this	THIS
WEEK	week	WEEK
by	by	by
this	this	this
individual	individu	individual
ARE	are	ARE
100	100	100
false	fals	false
and	and	and
a	a	a
complete	complet	complete
fabrication	fabric	fabrication
,	,	,
Hannity	hanniti	Hannity
said	said	said
in	in	in
a	a	a
statement	statement	statement
obtained	obtain	obtained
by	by	by
LawNewz	lawnewz	LawNewz
.	.	.
com	com	com
.	.	.

This	this	This
individual	individu	individual
is	is	is
a	a	a
serial	serial	serial
harasser	harass	harasser
who	who	who
has	has	ha
been	been	been
lying	lie	lying
about	about	about
me	me	me
for	for	for
well	well	well
over	over	over
a	a	a
decade	decad	decade
.	.	.

The	the	The
individual	individu	individual
has	has	ha
a	a	a
history	histori	history
of	of	of
making	make	making
provably	provabl	provably
false	fals	false
statements	statement	statement
against	against	against
me	me	me
in	in	in
an	an	an
effort	effort	effort
to	to	to
slander	slander	slander
,	,	,
smear	smear	smear
and	and	and
besmirch	besmirch	besmirch
my	my	my
reputation	reput	reputation
.	.	.

The	the	The
individual	individu	individual
has	has	ha
not	not	not
just	just	just
slandered	slander	slandered
me	me	me
over	over	over
the	the	the
years	year	year
but	but	but
many	mani	many
people	peopl	people
who	who	who
this	this	this
individual	individu	individual
disagrees	disagre	disagrees
with	with	with
.	.	.

Schlussel	schlussel	Schlussel
responded	respond	responded
to	to	to
Hannity	hanniti	Hannity
s	s	s
legal	legal	legal
threats	threat	threat
,	,	,
telling	tell	telling
LawNewz	lawnewz	LawNewz
.	.	.
com	com	com
she	she	she
believed	believ	believed
they	they	they
were	were	were
laughable	laughabl	laughable
,	,	,
and	and	and
that	that	that
she	she	she
is	is	is
also	also	also
contemplating	contempl	contemplating
countersuing	countersu	countersuing
him	him	him
based	base	based
on	on	on
his	his	his
statements	statement	statement
on	on	on
Sunday	sunday	Sunday
in	in	in
which	which	which
he	he	he
called	call	called
her	her	her
a	a	a
serial	serial	serial
harasser	harass	harasser
.	.	.

It	it	It
s	s	s
defamatory	defamatori	defamatory
,	,	,
Schussel	schussel	Schussel
said	said	said
,	,	,
Everything	everyth	Everything
I	i	I
said	said	said
was	was	wa
true	true	true
,	,	,
and	and	and
truth	truth	truth
is	is	is
an	an	an
absolute	absolut	absolute
bar	bar	bar
to	to	to
defamation	defam	defamation
.	.	.

He	he	He
on	on	on
the	the	the
other	other	other
hand	hand	hand
has	has	ha
a	a	a
murky	murki	murky
record	record	record
on	on	on
truth	truth	truth
.	.	.

The	the	The
accuser	accus	accuser
has	has	ha
a	a	a
history	histori	history
of	of	of
making	make	making
allegations	alleg	allegation
against	against	against
Hannity	hanniti	Hannity
.	.	.

Back	back	Back
in	in	in
2010	2010	2010
,	,	,
Schlussel	schlussel	Schlussel
,	,	,
who	who	who
Gawker	gawker	Gawker
claimed	claim	claimed
at	at	at
the	the	the
time	time	time
was	was	wa
a	a	a
crazy	crazi	crazy
birther	birther	birther
blogger	blogger	blogger
,	,	,
wrote	wrote	wrote
a	a	a
blog	blog	blog
post	post	post
claiming	claim	claiming
that	that	that
the	the	the
Freedom	freedom	Freedom
Alliance	allianc	Alliance
,	,	,
a	a	a
war	war	war
veteran	veteran	veteran
charity	chariti	charity
,	,	,
which	which	which
is	is	is
supported	support	supported
by	by	by
Hannity	hanniti	Hannity
,	,	,
was	was	wa
skimming	skim	skimming
donations	donat	donation
,	,	,
and	and	and
was	was	wa
all	all	all
a	a	a
huge	huge	huge
scam	scam	scam
.	.	.

According	accord	According
to	to	to
a	a	a
2010	2010	2010
letter	letter	letter
obtained	obtain	obtained
by	by	by
LawNewz	lawnewz	LawNewz
.	.	.
com	com	com
,	,	,
Thomas	thoma	Thomas
Kilgannon	kilgannon	Kilgannon
,	,	,
the	the	the
charity	chariti	charity
s	s	s
founder	founder	founder
and	and	and
president	presid	president
,	,	,
fired	fire	fired
back	back	back
in	in	in
a	a	a
note	note	note
to	to	to
donors	donor	donor
the	the	the
blog	blog	blog
posting	post	posting
accuses	accus	accuses
our	our	our
friend	friend	friend
Sean	sean	Sean
Hannity	hanniti	Hannity
of	of	of
personally	person	personally
benefiting	benefit	benefiting
from	from	from
Freedom	freedom	Freedom
Alliance	allianc	Alliance
.	.	.

This	this	This
is	is	is
FALSE	fals	FALSE
.	.	.

Freedom	freedom	Freedom
Alliance	allianc	Alliance
has	has	ha
never	never	never
provided	provid	provided
planes	plane	plane
,	,	,
hotels	hotel	hotel
,	,	,
cars	car	car
,	,	,
limos	limo	limo
,	,	,
or	or	or
anything	anyth	anything
else	els	else
to	to	to
Sean	sean	Sean
.	.	.

Sean	sean	Sean
gets	get	get
nothing	noth	nothing
from	from	from
Freedom	freedom	Freedom
Alliance	allianc	Alliance
except	except	except
our	our	our
gratitude	gratitud	gratitude
for	for	for
his	his	his
personal	person	personal
generosity	generos	generosity
and	and	and
for	for	for
all	all	all
he	he	he
has	has	ha
done	done	done
to	to	to
help	help	help
the	the	the
troops	troop	troop
and	and	and
our	our	our
organization	organ	organization
.	.	.

Hannity	hanniti	Hannity
has	has	ha
reportedly	report	reportedly
donated	donat	donated
more	more	more
than	than	than
a	a	a
million	million	million
dollars	dollar	dollar
to	to	to
the	the	the
charity	chariti	charity
over	over	over
the	the	the
last	last	last
several	sever	several
years	year	year
.	.	.

LawzNewz	lawznewz	LawzNewz

