After	after	After
tweeted	tweet	tweeted
The	the	The
reason	reason	reason
I	i	I
originally	origin	originally
endorsed	endors	endorsed
Luther	luther	Luther
Strange	strang	Strange
and	and	and
his	his	his
numbers	number	number
went	went	went
up	up	up
mightily	mightili	mightily
,	,	,
is	is	is
that	that	that
I	i	I
said	said	said
Roy	roy	Roy
Moore	moor	Moore
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
win	win	win
the	the	the
General	general	General
Election	elect	Election
.	.	.

I	i	I
was	was	wa
right	right	right
!	!	!

Roy	roy	Roy
worked	work	worked
hard	hard	hard
but	but	but
the	the	the
deck	deck	deck
was	was	wa
stacked	stack	stacked
against	against	against
him	him	him
!	!	!

The	the	The
reason	reason	reason
I	i	I
originally	origin	originally
endorsed	endors	endorsed
Luther	luther	Luther
Strange	strang	Strange
and	and	and
his	his	his
numbers	number	number
went	went	went
up	up	up
mightily	mightili	mightily
,	,	,
is	is	is
that	that	that
I	i	I
said	said	said
Roy	roy	Roy
Moore	moor	Moore
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
win	win	win
the	the	the
General	general	General
Election	elect	Election
.	.	.

I	i	I
was	was	wa
right	right	right
!	!	!

Roy	roy	Roy
worked	work	worked
hard	hard	hard
but	but	but
the	the	the
deck	deck	deck
was	was	wa
stacked	stack	stacked
against	against	against
him	him	him
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
13	13	13
,	,	,
2017The	2017the	2017The
verified	verifi	verified
Anderson	anderson	Anderson
Cooper	cooper	Cooper
account	account	account
responded	respond	responded
to	to	to
President	presid	President
Trump	trump	Trump
s	s	s
tweet	tweet	tweet
by	by	by
saying	say	saying
,	,	,
Oh	oh	Oh
Really	realli	Really
?	?	?

You	you	You
endorsed	endors	endorsed
him	him	him
you	you	you
tool	tool	tool
!	!	!

Twitter	twitter	Twitter
user	user	user
Blackish	blackish	Blackish
Jimmy	jimmi	Jimmy
Kimmel	kimmel	Kimmel
took	took	took
a	a	a
screen	screen	screen
shot	shot	shot
of	of	of
Cooper	cooper	Cooper
s	s	s
tweet	tweet	tweet
before	befor	before
it	it	it
was	was	wa
deleted	delet	deleted
This	this	This
is	is	is
CNN	cnn	CNN
#FactsFirst	#factsfirst	#FactsFirst
That	that	That
awkward	awkward	awkward
moment	moment	moment
when	when	when
You're	you'r	You're
@AndersonCooper	@andersoncoop	@AndersonCooper
trying	tri	trying
to	to	to
convince	convinc	convince
people	peopl	people
that	that	that
#FakeTweets	#faketweet	#FakeTweets
are	are	are
being	be	being
made	made	made
from	from	from
your	your	your
Verified	verifi	Verified
twitter	twitter	twitter
account	account	account
.	.	.

pic.twitter.com/tHexTfDv2e	pic.twitter.com/thextfdv2	pic.twitter.com/tHexTfDv2e
Blackish	blackish	Blackish
JimmyKimmel	jimmykimmel	JimmyKimmel
@StrokerAce90	@strokerace90	@StrokerAce90
December	decemb	December
13	13	13
,	,	,
2017	2017	2017
#VeryFakeNewsCNN	#veryfakenewscnn	#VeryFakeNewsCNN
s	s	s
communication	communic	communication
team	team	team
got	got	got
out	out	out
ahead	ahead	ahead
of	of	of
the	the	the
sh	sh	sh
t	t	t
storm	storm	storm
and	and	and
tweeted	tweet	tweeted
,	,	,
This	this	This
morning	morn	morning
someone	someon	someone
gained	gain	gained
access	access	access
to	to	to
the	the	the
handle	handl	handle
@andersoncooper	@andersoncoop	@andersoncooper
and	and	and
replied	repli	replied
to	to	to
POTUS	potus	POTUS
.	.	.

We	we	We
re	re	re
working	work	working
with	with	with
Twitter	twitter	Twitter
to	to	to
secure	secur	secure
the	the	the
account	account	account
.	.	.

This	this	This
morning	morn	morning
someone	someon	someone
gained	gain	gained
access	access	access
to	to	to
the	the	the
handle	handl	handle
@andersoncooper	@andersoncoop	@andersoncooper
and	and	and
replied	repli	replied
to	to	to
POTUS	potus	POTUS
.	.	.

We're	we'r	We're
working	work	working
with	with	with
Twitter	twitter	Twitter
to	to	to
secure	secur	secure
the	the	the
account	account	account
.	.	.

CNN	cnn	CNN
Communications	communic	Communications
@CNNPR	@cnnpr	@CNNPR
December	decemb	December
13	13	13
,	,	,
2017Normally	2017normal	2017Normally
,	,	,
we	we	we
d	d	d
give	give	give
the	the	the
Twitter	twitter	Twitter
user	user	user
the	the	the
benefit	benefit	benefit
of	of	of
doubt	doubt	doubt
,	,	,
but	but	but
in	in	in
the	the	the
case	case	case
of	of	of
#VeryFakeNewsCNN,	#veryfakenewscnn,	#VeryFakeNewsCNN,
they	they	they
haven	haven	haven
t	t	t
proven	proven	proven
that	that	that
they	they	they
re	re	re
ethical	ethic	ethical
or	or	or
fair	fair	fair
in	in	in
their	their	their
treatment	treatment	treatment
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
in	in	in
the	the	the
past	past	past
,	,	,
so	so	so
there	there	there
s	s	s
really	realli	really
no	no	no
reason	reason	reason
for	for	for
most	most	most
of	of	of
America	america	America
to	to	to
believe	believ	believe
that	that	that
Anderson	anderson	Anderson
s	s	s
tweet	tweet	tweet
to	to	to
President	presid	President
Trump	trump	Trump
wasn	wasn	wasn
t	t	t
sent	sent	sent
by	by	by
him	him	him
.	.	.
What	what	What
are	are	are
you	you	you
thoughts	thought	thought
?	?	?

Do	do	Do
you	you	you
believe	believ	believe
CNN	cnn	CNN
,	,	,
or	or	or
do	do	do
you	you	you
think	think	think
Cooper	cooper	Cooper
Anderson	anderson	Anderson
simply	simpli	simply
sent	sent	sent
a	a	a
response	respons	response
to	to	to
Donald	donald	Donald
Trump	trump	Trump
that	that	that
he	he	he
deleted	delet	deleted
after	after	after
he	he	he
realized	realiz	realized
he	he	he
exposed	expos	exposed
his	his	his
hate	hate	hate
for	for	for
our	our	our
President	presid	President
?	?	?

Tell	tell	Tell
us	us	u
what	what	what
you	you	you
think	think	think
in	in	in
the	the	the
comment	comment	comment
section	section	section
below	below	below
.	.	.

