Absolutely	absolut	Absolutely
,	,	,
maybe	mayb	maybe
that	that	that
s	s	s
why	whi	why
she	she	she
wore	wore	wore
the	the	the
cardigan	cardigan	cardigan
.	.	.
Clearly	clear	Clearly
,	,	,
calling	call	calling
Turner	turner	Turner
a	a	a
rapist	rapist	rapist
isn	isn	isn
t	t	t
political	polit	political
correctness	correct	correctness
.	.	.
It	it	It
s	s	s
simply	simpli	simply
a	a	a
fact	fact	fact
.	.	.
Brock	brock	Brock
was	was	wa
convicted	convict	convicted
of	of	of
three	three	three
felony	feloni	felony
counts	count	count
.	.	.
While	while	While
the	the	the
maximum	maximum	maximum
sentence	sentenc	sentence
for	for	for
his	his	his
offenses	offens	offense
might	might	might
have	have	have
been	been	been
10	10	10
years	year	year
,	,	,
he	he	he
will	will	will
likely	like	likely
only	onli	only
serve	serv	serve
three	three	three
months	month	month
.	.	.
As	as	As
horrendously	horrend	horrendously
unjust	unjust	unjust
as	as	a
that	that	that
sentence	sentenc	sentence
is	is	is
,	,	,
it	it	it
s	s	s
still	still	still
about	about	about
three	three	three
months	month	month
longer	longer	longer
than	than	than
97	97	97
percent	percent	percent
of	of	of
rapists	rapist	rapist
serve	serv	serve
.	.	.
That	that	That
s	s	s
political	polit	political
incorrectness	incorrect	incorrectness
if	if	if
I	i	I
ve	ve	ve
ever	ever	ever
heard	heard	heard
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
grab	grab	grab
.	.	.
