In	in	In
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
I	i	I
want	want	want
to	to	to
be	be	be
crystal	crystal	crystal
clear	clear	clear
these	these	these
attacks	attack	attack
are	are	are
garbage	garbag	garbage
.	.	.
For	for	For
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
to	to	to
enlist	enlist	enlist
his	his	his
friends	friend	friend
at	at	at
the	the	the
National	nation	National
Posted	post	Posted
by	by	by
Ted	ted	Ted
Cruz	cruz	Cruz
on	on	on
Friday	friday	Friday
,	,	,
March	march	March
25	25	25
,	,	,
2016Listen	2016listen	2016Listen
,	,	,
Ted	ted	Ted
,	,	,
calm	calm	calm
down	down	down
.	.	.
If	if	If
the	the	the
story	stori	story
from	from	from
The	the	The
National	nation	National
Enquirer	enquir	Enquirer
is	is	is
false	fals	false
,	,	,
it	it	it
will	will	will
simply	simpli	simply
drift	drift	drift
away	away	away
over	over	over
the	the	the
course	cours	course
of	of	of
the	the	the
24	24	24
-hour	-hour	-hour
news	news	news
cycle	cycl	cycle
.	.	.
Drawing	draw	Drawing
further	further	further
attention	attent	attention
to	to	to
it	it	it
,	,	,
and	and	and
acting	act	acting
SO	so	SO
defensive	defens	defensive
doesn	doesn	doesn
t	t	t
necessarily	necessarili	necessarily
make	make	make
you	you	you
look	look	look
guilty	guilti	guilty
,	,	,
but	but	but
it	it	it
also	also	also
doesn	doesn	doesn
t	t	t
make	make	make
you	you	you
look	look	look
good	good	good
.	.	.
It	it	It
s	s	s
a	a	a
tabloid	tabloid	tabloid
paper	paper	paper
that	that	that
will	will	will
also	also	also
talk	talk	talk
about	about	about
people	peopl	people
giving	give	giving
birth	birth	birth
to	to	to
aliens	alien	alien
and	and	and
or	or	or
maybe	mayb	maybe
the	the	the
Queen	queen	Queen
of	of	of
England	england	England
taking	take	taking
up	up	up
heroin	heroin	heroin
it	it	it
s	s	s
not	not	not
like	like	like
it	it	it
was	was	wa
printed	print	printed
in	in	in
the	the	the
New	new	New
York	york	York
Times	time	Times
or	or	or
the	the	the
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
.	.	.
Simmer	simmer	Simmer
down	down	down
now	now	now
.	.	.
Stuff	stuff	Stuff
like	like	like
this	this	this
is	is	is
inevitably	inevit	inevitably
going	go	going
to	to	to
come	come	come
up	up	up
,	,	,
true	true	true
or	or	or
not	not	not
.	.	.
For	for	For
goodness	good	goodness
sake	sake	sake
,	,	,
ask	ask	ask
a	a	a
Clinton	clinton	Clinton
.	.	.
If	if	If
this	this	this
is	is	is
how	how	how
he	he	he
handles	handl	handle
ridiculous	ridicul	ridiculous
stories	stori	story
about	about	about
himself	himself	himself
,	,	,
how	how	how
the	the	the
hell	hell	hell
is	is	is
he	he	he
going	go	going
to	to	to
handle	handl	handle
being	be	being
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
?	?	?
Simple	simpl	Simple
he	he	he
won	won	won
t	t	t
be	be	be
able	abl	able
to	to	to
.	.	.
No	no	No
matter	matter	matter
who	who	who
,	,	,
vote	vote	vote
blue	blue	blue
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Gage	gage	Gage
Skidmore	skidmor	Skidmore
flickr	flickr	flickr
