Tell	tell	Tell
behavior	behavior	behavior
,	,	,
are	are	are
that	that	that
much	much	much
more	more	more
dangerous	danger	dangerous
.	.	.
Rice	rice	Rice
s	s	s
acknowledgement	acknowledg	acknowledgement
of	of	of
Iran	iran	Iran
s	s	s
bad	bad	bad
faith	faith	faith
might	might	might
not	not	not
bother	bother	bother
the	the	the
administration	administr	administration
,	,	,
but	but	but
it	it	it
is	is	is
likely	like	likely
to	to	to
cause	caus	cause
a	a	a
little	littl	little
concern	concern	concern
in	in	in
congress	congress	congress
.	.	.
After	after	After
all	all	all
,	,	,
Iran	iran	Iran
s	s	s
bad	bad	bad
behavior	behavior	behavior
is	is	is
a	a	a
pretty	pretti	pretty
good	good	good
indication	indic	indication
that	that	that
the	the	the
murderous	murder	murderous
regime	regim	regime
in	in	in
Tehran	tehran	Tehran
has	has	ha
no	no	no
intention	intent	intention
of	of	of
cleaning	clean	cleaning
up	up	up
its	it	it
act	act	act
which	which	which
makes	make	make
it	it	it
somewhat	somewhat	somewhat
hard	hard	hard
to	to	to
trust	trust	trust
they	they	they
will	will	will
abide	abid	abide
by	by	by
an	an	an
Obama	obama	Obama
sponsored	sponsor	sponsored
agreement	agreement	agreement
.	.	.
Via	via	Via
BizPacReview	bizpacreview	BizPacReview
