Recently	recent	Recently
you	you	you
Sir	sir	Sir
.	.	.
Phaedra	phaedra	Phaedra
Klein	klein	Klein
@PhaedraKlein	@phaedraklein	@PhaedraKlein
February	februari	February
9	9	9
,	,	,
2017	2017	2017
@daylinleach	@daylinleach	@daylinleach
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I	i	I
just	just	just
fell	fell	fell
in	in	in
love	love	love
with	with	with
Daylin	daylin	Daylin
Leach	leach	Leach
.	.	.
Thank	thank	Thank
you	you	you
for	for	for
the	the	the
laughs	laugh	laugh
and	and	and
the	the	the
spine	spine	spine
.	.	.
Laurel	laurel	Laurel
McNair	mcnair	McNair
@yamdothprotest	@yamdothprotest	@yamdothprotest
February	februari	February
9	9	9
,	,	,
2017Konni	2017konni	2017Konni
Burton	burton	Burton
also	also	also
spoke	spoke	spoke
out	out	out
against	against	against
Trump	trump	Trump
and	and	and
his	his	his
sheriff	sheriff	sheriff
friend	friend	friend
.	.	.
,	,	,
pointing	point	pointing
out	out	out
that	that	that
she	she	she
didn	didn	didn
t	t	t
even	even	even
know	know	know
who	who	who
the	the	the
hell	hell	hell
the	the	the
latter	latter	latter
was	was	wa
until	until	until
he	he	he
opened	open	opened
his	his	his
mouth	mouth	mouth
and	and	and
appeared	appear	appeared
to	to	to
issue	issu	issue
a	a	a
veiled	veil	veiled
attack	attack	attack
against	against	against
her	her	her
.	.	.
I	i	I
have	have	have
never	never	never
met	met	met
with	with	with
Sheriff	sheriff	Sheriff
Eavenson	eavenson	Eavenson
,	,	,
nor	nor	nor
even	even	even
heard	heard	heard
of	of	of
him	him	him
before	befor	before
yesterday	yesterday	yesterday
.	.	.
However	howev	However
,	,	,
I	i	I
take	take	take
exception	except	exception
to	to	to
his	his	his
comments	comment	comment
on	on	on
asset	asset	asset
forfeiture	forfeitur	forfeiture
reform	reform	reform
,	,	,
she	she	she
said	said	said
in	in	in
a	a	a
statement	statement	statement
,	,	,
adding	ad	adding
that	that	that
she	she	she
will	will	will
not	not	not
be	be	be
discouraged	discourag	discouraged
nor	nor	nor
deterred	deter	deterred
by	by	by
the	the	the
attack	attack	attack
.	.	.
No	no	No
matter	matter	matter
who	who	who
Trump	trump	Trump
offered	offer	offered
to	to	to
destroy	destroy	destroy
,	,	,
even	even	even
if	if	if
he	he	he
was	was	wa
a	a	a
figment	figment	figment
of	of	of
Eavenson	eavenson	Eavenson
s	s	s
imagination	imagin	imagination
,	,	,
it	it	it
is	is	is
clear	clear	clear
that	that	that
we	we	we
have	have	have
an	an	an
unstable	unstabl	unstable
,	,	,
vindictive	vindict	vindictive
,	,	,
tangerine	tangerin	tangerine
menace	menac	menace
in	in	in
the	the	the
White	white	White
House	hous	House
one	one	one
that	that	that
needs	need	need
to	to	to
be	be	be
removed	remov	removed
by	by	by
any	ani	any
legal	legal	legal
means	mean	mean
available	avail	available
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
