No	no	No
to	to	to
make	make	make
that	that	that
dangerous	danger	dangerous
journey	journey	journey
.	.	.
Of	of	Of
course	cours	course
,	,	,
Hillary	hillari	Hillary
is	is	is
never	never	never
one	one	one
to	to	to
keep	keep	keep
her	her	her
promises	promis	promise
.	.	.
As	as	As
soon	soon	soon
as	as	a
she	she	she
began	began	began
campaigning	campaign	campaigning
,	,	,
she	she	she
began	began	began
to	to	to
change	chang	change
her	her	her
tune	tune	tune
on	on	on
DACA	daca	DACA
Well	well	Well
,	,	,
they	they	they
should	should	should
be	be	be
sent	sent	sent
back	back	back
as	as	a
soon	soon	soon
as	as	a
it	it	it
can	can	can
be	be	be
determined	determin	determined
who	who	who
responsible	respons	responsible
adults	adult	adult
in	in	in
their	their	their
families	famili	family
are	are	are
,	,	,
because	becaus	because
there	there	there
are	are	are
concerns	concern	concern
whether	whether	whether
all	all	all
of	of	of
them	them	them
should	should	should
be	be	be
sent	sent	sent
back	back	back
,	,	,
said	said	said
Clinton	clinton	Clinton
.	.	.
But	but	But
I	i	I
think	think	think
all	all	all
of	of	of
them	them	them
who	who	who
can	can	can
be	be	be
should	should	should
be	be	be
reunited	reunit	reunited
with	with	with
their	their	their
families	famili	family
.	.	.
