Without	without	Without
and	and	and
should	should	should
always	alway	always
put	put	put
your	your	your
countries	countri	country
first	first	first
,	,	,
he	he	he
said	said	said
.	.	.
Mrs	mrs	Mrs
.	.	.

Obama	obama	Obama
said	said	said
that	that	that
things	thing	thing
are	are	are
tough	tough	tough
right	right	right
now	now	now
and	and	and
suggested	suggest	suggested
that	that	that
we	we	we
re	re	re
being	be	being
tested	test	tested
but	but	but
added	ad	added
that	that	that
she	she	she
continues	continu	continues
to	to	to
be	be	be
hopeful	hope	hopeful
that	that	that
the	the	the
political	polit	political
climate	climat	climate
will	will	will
improve	improv	improve
.	.	.
An	an	An
audience	audienc	audience
member	member	member
urged	urg	urged
the	the	the
former	former	former
First	first	First
Lady	ladi	Lady
to	to	to
run	run	run
for	for	for
president	presid	president
in	in	in
2020	2020	2020
,	,	,
but	but	but
she	she	she
said	said	said
,	,	,
Oh	oh	Oh
,	,	,
no	no	no
!	!	!

Running	run	Running
for	for	for
office	offic	office
is	is	is
nowhere	nowher	nowhere
on	on	on
the	the	the
radar	radar	radar
screen	screen	screen
,	,	,
but	but	but
continuing	continu	continuing
in	in	in
public	public	public
service	servic	service
is	is	is
something	someth	something
I	i	I
will	will	will
do	do	do
for	for	for
the	the	the
rest	rest	rest
of	of	of
my	my	my
life	life	life
.	.	.

Mrs	mrs	Mrs
.	.	.

Obama	obama	Obama
isn	isn	isn
t	t	t
alone	alon	alone
in	in	in
her	her	her
thinking	think	thinking
of	of	of
the	the	the
current	current	current
administration	administr	administration
.	.	.
According	accord	According
to	to	to
a	a	a
new	new	new
Gallup	gallup	Gallup
poll	poll	poll
,	,	,
the	the	the
majority	major	majority
of	of	of
Americans	american	Americans
think	think	think
Trump	trump	Trump
lacks	lack	lack
courage	courag	courage
and	and	and
is	is	is
generally	general	generally
unprepared	unprepar	unprepared
as	as	a
a	a	a
leader	leader	leader
.	.	.
Only	onli	Only
22	22	22
percent	percent	percent
of	of	of
Americans	american	Americans
describe	describ	describe
Trump	trump	Trump
as	as	a
prepared	prepar	prepared
;	;	;
25	25	25
percent	percent	percent
said	said	said
he	he	he
s	s	s
consistent	consist	consistent
;	;	;
28	28	28
percent	percent	percent
said	said	said
he	he	he
s	s	s
inspiring	inspir	inspiring
,	,	,
and	and	and
only	onli	only
32	32	32
percent	percent	percent
feel	feel	feel
that	that	that
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
is	is	is
courageous	courag	courageous
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
66	66	66
percent	percent	percent
of	of	of
Americans	american	Americans
described	describ	described
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
as	as	a
a	a	a
strong	strong	strong
and	and	and
decisive	decis	decisive
leader	leader	leader
,	,	,
and	and	and
by	by	by
72	72	72
percent	percent	percent
as	as	a
a	a	a
man	man	man
willing	will	willing
to	to	to
make	make	make
hard	hard	hard
decisions	decis	decision
in	in	in
a	a	a
Gallup	gallup	Gallup
poll	poll	poll
released	releas	released
at	at	at
the	the	the
same	same	same
point	point	point
in	in	in
his	his	his
first	first	first
term	term	term
,	,	,
back	back	back
in	in	in
2009	2009	2009
.	.	.
Photo	photo	Photo
by	by	by
Olivier	olivi	Olivier
Douliery	doulieri	Douliery
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images
.	.	.

