Just	just	Just
hard	hard	hard
to	to	to
prove	prove	prove
.	.	.
In	in	In
this	this	this
case	case	case
,	,	,
according	accord	according
to	to	to
this	this	this
probable	probabl	probable
cause	caus	cause
statement	statement	statement
,	,	,
the	the	the
victim	victim	victim
reports	report	report
that	that	that
Abdi	abdi	Abdi
attacked	attack	attacked
him	him	him
Wednesday	wednesday	Wednesday
only	onli	only
because	becaus	because
the	the	the
victim	victim	victim
was	was	wa
white	white	white
.	.	.
The	the	The
cab	cab	cab
commission	commiss	commission
revoked	revok	revoked
his	his	his
license	licens	license
after	after	after
Abdi	abdi	Abdi
reportedly	report	reportedly
threatened	threaten	threatened
to	to	to
chop	chop	chop
the	the	the
heads	head	head
off	off	off
police	polic	police
officers	offic	officer
.	.	.
He	he	He
is	is	is
already	alreadi	already
facing	face	facing
assault	assault	assault
charges	charg	charge
for	for	for
threats	threat	threat
.	.	.
Abdi	abdi	Abdi
now	now	now
faces	face	face
two	two	two
hate	hate	hate
crime	crime	crime
charges	charg	charge
property	properti	property
damage	damag	damage
and	and	and
assault	assault	assault
motivated	motiv	motivated
by	by	by
discrimination	discrimin	discrimination
.	.	.
Court	court	Court
documents	document	document
say	say	say
the	the	the
victim	victim	victim
did	did	did
not	not	not
know	know	know
Abdi	abdi	Abdi
.	.	.
He	he	He
was	was	wa
sitting	sit	sitting
on	on	on
the	the	the
tailgate	tailgat	tailgate
of	of	of
his	his	his
truck	truck	truck
when	when	when
Abdi	abdi	Abdi
put	put	put
him	him	him
in	in	in
a	a	a
headlock	headlock	headlock
and	and	and
said	said	said
.	.	.
He	he	He
wanted	want	wanted
to	to	to
kill	kill	kill
the	the	the
victim	victim	victim
because	becaus	because
he	he	he
was	was	wa
white	white	white
.	.	.
In	in	In
July	juli	July
,	,	,
we	we	we
followed	follow	followed
Abdi	abdi	Abdi
for	for	for
45	45	45
minutes	minut	minute
,	,	,
in	in	in
his	his	his
unauthorized	unauthor	unauthorized
cab	cab	cab
,	,	,
and	and	and
tipped	tip	tipped
off	off	off
cab	cab	cab
commission	commiss	commission
investigators	investig	investigator
we	we	we
were	were	were
following	follow	following
him	him	him
.	.	.
Based	base	Based
on	on	on
our	our	our
tip	tip	tip
,	,	,
they	they	they
stopped	stop	stopped
him	him	him
and	and	and
stripped	strip	stripped
his	his	his
cab	cab	cab
plates	plate	plate
.	.	.
Abdi	abdi	Abdi
drove	drove	drove
off	off	off
that	that	that
day	day	day
,	,	,
without	without	without
plates	plate	plate
,	,	,
but	but	but
with	with	with
the	the	the
unauthorized	unauthor	unauthorized
Wilson	wilson	Wilson
taxi	taxi	taxi
logos	logo	logo
remaining	remain	remaining
.	.	.
It	it	It
s	s	s
unknown	unknown	unknown
if	if	if
he	he	he
s	s	s
still	still	still
driving	drive	driving
that	that	that
vehicle	vehicl	vehicle
today	today	today
.	.	.
Via	via	Via
Gateway	gateway	Gateway
PunditHere	pundither	PunditHere
s	s	s
a	a	a
video	video	video
of	of	of
muslim	muslim	muslim
nation	nation	nation
immigrant	immigr	immigrant
advocate	advoc	advocate
and	and	and
Democrat	democrat	Democrat
Presidential	presidenti	Presidential
candidate	candid	candidate
Joe	joe	Joe
Biden	biden	Biden
talking	talk	talking
about	about	about
his	his	his
great	great	great
relations	relat	relation
with	with	with
Somali	somali	Somali
immigrant	immigr	immigrant
cab	cab	cab
drivers	driver	driver
