Hello	hello	Hello
hearing	hear	hearing
Sept	sept	Sept
.	.	.
28	28	28
,	,	,
to	to	to
explain	explain	explain
why	whi	why
they	they	they
did	did	did
not	not	not
hand	hand	hand
over	over	over
the	the	the
materials	materi	material
.	.	.
The	the	The
document	document	document
request	request	request
in	in	in
the	the	the
original	origin	original
Aug	aug	Aug
.	.	.
24	24	24
subpoena	subpoena	subpoena
has	has	ha
not	not	not
changed	chang	changed
.	.	.
It	it	It
focuses	focus	focus
on	on	on
the	the	the
FBI	fbi	FBI
s	s	s
relations	relat	relation
with	with	with
Christopher	christoph	Christopher
Steele	steel	Steele
,	,	,
the	the	the
former	former	former
British	british	British
spy	spi	spy
retained	retain	retained
by	by	by
the	the	the
American	american	American
opposition	opposit	opposition
research	research	research
firm	firm	firm
Fusion	fusion	Fusion
GPS	gps	GPS
to	to	to
dig	dig	dig
dirt	dirt	dirt
on	on	on
Donald	donald	Donald
Trump	trump	Trump
in	in	in
Russia	russia	Russia
as	as	a
part	part	part
of	of	of
an	an	an
effort	effort	effort
funded	fund	funded
by	by	by
wealthy	wealthi	wealthy
supporters	support	supporter
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Among	among	Among
other	other	other
things	thing	thing
,	,	,
the	the	the
original	origin	original
subpoena	subpoena	subpoena
demanded	demand	demanded
all	all	all
internal	intern	internal
FBI	fbi	FBI
reports	report	report
incorporating	incorpor	incorporating
,	,	,
relying	reli	relying
on	on	on
,	,	,
or	or	or
referring	refer	referring
to	to	to
information	inform	information
provided	provid	provided
by	by	by
Steele	steel	Steele
,	,	,
his	his	his
sources	sourc	source
,	,	,
or	or	or
Fusion	fusion	Fusion
GPS	gps	GPS
.	.	.
The	the	The
original	origin	original
subpoena	subpoena	subpoena
also	also	also
asked	ask	asked
for	for	for
any	ani	any
information	inform	information
,	,	,
if	if	if
it	it	it
exists	exist	exists
,	,	,
provided	provid	provided
by	by	by
Mr	mr	Mr
.	.	.
Steele	steel	Steele
as	as	a
an	an	an
informant	inform	informant
source	sourc	source
confidential	confidenti	confidential
or	or	or
otherwise	otherwis	otherwise
or	or	or
in	in	in
any	ani	any
other	other	other
capacity	capac	capacity
,	,	,
as	as	a
well	well	well
as	as	a
any	ani	any
documents	document	document
relating	relat	relating
to	to	to
whether	whether	whether
the	the	the
FBI	fbi	FBI
paid	paid	paid
or	or	or
offered	offer	offered
any	ani	any
benefits	benefit	benefit
to	to	to
Steele	steel	Steele
.	.	.
The	the	The
subpoena	subpoena	subpoena
also	also	also
asked	ask	asked
for	for	for
all	all	all
documents	document	document
relating	relat	relating
to	to	to
FBI	fbi	FBI
and	and	and
Justice	justic	Justice
efforts	effort	effort
to	to	to
corroborate	corrobor	corroborate
,	,	,
validate	valid	validate
,	,	,
or	or	or
evaluate	evalu	evaluate
information	inform	information
provided	provid	provided
by	by	by
Steele	steel	Steele
.	.	.
Finally	final	Finally
,	,	,
the	the	the
original	origin	original
subpoena	subpoena	subpoena
requested	request	requested
any	ani	any
court	court	court
applications	applic	application
for	for	for
surveillance	surveil	surveillance
that	that	that
included	includ	included
any	ani	any
information	inform	information
provided	provid	provided
by	by	by
Steele	steel	Steele
,	,	,
plus	plus	plus
any	ani	any
court	court	court
orders	order	order
,	,	,
if	if	if
there	there	there
were	were	were
any	ani	any
,	,	,
that	that	that
were	were	were
based	base	based
in	in	in
any	ani	any
part	part	part
on	on	on
Steele	steel	Steele
s	s	s
information	inform	information
.	.	.
So	so	So
far	far	far
,	,	,
the	the	the
FBI	fbi	FBI
and	and	and
Justice	justic	Justice
Department	depart	Department
have	have	have
not	not	not
provided	provid	provided
the	the	the
information	inform	information
.	.	.
Now	now	Now
,	,	,
they	they	they
have	have	have
a	a	a
new	new	new
deadline	deadlin	deadline
.	.	.
Read	read	Read
more	more	more
WE	we	WE
