For	for	For
the	the	the
one	one	one
Don	don	Don
jr	jr	jr
attended	attend	attended
in	in	in
order	order	order
to	to	to
get	get	get
info	info	info
on	on	on
an	an	an
opponent	oppon	opponent
.	.	.
That's	that	That's
politics	polit	politics
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
17	17	17
,	,	,
2017No	2017no	2017No
,	,	,
Amateur	amateur	Amateur
,	,	,
most	most	most
people	peopl	people
would	would	would
not	not	not
have	have	have
met	met	met
with	with	with
Russians	russian	Russians
to	to	to
obtain	obtain	obtain
information	inform	information
.	.	.
Most	most	Most
of	of	of
them	them	them
would	would	would
call	call	call
the	the	the
FBI	fbi	FBI
after	after	after
a	a	a
Russian	russian	Russian
made	made	made
contact	contact	contact
in	in	in
order	order	order
to	to	to
arrange	arrang	arrange
a	a	a
meeting	meet	meeting
.	.	.
One	one	One
Twitter	twitter	Twitter
user	user	user
wrote	wrote	wrote
,	,	,
Many	mani	Many
people	peopl	people
supported	support	supported
you	you	you
because	becaus	because
you	you	you
weren	weren	weren
t	t	t
the	the	the
stereotypical	stereotyp	stereotypical
politician	politician	politician
.	.	.
And	and	And
now	now	now
,	,	,
look	look	look
!	!	!
You	you	You
ve	ve	ve
become	becom	become
that	that	that
stereotype	stereotyp	stereotype
.	.	.
Many	mani	Many
people	peopl	people
supported	support	supported
you	you	you
because	becaus	because
you	you	you
weren't	weren't	weren't
the	the	the
stereotypical	stereotyp	stereotypical
politician	politician	politician
.	.	.
And	and	And
now	now	now
,	,	,
look	look	look
!	!	!
You've	you'v	You've
become	becom	become
that	that	that
stereotype	stereotyp	stereotype
Luke	luke	Luke
Waltham	waltham	Waltham
@lukewaltham	@lukewaltham	@lukewaltham
July	juli	July
17	17	17
,	,	,
2017We	2017we	2017We
ve	ve	ve
been	been	been
lied	lie	lied
to	to	to
repeatedly	repeat	repeatedly
about	about	about
that	that	that
meeting	meet	meeting
.	.	.
If	if	If
the	the	the
meeting	meet	meeting
Don	don	Don
Jr	jr	Jr
.	.	.
went	went	went
to	to	to
was	was	wa
normal	normal	normal
,	,	,
why	whi	why
did	did	did
he	he	he
lie	lie	lie
about	about	about
it	it	it
over	over	over
and	and	and
over	over	over
?	?	?
Why	whi	Why
did	did	did
Kushner	kushner	Kushner
lie	lie	lie
about	about	about
it	it	it
on	on	on
his	his	his
security	secur	security
application	applic	application
?	?	?
Adam	adam	Adam
Best	best	Best
@adamcbest	@adamcbest	@adamcbest
July	juli	July
17	17	17
,	,	,
2017Most	2017most	2017Most
politicians	politician	politician
would	would	would
NOT	not	NOT
have	have	have
gone	gone	gone
to	to	to
a	a	a
meeting	meet	meeting
like	like	like
the	the	the
one	one	one
Don	don	Don
jr	jr	jr
attended	attend	attended
in	in	in
order	order	order
to	to	to
get	get	get
info	info	info
on	on	on
an	an	an
opponent	oppon	opponent
.	.	.
That's	that	That's
TREASON	treason	TREASON
!	!	!
Eugene	eugen	Eugene
Gu	gu	Gu
,	,	,
MD	md	MD
@eugenegu	@eugenegu	@eugenegu
July	juli	July
17	17	17
,	,	,
2017The	2017the	2017The
FBI	fbi	FBI
should	should	should
have	have	have
been	been	been
called	call	called
in	in	in
.	.	.
That	that	That
s	s	s
a	a	a
no	no	no
-brainer	-brainer	-brainer
.	.	.
No	no	No
!	!	!
Most	most	Most
people	peopl	people
would	would	would
have	have	have
reported	report	reported
the	the	the
proposition	proposit	proposition
to	to	to
the	the	the
FBI	fbi	FBI
.	.	.
Only	onli	Only
the	the	the
Trumps	trump	Trumps
would	would	would
be	be	be
fool	fool	fool
enough	enough	enough
to	to	to
take	take	take
the	the	the
meeting	meet	meeting
.	.	.
#NiceTryTrump	#nicetrytrump	#NiceTryTrump
val	val	val
broeksmit	broeksmit	broeksmit
@BikiniRobotArmy	@bikinirobotarmi	@BikiniRobotArmy
July	juli	July
17	17	17
,	,	,
2017lol	2017lol	2017lol
no	no	no
they	they	they
wouldn't	wouldn't	wouldn't
,	,	,
this	this	this
must	must	must
be	be	be
your	your	your
team	team	team
right	right	right
about	about	about
now	now	now
.	.	.
pic.twitter.com/XWA7unH0rL	pic.twitter.com/xwa7unh0rl	pic.twitter.com/XWA7unH0rL
Brandon	brandon	Brandon
Keating	keat	Keating
@BrandonTalks	@brandontalk	@BrandonTalks
July	juli	July
17	17	17
,	,	,
2017Meeting	2017meet	2017Meeting
with	with	with
Russian	russian	Russian
spies	spi	spy
is	is	is
not	not	not
opposition	opposit	opposition
research	research	research
.	.	.
Robert	robert	Robert
Caruso	caruso	Caruso
@robertcaruso	@robertcaruso	@robertcaruso
July	juli	July
17	17	17
,	,	,
2017No	2017no	2017No
,	,	,
not	not	not
really	realli	really
.	.	.
True	true	True
,	,	,
most	most	most
politicians	politician	politician
are	are	are
scumbags	scumbag	scumbags
,	,	,
but	but	but
your	your	your
kind	kind	kind
is	is	is
on	on	on
a	a	a
whole	whole	whole
other	other	other
level	level	level
.	.	.
You're	you'r	You're
swine	swine	swine
,	,	,
pal	pal	pal
.	.	.
pic.twitter.com/ipixj00r4Q	pic.twitter.com/ipixj00r4q	pic.twitter.com/ipixj00r4Q
Michael	michael	Michael
Roffman	roffman	Roffman
@michaelroffman	@michaelroffman	@michaelroffman
July	juli	July
17	17	17
,	,	,
2017You	2017you	2017You
really	realli	really
are	are	are
off	off	off
your	your	your
rocker	rocker	rocker
.	.	.
The	the	The
whole	whole	whole
lot	lot	lot
of	of	of
you	you	you
is	is	is
guilty	guilti	guilty
as	as	a
hell	hell	hell
and	and	and
I	i	I
hope	hope	hope
you	you	you
burn	burn	burn
for	for	for
it	it	it
.	.	.
You	you	You
and	and	and
your	your	your
dumb	dumb	dumb
son	son	son
.	.	.
cx	cx	cx
@cxcope	@cxcope	@cxcope
July	juli	July
17	17	17
,	,	,
2017So	2017so	2017So
,	,	,
is	is	is
it	it	it
still	still	still
a	a	a
witch	witch	witch
hunt	hunt	hunt
?	?	?
pic.twitter.com/Uthscbr5Fm	pic.twitter.com/uthscbr5fm	pic.twitter.com/Uthscbr5Fm
Vic	vic	Vic
Berger	berger	Berger
IV	iv	IV
@VicBergerIV	@vicbergeriv	@VicBergerIV
July	juli	July
17	17	17
,	,	,
20177	20177	20177
in	in	in
10	10	10
americans	american	american
think	think	think
the	the	the
fbi	fbi	fbi
should	should	should
arrest	arrest	arrest
his	his	his
cel	cel	cel
phone	phone	phone
first	first	first
because	becaus	because
he's	he	he's
just	just	just
making	make	making
this	this	this
worse	wors	worse
the	the	the
entire	entir	entire
world	world	world
is	is	is
laughing	laugh	laughing
at	at	at
don	don	don
anton	anton	anton
newcombe	newcomb	newcombe
@antonnewcombe	@antonnewcomb	@antonnewcombe
July	juli	July
17	17	17
,	,	,
2017So	2017so	2017So
much	much	much
for	for	for
draining	drain	draining
the	the	the
swamp	swamp	swamp
Charles	charl	Charles
Capel	capel	Capel
@CharlieCapel	@charliecapel	@CharlieCapel
July	juli	July
17	17	17
,	,	,
2017Team	2017team	2017Team
Trump	trump	Trump
can	can	can
t	t	t
even	even	even
come	come	come
up	up	up
with	with	with
a	a	a
defense	defens	defense
over	over	over
Junior	junior	Junior
s	s	s
scandal	scandal	scandal
.	.	.
When	when	When
Trump	trump	Trump
was	was	wa
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
,	,	,
he	he	he
called	call	called
on	on	on
Russia	russia	Russia
to	to	to
hack	hack	hack
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
emails	email	email
.	.	.
Donald	donald	Donald
is	is	is
so	so	so
defensive	defens	defensive
and	and	and
the	the	the
signs	sign	sign
are	are	are
there	there	there
that	that	that
he	he	he
possibly	possibl	possibly
knew	knew	knew
about	about	about
the	the	the
meeting	meet	meeting
before	befor	before
it	it	it
even	even	even
took	took	took
place	place	place
in	in	in
his	his	his
own	own	own
building	build	building
.	.	.
Junior	junior	Junior
was	was	wa
well	well	well
aware	awar	aware
,	,	,
according	accord	according
to	to	to
the	the	the
emails	email	email
he	he	he
released	releas	released
on	on	on
Twitter	twitter	Twitter
,	,	,
that	that	that
the	the	the
information	inform	information
was	was	wa
coming	come	coming
from	from	from
the	the	the
Russian	russian	Russian
government	govern	government
that	that	that
the	the	the
Kremlin	kremlin	Kremlin
-connected	-connect	-connected
lawyer	lawyer	lawyer
was	was	wa
offering	offer	offering
him	him	him
.	.	.
Again	again	Again
,	,	,
this	this	this
is	is	is
a	a	a
no	no	no
-brainer	-brainer	-brainer
but	but	but
we	we	we
re	re	re
dealing	deal	dealing
with	with	with
the	the	the
Trump	trump	Trump
administration	administr	administration
here	here	here
,	,	,
and	and	and
they	they	they
do	do	do
not	not	not
understand	understand	understand
that	that	that
attempting	attempt	attempting
to	to	to
collude	collud	collude
with	with	with
Russia	russia	Russia
is	is	is
as	as	a
bad	bad	bad
as	as	a
colluding	collud	colluding
with	with	with
Russia	russia	Russia
.	.	.
Welcome	welcom	Welcome
to	to	to
Amateur	amateur	Amateur
Hour	hour	Hour
at	at	at
the	the	the
White	white	White
House	hous	House
.	.	.
Photo	photo	Photo
by	by	by
Andrew	andrew	Andrew
Harrer	harrer	Harrer
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images
.	.	.
