Hell	hell	Hell
life	life	life
preferences	prefer	preference
,	,	,
which	which	which
in	in	in
turn	turn	turn
is	is	is
directly	direct	directly
related	relat	related
to	to	to
a	a	a
capacity	capac	capacity
to	to	to
feel	feel	feel
and	and	and
comprehend	comprehend	comprehend
pain	pain	pain
and	and	and
pleasure	pleasur	pleasure
.	.	.
Singer	singer	Singer
told	told	told
Klein	klein	Klein
rationing	ration	rationing
is	is	is
already	alreadi	already
happening	happen	happening
,	,	,
saying	say	saying
doctors	doctor	doctor
and	and	and
hospitals	hospit	hospital
routinely	routin	routinely
make	make	make
decisions	decis	decision
based	base	based
on	on	on
costs	cost	cost
.	.	.
Klein	klein	Klein
is	is	is
the	the	the
host	host	host
of	of	of
Aaron	aaron	Aaron
Klein	klein	Klein
Investigative	investig	Investigative
Radio	radio	Radio
,	,	,
a	a	a
syndicated	syndic	syndicated
radio	radio	radio
program	program	program
that	that	that
airs	air	air
in	in	in
several	sever	several
markets	market	market
across	across	across
the	the	the
US	us	US
.	.	.
Klein	klein	Klein
is	is	is
also	also	also
a	a	a
columnist	columnist	columnist
at	at	at
WND	wnd	WND
.	.	.
It	it	It
s	s	s
different	differ	different
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
system	system	system
,	,	,
in	in	in
a	a	a
way	way	way
,	,	,
because	becaus	because
it	it	it
doesn	doesn	doesn
t	t	t
do	do	do
this	this	this
overtly	overt	overtly
;	;	;
maybe	mayb	maybe
it	it	it
doesn	doesn	doesn
t	t	t
do	do	do
it	it	it
as	as	a
much	much	much
,	,	,
Singer	singer	Singer
explained	explain	explained
.	.	.
And	and	And
the	the	the
result	result	result
is	is	is
it	it	it
spends	spend	spends
about	about	about
twice	twice	twice
as	as	a
much	much	much
on	on	on
health	health	health
care	care	care
as	as	a
some	some	some
other	other	other
countries	countri	country
for	for	for
very	veri	very
little	littl	little
extra	extra	extra
benefit	benefit	benefit
in	in	in
terms	term	term
of	of	of
the	the	the
outcome	outcom	outcome
.	.	.
During	dure	During
the	the	the
interview	interview	interview
Klein	klein	Klein
quoted	quot	quoted
from	from	from
a	a	a
section	section	section
of	of	of
Singer	singer	Singer
s	s	s
1993	1993	1993
treatise	treatis	treatise
Practical	practic	Practical
Ethics	ethic	Ethics
,	,	,
titled	titl	titled
Taking	take	Taking
Life	life	Life
Humans	human	Humans
.	.	.
In	in	In
the	the	the
section	section	section
,	,	,
Singer	singer	Singer
argued	argu	argued
for	for	for
the	the	the
morality	moral	morality
of	of	of
non	non	non
-voluntary	-voluntari	-voluntary
euthanasia	euthanasia	euthanasia
for	for	for
human	human	human
beings	be	being
not	not	not
capable	capabl	capable
of	of	of
understanding	understand	understanding
the	the	the
choice	choic	choice
between	between	between
life	life	life
and	and	and
death	death	death
,	,	,
including	includ	including
severely	sever	severely
disabled	disabl	disabled
infants	infant	infant
,	,	,
and	and	and
people	peopl	people
who	who	who
through	through	through
accident	accid	accident
,	,	,
illness	ill	illness
,	,	,
or	or	or
old	old	old
age	age	age
have	have	have
permanently	perman	permanently
lost	lost	lost
the	the	the
capacity	capac	capacity
to	to	to
understand	understand	understand
the	the	the
issue	issu	issue
involved	involv	involved
.	.	.
Singer	singer	Singer
contends	contend	contends
that	that	that
the	the	the
wrongness	wrong	wrongness
of	of	of
killing	kill	killing
a	a	a
human	human	human
being	be	being
is	is	is
not	not	not
based	base	based
on	on	on
the	the	the
fact	fact	fact
that	that	that
the	the	the
individual	individu	individual
is	is	is
alive	aliv	alive
and	and	and
human	human	human
.	.	.
Instead	instead	Instead
,	,	,
Singer	singer	Singer
argues	argu	argues
it	it	it
is	is	is
characteristics	characterist	characteristic
like	like	like
rationality	ration	rationality
,	,	,
autonomy	autonomi	autonomy
,	,	,
and	and	and
self	self	self
-consciousness	-conscious	-consciousness
that	that	that
make	make	make
a	a	a
difference	differ	difference
.	.	.
When	when	When
asked	ask	asked
by	by	by
Klein	klein	Klein
whether	whether	whether
he	he	he
envisions	envis	envisions
denying	deni	denying
treatment	treatment	treatment
to	to	to
disabled	disabl	disabled
infants	infant	infant
to	to	to
become	becom	become
more	more	more
common	common	common
in	in	in
the	the	the
US	us	US
under	under	under
the	the	the
new	new	new
health	health	health
-care	-care	-care
law	law	law
,	,	,
Singer	singer	Singer
replied	repli	replied
It	it	It
does	doe	doe
happen	happen	happen
.	.	.
Not	not	Not
necessarily	necessarili	necessarily
because	becaus	because
of	of	of
costs	cost	cost
.	.	.
If	if	If
an	an	an
infant	infant	infant
is	is	is
born	born	born
with	with	with
a	a	a
massive	massiv	massive
hemorrhage	hemorrhag	hemorrhage
in	in	in
the	the	the
brain	brain	brain
that	that	that
means	mean	mean
it	it	it
will	will	will
be	be	be
so	so	so
severely	sever	severely
disabled	disabl	disabled
that	that	that
if	if	if
the	the	the
infant	infant	infant
lives	live	life
it	it	it
will	will	will
never	never	never
even	even	even
be	be	be
able	abl	able
to	to	to
recognize	recogn	recognize
its	it	it
mother	mother	mother
,	,	,
it	it	it
won	won	won
t	t	t
be	be	be
able	abl	able
to	to	to
interact	interact	interact
with	with	with
any	ani	any
other	other	other
human	human	human
being	be	being
,	,	,
it	it	it
will	will	will
just	just	just
lie	lie	lie
there	there	there
in	in	in
the	the	the
bed	bed	bed
and	and	and
you	you	you
could	could	could
feed	feed	feed
it	it	it
but	but	but
that	that	that
s	s	s
all	all	all
that	that	that
will	will	will
happen	happen	happen
,	,	,
doctors	doctor	doctor
will	will	will
turn	turn	turn
off	off	off
the	the	the
respirator	respir	respirator
that	that	that
is	is	is
keeping	keep	keeping
that	that	that
infant	infant	infant
alive	aliv	alive
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
whether	whether	whether
they	they	they
are	are	are
influenced	influenc	influenced
by	by	by
reducing	reduc	reducing
costs	cost	cost
,	,	,
Singer	singer	Singer
continued	continu	continued
.	.	.
Probably	probabl	Probably
they	they	they
are	are	are
just	just	just
influenced	influenc	influenced
by	by	by
the	the	the
fact	fact	fact
that	that	that
this	this	this
will	will	will
be	be	be
a	a	a
terrible	terribl	terrible
burden	burden	burden
for	for	for
the	the	the
parents	parent	parent
to	to	to
look	look	look
after	after	after
,	,	,
and	and	and
there	there	there
will	will	will
be	be	be
no	no	no
quality	qualiti	quality
of	of	of
life	life	life
for	for	for
the	the	the
child	child	child
.	.	.
So	so	So
we	we	we
are	are	are
already	alreadi	already
taking	take	taking
steps	step	step
that	that	that
quite	quit	quite
knowingly	know	knowingly
and	and	and
intentionally	intent	intentionally
are	are	are
ending	end	ending
the	the	the
lives	live	life
of	of	of
severely	sever	severely
disabled	disabl	disabled
infants	infant	infant
.	.	.
And	and	And
I	i	I
think	think	think
we	we	we
ought	ought	ought
to	to	to
be	be	be
more	more	more
open	open	open
in	in	in
recognizing	recogn	recognizing
that	that	that
this	this	this
happens	happen	happens
.	.	.
Klein	klein	Klein
then	then	then
asked	ask	asked
singer	singer	singer
,	,	,
I	i	I
know	know	know
that	that	that
it	it	it
happens	happen	happens
and	and	and
it	it	it
happens	happen	happens
certainly	certain	certainly
if	if	if
the	the	the
family	famili	family
gives	give	give
consent	consent	consent
.	.	.
But	but	But
do	do	do
you	you	you
think	think	think
in	in	in
the	the	the
future	futur	future
in	in	in
order	order	order
to	to	to
ensure	ensur	ensure
a	a	a
more	more	more
fair	fair	fair
rationing	ration	rationing
of	of	of
health	health	health
-care	-care	-care
and	and	and
health	health	health
-care	-care	-care
costs	cost	cost
,	,	,
that	that	that
it	it	it
should	should	should
actually	actual	actually
be	be	be
instituted	institut	instituted
more	more	more
?	?	?
The	the	The
killing	kill	killing
of	of	of
severely	sever	severely
disabled	disabl	disabled
babies	babi	baby
?	?	?
Singer	singer	Singer
responded	respond	responded
by	by	by
saying	say	saying
the	the	the
killing	kill	killing
of	of	of
infants	infant	infant
would	would	would
be	be	be
quite	quit	quite
reasonable	reason	reasonable
if	if	if
it	it	it
saved	save	saved
money	money	money
that	that	that
can	can	can
be	be	be
used	use	used
for	for	for
better	better	better
purposes	purpos	purpose
.	.	.
He	he	He
contended	contend	contended
that	that	that
most	most	most
people	peopl	people
would	would	would
say	say	say
they	they	they
don	don	don
t	t	t
want	want	want
their	their	their
premiums	premium	premium
to	to	to
be	be	be
higher	higher	higher
so	so	so
that	that	that
infants	infant	infant
who	who	who
can	can	can
experience	experi	experience
zero	zero	zero
quality	qualiti	quality
of	of	of
life	life	life
can	can	can
have	have	have
expensive	expens	expensive
treatments	treatment	treatment
.	.	.
Singer	singer	Singer
s	s	s
full	full	full
response	respons	response
I	i	I
think	think	think
if	if	if
you	you	you
had	had	had
a	a	a
health	health	health
-care	-care	-care
system	system	system
in	in	in
which	which	which
governments	govern	government
were	were	were
trying	tri	trying
to	to	to
say	say	say
,	,	,
Look	look	Look
,	,	,
there	there	there
are	are	are
some	some	some
things	thing	thing
that	that	that
don	don	don
t	t	t
provide	provid	provide
enough	enough	enough
benefits	benefit	benefit
given	given	given
the	the	the
costs	cost	cost
of	of	of
those	those	those
treatments	treatment	treatment
.	.	.
And	and	And
if	if	if
we	we	we
didn	didn	didn
t	t	t
do	do	do
them	them	them
we	we	we
would	would	would
be	be	be
able	abl	able
to	to	to
do	do	do
a	a	a
lot	lot	lot
more	more	more
good	good	good
for	for	for
other	other	other
people	peopl	people
who	who	who
have	have	have
better	better	better
prospects	prospect	prospect
,	,	,
then	then	then
yes	yes	yes
.	.	.
I	i	I
think	think	think
it	it	it
would	would	would
be	be	be
reasonable	reason	reasonable
for	for	for
governments	govern	government
to	to	to
say	say	say
,	,	,
This	this	This
treatment	treatment	treatment
is	is	is
not	not	not
going	go	going
to	to	to
be	be	be
provided	provid	provided
on	on	on
the	the	the
national	nation	national
health	health	health
service	servic	service
if	if	if
it	it	it
s	s	s
a	a	a
country	countri	country
with	with	with
a	a	a
national	nation	national
health	health	health
service	servic	service
.	.	.
Or	or	Or
in	in	in
the	the	the
United	unit	United
States	state	States
on	on	on
Medicare	medicar	Medicare
or	or	or
Medicade	medicad	Medicade
.	.	.
And	and	And
I	i	I
think	think	think
it	it	it
will	will	will
be	be	be
reasonable	reason	reasonable
for	for	for
insurance	insur	insurance
companies	compani	company
also	also	also
to	to	to
say	say	say
,	,	,
You	you	You
know	know	know
,	,	,
we	we	we
won	won	won
t	t	t
insure	insur	insure
you	you	you
for	for	for
this	this	this
or	or	or
we	we	we
won	won	won
t	t	t
insure	insur	insure
you	you	you
for	for	for
this	this	this
unless	unless	unless
you	you	you
are	are	are
prepared	prepar	prepared
to	to	to
pay	pay	pay
an	an	an
extra	extra	extra
premium	premium	premium
,	,	,
or	or	or
perhaps	perhap	perhaps
they	they	they
have	have	have
a	a	a
fund	fund	fund
with	with	with
lower	lower	lower
premiums	premium	premium
for	for	for
people	peopl	people
who	who	who
don	don	don
t	t	t
want	want	want
to	to	to
insure	insur	insure
against	against	against
that	that	that
.	.	.
Because	becaus	Because
I	i	I
think	think	think
most	most	most
people	peopl	people
,	,	,
when	when	when
they	they	they
think	think	think
about	about	about
that	that	that
,	,	,
would	would	would
say	say	say
that	that	that
s	s	s
quite	quit	quite
reasonable	reason	reasonable
.	.	.
You	you	You
know	know	know
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
my	my	my
health	health	health
insurance	insur	insurance
premiums	premium	premium
to	to	to
be	be	be
higher	higher	higher
so	so	so
that	that	that
infants	infant	infant
who	who	who
can	can	can
experience	experi	experience
zero	zero	zero
quality	qualiti	quality
of	of	of
life	life	life
can	can	can
have	have	have
expensive	expens	expensive
treatments	treatment	treatment
.	.	.
Via	via	Via
Examiner	examin	Examiner
.	.	.
com	com	com
