Wow	wow	Wow
soda	soda	soda
purchasers	purchas	purchaser
an	an	an
extra	extra	extra
2	2	2
.	.	.
16	16	16
per	per	per
12	12	12
-pack	-pack	-pack
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
called	call	called
out	out	out
Hillary	hillari	Hillary
s	s	s
violation	violat	violation
of	of	of
her	her	her
middle	middl	middle
class	class	class
tax	tax	tax
pledge	pledg	pledge
Frankly	frank	Frankly
,	,	,
I	i	I
am	am	am
very	veri	very
surprised	surpris	surprised
that	that	that
Secretary	secretari	Secretary
Clinton	clinton	Clinton
would	would	would
support	support	support
this	this	this
regressive	regress	regressive
tax	tax	tax
after	after	after
pledging	pledg	pledging
not	not	not
to	to	to
raise	rais	raise
taxes	tax	tax
on	on	on
anyone	anyon	anyone
making	make	making
less	less	le
than	than	than
250	250	250
,	,	,
000	000	000
.	.	.

This	this	This
proposal	propos	proposal
clearly	clear	clearly
violates	violat	violates
her	her	her
pledge	pledg	pledge
,	,	,
he	he	he
said	said	said
.	.	.
Sanders	sander	Sanders
also	also	also
said	said	said
The	the	The
mechanism	mechan	mechanism
here	here	here
is	is	is
fairly	fair	fairly
regressive	regress	regressive
.	.	.

And	and	And
that	that	that
is	is	is
,	,	,
it	it	it
will	will	will
be	be	be
increasing	increas	increasing
taxes	tax	tax
on	on	on
low	low	low
-income	-incom	-income
and	and	and
working	work	working
people	peopl	people
.	.	.

25	25	25
National	nation	National
Gun	gun	Gun
Tax	tax	Tax
Hillary	hillari	Hillary
endorsed	endors	endorsed
a	a	a
new	new	new
national	nation	national
25	25	25
retail	retail	retail
sales	sale	sale
tax	tax	tax
on	on	on
guns	gun	gun
.	.	.

I	i	I
am	am	am
all	all	all
for	for	for
that	that	that
,	,	,
she	she	she
told	told	told
the	the	the
Senate	senat	Senate
in	in	in
1993	1993	1993
.	.	.

On	on	On
June	june	June
5	5	5
,	,	,
2016	2016	2016
she	she	she
was	was	wa
asked	ask	asked
about	about	about
her	her	her
gun	gun	gun
tax	tax	tax
endorsement	endors	endorsement
by	by	by
George	georg	George
Stephanopoulos	stephanopoulo	Stephanopoulos
on	on	on
ABC	abc	ABC
s	s	s
This	this	This
Week	week	Week
.	.	.

She	she	She
acknowledged	acknowledg	acknowledged
her	her	her
gun	gun	gun
tax	tax	tax
endorsement	endors	endorsement
and	and	and
did	did	did
not	not	not
disavow	disavow	disavow
it	it	it
,	,	,
saying	say	saying
she	she	she
wanted	want	wanted
the	the	the
gun	gun	gun
tax	tax	tax
money	money	money
to	to	to
pay	pay	pay
for	for	for
Hillarycare	hillarycar	Hillarycare
.	.	.

If	if	If
you	you	you
have	have	have
any	ani	any
doubts	doubt	doubt
about	about	about
her	her	her
strong	strong	strong
desire	desir	desire
to	to	to
impose	impos	impose
a	a	a
new	new	new
gun	gun	gun
tax	tax	tax
,	,	,
watch	watch	watch
her	her	her
face	face	face
in	in	in
the	the	the
video	video	video
.	.	.
Doubling	doubl	Doubling
of	of	of
federal	feder	federal
excise	excis	excise
tax	tax	tax
on	on	on
guns	gun	gun
Hillary	hillari	Hillary
also	also	also
endorsed	endors	endorsed
a	a	a
doubling	doubl	doubling
of	of	of
the	the	the
existing	exist	existing
federal	feder	federal
excise	excis	excise
tax	tax	tax
on	on	on
guns	gun	gun
.	.	.
65	65	65
Death	death	Death
Tax	tax	Tax
Hillary	hillari	Hillary
is	is	is
now	now	now
pushing	push	pushing
a	a	a
65	65	65
Death	death	Death
Tax	tax	Tax
.	.	.

And	and	And
her	her	her
own	own	own
finances	financ	finance
are	are	are
arranged	arrang	arranged
to	to	to
shield	shield	shield
herself	herself	herself
from	from	from
death	death	death
taxes	tax	tax
.	.	.
Capital	capit	Capital
Gains	gain	Gains
Tax	tax	Tax
Hike	hike	Hike
Hillary	hillari	Hillary
has	has	ha
proposed	propos	proposed
the	the	the
most	most	most
complex	complex	complex
and	and	and
Byzantine	byzantin	Byzantine
capital	capit	capital
gains	gain	gain
tax	tax	tax
regime	regim	regime
in	in	in
American	american	American
history	histori	history
,	,	,
with	with	with
ten	ten	ten
different	differ	different
rates	rate	rate
.	.	.

She	she	She
raises	rais	raise
the	the	the
top	top	top
capital	capit	capital
gains	gain	gain
tax	tax	tax
rate	rate	rate
from	from	from
23	23	23
.	.	.
8	8	8
to	to	to
43	43	43
.	.	.
4	4	4
.	.	.
No	no	No
Corporate	corpor	Corporate
Income	incom	Income
Tax	tax	Tax
Rate	rate	Rate
Relief	relief	Relief
for	for	for
Anyone	anyon	Anyone
Hillary	hillari	Hillary
offers	offer	offer
no	no	no
income	incom	income
tax	tax	tax
rate	rate	rate
reduction	reduct	reduction
for	for	for
any	ani	any
business	busi	business
.	.	.

The	the	The
USA	usa	USA
has	has	ha
the	the	the
highest	highest	highest
corporate	corpor	corporate
income	incom	income
tax	tax	tax
in	in	in
the	the	the
world	world	world
,	,	,
which	which	which
kills	kill	kill
jobs	job	job
and	and	and
makes	make	make
us	us	u
less	less	le
competitive	competit	competitive
.	.	.

Even	even	Even
Bill	bill	Bill
Clinton	clinton	Clinton
understands	understand	understands
the	the	the
need	need	need
to	to	to
cut	cut	cut
the	the	the
corporate	corpor	corporate
rate	rate	rate
.	.	.
No	no	No
Personal	person	Personal
Income	incom	Income
Tax	tax	Tax
Rate	rate	Rate
Relief	relief	Relief
for	for	for
Anyone	anyon	Anyone
Hillary	hillari	Hillary
offers	offer	offer
no	no	no
income	incom	income
tax	tax	tax
rate	rate	rate
reduction	reduct	reduction
for	for	for
any	ani	any
American	american	American
.	.	.
Carbon	carbon	Carbon
Tax	tax	Tax
Hillary	hillari	Hillary
s	s	s
campaign	campaign	campaign
has	has	ha
opened	open	opened
the	the	the
door	door	door
to	to	to
a	a	a
carbon	carbon	carbon
tax	tax	tax
if	if	if
she	she	she
wins	win	win
the	the	the
White	white	White
House	hous	House
.	.	.

Democrat	democrat	Democrat
Senate	senat	Senate
Leader	leader	Leader
Chuck	chuck	Chuck
Schumer	schumer	Schumer
is	is	is
also	also	also
fantasizing	fantas	fantasizing
about	about	about
a	a	a
carbon	carbon	carbon
tax	tax	tax
under	under	under
Hillary	hillari	Hillary
,	,	,
and	and	and
a	a	a
carbon	carbon	carbon
tax	tax	tax
is	is	is
part	part	part
of	of	of
the	the	the
official	offici	official
2016	2016	2016
Democrat	democrat	Democrat
party	parti	party
platform	platform	platform
.	.	.
To	to	To
learn	learn	learn
more	more	more
about	about	about
Hillary	hillari	Hillary
s	s	s
tax	tax	tax
hike	hike	hike
plan	plan	plan
,	,	,
visit	visit	visit
ATR	atr	ATR
s	s	s
dedicated	dedic	dedicated
website	websit	website
www.HighTaxHillary.com	www.hightaxhillary.com	www.HighTaxHillary.com

