During	dure	During
there	there	there
.	.	.

You	you	You
have	have	have
Obama	obama	Obama
there	there	there
.	.	.

And	and	And
frankly	frank	frankly
,	,	,
that	that	that
whole	whole	whole
part	part	part
of	of	of
the	the	the
world	world	world
is	is	is
a	a	a
mess	mess	mess
under	under	under
Obama	obama	Obama
with	with	with
all	all	all
the	the	the
strength	strength	strength
that	that	that
you	you	you
re	re	re
talking	talk	talking
about	about	about
and	and	and
all	all	all
of	of	of
the	the	the
power	power	power
of	of	of
NATO	nato	NATO
and	and	and
all	all	all
of	of	of
this	this	this
.	.	.

In	in	In
the	the	the
meantime	meantim	meantime
,	,	,
he	he	he
s	s	s
going	go	going
away	away	away
.	.	.

He	he	He
takes	take	take
Crimea	crimea	Crimea
.	.	.

Trump	trump	Trump
then	then	then
seemed	seem	seemed
to	to	to
imply	impli	imply
that	that	that
Russia	russia	Russia
had	had	had
a	a	a
greater	greater	greater
claim	claim	claim
to	to	to
the	the	the
Crimean	crimean	Crimean
than	than	than
the	the	the
Ukraine	ukrain	Ukraine
.	.	.

I	i	I
m	m	m
going	go	going
to	to	to
take	take	take
a	a	a
look	look	look
at	at	at
it	it	it
,	,	,
Trump	trump	Trump
said	said	said
.	.	.

But	but	But
you	you	you
know	know	know
,	,	,
the	the	the
people	peopl	people
of	of	of
Crimea	crimea	Crimea
,	,	,
from	from	from
what	what	what
I	i	I
ve	ve	ve
heard	heard	heard
,	,	,
would	would	would
rather	rather	rather
be	be	be
with	with	with
Russia	russia	Russia
than	than	than
where	where	where
they	they	they
were	were	were
.	.	.

And	and	And
you	you	you
have	have	have
to	to	to
look	look	look
at	at	at
that	that	that
,	,	,
also	also	also
just	just	just
so	so	so
you	you	you
understand	understand	understand
,	,	,
that	that	that
was	was	wa
done	done	done
under	under	under
Obama	obama	Obama
s	s	s
administration	administr	administration
.	.	.

Trump	trump	Trump
went	went	went
on	on	on
to	to	to
say	say	say
And	and	And
as	as	a
far	far	far
as	as	a
the	the	the
Ukraine	ukrain	Ukraine
is	is	is
concerned	concern	concerned
,	,	,
it	it	it
s	s	s
a	a	a
mess	mess	mess
.	.	.

And	and	And
that	that	that
s	s	s
under	under	under
the	the	the
Obama	obama	Obama
s	s	s
administration	administr	administration
with	with	with
his	his	his
strong	strong	strong
ties	tie	tie
to	to	to
NATO	nato	NATO
.	.	.

So	so	So
with	with	with
all	all	all
of	of	of
these	these	these
strong	strong	strong
ties	tie	tie
to	to	to
NATO	nato	NATO
,	,	,
Ukraine	ukrain	Ukraine
is	is	is
a	a	a
mess	mess	mess
.	.	.

Crimea	crimea	Crimea
has	has	ha
been	been	been
taken	taken	taken
.	.	.

Don	don	Don
t	t	t
blame	blame	blame
Donald	donald	Donald
Trump	trump	Trump
for	for	for
that	that	that
.	.	.

Trump	trump	Trump
,	,	,
at	at	at
no	no	no
point	point	point
during	dure	during
the	the	the
line	line	line
of	of	of
questioning	question	questioning
Stephanopoulos	stephanopoulo	Stephanopoulos
gave	gave	gave
him	him	him
regarding	regard	regarding
the	the	the
Ukraine	ukrain	Ukraine
,	,	,
seemed	seem	seemed
to	to	to
know	know	know
what	what	what
he	he	he
was	was	wa
talking	talk	talking
about	about	about
.	.	.

He	he	He
appears	appear	appears
to	to	to
have	have	have
no	no	no
knowledge	knowledg	knowledge
of	of	of
one	one	one
of	of	of
the	the	the
biggest	biggest	biggest
events	event	event
to	to	to
happen	happen	happen
so	so	so
far	far	far
in	in	in
the	the	the
21st	21st	21st
century	centuri	century
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
relevant	relev	relevant
part	part	part
of	of	of
the	the	the
interview	interview	interview
below	below	below
.	.	.
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
to	to	to
@ThisWeekABC	@thisweekabc	@ThisWeekABC
Putin's	putin	Putin's
not	not	not
gonna	gonna	gonna
go	go	go
into	into	into
Ukraine	ukrain	Ukraine
,	,	,
all	all	all
right	right	right
?	?	?

You	you	You
can	can	can
mark	mark	mark
it	it	it
down	down	down
.	.	.
#ThisWeek	#thisweek	#ThisWeek
https://t.co/C2PQQYg1c9	https://t.co/c2pqqyg1c9	https://t.co/C2PQQYg1c9
ABC	abc	ABC
News	news	News
@ABC	@abc	@ABC
July	juli	July
31	31	31
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

