Yesterday	yesterday	Yesterday
citizen	citizen	citizen
.	.	.

And	and	And
I	i	I
am	am	am
so	so	so
proud	proud	proud
of	of	of
you	you	you
for	for	for
using	use	using
your	your	your
voice	voic	voice
to	to	to
speak	speak	speak
out	out	out
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
children	children	child
of	of	of
Flint	flint	Flint
.	.	.
That	that	That
s	s	s
why	whi	why
I	i	I
want	want	want
you	you	you
to	to	to
be	be	be
the	the	the
first	first	first
to	to	to
know	know	know
that	that	that
I	i	I
m	m	m
coming	come	coming
to	to	to
visit	visit	visit
Flint	flint	Flint
on	on	on
May	may	May
4th	4th	4th
.	.	.

I	i	I
want	want	want
to	to	to
make	make	make
sure	sure	sure
people	peopl	people
like	like	like
you	you	you
and	and	and
your	your	your
family	famili	family
are	are	are
receiving	receiv	receiving
the	the	the
help	help	help
you	you	you
need	need	need
and	and	and
deserve	deserv	deserve
.	.	.
Letters	letter	Letters
from	from	from
kids	kid	kid
like	like	like
you	you	you
are	are	are
what	what	what
make	make	make
me	me	me
so	so	so
optimistic	optimist	optimistic
for	for	for
the	the	the
future	futur	future
.	.	.

I	i	I
hope	hope	hope
to	to	to
meet	meet	meet
you	you	you
next	next	next
week	week	week
,	,	,
Little	littl	Little
Miss	miss	Miss
Flint	flint	Flint
.	.	.

The	the	The
White	white	White
House	hous	House
confirmed	confirm	confirmed
those	those	those
plans	plan	plan
in	in	in
a	a	a
statement	statement	statement
that	that	that
read	read	read
,	,	,
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
May	may	May
4th	4th	4th
,	,	,
the	the	the
President	presid	President
will	will	will
travel	travel	travel
to	to	to
Flint	flint	Flint
,	,	,
Michigan	michigan	Michigan
where	where	where
he	he	he
will	will	will
hear	hear	hear
first	first	first
-hand	-hand	-hand
from	from	from
Flint	flint	Flint
residents	resid	resident
like	like	like
Mari	mari	Mari
about	about	about
the	the	the
public	public	public
health	health	health
crisis	crisi	crisis
,	,	,
receive	receiv	receive
an	an	an
in	in	in
-person	-person	-person
briefing	brief	briefing
on	on	on
the	the	the
federal	feder	federal
efforts	effort	effort
in	in	in
place	place	place
to	to	to
help	help	help
respond	respond	respond
to	to	to
the	the	the
needs	need	need
of	of	of
the	the	the
people	peopl	people
of	of	of
Flint	flint	Flint
,	,	,
and	and	and
speak	speak	speak
directly	direct	directly
with	with	with
members	member	member
of	of	of
the	the	the
Flint	flint	Flint
community	communiti	community
.	.	.

Despite	despit	Despite
her	her	her
young	young	young
age	age	age
,	,	,
Copeny	copeni	Copeny
is	is	is
a	a	a
big	big	big
activist	activist	activist
in	in	in
her	her	her
community	communiti	community
and	and	and
frequently	frequent	frequently
uses	use	us
YouTube	youtub	YouTube
to	to	to
raise	rais	raise
awareness	awar	awareness
for	for	for
the	the	the
important	import	important
issues	issu	issue
the	the	the
area	area	area
is	is	is
facing	face	facing
.	.	.

To	to	To
make	make	make
sure	sure	sure
that	that	that
no	no	no
one	one	one
forgets	forget	forgets
that	that	that
people	peopl	people
in	in	in
Flint	flint	Flint
are	are	are
still	still	still
depending	depend	depending
on	on	on
bottled	bottl	bottled
water	water	water
for	for	for
their	their	their
drinking	drink	drinking
,	,	,
cooking	cook	cooking
and	and	and
bathing	bath	bathing
needs	need	need
,	,	,
Copeny	copeni	Copeny
has	has	ha
created	creat	created
a	a	a
video	video	video
where	where	where
she	she	she
speaks	speak	speaks
about	about	about
the	the	the
hardships	hardship	hardship
the	the	the
community	communiti	community
must	must	must
endure	endur	endure
.	.	.

You	you	You
can	can	can
watch	watch	watch
it	it	it
below	below	below
Unfortunately	unfortun	Unfortunately
,	,	,
the	the	the
polluted	pollut	polluted
water	water	water
in	in	in
Flint	flint	Flint
will	will	will
be	be	be
life	life	life
-altering	-alter	-altering
and	and	and
affect	affect	affect
future	futur	future
generations	generat	generation
to	to	to
come	come	come
.	.	.

Not	not	Not
only	onli	only
will	will	will
children	children	child
have	have	have
learning	learn	learning
disabilities	disabl	disability
and	and	and
behavioral	behavior	behavioral
issues	issu	issue
,	,	,
but	but	but
the	the	the
lead	lead	lead
will	will	will
be	be	be
passed	pass	passed
onto	onto	onto
younger	younger	younger
generations	generat	generation
by	by	by
women	women	woman
who	who	who
are	are	are
pregnant	pregnant	pregnant
.	.	.

Until	until	Until
every	everi	every
last	last	last
lead	lead	lead
pipe	pipe	pipe
in	in	in
Flint	flint	Flint
is	is	is
replaced	replac	replaced
,	,	,
this	this	this
situation	situat	situation
will	will	will
not	not	not
be	be	be
resolved	resolv	resolved
.	.	.

We	we	We
can	can	can
only	onli	only
hope	hope	hope
that	that	that
the	the	the
President	presid	President
s	s	s
visit	visit	visit
to	to	to
Flint	flint	Flint
will	will	will
push	push	push
Congress	congress	Congress
to	to	to
find	find	find
a	a	a
solution	solut	solution
to	to	to
this	this	this
injustice	injustic	injustice
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images
and	and	and
screenshot	screenshot	screenshot

