Fox	fox	Fox
ha	ha	ha
.	.	.
https://t.co/mppoFtFsvc	https://t.co/mppoftfsvc	https://t.co/mppoFtFsvc
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
November	novemb	November
25	25	25
,	,	,
2017Sean	2017sean	2017Sean
really	realli	really
wants	want	want
the	the	the
magazine	magazin	magazine
s	s	s
attention	attent	attention
.	.	.
Waiting	wait	Waiting
https://t.co/90GSYMVVKU	https://t.co/90gsymvvku	https://t.co/90GSYMVVKU
Sean	sean	Sean
Hannity	hanniti	Hannity
@seanhannity	@seanhann	@seanhannity
November	novemb	November
25	25	25
,	,	,
2017Twitter	2017twitter	2017Twitter
users	user	user
,	,	,
of	of	of
course	cours	course
,	,	,
are	are	are
calling	call	calling
out	out	out
Liddle	liddl	Liddle
Sean	sean	Sean
.	.	.
You	you	You
re	re	re
questioning	question	questioning
Time	time	Time
?	?	?
Why	whi	Why
aren	aren	aren
t	t	t
you	you	you
questioning	question	questioning
the	the	the
man	man	man
who	who	who
hung	hung	hung
fake	fake	fake
Time	time	Time
covers	cover	cover
of	of	of
himself	himself	himself
in	in	in
his	his	his
resorts	resort	resort
?	?	?
It	it	It
s	s	s
sad	sad	sad
you	you	you
haven	haven	haven
t	t	t
caught	caught	caught
on	on	on
to	to	to
his	his	his
lies	lie	lie
yet	yet	yet
,	,	,
Sean	sean	Sean
.	.	.
Mrs	mrs	Mrs
.	.	.
SMH	smh	SMH
@MaraLaGoFuckYou	@maralagofuckyou	@MaraLaGoFuckYou
November	novemb	November
25	25	25
,	,	,
2017pic	2017pic	2017pic
.	.	.
twitter	twitter	twitter
.	.	.
com	com	com
UJtVSaKgOF	ujtvsakgof	UJtVSaKgOF
What	what	What
the	the	the
Fork	fork	Fork
@WhattheForkLLC	@whattheforkllc	@WhattheForkLLC
November	novemb	November
25	25	25
,	,	,
2017Only	2017on	2017Only
the	the	the
finest	finest	finest
make	make	make
it	it	it
on	on	on
@TIME	@time	@TIME
@POTUS44	@potus44	@POTUS44
@MichelleObama	@michelleobama	@MichelleObama
pic.twitter.com/fGLX2Rzgwo	pic.twitter.com/fglx2rzgwo	pic.twitter.com/fGLX2Rzgwo
NAT	nat	NAT
@N_A_T_39	@n_a_t_39	@N_A_T_39
November	novemb	November
25	25	25
,	,	,
2017LMAO	2017lmao	2017LMAO
!	!	!
Let	let	Let
s	s	s
look	look	look
at	at	at
this	this	this
logically	logic	logically
.	.	.
@Time	@time	@Time
magazine	magazin	magazine
has	has	ha
been	been	been
in	in	in
business	busi	business
93	93	93
years	year	year
.	.	.
It	it	It
s	s	s
never	never	never
gone	gone	gone
bankrupt	bankrupt	bankrupt
.	.	.
It	it	It
s	s	s
a	a	a
respected	respect	respected
institution	institut	institution
.	.	.
@realdonaldtrump	@realdonaldtrump	@realdonaldtrump
has	has	ha
gone	gone	gone
bankrupt	bankrupt	bankrupt
4	4	4
times	time	time
,	,	,
has	has	ha
been	been	been
caught	caught	caught
in	in	in
scores	score	score
of	of	of
lies	lie	lie
including	includ	including
a	a	a
fake	fake	fake
Time	time	Time
cover	cover	cover
mounted	mount	mounted
on	on	on
his	his	his
golf	golf	golf
club	club	club
walls	wall	wall
.	.	.
pic.twitter.com/ywzr96arh1	pic.twitter.com/ywzr96arh1	pic.twitter.com/ywzr96arh1
Annalise	annalis	Annalise
Brown	brown	Brown
@SWFLib	@swflib	@SWFLib
November	novemb	November
25	25	25
,	,	,
2017Donnie	2017donni	2017Donnie
can	can	can
t	t	t
stand	stand	stand
the	the	the
idea	idea	idea
of	of	of
Obama	obama	Obama
being	be	being
Time	time	Time
s	s	s
Man	man	Man
of	of	of
the	the	the
Year	year	Year
in	in	in
the	the	the
first	first	first
year	year	year
of	of	of
his	his	his
presidency	presid	presidency
.	.	.
He	he	He
knows	know	know
he	he	he
ll	ll	ll
never	never	never
be	be	be
half	half	half
the	the	the
man	man	man
or	or	or
the	the	the
President	presid	President
@BarackObama	@barackobama	@BarackObama
was	was	wa
,	,	,
and	and	and
it	it	it
s	s	s
eating	eat	eating
him	him	him
up	up	up
inside	insid	inside
.	.	.
pic.twitter.com/ROMxC3oc7C	pic.twitter.com/romxc3oc7c	pic.twitter.com/ROMxC3oc7C
Annalise	annalis	Annalise
Brown	brown	Brown
@SWFLib	@swflib	@SWFLib
November	novemb	November
25	25	25
,	,	,
2017As	2017as	2017As
this	this	this
woman	woman	woman
notes	note	note
,	,	,
Trump	trump	Trump
has	has	ha
always	alway	always
been	been	been
obsessed	obsess	obsessed
with	with	with
Time	time	Time
magazine	magazin	magazine
.	.	.
Honey	honey	Honey
,	,	,
just	just	just
get	get	get
the	the	the
man	man	man
warm	warm	warm
milk	milk	milk
and	and	and
one	one	one
for	for	for
yourself	yourself	yourself
Also	also	Also
.	.	.
pic.twitter.com/LMV9lwg9Lx	pic.twitter.com/lmv9lwg9lx	pic.twitter.com/LMV9lwg9Lx
kastherine	kastherin	kastherine
@Mercedes8_S	@mercedes8_	@Mercedes8_S
November	novemb	November
25	25	25
,	,	,
2017Find	2017find	2017Find
a	a	a
comfy	comfi	comfy
chair	chair	chair
.	.	.
Drink	drink	Drink
some	some	some
warm	warm	warm
milk	milk	milk
.	.	.
And	and	And
wait	wait	wait
for	for	for
the	the	the
voices	voic	voice
to	to	to
stop	stop	stop
.	.	.
Charles	charl	Charles
P	p	P
.	.	.
Pierce	pierc	Pierce
@CharlesPPierce	@charlesppierc	@CharlesPPierce
November	novemb	November
25	25	25
,	,	,
2017With	2017with	2017With
Trump	trump	Trump
s	s	s
history	histori	history
,	,	,
a	a	a
man	man	man
who	who	who
literally	liter	literally
hangs	hang	hang
photoshopped	photoshop	photoshopped
Time	time	Time
magazine	magazin	magazine
covers	cover	cover
featuring	featur	featuring
his	his	his
big	big	big
stupid	stupid	stupid
face	face	face
,	,	,
on	on	on
the	the	the
walls	wall	wall
of	of	of
at	at	at
least	least	least
4	4	4
of	of	of
his	his	his
golf	golf	golf
courses	cours	course
,	,	,
we	we	we
re	re	re
pretty	pretti	pretty
it	it	it
s	s	s
not	not	not
Time	time	Time
magazine	magazin	magazine
who	who	who
is	is	is
lying	lie	lying
.	.	.
Photo	photo	Photo
by	by	by
Rob	rob	Rob
Kim	kim	Kim
Getty	getti	Getty
Images	imag	Images
.	.	.
