Another	anoth	Another
have	have	have
voted	vote	voted
37	37	37
-3	-3	-3
to	to	to
remove	remov	remove
the	the	the
Confederate	confeder	Confederate
battle	battl	battle
flag	flag	flag
from	from	from
the	the	the
Statehouse	statehous	Statehouse
grounds	ground	ground
.	.	.
Sen	sen	Sen
.	.	.
Lee	lee	Lee
Bright	bright	Bright
,	,	,
R	r	R
-Roebuck	-roebuck	-Roebuck
,	,	,
objected	object	objected
to	to	to
giving	give	giving
the	the	the
bill	bill	bill
automatic	automat	automatic
third	third	third
reading	read	reading
,	,	,
which	which	which
is	is	is
usually	usual	usually
a	a	a
procedural	procedur	procedural
vote	vote	vote
,	,	,
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
For	for	For
the	the	the
bill	bill	bill
to	to	to
be	be	be
sent	sent	sent
to	to	to
the	the	the
House	hous	House
,	,	,
it	it	it
will	will	will
need	need	need
a	a	a
two	two	two
-thirds	-third	-thirds
vote	vote	vote
.	.	.
Monday	monday	Monday
s	s	s
three	three	three
nay	nay	nay
votes	vote	vote
were	were	were
from	from	from
Bright	bright	Bright
,	,	,
and	and	and
Sens	sen	Sens
.	.	.
Harvey	harvey	Harvey
Peeler	peeler	Peeler
and	and	and
Danny	danni	Danny
Verdin	verdin	Verdin
.	.	.
Plus	plus	Plus
,	,	,
for	for	for
the	the	the
bill	bill	bill
to	to	to
be	be	be
amended	amend	amended
on	on	on
third	third	third
reading	read	reading
,	,	,
it	it	it
would	would	would
need	need	need
a	a	a
three	three	three
-fifths	-fifth	-fifths
vote	vote	vote
.	.	.
Senate	senat	Senate
is	is	is
scheduled	schedul	scheduled
to	to	to
return	return	return
Tuesday	tuesday	Tuesday
at	at	at
10	10	10
a	a	a
.	.	.
m	m	m
.	.	.
3	3	3
20	20	20
p	p	p
.	.	.
m	m	m
.	.	.
update	updat	update
The	the	The
senate	senat	senate
has	has	ha
voted	vote	voted
to	to	to
table	tabl	table
amendments	amend	amendment
that	that	that
would	would	would
have	have	have
pushed	push	pushed
the	the	the
vote	vote	vote
on	on	on
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
issue	issu	issue
to	to	to
a	a	a
statewide	statewid	statewide
referendum	referendum	referendum
36	36	36
-3	-3	-3
,	,	,
allow	allow	allow
the	the	the
flag	flag	flag
to	to	to
flown	flown	flown
on	on	on
Statehouse	statehous	Statehouse
grounds	ground	ground
on	on	on
Confederate	confeder	Confederate
Memorial	memori	Memorial
Day	day	Day
22	22	22
-17	-17	-17
or	or	or
replace	replac	replace
the	the	the
current	current	current
flag	flag	flag
with	with	with
the	the	the
First	first	First
National	nation	National
Flag	flag	Flag
of	of	of
the	the	the
Confederate	confeder	Confederate
States	state	States
of	of	of
America	america	America
34	34	34
-6	-6	-6
.	.	.
Now	now	Now
,	,	,
various	various	various
senators	senat	senator
are	are	are
taking	take	taking
turns	turn	turn
speaking	speak	speaking
about	about	about
the	the	the
issue	issu	issue
.	.	.
No	no	No
one	one	one
has	has	ha
yet	yet	yet
made	made	made
a	a	a
motion	motion	motion
to	to	to
vote	vote	vote
on	on	on
the	the	the
bill	bill	bill
that	that	that
would	would	would
remove	remov	remove
the	the	the
Confederate	confeder	Confederate
battle	battl	battle
from	from	from
the	the	the
Statehouse	statehous	Statehouse
grounds	ground	ground
.	.	.
1	1	1
50	50	50
p	p	p
.	.	.
m	m	m
.	.	.
update	updat	update
After	after	After
a	a	a
short	short	short
break	break	break
,	,	,
the	the	the
Senate	senat	Senate
returned	return	returned
to	to	to
debate	debat	debate
the	the	the
fate	fate	fate
of	of	of
the	the	the
Statehouse	statehous	Statehouse
s	s	s
Confederate	confeder	Confederate
battle	battl	battle
flag	flag	flag
just	just	just
after	after	after
1	1	1
15	15	15
p	p	p
.	.	.
m	m	m
.	.	.
Roebuck	roebuck	Roebuck
Republican	republican	Republican
Sen	sen	Sen
.	.	.
Lee	lee	Lee
Bright	bright	Bright
s	s	s
amendment	amend	amendment
has	has	ha
already	alreadi	already
died	die	died
on	on	on
a	a	a
36	36	36
-3	-3	-3
vote	vote	vote
.	.	.
It	it	It
would	would	would
have	have	have
placed	place	placed
the	the	the
fate	fate	fate
of	of	of
the	the	the
flag	flag	flag
in	in	in
the	the	the
hands	hand	hand
of	of	of
voters	voter	voter
.	.	.
The	the	The
Senate	senat	Senate
has	has	ha
now	now	now
moved	move	moved
to	to	to
discuss	discuss	discus
an	an	an
amendment	amend	amendment
by	by	by
Sen	sen	Sen
.	.	.
Danny	danni	Danny
Verdin	verdin	Verdin
,	,	,
R	r	R
-Laurens	-lauren	-Laurens
.	.	.
It	it	It
would	would	would
allow	allow	allow
for	for	for
the	the	the
flag	flag	flag
to	to	to
be	be	be
flown	flown	flown
at	at	at
the	the	the
Confederate	confeder	Confederate
Soldier	soldier	Soldier
Monument	monument	Monument
on	on	on
Confederate	confeder	Confederate
Memorial	memori	Memorial
Day	day	Day
,	,	,
which	which	which
is	is	is
May	may	May
10	10	10
.	.	.
Verdin	verdin	Verdin
has	has	ha
the	the	the
floor	floor	floor
.	.	.
COLUMBIA	columbia	COLUMBIA
It	it	It
s	s	s
been	been	been
a	a	a
morning	morn	morning
of	of	of
impassioned	impass	impassioned
speeches	speech	speech
in	in	in
the	the	the
South	south	South
Carolina	carolina	Carolina
Senate	senat	Senate
,	,	,
as	as	a
lawmakers	lawmak	lawmaker
brace	brace	brace
for	for	for
discussion	discuss	discussion
on	on	on
a	a	a
bill	bill	bill
that	that	that
will	will	will
determine	determin	determine
the	the	the
fate	fate	fate
of	of	of
the	the	the
Confederate	confeder	Confederate
battle	battl	battle
flag	flag	flag
on	on	on
the	the	the
Statehouse	statehous	Statehouse
s	s	s
grounds	ground	ground
.	.	.
The	the	The
Senate	senat	Senate
is	is	is
on	on	on
recess	recess	recess
until	until	until
1	1	1
p	p	p
.	.	.
m	m	m
.	.	.
Senate	senat	Senate
President	presid	President
Pro	pro	Pro
Tempore	tempor	Tempore
Hugh	hugh	Hugh
Leatherman	leatherman	Leatherman
said	said	said
the	the	the
heads	head	head
of	of	of
both	both	both
the	the	the
GOP	gop	GOP
and	and	and
Democratic	democrat	Democratic
Caucus	caucus	Caucus
asked	ask	asked
for	for	for
body	bodi	body
to	to	to
break	break	break
for	for	for
a	a	a
recess	recess	recess
so	so	so
that	that	that
the	the	the
caucuses	caucus	caucus
could	could	could
meet	meet	meet
.	.	.
But	but	But
lawmakers	lawmak	lawmaker
are	are	are
still	still	still
planning	plan	planning
on	on	on
discussing	discuss	discussing
the	the	the
bill	bill	bill
today	today	today
.	.	.
My	my	My
intent	intent	intent
is	is	is
to	to	to
give	give	give
it	it	it
second	second	second
reading	read	reading
today	today	today
and	and	and
my	my	my
intent	intent	intent
would	would	would
be	be	be
to	to	to
give	give	give
it	it	it
third	third	third
reading	read	reading
tomorrow	tomorrow	tomorrow
,	,	,
Leatherman	leatherman	Leatherman
said	said	said
.	.	.
Will	will	Will
the	the	the
Senate	senat	Senate
do	do	do
that	that	that
?	?	?
Don	don	Don
t	t	t
know	know	know
.	.	.
But	but	But
we	we	we
ll	ll	ll
try	tri	try
to	to	to
head	head	head
in	in	in
that	that	that
direction	direct	direction
.	.	.
If	if	If
the	the	the
bill	bill	bill
follows	follow	follows
Leatherman	leatherman	Leatherman
s	s	s
planned	plan	planned
track	track	track
,	,	,
it	it	it
ll	ll	ll
be	be	be
before	befor	before
the	the	the
House	hous	House
for	for	for
a	a	a
vote	vote	vote
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Only	onli	Only
one	one	one
amendment	amend	amendment
has	has	ha
been	been	been
proposed	propos	proposed
in	in	in
the	the	the
Senate	senat	Senate
so	so	so
far	far	far
.	.	.
Roebuck	roebuck	Roebuck
Republican	republican	Republican
Sen	sen	Sen
.	.	.
Lee	lee	Lee
Bright	bright	Bright
s	s	s
amendment	amend	amendment
would	would	would
place	place	place
the	the	the
fate	fate	fate
of	of	of
the	the	the
banner	banner	banner
in	in	in
the	the	the
hands	hand	hand
of	of	of
voters	voter	voter
.	.	.
When	when	When
the	the	the
bill	bill	bill
crosses	cross	cross
the	the	the
hall	hall	hall
,	,	,
it	it	it
ll	ll	ll
likely	like	likely
be	be	be
met	met	met
with	with	with
an	an	an
amendment	amend	amendment
by	by	by
Rep	rep	Rep
.	.	.
Mike	mike	Mike
Pitts	pitt	Pitts
,	,	,
R	r	R
-Laurens	-lauren	-Laurens
,	,	,
who	who	who
said	said	said
he	he	he
d	d	d
like	like	like
to	to	to
see	see	see
the	the	the
battle	battl	battle
flag	flag	flag
replaced	replac	replaced
with	with	with
Bonnie	bonni	Bonnie
Blue	blue	Blue
.	.	.
Meanwhile	meanwhil	Meanwhile
,	,	,
members	member	member
from	from	from
both	both	both
sides	side	side
of	of	of
the	the	the
aisle	aisl	aisle
have	have	have
made	made	made
speeches	speech	speech
calling	call	calling
for	for	for
the	the	the
flag	flag	flag
s	s	s
removal	remov	removal
this	this	this
morning	morn	morning
,	,	,
including	includ	including
Pickens	picken	Pickens
Republican	republican	Republican
Sen	sen	Sen
.	.	.
Larry	larri	Larry
Martin	martin	Martin
,	,	,
who	who	who
said	said	said
his	his	his
view	view	view
on	on	on
the	the	the
flag	flag	flag
changed	chang	changed
after	after	after
the	the	the
shooting	shoot	shooting
that	that	that
took	took	took
the	the	the
lives	live	life
of	of	of
nine	nine	nine
churchgoers	churchgoer	churchgoer
in	in	in
Charleston	charleston	Charleston
on	on	on
June	june	June
17	17	17
.	.	.
Martin	martin	Martin
said	said	said
he	he	he
looked	look	looked
at	at	at
the	the	the
flag	flag	flag
as	as	a
if	if	if
it	it	it
was	was	wa
given	given	given
some	some	some
sort	sort	sort
of	of	of
official	offici	official
status	status	status
,	,	,
because	becaus	because
it	it	it
flies	fli	fly
on	on	on
the	the	the
capitol	capitol	capitol
s	s	s
grounds	ground	ground
.	.	.
That	that	That
doesn	doesn	doesn
t	t	t
represent	repres	represent
all	all	all
of	of	of
the	the	the
people	peopl	people
of	of	of
South	south	South
Carolina	carolina	Carolina
,	,	,
Martin	martin	Martin
said	said	said
.	.	.
It	it	It
isn	isn	isn
t	t	t
part	part	part
of	of	of
our	our	our
future	futur	future
.	.	.
It	it	It
s	s	s
part	part	part
of	of	of
our	our	our
past	past	past
.	.	.
A	a	A
two	two	two
-thirds	-third	-thirds
vote	vote	vote
in	in	in
each	each	each
chamber	chamber	chamber
is	is	is
needed	need	needed
to	to	to
do	do	do
anything	anyth	anything
with	with	with
any	ani	any
monument	monument	monument
on	on	on
the	the	the
capitol	capitol	capitol
s	s	s
grounds	ground	ground
,	,	,
including	includ	including
the	the	the
battle	battl	battle
flag	flag	flag
which	which	which
is	is	is
part	part	part
of	of	of
the	the	the
Confederate	confeder	Confederate
Soldier	soldier	Soldier
Monument	monument	Monument
.	.	.
That	that	That
vote	vote	vote
threshold	threshold	threshold
has	has	ha
been	been	been
met	met	met
,	,	,
according	accord	according
to	to	to
a	a	a
survey	survey	survey
by	by	by
The	the	The
Post	post	Post
and	and	and
Courier	courier	Courier
.	.	.
Outside	outsid	Outside
the	the	the
Statehouse	statehous	Statehouse
,	,	,
dozens	dozen	dozen
of	of	of
protesters	protest	protester
began	began	began
to	to	to
arrive	arriv	arrive
Monday	monday	Monday
morning	morn	morning
.	.	.
Some	some	Some
called	call	called
for	for	for
the	the	the
flag	flag	flag
to	to	to
come	come	come
down	down	down
.	.	.
Others	other	Others
,	,	,
such	such	such
as	as	a
Nelson	nelson	Nelson
Waller	waller	Waller
in	in	in
his	his	his
rebel	rebel	rebel
flag	flag	flag
tie	tie	tie
,	,	,
said	said	said
the	the	the
state	state	state
was	was	wa
giving	give	giving
in	in	in
to	to	to
Northern	northern	Northern
liberals	liber	liberal
and	and	and
civil	civil	civil
rights	right	right
activists	activist	activist
.	.	.
Waller	waller	Waller
carried	carri	carried
a	a	a
sign	sign	sign
that	that	that
read	read	read
Keep	keep	Keep
the	the	the
flag	flag	flag
.	.	.
Dump	dump	Dump
Nikki	nikki	Nikki
!	!	!
Two	two	Two
decades	decad	decade
ago	ago	ago
,	,	,
he	he	he
carried	carri	carried
a	a	a
Dump	dump	Dump
Beasley	beasley	Beasley
sign	sign	sign
after	after	after
then	then	then
-Gov	-gov	-Gov
.	.	.
David	david	David
Beasley	beasley	Beasley
made	made	made
an	an	an
unsuccessful	unsuccess	unsuccessful
attempt	attempt	attempt
to	to	to
get	get	get
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
off	off	off
the	the	the
Statehouse	statehous	Statehouse
dome	dome	dome
.	.	.
