A	a	A
and	and	and
my	my	my
role	role	role
,	,	,
both	both	both
morally	moral	morally
and	and	and
historically	histor	historically
,	,	,
as	as	a
an	an	an
elected	elect	elected
official	offici	official
is	is	is
to	to	to
vote	vote	vote
my	my	my
conscience	conscienc	conscience
,	,	,
then	then	then
I	i	I
can	can	can
not	not	not
and	and	and
will	will	will
not	not	not
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
for	for	for
President	presid	President
.	.	.

I	i	I
believe	believ	believe
voting	vote	voting
for	for	for
Trump	trump	Trump
would	would	would
bring	bring	bring
dishonor	dishonor	dishonor
to	to	to
God	god	God
,	,	,
Sisneros	sisnero	Sisneros
wrote	wrote	wrote
.	.	.

The	the	The
reality	realiti	reality
is	is	is
Trump	trump	Trump
will	will	will
be	be	be
our	our	our
President	presid	President
,	,	,
no	no	no
matter	matter	matter
what	what	what
my	my	my
decision	decis	decision
is	is	is
.	.	.

Sisneros	sisnero	Sisneros
said	said	said
that	that	that
he	he	he
will	will	will
mourn	mourn	mourn
the	the	the
loss	loss	loss
of	of	of
our	our	our
republic	republ	republic
.	.	.

Since	sinc	Since
I	i	I
can	can	can
t	t	t
in	in	in
good	good	good
conscience	conscienc	conscience
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
,	,	,
and	and	and
yet	yet	yet
have	have	have
sinfully	sin	sinfully
made	made	made
a	a	a
pledge	pledg	pledge
that	that	that
I	i	I
would	would	would
,	,	,
the	the	the
best	best	best
option	option	option
I	i	I
see	see	see
at	at	at
this	this	this
time	time	time
is	is	is
to	to	to
resign	resign	resign
my	my	my
position	posit	position
as	as	a
an	an	an
Elector	elector	Elector
,	,	,
Sisneros	sisnero	Sisneros
continued	continu	continued
.	.	.

This	this	This
will	will	will
allow	allow	allow
the	the	the
remaining	remain	remaining
body	bodi	body
of	of	of
Electors	elector	Electors
to	to	to
fill	fill	fill
my	my	my
vacancy	vacanc	vacancy
when	when	when
they	they	they
convene	conven	convene
on	on	on
Dec	dec	Dec
19	19	19
with	with	with
someone	someon	someone
that	that	that
can	can	can
vote	vote	vote
for	for	for
Trump	trump	Trump
.	.	.

The	the	The
people	peopl	people
will	will	will
get	get	get
their	their	their
vote	vote	vote
I	i	I
will	will	will
sleep	sleep	sleep
well	well	well
at	at	at
night	night	night
knowing	know	knowing
I	i	I
neither	neither	neither
gave	gave	gave
in	in	in
to	to	to
their	their	their
demands	demand	demand
nor	nor	nor
caved	cave	caved
to	to	to
my	my	my
convictions	convict	conviction
.	.	.

I	i	I
will	will	will
also	also	also
mourn	mourn	mourn
the	the	the
loss	loss	loss
of	of	of
our	our	our
republic	republ	republic
.	.	.

This	this	This
sounds	sound	sound
similar	similar	similar
to	to	to
what	what	what
Ted	ted	Ted
Cruz	cruz	Cruz
demanded	demand	demanded
people	peopl	people
do	do	do
.	.	.

Vote	vote	Vote
your	your	your
conscience	conscienc	conscience
.	.	.

But	but	But
the	the	the
Texas	texa	Texas
Senator	senat	Senator
lost	lost	lost
his	his	his
spine	spine	spine
,	,	,
soul	soul	soul
and	and	and
conscience	conscienc	conscience
during	dure	during
the	the	the
eleventh	eleventh	eleventh
hour	hour	hour
,	,	,
then	then	then
threw	threw	threw
his	his	his
support	support	support
behind	behind	behind
Trump	trump	Trump
.	.	.

Ted	ted	Ted
Cruz	cruz	Cruz
is	is	is
no	no	no
Art	art	Art
Sisneros	sisnero	Sisneros
.	.	.
____________________________________________________________________________________Image	____________________________________________________________________________________imag	____________________________________________________________________________________Image
via	via	via
Facebook	facebook	Facebook
.	.	.

