One	one	One
in	in	in
Greece	greec	Greece
v	v	v
Galloway	galloway	Galloway
.	.	.
In	in	In
December	decemb	December
2013	2013	2013
,	,	,
the	the	the
court	court	court
ruled	rule	ruled
5	5	5
-4	-4	-4
that	that	that
government	govern	government
officials	offici	official
in	in	in
the	the	the
town	town	town
of	of	of
Greece	greec	Greece
,	,	,
New	new	New
York	york	York
,	,	,
did	did	did
not	not	not
violate	violat	violate
the	the	the
Establishment	establish	Establishment
Clause	claus	Clause
by	by	by
opening	open	opening
meetings	meet	meeting
with	with	with
Christian	christian	Christian
prayers	prayer	prayer
.	.	.
In	in	In
May	may	May
of	of	of
2014	2014	2014
,	,	,
the	the	the
justices	justic	justice
reversed	revers	reversed
their	their	their
opinion	opinion	opinion
in	in	in
the	the	the
case	case	case
,	,	,
even	even	even
as	as	a
many	mani	many
arguments	argument	argument
remained	remain	remained
unsettled	unsettl	unsettled
.	.	.
To	to	To
understand	understand	understand
just	just	just
how	how	how
not	not	not
settled	settl	settled
the	the	the
case	case	case
actually	actual	actually
is	is	is
,	,	,
here	here	here
s	s	s
the	the	the
overview	overview	overview
from	from	from
the	the	the
2014	2014	2014
case	case	case
update	updat	update
Judgment	judgment	Judgment
Reversed	revers	Reversed
,	,	,
5	5	5
-4	-4	-4
,	,	,
in	in	in
an	an	an
opinion	opinion	opinion
by	by	by
Justice	justic	Justice
Kennedy	kennedi	Kennedy
on	on	on
May	may	May
5	5	5
,	,	,
2014	2014	2014
.	.	.
Justice	justic	Justice
Scalia	scalia	Scalia
and	and	and
Justice	justic	Justice
Thomas	thoma	Thomas
join	join	join
the	the	the
majority	major	majority
opinion	opinion	opinion
except	except	except
as	as	a
to	to	to
Part	part	Part
II	ii	II
-B	-b	-B
.	.	.
Justice	justic	Justice
Alito	alito	Alito
filed	file	filed
a	a	a
concurring	concur	concurring
opinion	opinion	opinion
,	,	,
in	in	in
which	which	which
Justice	justic	Justice
Scalia	scalia	Scalia
joined	join	joined
.	.	.
Justice	justic	Justice
Thomas	thoma	Thomas
filed	file	filed
an	an	an
opinion	opinion	opinion
concurring	concur	concurring
in	in	in
part	part	part
and	and	and
concurring	concur	concurring
in	in	in
the	the	the
judgment	judgment	judgment
,	,	,
in	in	in
which	which	which
Justice	justic	Justice
Scalia	scalia	Scalia
joined	join	joined
as	as	a
to	to	to
Part	part	Part
II	ii	II
.	.	.
Justice	justic	Justice
Breyer	breyer	Breyer
filed	file	filed
a	a	a
dissenting	dissent	dissenting
opinion	opinion	opinion
.	.	.
Justice	justic	Justice
Kagan	kagan	Kagan
filed	file	filed
a	a	a
dissenting	dissent	dissenting
opinion	opinion	opinion
,	,	,
in	in	in
which	which	which
Justice	justic	Justice
Ginsburg	ginsburg	Ginsburg
,	,	,
Justice	justic	Justice
Breyer	breyer	Breyer
,	,	,
and	and	and
Justice	justic	Justice
Sotomayor	sotomayor	Sotomayor
joined	join	joined
.	.	.
This	this	This
case	case	case
is	is	is
just	just	just
one	one	one
of	of	of
many	mani	many
with	with	with
the	the	the
potential	potenti	potential
to	to	to
erode	erod	erode
or	or	or
destroy	destroy	destroy
the	the	the
Establishment	establish	Establishment
Clause	claus	Clause
,	,	,
which	which	which
prevents	prevent	prevents
public	public	public
resources	resourc	resource
from	from	from
being	be	being
used	use	used
to	to	to
promote	promot	promote
religious	religi	religious
doctrine	doctrin	doctrine
,	,	,
and	and	and
protects	protect	protects
all	all	all
Americans	american	Americans
from	from	from
being	be	being
forced	forc	forced
to	to	to
accept	accept	accept
the	the	the
religious	religi	religious
beliefs	belief	belief
of	of	of
whoever	whoever	whoever
happens	happen	happens
to	to	to
be	be	be
running	run	running
their	their	their
local	local	local
,	,	,
state	state	state
or	or	or
federal	feder	federal
government	govern	government
on	on	on
any	ani	any
given	given	given
day	day	day
.	.	.
3	3	3
.	.	.
LGBT	lgbt	LGBT
DiscriminationOn	discriminationon	DiscriminationOn
June	june	June
26	26	26
,	,	,
2015	2015	2015
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
issued	issu	issued
its	it	it
historical	histor	historical
ruling	rule	ruling
in	in	in
Obergefell	obergefel	Obergefell
v	v	v
.	.	.
Hodges	hodg	Hodges
,	,	,
otherwise	otherwis	otherwise
known	known	known
as	as	a
the	the	the
gay	gay	gay
marriage	marriag	marriage
decision	decis	decision
.	.	.
Since	sinc	Since
that	that	that
decision	decis	decision
,	,	,
right	right	right
-wing	-wing	-wing
nuts	nut	nut
across	across	across
America	america	America
have	have	have
attempted	attempt	attempted
to	to	to
enshrine	enshrin	enshrine
discrimination	discrimin	discrimination
against	against	against
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
into	into	into
local	local	local
,	,	,
state	state	state
and	and	and
even	even	even
federal	feder	federal
law	law	law
.	.	.
Under	under	Under
the	the	the
guise	guis	guise
of	of	of
religious	religi	religious
freedom	freedom	freedom
,	,	,
conservatives	conserv	conservative
have	have	have
attempted	attempt	attempted
to	to	to
get	get	get
away	away	away
with	with	with
everything	everyth	everything
from	from	from
refusing	refus	refusing
service	servic	service
to	to	to
gay	gay	gay
couples	coupl	couple
to	to	to
firing	fire	firing
LGBT	lgbt	LGBT
employees	employe	employee
in	in	in
the	the	the
name	name	name
of	of	of
Jesus	jesus	Jesus
.	.	.
As	as	As
we	we	we
ve	ve	ve
seen	seen	seen
in	in	in
recent	recent	recent
years	year	year
,	,	,
there	there	there
s	s	s
no	no	no
end	end	end
to	to	to
right	right	right
-wing	-wing	-wing
creativity	creativ	creativity
,	,	,
when	when	when
it	it	it
comes	come	come
to	to	to
anti	anti	anti
-gay	-gay	-gay
discrimination	discrimin	discrimination
.	.	.
Whether	whether	Whether
they	they	they
re	re	re
trying	tri	trying
to	to	to
ban	ban	ban
sodomy	sodomi	sodomy
and	and	and
oral	oral	oral
sex	sex	sex
or	or	or
illegally	illeg	illegally
refusing	refus	refusing
to	to	to
sign	sign	sign
marriage	marriag	marriage
licenses	licens	license
,	,	,
LGBT	lgbt	LGBT
rights	right	right
remain	remain	remain
under	under	under
attack	attack	attack
all	all	all
across	across	across
the	the	the
country	countri	country
.	.	.
A	a	A
liberal	liber	liberal
Supreme	suprem	Supreme
Court	court	Court
is	is	is
of	of	of
monumental	monument	monumental
importance	import	importance
in	in	in
protecting	protect	protecting
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
from	from	from
religious	religi	religious
bigotry	bigotri	bigotry
and	and	and
anti	anti	anti
-gay	-gay	-gay
bias	bias	bias
.	.	.
4	4	4
.	.	.
Money	money	Money
in	in	in
PoliticsA	politicsa	PoliticsA
liberal	liber	liberal
court	court	court
could	could	could
open	open	open
the	the	the
door	door	door
to	to	to
restoring	restor	restoring
the	the	the
integrity	integr	integrity
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
elections	elect	election
.	.	.
The	the	The
disastrous	disastr	disastrous
Supreme	suprem	Supreme
Court	court	Court
ruling	rule	ruling
in	in	in
the	the	the
2010	2010	2010
Citizens	citizen	Citizens
United	unit	United
Case	case	Case
has	has	ha
allowed	allow	allowed
unlimited	unlimit	unlimited
amounts	amount	amount
of	of	of
corporate	corpor	corporate
money	money	money
to	to	to
flow	flow	flow
into	into	into
our	our	our
political	polit	political
system	system	system
.	.	.
In	in	In
a	a	a
5	5	5
-4	-4	-4
decision	decis	decision
,	,	,
the	the	the
conservative	conserv	conservative
court	court	court
ruled	rule	ruled
that	that	that
money	money	money
is	is	is
a	a	a
form	form	form
of	of	of
speech	speech	speech
.	.	.
Under	under	Under
the	the	the
pretense	pretens	pretense
,	,	,
the	the	the
court	court	court
found	found	found
that	that	that
limiting	limit	limiting
the	the	the
amount	amount	amount
of	of	of
money	money	money
flowing	flow	flowing
through	through	through
the	the	the
political	polit	political
system	system	system
equates	equat	equates
to	to	to
suppression	suppress	suppression
of	of	of
speech	speech	speech
on	on	on
the	the	the
part	part	part
of	of	of
the	the	the
government	govern	government
.	.	.
While	while	While
the	the	the
American	american	American
public	public	public
overwhelmingly	overwhelm	overwhelmingly
disapproved	disapprov	disapproved
of	of	of
the	the	the
court	court	court
s	s	s
decision	decis	decision
in	in	in
the	the	the
Citizens	citizen	Citizens
United	unit	United
case	case	case
,	,	,
as	as	a
long	long	long
as	as	a
the	the	the
court	court	court
maintains	maintain	maintains
a	a	a
conservative	conserv	conservative
bias	bias	bias
,	,	,
there	there	there
s	s	s
little	littl	little
chance	chanc	chance
that	that	that
the	the	the
ruling	rule	ruling
will	will	will
be	be	be
overturned	overturn	overturned
.	.	.
There	there	There
is	is	is
plenty	plenti	plenty
of	of	of
room	room	room
to	to	to
challenge	challeng	challenge
the	the	the
decision	decis	decision
with	with	with
a	a	a
liberal	liber	liberal
leaning	lean	leaning
court	court	court
.	.	.
5	5	5
.	.	.
Women	women	Women
s	s	s
RightsThe	rightsth	RightsThe
rise	rise	rise
of	of	of
the	the	the
Tea	tea	Tea
Party	parti	Party
in	in	in
America	america	America
has	has	ha
brought	brought	brought
with	with	with
it	it	it
an	an	an
unprecedented	unpreced	unprecedented
number	number	number
of	of	of
attacks	attack	attack
of	of	of
women	women	woman
s	s	s
rights	right	right
.	.	.
From	from	From
state	state	state
-enforced	-enforc	-enforced
vaginal	vagin	vaginal
ultrasounds	ultrasound	ultrasound
to	to	to
disturbing	disturb	disturbing
attempts	attempt	attempt
to	to	to
exclude	exclud	exclude
pregnant	pregnant	pregnant
women	women	woman
from	from	from
healthcare	healthcar	healthcare
coverage	coverag	coverage
under	under	under
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
the	the	the
right	right	right
wing	wing	wing
war	war	war
on	on	on
women	women	woman
threatens	threaten	threatens
the	the	the
health	health	health
and	and	and
well	well	well
being	be	being
of	of	of
more	more	more
than	than	than
50	50	50
percent	percent	percent
of	of	of
the	the	the
American	american	American
population	popul	population
.	.	.
At	at	At
stake	stake	stake
in	in	in
America	america	America
is	is	is
every	everi	every
woman	woman	woman
s	s	s
right	right	right
to	to	to
life	life	life
,	,	,
along	along	along
with	with	with
her	her	her
right	right	right
to	to	to
self	self	self
-determination	-determin	-determination
and	and	and
body	bodi	body
autonomy	autonomi	autonomy
.	.	.
As	as	As
the	the	the
right	right	right
wing	wing	wing
continues	continu	continues
to	to	to
try	tri	try
to	to	to
give	give	give
more	more	more
rights	right	right
to	to	to
a	a	a
zygote	zygot	zygote
than	than	than
the	the	the
woman	woman	woman
whose	whose	whose
body	bodi	body
it	it	it
inhabits	inhabit	inhabits
,	,	,
a	a	a
liberal	liber	liberal
court	court	court
is	is	is
a	a	a
critical	critic	critical
last	last	last
line	line	line
of	of	of
defense	defens	defense
against	against	against
these	these	these
attacks	attack	attack
.	.	.
6	6	6
.	.	.
EnvironmentLess	environmentless	EnvironmentLess
than	than	than
a	a	a
week	week	week
ago	ago	ago
,	,	,
a	a	a
5	5	5
-4	-4	-4
ruling	rule	ruling
by	by	by
the	the	the
Supreme	suprem	Supreme
Court	court	Court
temporarily	temporarili	temporarily
blocked	block	blocked
President	presid	President
Obama	obama	Obama
s	s	s
climate	climat	climate
change	chang	change
regulations	regul	regulation
from	from	from
taking	take	taking
effect	effect	effect
.	.	.
As	as	As
the	the	the
New	new	New
York	york	York
Times	time	Times
reported	report	reported
on	on	on
February	februari	February
9	9	9
,	,	,
The	the	The
5	5	5
-to-4	-to-4	-to-4
vote	vote	vote
,	,	,
with	with	with
the	the	the
court	court	court
s	s	s
four	four	four
liberal	liber	liberal
members	member	member
dissenting	dissent	dissenting
,	,	,
was	was	wa
unprecedented	unpreced	unprecedented
the	the	the
Supreme	suprem	Supreme
Court	court	Court
had	had	had
never	never	never
before	befor	before
granted	grant	granted
a	a	a
request	request	request
to	to	to
halt	halt	halt
a	a	a
regulation	regul	regulation
before	befor	before
review	review	review
by	by	by
a	a	a
federal	feder	federal
appeals	appeal	appeal
court	court	court
.	.	.
At	at	At
stake	stake	stake
here	here	here
is	is	is
much	much	much
more	more	more
than	than	than
whether	whether	whether
or	or	or
not	not	not
the	the	the
president	presid	president
s	s	s
efforts	effort	effort
to	to	to
reduce	reduc	reduce
carbon	carbon	carbon
emissions	emiss	emission
will	will	will
become	becom	become
a	a	a
reality	realiti	reality
.	.	.
The	the	The
case	case	case
,	,	,
brought	brought	brought
by	by	by
representatives	repres	representative
of	of	of
the	the	the
fossil	fossil	fossil
fuel	fuel	fuel
industry	industri	industry
,	,	,
challenges	challeng	challenge
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
s	s	s
right	right	right
to	to	to
create	creat	create
and	and	and
enforce	enforc	enforce
environmental	environment	environmental
regulations	regul	regulation
at	at	at
all	all	all
.	.	.
7	7	7
.	.	.
HealthcareAfter	healthcareaft	HealthcareAfter
years	year	year
of	of	of
legislative	legisl	legislative
and	and	and
legal	legal	legal
battles	battl	battle
over	over	over
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
finally	final	finally
upheld	upheld	upheld
the	the	the
Constitutionality	constitut	Constitutionality
of	of	of
President	presid	President
Obama	obama	Obama
s	s	s
signature	signatur	signature
healthcare	healthcar	healthcare
law	law	law
in	in	in
2012	2012	2012
.	.	.
But	but	But
this	this	this
decision	decis	decision
has	has	ha
not	not	not
stopped	stop	stopped
right	right	right
-wing	-wing	-wing
fanatics	fanat	fanatic
from	from	from
attacking	attack	attacking
various	various	various
parts	part	part
of	of	of
the	the	the
law	law	law
,	,	,
bringing	bring	bringing
case	case	case
after	after	after
case	case	case
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
undermine	undermin	undermine
the	the	the
court	court	court
s	s	s
original	origin	original
decision	decis	decision
.	.	.
As	as	As
recently	recent	recently
as	as	a
January	januari	January
,	,	,
2016	2016	2016
,	,	,
the	the	the
court	court	court
refused	refus	refused
to	to	to
hear	hear	hear
another	anoth	another
challenge	challeng	challenge
to	to	to
the	the	the
law	law	law
.	.	.
The	the	The
challenge	challeng	challenge
was	was	wa
filed	file	filed
by	by	by
an	an	an
artist	artist	artist
who	who	who
said	said	said
that	that	that
being	be	being
forced	forc	forced
to	to	to
pay	pay	pay
for	for	for
healthcare	healthcar	healthcare
violates	violat	violates
his	his	his
rights	right	right
.	.	.
He	he	He
was	was	wa
joined	join	joined
by	by	by
Sens	sen	Sens
.	.	.
John	john	John
Cornyn	cornyn	Cornyn
Texas	texa	Texas
and	and	and
Mike	mike	Mike
Lee	lee	Lee
Utah	utah	Utah
,	,	,
and	and	and
right	right	right
-wing	-wing	-wing
nut	nut	nut
Ted	ted	Ted
Cruz	cruz	Cruz
wrote	wrote	wrote
an	an	an
absurd	absurd	absurd
amicus	amicus	amicus
brief	brief	brief
in	in	in
support	support	support
of	of	of
the	the	the
case	case	case
.	.	.
While	while	While
a	a	a
more	more	more
liberal	liber	liberal
-leaning	-lean	-leaning
court	court	court
will	will	will
likely	like	likely
dissuade	dissuad	dissuade
further	further	further
attempts	attempt	attempt
to	to	to
overturn	overturn	overturn
the	the	the
law	law	law
,	,	,
the	the	the
opposite	opposit	opposite
would	would	would
be	be	be
true	true	true
if	if	if
Scalia	scalia	Scalia
were	were	were
somehow	somehow	somehow
replaced	replac	replaced
with	with	with
a	a	a
right	right	right
-wing	-wing	-wing
extremist	extremist	extremist
.	.	.
8	8	8
.	.	.
Voting	vote	Voting
RightsIn	rightsin	RightsIn
June	june	June
of	of	of
2013	2013	2013
,	,	,
a	a	a
5	5	5
-4	-4	-4
decision	decis	decision
of	of	of
the	the	the
Supreme	suprem	Supreme
Court	court	Court
struck	struck	struck
down	down	down
the	the	the
most	most	most
important	import	important
provisions	provis	provision
of	of	of
the	the	the
Voting	vote	Voting
Rights	right	Rights
Act	act	Act
.	.	.
What	what	What
s	s	s
more	more	more
,	,	,
in	in	in
a	a	a
string	string	string
of	of	of
cases	case	case
brought	brought	brought
before	befor	before
the	the	the
court	court	court
in	in	in
2014	2014	2014
,	,	,
the	the	the
conservative	conserv	conservative
majority	major	majority
consistently	consist	consistently
ruled	rule	ruled
in	in	in
favor	favor	favor
of	of	of
those	those	those
who	who	who
sought	sought	sought
to	to	to
restrict	restrict	restrict
voting	vote	voting
rights	right	right
,	,	,
rather	rather	rather
than	than	than
expand	expand	expand
them	them	them
.	.	.
Rulings	rule	Rulings
made	made	made
it	it	it
possible	possibl	possible
for	for	for
states	state	state
to	to	to
introduce	introduc	introduce
voter	voter	voter
ID	id	ID
laws	law	law
,	,	,
although	although	although
it	it	it
s	s	s
long	long	long
been	been	been
established	establish	established
that	that	that
such	such	such
laws	law	law
negatively	negat	negatively
impact	impact	impact
people	peopl	people
of	of	of
color	color	color
.	.	.
The	the	The
same	same	same
justices	justic	justice
ruled	rule	ruled
in	in	in
favor	favor	favor
of	of	of
allowing	allow	allowing
states	state	state
to	to	to
restrict	restrict	restrict
early	earli	early
voting	vote	voting
and	and	and
restrict	restrict	restrict
voter	voter	voter
access	access	access
to	to	to
the	the	the
polls	poll	poll
.	.	.
A	a	A
liberal	liber	liberal
leaning	lean	leaning
court	court	court
is	is	is
vital	vital	vital
to	to	to
protecting	protect	protecting
and	and	and
restoring	restor	restoring
the	the	the
right	right	right
of	of	of
every	everi	every
citizen	citizen	citizen
to	to	to
participate	particip	participate
in	in	in
elections	elect	election
.	.	.
9	9	9
.	.	.
ImmigrationIn	immigrationin	ImmigrationIn
January	januari	January
,	,	,
the	the	the
Supreme	suprem	Supreme
Court	court	Court
agreed	agre	agreed
to	to	to
hear	hear	hear
a	a	a
challenge	challeng	challenge
to	to	to
President	presid	President
Obama	obama	Obama
s	s	s
executive	execut	executive
actions	action	action
on	on	on
immigration	immigr	immigration
.	.	.
As	as	As
the	the	the
New	new	New
York	york	York
Times	time	Times
reports	report	report
here	here	here
,	,	,
when	when	when
agreeing	agre	agreeing
to	to	to
hear	hear	hear
the	the	the
case	case	case
,	,	,
The	the	The
justices	justic	justice
raised	rais	raised
the	the	the
possibility	possibl	possibility
of	of	of
a	a	a
broad	broad	broad
decision	decis	decision
by	by	by
taking	take	taking
the	the	the
unusual	unusu	unusual
step	step	step
of	of	of
adding	ad	adding
their	their	their
own	own	own
question	question	question
to	to	to
the	the	the
case	case	case
,	,	,
asking	ask	asking
the	the	the
parties	parti	party
to	to	to
address	address	address
whether	whether	whether
Mr	mr	Mr
.	.	.
Obama	obama	Obama
had	had	had
violated	violat	violated
his	his	his
constitutional	constitut	constitutional
obligations	oblig	obligation
to	to	to
enforce	enforc	enforce
the	the	the
nation	nation	nation
s	s	s
laws	law	law
.	.	.
The	the	The
answer	answer	answer
to	to	to
that	that	that
question	question	question
could	could	could
significantly	signific	significantly
alter	alter	alter
the	the	the
scope	scope	scope
of	of	of
presidential	presidenti	presidential
power	power	power
in	in	in
realms	realm	realm
far	far	far
beyond	beyond	beyond
immigration	immigr	immigration
.	.	.
Confident	confid	Confident
that	that	that
the	the	the
court	court	court
s	s	s
conservative	conserv	conservative
majority	major	majority
would	would	would
find	find	find
cause	caus	cause
to	to	to
rule	rule	rule
against	against	against
the	the	the
Constitutional	constitut	Constitutional
authority	author	authority
of	of	of
a	a	a
liberal	liber	liberal
,	,	,
Black	black	Black
president	presid	president
,	,	,
the	the	the
five	five	five
right	right	right
-leaning	-lean	-leaning
justices	justic	justice
had	had	had
clearly	clear	clearly
planned	plan	planned
to	to	to
take	take	take
the	the	the
lead	lead	lead
in	in	in
the	the	the
case	case	case
.	.	.
The	the	The
outcome	outcom	outcome
of	of	of
the	the	the
case	case	case
is	is	is
likely	like	likely
to	to	to
be	be	be
entirely	entir	entirely
different	differ	different
,	,	,
however	howev	however
,	,	,
with	with	with
a	a	a
liberal	liber	liberal
-leaning	-lean	-leaning
majority	major	majority
.	.	.
10	10	10
.	.	.
PoliceThe	policeth	PoliceThe
Supreme	suprem	Supreme
Court	court	Court
is	is	is
regularly	regular	regularly
charged	charg	charged
with	with	with
the	the	the
duty	duti	duty
of	of	of
defining	defin	defining
what	what	what
police	polic	police
can	can	can
and	and	and
cannot	cannot	cannot
do	do	do
under	under	under
the	the	the
Constitution	constitut	Constitution
.	.	.
The	the	The
five	five	five
justices	justic	justice
that	that	that
made	made	made
up	up	up
the	the	the
court	court	court
s	s	s
conservative	conserv	conservative
majority	major	majority
have	have	have
given	given	given
police	polic	police
more	more	more
and	and	and
more	more	more
leeway	leeway	leeway
.	.	.
For	for	For
example	exampl	example
,	,	,
in	in	in
June	june	June
of	of	of
2015	2015	2015
,	,	,
the	the	the
court	court	court
expanded	expand	expanded
the	the	the
rights	right	right
of	of	of
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
to	to	to
perform	perform	perform
warrantless	warrantless	warrantless
searches	search	search
.	.	.
Prior	prior	Prior
to	to	to
that	that	that
,	,	,
the	the	the
court	court	court
ruled	rule	ruled
that	that	that
a	a	a
police	polic	police
officer	offic	officer
cannot	cannot	cannot
be	be	be
held	held	held
liable	liabl	liable
for	for	for
violating	violat	violating
a	a	a
citizen	citizen	citizen
s	s	s
rights	right	right
,	,	,
as	as	a
long	long	long
as	as	a
the	the	the
officer	offic	officer
claims	claim	claim
he	he	he
didn	didn	didn
t	t	t
know	know	know
law	law	law
.	.	.
The	the	The
court	court	court
also	also	also
granted	grant	granted
immunity	immun	immunity
to	to	to
police	polic	police
officers	offic	officer
who	who	who
shot	shot	shot
a	a	a
mentally	mental	mentally
ill	ill	ill
woman	woman	woman
inside	insid	inside
a	a	a
healthcare	healthcar	healthcare
facility	facil	facility
.	.	.
While	while	While
it	it	it
s	s	s
questionable	question	questionable
that	that	that
the	the	the
addition	addit	addition
of	of	of
a	a	a
liberal	liber	liberal
justice	justic	justice
would	would	would
influence	influenc	influence
the	the	the
outcome	outcom	outcome
of	of	of
cases	case	case
involving	involv	involving
law	law	law
enforcement	enforc	enforcement
,	,	,
it	it	it
certainly	certain	certainly
can	can	can
t	t	t
make	make	make
the	the	the
situation	situat	situation
worse	wors	worse
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
even	even	even
some	some	some
of	of	of
the	the	the
supposedly	suppos	supposedly
liberal	liber	liberal
justices	justic	justice
currently	current	currently
on	on	on
the	the	the
court	court	court
have	have	have
sided	side	sided
with	with	with
conservatives	conserv	conservative
,	,	,
helping	help	helping
to	to	to
expand	expand	expand
the	the	the
rights	right	right
of	of	of
police	polic	police
,	,	,
which	which	which
necessarily	necessarili	necessarily
means	mean	mean
narrowing	narrow	narrowing
the	the	the
rights	right	right
of	of	of
ordinary	ordinari	ordinary
citizens	citizen	citizen
.	.	.
As	as	As
stated	state	stated
